lindex,Sport,Year,Age,count
17233,Water Polo,1900,15.0,1
17234,Water Polo,1900,17.0,1
17235,Water Polo,1900,18.0,6
17236,Water Polo,1900,19.0,2
17237,Water Polo,1900,20.0,3
17238,Water Polo,1900,21.0,2
17239,Water Polo,1900,23.0,3
17240,Water Polo,1900,24.0,2
17241,Water Polo,1900,25.0,1
17242,Water Polo,1900,27.0,1
17243,Water Polo,1900,28.0,1
17244,Water Polo,1900,29.0,1
17245,Water Polo,1900,31.0,1
17246,Water Polo,1900,40.0,1
17247,Water Polo,1904,16.0,1
17248,Water Polo,1904,19.0,1
17249,Water Polo,1904,20.0,2
17250,Water Polo,1904,22.0,2
17251,Water Polo,1904,23.0,2
17252,Water Polo,1904,24.0,3
17253,Water Polo,1904,25.0,4
17254,Water Polo,1904,26.0,1
17255,Water Polo,1904,27.0,1
17256,Water Polo,1904,30.0,1
17257,Water Polo,1908,18.0,2
17258,Water Polo,1908,19.0,2
17259,Water Polo,1908,20.0,1
17260,Water Polo,1908,21.0,1
17261,Water Polo,1908,22.0,6
17262,Water Polo,1908,23.0,5
17263,Water Polo,1908,24.0,1
17264,Water Polo,1908,25.0,1
17265,Water Polo,1908,28.0,2
17266,Water Polo,1908,29.0,2
17267,Water Polo,1908,30.0,2
17268,Water Polo,1908,31.0,1
17269,Water Polo,1912,18.0,2
17270,Water Polo,1912,19.0,3
17271,Water Polo,1912,20.0,4
17272,Water Polo,1912,21.0,4
17273,Water Polo,1912,22.0,8
17274,Water Polo,1912,23.0,3
17275,Water Polo,1912,24.0,5
17276,Water Polo,1912,25.0,3
17277,Water Polo,1912,26.0,4
17278,Water Polo,1912,27.0,3
17279,Water Polo,1912,28.0,1
17280,Water Polo,1912,33.0,2
17281,Water Polo,1912,34.0,1
17282,Water Polo,1912,35.0,2
17283,Water Polo,1920,14.0,1
17284,Water Polo,1920,17.0,1
17285,Water Polo,1920,18.0,4
17286,Water Polo,1920,19.0,7
17287,Water Polo,1920,20.0,1
17288,Water Polo,1920,21.0,5
17289,Water Polo,1920,23.0,3
17290,Water Polo,1920,24.0,5
17291,Water Polo,1920,25.0,2
17292,Water Polo,1920,26.0,4
17293,Water Polo,1920,27.0,4
17294,Water Polo,1920,28.0,6
17295,Water Polo,1920,29.0,4
17296,Water Polo,1920,30.0,4
17297,Water Polo,1920,31.0,2
17298,Water Polo,1920,32.0,2
17299,Water Polo,1920,33.0,2
17300,Water Polo,1920,34.0,4
17301,Water Polo,1920,35.0,4
17302,Water Polo,1920,36.0,1
17303,Water Polo,1920,41.0,1
17304,Water Polo,1924,18.0,2
17305,Water Polo,1924,19.0,3
17306,Water Polo,1924,20.0,8
17307,Water Polo,1924,21.0,5
17308,Water Polo,1924,22.0,5
17309,Water Polo,1924,23.0,8
17310,Water Polo,1924,24.0,4
17311,Water Polo,1924,25.0,6
17312,Water Polo,1924,26.0,1
17313,Water Polo,1924,27.0,1
17314,Water Polo,1924,28.0,4
17315,Water Polo,1924,29.0,4
17316,Water Polo,1924,30.0,3
17317,Water Polo,1924,31.0,6
17318,Water Polo,1924,32.0,3
17319,Water Polo,1924,33.0,1
17320,Water Polo,1924,34.0,2
17321,Water Polo,1924,35.0,2
17322,Water Polo,1924,36.0,1
17323,Water Polo,1924,37.0,1
17324,Water Polo,1924,38.0,2
17325,Water Polo,1924,45.0,1
17326,Water Polo,1928,17.0,3
17327,Water Polo,1928,18.0,2
17328,Water Polo,1928,19.0,7
17329,Water Polo,1928,20.0,9
17330,Water Polo,1928,21.0,5
17331,Water Polo,1928,22.0,6
17332,Water Polo,1928,23.0,8
17333,Water Polo,1928,24.0,8
17334,Water Polo,1928,25.0,6
17335,Water Polo,1928,26.0,8
17336,Water Polo,1928,27.0,6
17337,Water Polo,1928,28.0,4
17338,Water Polo,1928,29.0,3
17339,Water Polo,1928,30.0,3
17340,Water Polo,1928,32.0,1
17341,Water Polo,1928,34.0,4
17342,Water Polo,1928,35.0,1
17343,Water Polo,1928,42.0,1
17344,Water Polo,1932,19.0,1
17345,Water Polo,1932,20.0,4
17346,Water Polo,1932,21.0,1
17347,Water Polo,1932,22.0,4
17348,Water Polo,1932,23.0,4
17349,Water Polo,1932,24.0,3
17350,Water Polo,1932,26.0,5
17351,Water Polo,1932,27.0,1
17352,Water Polo,1932,28.0,3
17353,Water Polo,1932,29.0,1
17354,Water Polo,1932,31.0,2
17355,Water Polo,1932,33.0,1
17356,Water Polo,1932,35.0,1
17357,Water Polo,1932,36.0,1
17358,Water Polo,1936,17.0,1
17359,Water Polo,1936,18.0,1
17360,Water Polo,1936,19.0,5
17361,Water Polo,1936,20.0,5
17362,Water Polo,1936,21.0,11
17363,Water Polo,1936,22.0,16
17364,Water Polo,1936,23.0,15
17365,Water Polo,1936,24.0,17
17366,Water Polo,1936,25.0,13
17367,Water Polo,1936,26.0,12
17368,Water Polo,1936,27.0,11
17369,Water Polo,1936,28.0,8
17370,Water Polo,1936,29.0,6
17371,Water Polo,1936,30.0,5
17372,Water Polo,1936,31.0,2
17373,Water Polo,1936,32.0,6
17374,Water Polo,1936,33.0,1
17375,Water Polo,1936,34.0,1
17376,Water Polo,1936,35.0,3
17377,Water Polo,1936,37.0,1
17378,Water Polo,1936,38.0,1
17379,Water Polo,1936,39.0,1
17380,Water Polo,1948,17.0,1
17381,Water Polo,1948,18.0,1
17382,Water Polo,1948,19.0,2
17383,Water Polo,1948,20.0,4
17384,Water Polo,1948,21.0,4
17385,Water Polo,1948,23.0,10
17386,Water Polo,1948,24.0,5
17387,Water Polo,1948,25.0,12
17388,Water Polo,1948,26.0,5
17389,Water Polo,1948,27.0,7
17390,Water Polo,1948,28.0,9
17391,Water Polo,1948,29.0,8
17392,Water Polo,1948,30.0,11
17393,Water Polo,1948,31.0,4
17394,Water Polo,1948,32.0,6
17395,Water Polo,1948,33.0,5
17396,Water Polo,1948,34.0,8
17397,Water Polo,1948,35.0,2
17398,Water Polo,1948,36.0,1
17399,Water Polo,1948,37.0,3
17400,Water Polo,1948,38.0,2
17401,Water Polo,1948,39.0,1
17402,Water Polo,1952,17.0,2
17403,Water Polo,1952,18.0,3
17404,Water Polo,1952,19.0,6
17405,Water Polo,1952,20.0,13
17406,Water Polo,1952,21.0,22
17407,Water Polo,1952,22.0,16
17408,Water Polo,1952,23.0,9
17409,Water Polo,1952,24.0,18
17410,Water Polo,1952,25.0,10
17411,Water Polo,1952,26.0,9
17412,Water Polo,1952,27.0,14
17413,Water Polo,1952,28.0,9
17414,Water Polo,1952,29.0,12
17415,Water Polo,1952,30.0,4
17416,Water Polo,1952,31.0,8
17417,Water Polo,1952,32.0,8
17418,Water Polo,1952,33.0,7
17419,Water Polo,1952,34.0,4
17420,Water Polo,1952,36.0,3
17421,Water Polo,1952,37.0,2
17422,Water Polo,1952,38.0,1
17423,Water Polo,1952,40.0,2
17424,Water Polo,1956,17.0,1
17425,Water Polo,1956,18.0,3
17426,Water Polo,1956,19.0,2
17427,Water Polo,1956,20.0,5
17428,Water Polo,1956,21.0,6
17429,Water Polo,1956,22.0,6
17430,Water Polo,1956,23.0,9
17431,Water Polo,1956,24.0,10
17432,Water Polo,1956,25.0,15
17433,Water Polo,1956,26.0,6
17434,Water Polo,1956,27.0,7
17435,Water Polo,1956,28.0,6
17436,Water Polo,1956,29.0,4
17437,Water Polo,1956,30.0,3
17438,Water Polo,1956,31.0,3
17439,Water Polo,1956,33.0,2
17440,Water Polo,1956,34.0,1
17441,Water Polo,1956,36.0,1
17442,Water Polo,1956,37.0,1
17443,Water Polo,1960,18.0,7
17444,Water Polo,1960,19.0,5
17445,Water Polo,1960,20.0,11
17446,Water Polo,1960,21.0,13
17447,Water Polo,1960,22.0,17
17448,Water Polo,1960,23.0,16
17449,Water Polo,1960,24.0,12
17450,Water Polo,1960,25.0,6
17451,Water Polo,1960,26.0,11
17452,Water Polo,1960,27.0,8
17453,Water Polo,1960,28.0,13
17454,Water Polo,1960,29.0,7
17455,Water Polo,1960,30.0,5
17456,Water Polo,1960,31.0,4
17457,Water Polo,1960,32.0,4
17458,Water Polo,1960,33.0,2
17459,Water Polo,1960,34.0,1
17460,Water Polo,1960,37.0,1
17461,Water Polo,1960,41.0,1
17462,Water Polo,1964,16.0,1
17463,Water Polo,1964,17.0,1
17464,Water Polo,1964,18.0,3
17465,Water Polo,1964,19.0,3
17466,Water Polo,1964,20.0,5
17467,Water Polo,1964,21.0,8
17468,Water Polo,1964,22.0,12
17469,Water Polo,1964,23.0,14
17470,Water Polo,1964,24.0,15
17471,Water Polo,1964,25.0,14
17472,Water Polo,1964,26.0,14
17473,Water Polo,1964,27.0,16
17474,Water Polo,1964,28.0,6
17475,Water Polo,1964,29.0,7
17476,Water Polo,1964,30.0,5
17477,Water Polo,1964,31.0,6
17478,Water Polo,1964,32.0,1
17479,Water Polo,1964,33.0,2
17480,Water Polo,1964,35.0,2
17481,Water Polo,1964,36.0,1
17482,Water Polo,1964,37.0,1
17483,Water Polo,1968,15.0,1
17484,Water Polo,1968,17.0,8
17485,Water Polo,1968,18.0,6
17486,Water Polo,1968,19.0,7
17487,Water Polo,1968,20.0,12
17488,Water Polo,1968,21.0,14
17489,Water Polo,1968,22.0,19
17490,Water Polo,1968,23.0,10
17491,Water Polo,1968,24.0,11
17492,Water Polo,1968,25.0,15
17493,Water Polo,1968,26.0,9
17494,Water Polo,1968,27.0,17
17495,Water Polo,1968,28.0,8
17496,Water Polo,1968,29.0,6
17497,Water Polo,1968,30.0,6
17498,Water Polo,1968,31.0,2
17499,Water Polo,1968,32.0,3
17500,Water Polo,1968,33.0,3
17501,Water Polo,1968,34.0,1
17502,Water Polo,1972,16.0,1
17503,Water Polo,1972,17.0,3
17504,Water Polo,1972,18.0,5
17505,Water Polo,1972,19.0,9
17506,Water Polo,1972,20.0,12
17507,Water Polo,1972,21.0,12
17508,Water Polo,1972,22.0,9
17509,Water Polo,1972,23.0,19
17510,Water Polo,1972,24.0,20
17511,Water Polo,1972,25.0,26
17512,Water Polo,1972,26.0,11
17513,Water Polo,1972,27.0,7
17514,Water Polo,1972,28.0,7
17515,Water Polo,1972,29.0,5
17516,Water Polo,1972,30.0,11
17517,Water Polo,1972,31.0,7
17518,Water Polo,1972,32.0,3
17519,Water Polo,1972,33.0,3
17520,Water Polo,1972,34.0,3
17521,Water Polo,1972,36.0,2
17522,Water Polo,1976,17.0,1
17523,Water Polo,1976,18.0,4
17524,Water Polo,1976,19.0,6
17525,Water Polo,1976,20.0,5
17526,Water Polo,1976,21.0,12
17527,Water Polo,1976,22.0,17
17528,Water Polo,1976,23.0,15
17529,Water Polo,1976,24.0,9
17530,Water Polo,1976,25.0,12
17531,Water Polo,1976,26.0,11
17532,Water Polo,1976,27.0,7
17533,Water Polo,1976,28.0,7
17534,Water Polo,1976,29.0,10
17535,Water Polo,1976,30.0,7
17536,Water Polo,1976,31.0,4
17537,Water Polo,1976,32.0,2
17538,Water Polo,1976,34.0,2
17539,Water Polo,1980,17.0,1
17540,Water Polo,1980,18.0,1
17541,Water Polo,1980,19.0,5
17542,Water Polo,1980,20.0,8
17543,Water Polo,1980,21.0,12
17544,Water Polo,1980,22.0,13
17545,Water Polo,1980,23.0,15
17546,Water Polo,1980,24.0,8
17547,Water Polo,1980,25.0,8
17548,Water Polo,1980,26.0,15
17549,Water Polo,1980,27.0,15
17550,Water Polo,1980,28.0,6
17551,Water Polo,1980,29.0,8
17552,Water Polo,1980,30.0,3
17553,Water Polo,1980,31.0,6
17554,Water Polo,1980,32.0,4
17555,Water Polo,1980,33.0,2
17556,Water Polo,1980,34.0,2
17557,Water Polo,1984,17.0,1
17558,Water Polo,1984,18.0,4
17559,Water Polo,1984,19.0,3
17560,Water Polo,1984,20.0,7
17561,Water Polo,1984,21.0,14
17562,Water Polo,1984,22.0,15
17563,Water Polo,1984,23.0,17
17564,Water Polo,1984,24.0,22
17565,Water Polo,1984,25.0,11
17566,Water Polo,1984,26.0,12
17567,Water Polo,1984,27.0,14
17568,Water Polo,1984,28.0,11
17569,Water Polo,1984,29.0,7
17570,Water Polo,1984,30.0,3
17571,Water Polo,1984,31.0,5
17572,Water Polo,1984,32.0,2
17573,Water Polo,1984,33.0,4
17574,Water Polo,1984,34.0,1
17575,Water Polo,1988,18.0,1
17576,Water Polo,1988,19.0,5
17577,Water Polo,1988,20.0,14
17578,Water Polo,1988,21.0,15
17579,Water Polo,1988,22.0,12
17580,Water Polo,1988,23.0,12
17581,Water Polo,1988,24.0,13
17582,Water Polo,1988,25.0,15
17583,Water Polo,1988,26.0,13
17584,Water Polo,1988,27.0,12
17585,Water Polo,1988,28.0,18
17586,Water Polo,1988,29.0,9
17587,Water Polo,1988,30.0,4
17588,Water Polo,1988,31.0,4
17589,Water Polo,1988,32.0,3
17590,Water Polo,1988,33.0,2
17591,Water Polo,1988,34.0,3
17592,Water Polo,1988,38.0,1
17593,Water Polo,1992,18.0,1
17594,Water Polo,1992,19.0,1
17595,Water Polo,1992,20.0,6
17596,Water Polo,1992,21.0,10
17597,Water Polo,1992,22.0,8
17598,Water Polo,1992,23.0,15
17599,Water Polo,1992,24.0,18
17600,Water Polo,1992,25.0,18
17601,Water Polo,1992,26.0,15
17602,Water Polo,1992,27.0,11
17603,Water Polo,1992,28.0,12
17604,Water Polo,1992,29.0,15
17605,Water Polo,1992,30.0,7
17606,Water Polo,1992,31.0,4
17607,Water Polo,1992,32.0,5
17608,Water Polo,1992,33.0,5
17609,Water Polo,1992,35.0,1
17610,Water Polo,1996,18.0,1
17611,Water Polo,1996,19.0,3
17612,Water Polo,1996,20.0,4
17613,Water Polo,1996,21.0,10
17614,Water Polo,1996,22.0,15
17615,Water Polo,1996,23.0,10
17616,Water Polo,1996,24.0,11
17617,Water Polo,1996,25.0,17
17618,Water Polo,1996,26.0,14
17619,Water Polo,1996,27.0,15
17620,Water Polo,1996,28.0,17
17621,Water Polo,1996,29.0,15
17622,Water Polo,1996,30.0,8
17623,Water Polo,1996,31.0,3
17624,Water Polo,1996,32.0,2
17625,Water Polo,1996,33.0,5
17626,Water Polo,1996,34.0,2
17627,Water Polo,1996,36.0,1
17628,Water Polo,2000,17.0,1
17629,Water Polo,2000,18.0,1
17630,Water Polo,2000,19.0,2
17631,Water Polo,2000,20.0,11
17632,Water Polo,2000,21.0,7
17633,Water Polo,2000,22.0,17
17634,Water Polo,2000,23.0,14
17635,Water Polo,2000,24.0,23
17636,Water Polo,2000,25.0,20
17637,Water Polo,2000,26.0,24
17638,Water Polo,2000,27.0,27
17639,Water Polo,2000,28.0,17
17640,Water Polo,2000,29.0,20
17641,Water Polo,2000,30.0,8
17642,Water Polo,2000,31.0,11
17643,Water Polo,2000,32.0,11
17644,Water Polo,2000,33.0,6
17645,Water Polo,2000,34.0,3
17646,Water Polo,2000,35.0,1
17647,Water Polo,2000,36.0,3
17648,Water Polo,2000,37.0,1
17649,Water Polo,2000,38.0,1
17650,Water Polo,2000,39.0,2
17651,Water Polo,2004,19.0,4
17652,Water Polo,2004,20.0,7
17653,Water Polo,2004,21.0,15
17654,Water Polo,2004,22.0,12
17655,Water Polo,2004,23.0,19
17656,Water Polo,2004,24.0,24
17657,Water Polo,2004,25.0,22
17658,Water Polo,2004,26.0,16
17659,Water Polo,2004,27.0,21
17660,Water Polo,2004,28.0,20
17661,Water Polo,2004,29.0,20
17662,Water Polo,2004,30.0,24
17663,Water Polo,2004,31.0,15
17664,Water Polo,2004,32.0,15
17665,Water Polo,2004,33.0,9
17666,Water Polo,2004,34.0,4
17667,Water Polo,2004,35.0,3
17668,Water Polo,2004,36.0,2
17669,Water Polo,2004,37.0,2
17670,Water Polo,2004,42.0,1
17671,Water Polo,2008,17.0,2
17672,Water Polo,2008,18.0,6
17673,Water Polo,2008,19.0,6
17674,Water Polo,2008,20.0,10
17675,Water Polo,2008,21.0,17
17676,Water Polo,2008,22.0,15
17677,Water Polo,2008,23.0,25
17678,Water Polo,2008,24.0,17
17679,Water Polo,2008,25.0,20
17680,Water Polo,2008,26.0,17
17681,Water Polo,2008,27.0,19
17682,Water Polo,2008,28.0,18
17683,Water Polo,2008,29.0,14
17684,Water Polo,2008,30.0,14
17685,Water Polo,2008,31.0,16
17686,Water Polo,2008,32.0,12
17687,Water Polo,2008,33.0,10
17688,Water Polo,2008,34.0,9
17689,Water Polo,2008,35.0,2
17690,Water Polo,2008,36.0,3
17691,Water Polo,2008,37.0,3
17692,Water Polo,2008,39.0,1
17693,Water Polo,2012,18.0,4
17694,Water Polo,2012,19.0,8
17695,Water Polo,2012,20.0,7
17696,Water Polo,2012,21.0,16
17697,Water Polo,2012,22.0,12
17698,Water Polo,2012,23.0,19
17699,Water Polo,2012,24.0,28
17700,Water Polo,2012,25.0,26
17701,Water Polo,2012,26.0,17
17702,Water Polo,2012,27.0,23
17703,Water Polo,2012,28.0,15
17704,Water Polo,2012,29.0,16
17705,Water Polo,2012,30.0,7
17706,Water Polo,2012,31.0,10
17707,Water Polo,2012,32.0,12
17708,Water Polo,2012,33.0,8
17709,Water Polo,2012,34.0,7
17710,Water Polo,2012,35.0,6
17711,Water Polo,2012,36.0,9
17712,Water Polo,2012,37.0,1
17713,Water Polo,2012,38.0,3
17714,Water Polo,2012,39.0,2
17715,Water Polo,2012,41.0,1
17716,Water Polo,2016,16.0,1
17717,Water Polo,2016,17.0,2
17718,Water Polo,2016,18.0,3
17719,Water Polo,2016,19.0,7
17720,Water Polo,2016,20.0,6
17721,Water Polo,2016,21.0,12
17722,Water Polo,2016,22.0,23
17723,Water Polo,2016,23.0,14
17724,Water Polo,2016,24.0,15
17725,Water Polo,2016,25.0,23
17726,Water Polo,2016,26.0,22
17727,Water Polo,2016,27.0,20
17728,Water Polo,2016,28.0,20
17729,Water Polo,2016,29.0,25
17730,Water Polo,2016,30.0,16
17731,Water Polo,2016,31.0,11
17732,Water Polo,2016,32.0,13
17733,Water Polo,2016,33.0,13
17734,Water Polo,2016,34.0,3
17735,Water Polo,2016,35.0,2
17736,Water Polo,2016,36.0,1
17737,Water Polo,2016,37.0,4
17738,Water Polo,2016,38.0,1
17739,Water Polo,2016,41.0,1
