lindex,Sport,Year,Country,count
1271,Art Competitions,1912,BEL,1
1272,Art Competitions,1912,BOH,1
1273,Art Competitions,1912,CAN,1
1274,Art Competitions,1912,FRA,10
1275,Art Competitions,1912,GBR,3
1276,Art Competitions,1912,GER,2
1277,Art Competitions,1912,ITA,4
1278,Art Competitions,1912,POL,1
1279,Art Competitions,1912,RUS,1
1280,Art Competitions,1912,SUI,6
1281,Art Competitions,1912,UNK,2
1282,Art Competitions,1912,USA,1
1283,Art Competitions,1920,BEL,6
1284,Art Competitions,1920,FRA,1
1285,Art Competitions,1920,GBR,1
1286,Art Competitions,1920,ITA,2
1287,Art Competitions,1920,NOR,1
1288,Art Competitions,1924,AUS,1
1289,Art Competitions,1924,BEL,6
1290,Art Competitions,1924,BRA,1
1291,Art Competitions,1924,DEN,28
1292,Art Competitions,1924,EGY,3
1293,Art Competitions,1924,ESP,1
1294,Art Competitions,1924,FIN,1
1295,Art Competitions,1924,FRA,164
1296,Art Competitions,1924,GBR,16
1297,Art Competitions,1924,GRE,2
1298,Art Competitions,1924,HUN,2
1299,Art Competitions,1924,IRL,9
1300,Art Competitions,1924,ITA,10
1301,Art Competitions,1924,LUX,4
1302,Art Competitions,1924,MON,1
1303,Art Competitions,1924,NED,32
1304,Art Competitions,1924,NOR,4
1305,Art Competitions,1924,RSA,2
1306,Art Competitions,1924,RUS,3
1307,Art Competitions,1924,SUI,16
1308,Art Competitions,1924,TCH,3
1309,Art Competitions,1924,URU,1
1310,Art Competitions,1924,USA,2
1311,Art Competitions,1924,YUG,6
1312,Art Competitions,1928,AUT,49
1313,Art Competitions,1928,BEL,38
1314,Art Competitions,1928,CAN,7
1315,Art Competitions,1928,DEN,20
1316,Art Competitions,1928,FRA,88
1317,Art Competitions,1928,GBR,82
1318,Art Competitions,1928,GER,136
1319,Art Competitions,1928,HUN,38
1320,Art Competitions,1928,IRL,12
1321,Art Competitions,1928,ITA,28
1322,Art Competitions,1928,LAT,8
1323,Art Competitions,1928,LUX,6
1324,Art Competitions,1928,MEX,16
1325,Art Competitions,1928,MON,4
1326,Art Competitions,1928,NED,71
1327,Art Competitions,1928,NOR,9
1328,Art Competitions,1928,POL,62
1329,Art Competitions,1928,SUI,43
1330,Art Competitions,1928,USA,91
1331,Art Competitions,1932,ARG,2
1332,Art Competitions,1932,AUS,2
1333,Art Competitions,1932,AUT,21
1334,Art Competitions,1932,BEL,57
1335,Art Competitions,1932,BUL,2
1336,Art Competitions,1932,CAN,45
1337,Art Competitions,1932,COL,1
1338,Art Competitions,1932,CUB,3
1339,Art Competitions,1932,DEN,45
1340,Art Competitions,1932,ESA,4
1341,Art Competitions,1932,ESP,1
1342,Art Competitions,1932,FRA,68
1343,Art Competitions,1932,GBR,64
1344,Art Competitions,1932,GER,85
1345,Art Competitions,1932,GUA,1
1346,Art Competitions,1932,HAI,1
1347,Art Competitions,1932,HUN,38
1348,Art Competitions,1932,IRL,9
1349,Art Competitions,1932,ITA,15
1350,Art Competitions,1932,JPN,45
1351,Art Competitions,1932,LAT,11
1352,Art Competitions,1932,LUX,11
1353,Art Competitions,1932,MEX,2
1354,Art Competitions,1932,MON,1
1355,Art Competitions,1932,NED,38
1356,Art Competitions,1932,NOR,2
1357,Art Competitions,1932,PER,3
1358,Art Competitions,1932,POL,43
1359,Art Competitions,1932,ROU,2
1360,Art Competitions,1932,SUI,2
1361,Art Competitions,1932,SWE,53
1362,Art Competitions,1932,TCH,35
1363,Art Competitions,1932,TUR,2
1364,Art Competitions,1932,URU,5
1365,Art Competitions,1932,USA,404
1366,Art Competitions,1932,VEN,1
1367,Art Competitions,1936,AUT,84
1368,Art Competitions,1936,BEL,56
1369,Art Competitions,1936,BOL,1
1370,Art Competitions,1936,BUL,3
1371,Art Competitions,1936,CAN,5
1372,Art Competitions,1936,DEN,5
1373,Art Competitions,1936,FIN,1
1374,Art Competitions,1936,GER,133
1375,Art Competitions,1936,GRE,2
1376,Art Competitions,1936,HUN,7
1377,Art Competitions,1936,ITA,83
1378,Art Competitions,1936,JPN,84
1379,Art Competitions,1936,LAT,5
1380,Art Competitions,1936,LUX,21
1381,Art Competitions,1936,MON,2
1382,Art Competitions,1936,NED,56
1383,Art Competitions,1936,POL,42
1384,Art Competitions,1936,ROU,1
1385,Art Competitions,1936,RSA,15
1386,Art Competitions,1936,SUI,58
1387,Art Competitions,1936,SWE,47
1388,Art Competitions,1936,TCH,35
1389,Art Competitions,1936,USA,64
1390,Art Competitions,1936,YUG,3
1391,Art Competitions,1948,AUT,45
1392,Art Competitions,1948,BEL,7
1393,Art Competitions,1948,CAN,25
1394,Art Competitions,1948,CHN,5
1395,Art Competitions,1948,DEN,6
1396,Art Competitions,1948,ESP,1
1397,Art Competitions,1948,FIN,7
1398,Art Competitions,1948,FRA,35
1399,Art Competitions,1948,GBR,173
1400,Art Competitions,1948,GRE,5
1401,Art Competitions,1948,HUN,2
1402,Art Competitions,1948,IND,2
1403,Art Competitions,1948,IRL,12
1404,Art Competitions,1948,ISL,1
1405,Art Competitions,1948,ITA,47
1406,Art Competitions,1948,NED,12
1407,Art Competitions,1948,NOR,1
1408,Art Competitions,1948,PHI,2
1409,Art Competitions,1948,POL,15
1410,Art Competitions,1948,POR,1
1411,Art Competitions,1948,RSA,4
1412,Art Competitions,1948,SUI,33
1413,Art Competitions,1948,SWE,7
1414,Art Competitions,1948,TCH,14
1415,Art Competitions,1948,TUR,1
1416,Art Competitions,1948,URU,2
1417,Art Competitions,1948,YUG,6
