lindex,Sport,Year,Country,count
1418,Athletics,1896,AUS,3
1419,Athletics,1896,DEN,4
1420,Athletics,1896,FRA,12
1421,Athletics,1896,GBR,7
1422,Athletics,1896,GER,14
1423,Athletics,1896,GRE,36
1424,Athletics,1896,HUN,5
1425,Athletics,1896,SWE,4
1426,Athletics,1896,USA,21
1427,Athletics,1900,AUS,4
1428,Athletics,1900,AUT,3
1429,Athletics,1900,BOH,5
1430,Athletics,1900,BRA,3
1431,Athletics,1900,CAN,7
1432,Athletics,1900,DEN,6
1433,Athletics,1900,FRA,29
1434,Athletics,1900,GBR,19
1435,Athletics,1900,GER,10
1436,Athletics,1900,GRE,3
1437,Athletics,1900,HUN,21
1438,Athletics,1900,IND,5
1439,Athletics,1900,ITA,3
1440,Athletics,1900,LUX,1
1441,Athletics,1900,NOR,4
1442,Athletics,1900,SWE,20
1443,Athletics,1900,USA,91
1444,Athletics,1904,AUS,2
1445,Athletics,1904,CAN,10
1446,Athletics,1904,CUB,1
1447,Athletics,1904,FRA,2
1448,Athletics,1904,GBR,3
1449,Athletics,1904,GER,5
1450,Athletics,1904,GRE,11
1451,Athletics,1904,HUN,5
1452,Athletics,1904,NFL,1
1453,Athletics,1904,RSA,3
1454,Athletics,1904,USA,158
1455,Athletics,1906,AUS,7
1456,Athletics,1906,AUT,32
1457,Athletics,1906,BEL,4
1458,Athletics,1906,BOH,13
1459,Athletics,1906,CAN,4
1460,Athletics,1906,CRT,10
1461,Athletics,1906,DEN,13
1462,Athletics,1906,EGY,2
1463,Athletics,1906,FIN,16
1464,Athletics,1906,FRA,23
1465,Athletics,1906,GBR,36
1466,Athletics,1906,GER,47
1467,Athletics,1906,GRE,108
1468,Athletics,1906,HUN,35
1469,Athletics,1906,ITA,9
1470,Athletics,1906,NOR,7
1471,Athletics,1906,SUI,1
1472,Athletics,1906,SWE,35
1473,Athletics,1906,TUR,2
1474,Athletics,1906,USA,66
1475,Athletics,1908,ANZ,15
1476,Athletics,1908,AUT,4
1477,Athletics,1908,BEL,10
1478,Athletics,1908,BOH,6
1479,Athletics,1908,CAN,52
1480,Athletics,1908,DEN,13
1481,Athletics,1908,FIN,36
1482,Athletics,1908,FRA,35
1483,Athletics,1908,GBR,186
1484,Athletics,1908,GER,37
1485,Athletics,1908,GRE,24
1486,Athletics,1908,HUN,43
1487,Athletics,1908,ITA,22
1488,Athletics,1908,NED,53
1489,Athletics,1908,NOR,22
1490,Athletics,1908,RSA,9
1491,Athletics,1908,RUS,1
1492,Athletics,1908,SUI,1
1493,Athletics,1908,SWE,66
1494,Athletics,1908,USA,143
1495,Athletics,1912,ANZ,7
1496,Athletics,1912,AUT,27
1497,Athletics,1912,BEL,3
1498,Athletics,1912,BOH,15
1499,Athletics,1912,CAN,39
1500,Athletics,1912,CHI,10
1501,Athletics,1912,DEN,21
1502,Athletics,1912,FIN,57
1503,Athletics,1912,FRA,56
1504,Athletics,1912,GBR,111
1505,Athletics,1912,GER,56
1506,Athletics,1912,GRE,7
1507,Athletics,1912,HUN,48
1508,Athletics,1912,ISL,1
1509,Athletics,1912,ITA,25
1510,Athletics,1912,JPN,4
1511,Athletics,1912,LUX,3
1512,Athletics,1912,NED,2
1513,Athletics,1912,NOR,37
1514,Athletics,1912,POR,5
1515,Athletics,1912,RSA,13
1516,Athletics,1912,RUS,39
1517,Athletics,1912,SRB,2
1518,Athletics,1912,SUI,1
1519,Athletics,1912,SWE,183
1520,Athletics,1912,TUR,7
1521,Athletics,1912,USA,183
1522,Athletics,1920,AUS,8
1523,Athletics,1920,BEL,78
1524,Athletics,1920,CAN,22
1525,Athletics,1920,CHI,2
1526,Athletics,1920,DEN,35
1527,Athletics,1920,EGY,4
1528,Athletics,1920,ESP,24
1529,Athletics,1920,EST,13
1530,Athletics,1920,FIN,54
1531,Athletics,1920,FRA,85
1532,Athletics,1920,GBR,77
1533,Athletics,1920,GRE,16
1534,Athletics,1920,IND,5
1535,Athletics,1920,ITA,45
1536,Athletics,1920,JPN,16
1537,Athletics,1920,LUX,15
1538,Athletics,1920,MON,5
1539,Athletics,1920,NED,18
1540,Athletics,1920,NOR,24
1541,Athletics,1920,NZL,3
1542,Athletics,1920,RSA,28
1543,Athletics,1920,SUI,19
1544,Athletics,1920,SWE,108
1545,Athletics,1920,TCH,25
1546,Athletics,1920,USA,120
1547,Athletics,1924,ARG,16
1548,Athletics,1924,AUS,18
1549,Athletics,1924,AUT,7
1550,Athletics,1924,BEL,21
1551,Athletics,1924,BRA,14
1552,Athletics,1924,BUL,6
1553,Athletics,1924,CAN,40
1554,Athletics,1924,CHI,3
1555,Athletics,1924,DEN,19
1556,Athletics,1924,ECU,4
1557,Athletics,1924,EGY,2
1558,Athletics,1924,ESP,32
1559,Athletics,1924,EST,16
1560,Athletics,1924,FIN,84
1561,Athletics,1924,FRA,99
1562,Athletics,1924,GBR,87
1563,Athletics,1924,GRE,27
1564,Athletics,1924,HAI,7
1565,Athletics,1924,HUN,26
1566,Athletics,1924,IND,13
1567,Athletics,1924,IRL,13
1568,Athletics,1924,ITA,55
1569,Athletics,1924,JPN,13
1570,Athletics,1924,LAT,19
1571,Athletics,1924,LUX,9
1572,Athletics,1924,MEX,21
1573,Athletics,1924,MON,3
1574,Athletics,1924,NED,35
1575,Athletics,1924,NOR,12
1576,Athletics,1924,NZL,2
1577,Athletics,1924,PHI,2
1578,Athletics,1924,POL,24
1579,Athletics,1924,POR,4
1580,Athletics,1924,RSA,20
1581,Athletics,1924,SUI,27
1582,Athletics,1924,SWE,57
1583,Athletics,1924,TCH,23
1584,Athletics,1924,TUR,5
1585,Athletics,1924,USA,112
1586,Athletics,1924,YUG,6
1587,Athletics,1928,ARG,12
1588,Athletics,1928,AUS,13
1589,Athletics,1928,AUT,7
1590,Athletics,1928,BEL,53
1591,Athletics,1928,CAN,53
1592,Athletics,1928,CHI,10
1593,Athletics,1928,CUB,1
1594,Athletics,1928,DEN,14
1595,Athletics,1928,ESP,18
1596,Athletics,1928,EST,5
1597,Athletics,1928,FIN,48
1598,Athletics,1928,FRA,71
1599,Athletics,1928,GBR,65
