lindex,Sport,Year,Country,count
3978,Badminton,1992,AUS,4
3979,Badminton,1992,AUT,4
3980,Badminton,1992,BEL,1
3981,Badminton,1992,BUL,11
3982,Badminton,1992,CAN,11
3983,Badminton,1992,CHN,13
3984,Badminton,1992,DEN,12
3985,Badminton,1992,ESP,2
3986,Badminton,1992,EUN,2
3987,Badminton,1992,FIN,2
3988,Badminton,1992,FRA,6
3989,Badminton,1992,GBR,12
3990,Badminton,1992,GER,7
3991,Badminton,1992,HKG,5
3992,Badminton,1992,HUN,5
3993,Badminton,1992,INA,13
3994,Badminton,1992,IND,5
3995,Badminton,1992,ISL,5
3996,Badminton,1992,JPN,14
3997,Badminton,1992,KOR,12
3998,Badminton,1992,MAS,6
3999,Badminton,1992,MRI,5
4000,Badminton,1992,NED,5
4001,Badminton,1992,NOR,1
4002,Badminton,1992,NZL,7
4003,Badminton,1992,POL,8
4004,Badminton,1992,POR,4
4005,Badminton,1992,ROU,1
4006,Badminton,1992,RSA,4
4007,Badminton,1992,SGP,5
4008,Badminton,1992,SRI,1
4009,Badminton,1992,SUI,4
4010,Badminton,1992,SWE,10
4011,Badminton,1992,TCH,2
4012,Badminton,1992,THA,8
4013,Badminton,1992,USA,9
4014,Badminton,1996,AUS,13
4015,Badminton,1996,AUT,1
4016,Badminton,1996,BLR,4
4017,Badminton,1996,BUL,6
4018,Badminton,1996,CAN,16
4019,Badminton,1996,CHN,22
4020,Badminton,1996,DEN,22
4021,Badminton,1996,FIN,2
4022,Badminton,1996,FRA,2
4023,Badminton,1996,GBR,22
4024,Badminton,1996,GER,8
4025,Badminton,1996,GUA,1
4026,Badminton,1996,HKG,4
4027,Badminton,1996,HUN,1
4028,Badminton,1996,INA,20
4029,Badminton,1996,IND,2
4030,Badminton,1996,ISL,1
4031,Badminton,1996,JPN,7
4032,Badminton,1996,KOR,20
4033,Badminton,1996,MAS,7
4034,Badminton,1996,MRI,12
4035,Badminton,1996,NED,7
4036,Badminton,1996,NGR,4
4037,Badminton,1996,NZL,3
4038,Badminton,1996,PER,1
4039,Badminton,1996,PHI,1
4040,Badminton,1996,POL,1
4041,Badminton,1996,RUS,10
4042,Badminton,1996,SGP,1
4043,Badminton,1996,SUI,4
4044,Badminton,1996,SUR,1
4045,Badminton,1996,SWE,13
4046,Badminton,1996,THA,7
4047,Badminton,1996,TPE,6
4048,Badminton,1996,TTO,1
4049,Badminton,1996,UKR,6
4050,Badminton,1996,USA,4
4051,Badminton,2000,AUS,16
4052,Badminton,2000,BEL,1
4053,Badminton,2000,BUL,7
4054,Badminton,2000,CAN,14
4055,Badminton,2000,CHN,20
4056,Badminton,2000,DEN,23
