lindex,Sport,Year,Country,count
4298,Basketball,1936,BEL,8
4299,Basketball,1936,BRA,8
4300,Basketball,1936,CAN,9
4301,Basketball,1936,CHI,7
4302,Basketball,1936,CHN,13
4303,Basketball,1936,EGY,7
4304,Basketball,1936,EST,8
4305,Basketball,1936,FRA,11
4306,Basketball,1936,GER,10
4307,Basketball,1936,ITA,13
4308,Basketball,1936,JPN,8
4309,Basketball,1936,LAT,7
4310,Basketball,1936,MEX,11
4311,Basketball,1936,PER,9
4312,Basketball,1936,PHI,9
4313,Basketball,1936,POL,10
4314,Basketball,1936,SUI,8
4315,Basketball,1936,TCH,12
4316,Basketball,1936,TUR,8
4317,Basketball,1936,URU,9
4318,Basketball,1936,USA,14
4319,Basketball,1948,ARG,14
4320,Basketball,1948,BEL,14
4321,Basketball,1948,BRA,10
4322,Basketball,1948,CAN,14
4323,Basketball,1948,CHI,12
4324,Basketball,1948,CHN,10
4325,Basketball,1948,CUB,13
4326,Basketball,1948,EGY,12
4327,Basketball,1948,FRA,14
4328,Basketball,1948,GBR,13
4329,Basketball,1948,HUN,12
4330,Basketball,1948,IRI,13
4331,Basketball,1948,IRL,13
4332,Basketball,1948,IRQ,10
4333,Basketball,1948,ITA,14
4334,Basketball,1948,KOR,9
4335,Basketball,1948,MEX,14
4336,Basketball,1948,PER,11
4337,Basketball,1948,PHI,10
4338,Basketball,1948,SUI,14
4339,Basketball,1948,TCH,14
4340,Basketball,1948,URU,13
4341,Basketball,1948,USA,14
4342,Basketball,1952,ARG,14
4343,Basketball,1952,BEL,12
4344,Basketball,1952,BRA,13
4345,Basketball,1952,BUL,14
4346,Basketball,1952,CAN,12
4347,Basketball,1952,CHI,13
4348,Basketball,1952,CUB,12
4349,Basketball,1952,EGY,14
4350,Basketball,1952,FIN,11
4351,Basketball,1952,FRA,14
4352,Basketball,1952,GRE,12
4353,Basketball,1952,HUN,13
4354,Basketball,1952,ISR,12
4355,Basketball,1952,ITA,13
4356,Basketball,1952,MEX,13
4357,Basketball,1952,PHI,12
4358,Basketball,1952,ROU,12
4359,Basketball,1952,SUI,14
4360,Basketball,1952,TCH,13
4361,Basketball,1952,TUR,11
4362,Basketball,1952,URS,14
4363,Basketball,1952,URU,12
4364,Basketball,1952,USA,14
4365,Basketball,1956,AUS,12
4366,Basketball,1956,BRA,12
4367,Basketball,1956,BUL,11
4368,Basketball,1956,CAN,12
4369,Basketball,1956,CHI,11
4370,Basketball,1956,FRA,12
4371,Basketball,1956,JPN,11
4372,Basketball,1956,KOR,10
4373,Basketball,1956,PHI,12
4374,Basketball,1956,SGP,10
4375,Basketball,1956,THA,9
4376,Basketball,1956,TPE,11
4377,Basketball,1956,URS,12
4378,Basketball,1956,URU,12
4379,Basketball,1956,USA,12
4380,Basketball,1960,BRA,12
4381,Basketball,1960,BUL,12
4382,Basketball,1960,ESP,12
4383,Basketball,1960,FRA,12
4384,Basketball,1960,HUN,12
4385,Basketball,1960,ITA,12
4386,Basketball,1960,JPN,12
4387,Basketball,1960,MEX,12
4388,Basketball,1960,PHI,12
4389,Basketball,1960,POL,12
4390,Basketball,1960,PUR,12
4391,Basketball,1960,TCH,12
4392,Basketball,1960,URS,12
4393,Basketball,1960,URU,12
4394,Basketball,1960,USA,12
4395,Basketball,1960,YUG,12
4396,Basketball,1964,AUS,12
4397,Basketball,1964,BRA,12
4398,Basketball,1964,CAN,11
4399,Basketball,1964,FIN,12
4400,Basketball,1964,HUN,12
4401,Basketball,1964,ITA,12
4402,Basketball,1964,JPN,12
4403,Basketball,1964,KOR,12
4404,Basketball,1964,MEX,10
4405,Basketball,1964,PER,12
4406,Basketball,1964,POL,12
4407,Basketball,1964,PUR,12
4408,Basketball,1964,URS,12
4409,Basketball,1964,URU,12
4410,Basketball,1964,USA,12
4411,Basketball,1964,YUG,12
4412,Basketball,1968,BRA,12
4413,Basketball,1968,BUL,12
4414,Basketball,1968,CUB,12
4415,Basketball,1968,ESP,12
4416,Basketball,1968,ITA,12
4417,Basketball,1968,KOR,11
4418,Basketball,1968,MAR,12
4419,Basketball,1968,MEX,12
4420,Basketball,1968,PAN,12
4421,Basketball,1968,PHI,12
4422,Basketball,1968,POL,12
4423,Basketball,1968,PUR,12
4424,Basketball,1968,SEN,12
4425,Basketball,1968,URS,12
4426,Basketball,1968,USA,12
4427,Basketball,1968,YUG,12
4428,Basketball,1972,AUS,12
4429,Basketball,1972,BRA,11
4430,Basketball,1972,CUB,12
4431,Basketball,1972,EGY,11
4432,Basketball,1972,ESP,12
4433,Basketball,1972,FRG,12
4434,Basketball,1972,ITA,12
4435,Basketball,1972,JPN,12
4436,Basketball,1972,PHI,12
4437,Basketball,1972,POL,12
4438,Basketball,1972,PUR,12
4439,Basketball,1972,SEN,12
4440,Basketball,1972,TCH,12
4441,Basketball,1972,URS,12
4442,Basketball,1972,USA,12
4443,Basketball,1972,YUG,12
4444,Basketball,1976,AUS,12
4445,Basketball,1976,BUL,12
4446,Basketball,1976,CAN,24
4447,Basketball,1976,CUB,12
4448,Basketball,1976,EGY,9
