lindex,Sport,Year,Country,count
7477,Cross Country Skiing,1924,FIN,8
7478,Cross Country Skiing,1924,FRA,8
7479,Cross Country Skiing,1924,HUN,3
7480,Cross Country Skiing,1924,ITA,8
7481,Cross Country Skiing,1924,LAT,2
7482,Cross Country Skiing,1924,NOR,8
7483,Cross Country Skiing,1924,POL,3
7484,Cross Country Skiing,1924,SUI,7
7485,Cross Country Skiing,1924,SWE,8
7486,Cross Country Skiing,1924,TCH,8
7487,Cross Country Skiing,1924,USA,4
7488,Cross Country Skiing,1924,YUG,7
7489,Cross Country Skiing,1928,AUT,1
7490,Cross Country Skiing,1928,CAN,2
7491,Cross Country Skiing,1928,FIN,8
7492,Cross Country Skiing,1928,FRA,8
7493,Cross Country Skiing,1928,GER,7
7494,Cross Country Skiing,1928,HUN,2
7495,Cross Country Skiing,1928,ITA,5
7496,Cross Country Skiing,1928,JPN,8
7497,Cross Country Skiing,1928,NOR,8
7498,Cross Country Skiing,1928,POL,7
7499,Cross Country Skiing,1928,SUI,8
7500,Cross Country Skiing,1928,SWE,8
7501,Cross Country Skiing,1928,TCH,7
7502,Cross Country Skiing,1928,USA,3
7503,Cross Country Skiing,1928,YUG,8
7504,Cross Country Skiing,1932,AUT,3
7505,Cross Country Skiing,1932,CAN,7
7506,Cross Country Skiing,1932,FIN,8
7507,Cross Country Skiing,1932,FRA,4
7508,Cross Country Skiing,1932,ITA,6
7509,Cross Country Skiing,1932,JPN,8
7510,Cross Country Skiing,1932,NOR,8
7511,Cross Country Skiing,1932,POL,6
7512,Cross Country Skiing,1932,SWE,8
7513,Cross Country Skiing,1932,TCH,8
7514,Cross Country Skiing,1932,USA,8
7515,Cross Country Skiing,1936,AUT,8
7516,Cross Country Skiing,1936,BUL,8
7517,Cross Country Skiing,1936,CAN,4
7518,Cross Country Skiing,1936,ESP,4
7519,Cross Country Skiing,1936,EST,2
7520,Cross Country Skiing,1936,FIN,12
7521,Cross Country Skiing,1936,FRA,8
7522,Cross Country Skiing,1936,GBR,1
7523,Cross Country Skiing,1936,GER,12
7524,Cross Country Skiing,1936,GRE,1
