lindex,Sport,Year,Country,count
8111,Curling,1924,FRA,4
8112,Curling,1924,GBR,4
8113,Curling,1924,SWE,8
8114,Curling,1998,CAN,10
8115,Curling,1998,DEN,5
8116,Curling,1998,GBR,10
8117,Curling,1998,GER,10
8118,Curling,1998,JPN,10
8119,Curling,1998,NOR,10
8120,Curling,1998,SUI,5
8121,Curling,1998,SWE,10
8122,Curling,1998,USA,10
8123,Curling,2002,CAN,10
8124,Curling,2002,DEN,10
8125,Curling,2002,FIN,5
8126,Curling,2002,FRA,5
8127,Curling,2002,GBR,10
8128,Curling,2002,GER,10
8129,Curling,2002,JPN,4
8130,Curling,2002,NOR,9
8131,Curling,2002,RUS,4
8132,Curling,2002,SUI,10
8133,Curling,2002,SWE,9
8134,Curling,2002,USA,10
8135,Curling,2006,CAN,10
8136,Curling,2006,DEN,4
8137,Curling,2006,FIN,4
8138,Curling,2006,GBR,10
8139,Curling,2006,GER,5
8140,Curling,2006,ITA,9
8141,Curling,2006,JPN,5
8142,Curling,2006,NOR,8
8143,Curling,2006,NZL,5
8144,Curling,2006,RUS,5
8145,Curling,2006,SUI,9
8146,Curling,2006,SWE,8
8147,Curling,2006,USA,9
8148,Curling,2010,CAN,10
8149,Curling,2010,CHN,9
8150,Curling,2010,DEN,9
8151,Curling,2010,FRA,5
8152,Curling,2010,GBR,10
8153,Curling,2010,GER,10
8154,Curling,2010,JPN,5
8155,Curling,2010,NOR,4
8156,Curling,2010,RUS,5
8157,Curling,2010,SUI,9
8158,Curling,2010,SWE,8
8159,Curling,2010,USA,9
8160,Curling,2014,CAN,8
8161,Curling,2014,CHN,8
8162,Curling,2014,DEN,8
8163,Curling,2014,GBR,8
8164,Curling,2014,GER,5
8165,Curling,2014,JPN,5
8166,Curling,2014,KOR,5
8167,Curling,2014,NOR,4
8168,Curling,2014,RUS,9
8169,Curling,2014,SUI,10
8170,Curling,2014,SWE,8
8171,Curling,2014,USA,9
