lindex,Sport,Year,Country,count
8172,Cycling,1896,AUT,4
8173,Cycling,1896,FRA,7
8174,Cycling,1896,GBR,5
8175,Cycling,1896,GER,10
8176,Cycling,1896,GRE,15
8177,Cycling,1900,BEL,1
8178,Cycling,1900,BOH,1
8179,Cycling,1900,FRA,71
8180,Cycling,1900,GBR,2
8181,Cycling,1900,GER,5
8182,Cycling,1900,ITA,10
8183,Cycling,1900,USA,2
8184,Cycling,1904,ITA,1
8185,Cycling,1904,USA,60
8186,Cycling,1906,AUT,18
8187,Cycling,1906,BEL,6
8188,Cycling,1906,DEN,2
8189,Cycling,1906,EGY,2
8190,Cycling,1906,FRA,22
8191,Cycling,1906,GBR,20
8192,Cycling,1906,GER,27
8193,Cycling,1906,GRE,22
8194,Cycling,1906,ITA,7
8195,Cycling,1906,SUI,8
8196,Cycling,1906,SWE,4
8197,Cycling,1908,BEL,12
8198,Cycling,1908,CAN,24
8199,Cycling,1908,FRA,65
8200,Cycling,1908,GBR,68
8201,Cycling,1908,GER,33
8202,Cycling,1908,GRE,2
8203,Cycling,1908,ITA,9
8204,Cycling,1908,NED,25
8205,Cycling,1908,RSA,17
8206,Cycling,1908,SWE,8
8207,Cycling,1908,USA,6
8208,Cycling,1912,AUT,12
8209,Cycling,1912,BEL,1
8210,Cycling,1912,BOH,10
8211,Cycling,1912,CAN,2
8212,Cycling,1912,CHI,8
8213,Cycling,1912,DEN,16
8214,Cycling,1912,FIN,10
8215,Cycling,1912,FRA,24
8216,Cycling,1912,GBR,52
8217,Cycling,1912,GER,22
8218,Cycling,1912,HUN,10
8219,Cycling,1912,NOR,12
8220,Cycling,1912,RSA,1
8221,Cycling,1912,RUS,20
8222,Cycling,1912,SWE,24
8223,Cycling,1912,USA,18
8224,Cycling,1920,AUS,3
8225,Cycling,1920,BEL,24
8226,Cycling,1920,CAN,20
8227,Cycling,1920,DEN,12
8228,Cycling,1920,FRA,21
8229,Cycling,1920,GBR,26
8230,Cycling,1920,ITA,20
8231,Cycling,1920,LUX,2
8232,Cycling,1920,NED,24
8233,Cycling,1920,NOR,8
8234,Cycling,1920,RSA,16
8235,Cycling,1920,SWE,8
8236,Cycling,1920,TCH,8
8237,Cycling,1920,USA,20
8238,Cycling,1924,ARG,14
8239,Cycling,1924,AUS,6
8240,Cycling,1924,BEL,18
8241,Cycling,1924,BUL,11
8242,Cycling,1924,CAN,2
8243,Cycling,1924,CHI,6
8244,Cycling,1924,DEN,12
8245,Cycling,1924,EGY,5
8246,Cycling,1924,FIN,8
8247,Cycling,1924,FRA,18
8248,Cycling,1924,GBR,18
8249,Cycling,1924,HUN,6
8250,Cycling,1924,ITA,17
8251,Cycling,1924,LAT,6
8252,Cycling,1924,LTU,2
8253,Cycling,1924,LUX,9
8254,Cycling,1924,NED,18
8255,Cycling,1924,POL,16
8256,Cycling,1924,RSA,2
8257,Cycling,1924,SUI,13
8258,Cycling,1924,SWE,8
8259,Cycling,1924,TCH,15
8260,Cycling,1924,USA,11
8261,Cycling,1924,YUG,8
8262,Cycling,1928,ARG,10
8263,Cycling,1928,AUS,2
8264,Cycling,1928,AUT,4
8265,Cycling,1928,BEL,14
8266,Cycling,1928,CAN,13
8267,Cycling,1928,CHI,6
8268,Cycling,1928,DEN,10
8269,Cycling,1928,ESP,1
8270,Cycling,1928,FIN,1
8271,Cycling,1928,FRA,16
8272,Cycling,1928,GBR,16
8273,Cycling,1928,GER,12
8274,Cycling,1928,IRL,3
8275,Cycling,1928,ITA,16
8276,Cycling,1928,LAT,5
8277,Cycling,1928,LTU,4
8278,Cycling,1928,LUX,7
8279,Cycling,1928,NED,16
8280,Cycling,1928,NOR,4
8281,Cycling,1928,POL,16
