lindex,Sport,Year,Country,count
9303,Diving,1904,GER,3
9304,Diving,1904,USA,2
9305,Diving,1906,AUT,1
9306,Diving,1906,GBR,2
9307,Diving,1906,GER,4
9308,Diving,1906,GRE,3
9309,Diving,1906,ITA,2
9310,Diving,1906,SWE,11
9311,Diving,1906,USA,1
9312,Diving,1908,ANZ,1
9313,Diving,1908,BEL,1
9314,Diving,1908,CAN,1
9315,Diving,1908,FIN,3
9316,Diving,1908,GBR,17
9317,Diving,1908,GER,7
9318,Diving,1908,ITA,1
9319,Diving,1908,SWE,12
9320,Diving,1908,USA,4
9321,Diving,1912,AUT,1
9322,Diving,1912,CAN,3
9323,Diving,1912,FIN,11
9324,Diving,1912,GBR,4
9325,Diving,1912,GER,11
9326,Diving,1912,ITA,2
9327,Diving,1912,NOR,4
9328,Diving,1912,RUS,1
9329,Diving,1912,SWE,43
9330,Diving,1912,USA,6
9331,Diving,1920,AUS,1
9332,Diving,1920,BEL,3
9333,Diving,1920,BRA,3
9334,Diving,1920,CAN,3
9335,Diving,1920,DEN,6
9336,Diving,1920,FIN,4
9337,Diving,1920,FRA,1
9338,Diving,1920,GBR,5
9339,Diving,1920,ITA,2
9340,Diving,1920,JPN,1
9341,Diving,1920,NOR,5
9342,Diving,1920,SUI,1
9343,Diving,1920,SWE,16
9344,Diving,1920,USA,19
9345,Diving,1924,AUS,2
9346,Diving,1924,AUT,3
9347,Diving,1924,BEL,3
9348,Diving,1924,DEN,5
9349,Diving,1924,ESP,5
9350,Diving,1924,FIN,6
9351,Diving,1924,FRA,12
9352,Diving,1924,GBR,13
9353,Diving,1924,ITA,1
9354,Diving,1924,NED,8
9355,Diving,1924,SUI,1
9356,Diving,1924,SWE,14
9357,Diving,1924,TCH,2
9358,Diving,1924,USA,15
9359,Diving,1928,AUS,2
9360,Diving,1928,AUT,3
9361,Diving,1928,CAN,2
9362,Diving,1928,DEN,1
9363,Diving,1928,EGY,3
9364,Diving,1928,FIN,2
9365,Diving,1928,FRA,5
9366,Diving,1928,GBR,7
9367,Diving,1928,GER,11
9368,Diving,1928,ITA,3
9369,Diving,1928,JPN,1
9370,Diving,1928,MEX,1
9371,Diving,1928,NED,10
9372,Diving,1928,SUI,1
