lindex,Sport,Year,Country,count
12242,Freestyle Skiing,1992,ARG,1
12243,Freestyle Skiing,1992,AUS,2
12244,Freestyle Skiing,1992,CAN,7
12245,Freestyle Skiing,1992,ESP,2
12246,Freestyle Skiing,1992,EUN,8
12247,Freestyle Skiing,1992,FIN,4
12248,Freestyle Skiing,1992,FRA,6
12249,Freestyle Skiing,1992,GBR,5
12250,Freestyle Skiing,1992,GER,4
12251,Freestyle Skiing,1992,ITA,6
12252,Freestyle Skiing,1992,JPN,1
12253,Freestyle Skiing,1992,LAT,2
12254,Freestyle Skiing,1992,NOR,2
12255,Freestyle Skiing,1992,PUR,2
12256,Freestyle Skiing,1992,SLO,2
12257,Freestyle Skiing,1992,SUI,5
12258,Freestyle Skiing,1992,SWE,4
12259,Freestyle Skiing,1992,USA,8
12260,Freestyle Skiing,1994,AUS,5
12261,Freestyle Skiing,1994,AUT,1
12262,Freestyle Skiing,1994,BLR,4
12263,Freestyle Skiing,1994,CAN,12
12264,Freestyle Skiing,1994,CHN,2
12265,Freestyle Skiing,1994,ESP,2
12266,Freestyle Skiing,1994,FIN,3
12267,Freestyle Skiing,1994,FRA,8
12268,Freestyle Skiing,1994,GBR,3
12269,Freestyle Skiing,1994,GER,5
12270,Freestyle Skiing,1994,ITA,6
12271,Freestyle Skiing,1994,JPN,3
12272,Freestyle Skiing,1994,KAZ,1
12273,Freestyle Skiing,1994,NED,1
12274,Freestyle Skiing,1994,NOR,4
12275,Freestyle Skiing,1994,RUS,6
12276,Freestyle Skiing,1994,SUI,6
12277,Freestyle Skiing,1994,SWE,8
12278,Freestyle Skiing,1994,UKR,3
12279,Freestyle Skiing,1994,USA,13
12280,Freestyle Skiing,1994,UZB,3
12281,Freestyle Skiing,1998,ARM,1
12282,Freestyle Skiing,1998,AUS,5
12283,Freestyle Skiing,1998,AUT,2
12284,Freestyle Skiing,1998,BLR,6
12285,Freestyle Skiing,1998,CAN,12
12286,Freestyle Skiing,1998,CHN,5
12287,Freestyle Skiing,1998,CZE,1
12288,Freestyle Skiing,1998,DEN,1
12289,Freestyle Skiing,1998,FIN,4
12290,Freestyle Skiing,1998,FRA,7
12291,Freestyle Skiing,1998,GBR,3
12292,Freestyle Skiing,1998,GER,3
12293,Freestyle Skiing,1998,ITA,2
12294,Freestyle Skiing,1998,JPN,7
12295,Freestyle Skiing,1998,KAZ,2
12296,Freestyle Skiing,1998,NOR,2
12297,Freestyle Skiing,1998,NZL,2
12298,Freestyle Skiing,1998,POR,1
12299,Freestyle Skiing,1998,RUS,9
12300,Freestyle Skiing,1998,SLO,1
12301,Freestyle Skiing,1998,SUI,4
12302,Freestyle Skiing,1998,SWE,8
12303,Freestyle Skiing,1998,UKR,7
12304,Freestyle Skiing,1998,USA,14
12305,Freestyle Skiing,1998,UZB,1
12306,Freestyle Skiing,2002,ARG,1
12307,Freestyle Skiing,2002,AUS,7
12308,Freestyle Skiing,2002,AUT,1
12309,Freestyle Skiing,2002,BLR,5
12310,Freestyle Skiing,2002,CAN,14
12311,Freestyle Skiing,2002,CHN,7
12312,Freestyle Skiing,2002,CZE,2
12313,Freestyle Skiing,2002,DEN,1
