lindex,Sport,Year,Country,count
12406,Golf,1900,FRA,7
12407,Golf,1900,GBR,5
12408,Golf,1900,GRE,1
12409,Golf,1900,USA,9
12410,Golf,1904,CAN,3
12411,Golf,1904,GBR,2
12412,Golf,1904,USA,100
12413,Golf,2016,ARG,2
12414,Golf,2016,AUS,4
12415,Golf,2016,AUT,2
12416,Golf,2016,BAN,1
12417,Golf,2016,BEL,3
12418,Golf,2016,BRA,3
12419,Golf,2016,CAN,4
12420,Golf,2016,CHI,1
12421,Golf,2016,CHN,4
12422,Golf,2016,COL,1
12423,Golf,2016,CZE,1
12424,Golf,2016,DEN,4
12425,Golf,2016,ESP,4
12426,Golf,2016,FIN,4
12427,Golf,2016,FRA,4
12428,Golf,2016,GBR,4
12429,Golf,2016,GER,4
12430,Golf,2016,HKG,1
12431,Golf,2016,IND,3
12432,Golf,2016,IRL,4
12433,Golf,2016,ISR,1
12434,Golf,2016,ITA,4
12435,Golf,2016,JPN,4
12436,Golf,2016,KOR,6
12437,Golf,2016,MAR,1
12438,Golf,2016,MAS,4
12439,Golf,2016,MEX,3
12440,Golf,2016,NED,1
12441,Golf,2016,NOR,3
12442,Golf,2016,NZL,3
12443,Golf,2016,PAR,2
12444,Golf,2016,PHI,1
12445,Golf,2016,POR,2
12446,Golf,2016,RSA,4
12447,Golf,2016,RUS,1
12448,Golf,2016,SUI,2
12449,Golf,2016,SWE,4
12450,Golf,2016,THA,4
12451,Golf,2016,TPE,4
12452,Golf,2016,USA,7
12453,Golf,2016,VEN,1
