lindex,Sport,Year,Country,count
13627,Ice Hockey,1920,BEL,7
13628,Ice Hockey,1920,CAN,8
13629,Ice Hockey,1920,FRA,7
13630,Ice Hockey,1920,SUI,8
13631,Ice Hockey,1920,SWE,11
13632,Ice Hockey,1920,TCH,8
13633,Ice Hockey,1920,USA,11
13634,Ice Hockey,1924,BEL,10
13635,Ice Hockey,1924,CAN,9
13636,Ice Hockey,1924,FRA,12
13637,Ice Hockey,1924,GBR,10
13638,Ice Hockey,1924,SUI,11
13639,Ice Hockey,1924,SWE,10
13640,Ice Hockey,1924,TCH,11
13641,Ice Hockey,1924,USA,9
13642,Ice Hockey,1928,AUT,12
13643,Ice Hockey,1928,BEL,13
13644,Ice Hockey,1928,CAN,12
13645,Ice Hockey,1928,FRA,12
13646,Ice Hockey,1928,GBR,12
13647,Ice Hockey,1928,GER,10
13648,Ice Hockey,1928,HUN,10
13649,Ice Hockey,1928,POL,9
13650,Ice Hockey,1928,SUI,12
13651,Ice Hockey,1928,SWE,12
13652,Ice Hockey,1928,TCH,10
13653,Ice Hockey,1932,CAN,14
13654,Ice Hockey,1932,GER,10
13655,Ice Hockey,1932,POL,10
13656,Ice Hockey,1932,USA,14
13657,Ice Hockey,1936,AUT,12
13658,Ice Hockey,1936,BEL,10
13659,Ice Hockey,1936,CAN,13
13660,Ice Hockey,1936,FRA,11
13661,Ice Hockey,1936,GBR,12
13662,Ice Hockey,1936,GER,12
13663,Ice Hockey,1936,HUN,13
13664,Ice Hockey,1936,ITA,10
13665,Ice Hockey,1936,JPN,9
13666,Ice Hockey,1936,LAT,11
13667,Ice Hockey,1936,POL,11
13668,Ice Hockey,1936,SUI,12
13669,Ice Hockey,1936,SWE,13
13670,Ice Hockey,1936,TCH,13
13671,Ice Hockey,1936,USA,11
13672,Ice Hockey,1948,AUT,15
13673,Ice Hockey,1948,CAN,12
13674,Ice Hockey,1948,GBR,14
13675,Ice Hockey,1948,ITA,17
13676,Ice Hockey,1948,POL,17
13677,Ice Hockey,1948,SUI,17
13678,Ice Hockey,1948,SWE,16
13679,Ice Hockey,1948,TCH,17
13680,Ice Hockey,1948,USA,14
13681,Ice Hockey,1952,CAN,16
13682,Ice Hockey,1952,FIN,17
13683,Ice Hockey,1952,GER,15
13684,Ice Hockey,1952,NOR,17
13685,Ice Hockey,1952,POL,16
13686,Ice Hockey,1952,SUI,17
13687,Ice Hockey,1952,SWE,17
13688,Ice Hockey,1952,TCH,17
13689,Ice Hockey,1952,USA,15
13690,Ice Hockey,1956,AUT,17
13691,Ice Hockey,1956,CAN,17
13692,Ice Hockey,1956,GER,17
13693,Ice Hockey,1956,ITA,16
13694,Ice Hockey,1956,POL,17
13695,Ice Hockey,1956,SUI,17
13696,Ice Hockey,1956,SWE,17
13697,Ice Hockey,1956,TCH,17
13698,Ice Hockey,1956,URS,17
13699,Ice Hockey,1956,USA,17
13700,Ice Hockey,1960,AUS,17
