lindex,Sport,Year,Country,count
13894,Judo,1964,ARG,3
13895,Judo,1964,AUS,4
13896,Judo,1964,AUT,3
13897,Judo,1964,BRA,1
13898,Judo,1964,CAN,1
13899,Judo,1964,CRC,2
13900,Judo,1964,FRA,4
13901,Judo,1964,GBR,4
13902,Judo,1964,GER,4
13903,Judo,1964,IRL,1
13904,Judo,1964,ITA,2
13905,Judo,1964,JPN,4
13906,Judo,1964,KOR,4
13907,Judo,1964,MAS,1
13908,Judo,1964,MEX,3
13909,Judo,1964,NED,4
13910,Judo,1964,PAN,1
13911,Judo,1964,PHI,4
13912,Judo,1964,POR,1
13913,Judo,1964,SUI,1
13914,Judo,1964,THA,3
13915,Judo,1964,TPE,4
13916,Judo,1964,TUN,1
13917,Judo,1964,URS,4
13918,Judo,1964,USA,4
13919,Judo,1964,VEN,1
13920,Judo,1964,VNM,3
13921,Judo,1972,ARG,2
13922,Judo,1972,AUS,5
13923,Judo,1972,AUT,6
13924,Judo,1972,BEL,4
13925,Judo,1972,BRA,3
13926,Judo,1972,CAN,6
13927,Judo,1972,CRC,1
13928,Judo,1972,CUB,3
13929,Judo,1972,DOM,2
13930,Judo,1972,ESP,2
13931,Judo,1972,FIN,1
13932,Judo,1972,FRA,6
13933,Judo,1972,FRG,6
13934,Judo,1972,GBR,6
13935,Judo,1972,GDR,6
13936,Judo,1972,HKG,1
13937,Judo,1972,HUN,6
13938,Judo,1972,IRL,6
13939,Judo,1972,ITA,2
13940,Judo,1972,JPN,6
13941,Judo,1972,KOR,4
13942,Judo,1972,LIB,2
13943,Judo,1972,LIE,2
13944,Judo,1972,MAD,4
13945,Judo,1972,MAR,4
13946,Judo,1972,MEX,4
13947,Judo,1972,MGL,6
13948,Judo,1972,MLI,2
13949,Judo,1972,NCA,1
13950,Judo,1972,NED,4
13951,Judo,1972,NZL,1
13952,Judo,1972,PHI,4
13953,Judo,1972,POL,4
13954,Judo,1972,POR,2
13955,Judo,1972,PRK,1
13956,Judo,1972,PUR,3
13957,Judo,1972,SEN,6
13958,Judo,1972,SUI,6
13959,Judo,1972,SUR,1
13960,Judo,1972,SWE,1
13961,Judo,1972,TCH,2
13962,Judo,1972,THA,1
13963,Judo,1972,TPE,5
13964,Judo,1972,URS,6
13965,Judo,1972,USA,6
13966,Judo,1972,YUG,4
13967,Judo,1976,AHO,2
13968,Judo,1976,ARG,3
13969,Judo,1976,AUS,3
13970,Judo,1976,AUT,5
13971,Judo,1976,BEL,2
13972,Judo,1976,BRA,3
13973,Judo,1976,BUL,4
13974,Judo,1976,CAN,5
13975,Judo,1976,CUB,3
13976,Judo,1976,ECU,2
13977,Judo,1976,ESP,2
13978,Judo,1976,FIN,2
13979,Judo,1976,FRA,6
13980,Judo,1976,FRG,5
13981,Judo,1976,GBR,6
13982,Judo,1976,GDR,4
13983,Judo,1976,HKG,1
13984,Judo,1976,HUN,6
13985,Judo,1976,ISL,2
13986,Judo,1976,ISR,1
13987,Judo,1976,ITA,3
13988,Judo,1976,JPN,6
13989,Judo,1976,KOR,5
13990,Judo,1976,KUW,4
13991,Judo,1976,LIB,1
13992,Judo,1976,LIE,4
13993,Judo,1976,MEX,1
13994,Judo,1976,MGL,5
13995,Judo,1976,NCA,2
13996,Judo,1976,PAN,1
13997,Judo,1976,POL,6
13998,Judo,1976,POR,2
13999,Judo,1976,PRK,4
14000,Judo,1976,PUR,6
14001,Judo,1976,SEN,6
14002,Judo,1976,SGP,1
14003,Judo,1976,SUI,2
14004,Judo,1976,SUR,1
14005,Judo,1976,SWE,2
14006,Judo,1976,TCH,2
14007,Judo,1976,THA,1
14008,Judo,1976,TUR,3
14009,Judo,1976,URS,6
14010,Judo,1976,USA,6
14011,Judo,1976,VEN,2
14012,Judo,1976,YUG,5
14013,Judo,1980,ALG,3
14014,Judo,1980,AUS,3
14015,Judo,1980,AUT,5
14016,Judo,1980,BEL,2
14017,Judo,1980,BRA,8
14018,Judo,1980,BUL,5
14019,Judo,1980,CMR,5
14020,Judo,1980,CRC,3
14021,Judo,1980,CUB,6
14022,Judo,1980,CYP,5
14023,Judo,1980,ECU,2
14024,Judo,1980,ESP,2
14025,Judo,1980,FIN,3
14026,Judo,1980,FRA,8
14027,Judo,1980,GBR,8
14028,Judo,1980,GDR,7
14029,Judo,1980,GUI,3
14030,Judo,1980,HUN,8
14031,Judo,1980,IRL,2
14032,Judo,1980,ISL,2
14033,Judo,1980,ITA,1
14034,Judo,1980,KUW,5
14035,Judo,1980,LIB,2
14036,Judo,1980,MAD,2
14037,Judo,1980,MEX,2
14038,Judo,1980,MGL,8
14039,Judo,1980,MLI,3
14040,Judo,1980,NED,3
14041,Judo,1980,POL,8
14042,Judo,1980,POR,3
14043,Judo,1980,PRK,5
14044,Judo,1980,ROU,8
14045,Judo,1980,SEN,8
14046,Judo,1980,SMR,2
14047,Judo,1980,SUI,4
14048,Judo,1980,SWE,4
14049,Judo,1980,SYR,7
14050,Judo,1980,TCH,5
14051,Judo,1980,URS,8
14052,Judo,1980,YUG,6
14053,Judo,1980,ZAM,6
14054,Judo,1980,ZIM,3
14055,Judo,1984,ARG,4
14056,Judo,1984,AUS,3
14057,Judo,1984,AUT,4
14058,Judo,1984,BEL,2
14059,Judo,1984,BOL,1
14060,Judo,1984,BRA,7
14061,Judo,1984,CAN,8
14062,Judo,1984,CGO,3
14063,Judo,1984,CHI,1
14064,Judo,1984,CHN,5
14065,Judo,1984,CIV,2
14066,Judo,1984,CMR,6
14067,Judo,1984,CRC,4
14068,Judo,1984,CYP,2
14069,Judo,1984,DEN,1
14070,Judo,1984,DOM,2
14071,Judo,1984,ECU,1
14072,Judo,1984,EGY,6
14073,Judo,1984,ESA,2
14074,Judo,1984,ESP,6
14075,Judo,1984,FIJ,2
14076,Judo,1984,FIN,3
14077,Judo,1984,FRA,8
14078,Judo,1984,FRG,8
14079,Judo,1984,GBR,8
14080,Judo,1984,GUI,1
14081,Judo,1984,HKG,4
14082,Judo,1984,HON,1
14083,Judo,1984,IRL,1
14084,Judo,1984,ISL,2
14085,Judo,1984,ISR,2
14086,Judo,1984,ITA,5
14087,Judo,1984,JPN,8
14088,Judo,1984,KOR,8
14089,Judo,1984,KUW,5
14090,Judo,1984,LIB,3
14091,Judo,1984,LIE,2
14092,Judo,1984,MAR,3
14093,Judo,1984,MEX,4
14094,Judo,1984,MLI,1
14095,Judo,1984,MON,1
14096,Judo,1984,NED,3
14097,Judo,1984,NOR,3
14098,Judo,1984,NZL,3
14099,Judo,1984,PAR,1
14100,Judo,1984,PER,1
14101,Judo,1984,POR,4
14102,Judo,1984,PUR,2
14103,Judo,1984,ROU,3
14104,Judo,1984,SEN,6
14105,Judo,1984,SMR,2
14106,Judo,1984,SUI,2
14107,Judo,1984,SUR,1
14108,Judo,1984,SWE,4
14109,Judo,1984,TPE,4
14110,Judo,1984,TUN,3
14111,Judo,1984,TUR,3
14112,Judo,1984,USA,8
14113,Judo,1984,VEN,1
14114,Judo,1984,YUG,5
14115,Judo,1984,ZAM,3
14116,Judo,1988,ALG,5
14117,Judo,1988,ANG,7
14118,Judo,1988,ARG,3
