lindex,Sport,Year,Country,count
14917,Luge,1964,ARG,1
14918,Luge,1964,AUT,11
14919,Luge,1964,CAN,1
14920,Luge,1964,GBR,2
14921,Luge,1964,GER,11
14922,Luge,1964,ITA,10
14923,Luge,1964,LIE,3
14924,Luge,1964,NOR,5
14925,Luge,1964,POL,11
14926,Luge,1964,SUI,11
14927,Luge,1964,TCH,10
14928,Luge,1964,USA,9
14929,Luge,1968,AUT,11
14930,Luge,1968,CAN,7
14931,Luge,1968,ESP,4
14932,Luge,1968,FRA,7
14933,Luge,1968,FRG,11
14934,Luge,1968,GBR,2
14935,Luge,1968,GDR,11
14936,Luge,1968,ITA,11
14937,Luge,1968,LIE,3
14938,Luge,1968,NOR,2
14939,Luge,1968,POL,11
14940,Luge,1968,SWE,7
14941,Luge,1968,TCH,10
14942,Luge,1968,USA,9
14943,Luge,1972,AUT,11
14944,Luge,1972,CAN,6
14945,Luge,1972,FRA,1
14946,Luge,1972,FRG,11
14947,Luge,1972,GBR,8
14948,Luge,1972,GDR,11
14949,Luge,1972,ITA,10
14950,Luge,1972,JPN,11
14951,Luge,1972,LIE,1
14952,Luge,1972,NOR,5
14953,Luge,1972,POL,11
14954,Luge,1972,URS,11
14955,Luge,1972,USA,10
14956,Luge,1976,AUT,10
14957,Luge,1976,CAN,10
14958,Luge,1976,FRA,1
14959,Luge,1976,FRG,9
14960,Luge,1976,GBR,7
14961,Luge,1976,GDR,10
14962,Luge,1976,ITA,9
14963,Luge,1976,JPN,6
14964,Luge,1976,LIE,5
14965,Luge,1976,NOR,7
14966,Luge,1976,POL,10
14967,Luge,1976,SWE,7
14968,Luge,1976,TCH,6
14969,Luge,1976,TPE,4
14970,Luge,1976,URS,8
14971,Luge,1976,USA,10
14972,Luge,1980,AUT,10
14973,Luge,1980,CAN,4
14974,Luge,1980,FRG,9
14975,Luge,1980,GBR,9
14976,Luge,1980,GDR,10
14977,Luge,1980,ITA,10
14978,Luge,1980,JPN,4
14979,Luge,1980,LIE,4
14980,Luge,1980,ROU,4
14981,Luge,1980,SUI,2
14982,Luge,1980,SWE,5
14983,Luge,1980,TCH,5
14984,Luge,1980,URS,8
14985,Luge,1980,USA,10
14986,Luge,1984,AUT,8
14987,Luge,1984,CAN,2
14988,Luge,1984,FRG,8
14989,Luge,1984,GBR,4
14990,Luge,1984,GDR,10
14991,Luge,1984,ITA,10
14992,Luge,1984,JPN,6
14993,Luge,1984,LIE,1
14994,Luge,1984,NOR,2
14995,Luge,1984,PUR,1
14996,Luge,1984,ROU,4
14997,Luge,1984,SWE,2
14998,Luge,1984,TCH,5
14999,Luge,1984,TPE,3
15000,Luge,1984,URS,10
15001,Luge,1984,USA,10
15002,Luge,1984,YUG,3
15003,Luge,1988,AHO,1
15004,Luge,1988,ARG,1
15005,Luge,1988,AUT,8
15006,Luge,1988,BUL,3
15007,Luge,1988,CAN,9
15008,Luge,1988,ESP,1
15009,Luge,1988,FRA,1
15010,Luge,1988,FRG,8
15011,Luge,1988,GBR,6
15012,Luge,1988,GDR,10
15013,Luge,1988,ISV,1
15014,Luge,1988,ITA,10
15015,Luge,1988,JPN,6
15016,Luge,1988,LIE,1
15017,Luge,1988,PHI,1
15018,Luge,1988,PUR,2
15019,Luge,1988,ROU,1
15020,Luge,1988,SWE,2
15021,Luge,1988,TCH,4
15022,Luge,1988,TPE,2
15023,Luge,1988,URS,10
15024,Luge,1988,USA,10
15025,Luge,1992,ARG,1
15026,Luge,1992,AUS,1
15027,Luge,1992,AUT,8
15028,Luge,1992,BER,1
15029,Luge,1992,BUL,3
15030,Luge,1992,CAN,7
15031,Luge,1992,ESP,1
15032,Luge,1992,EUN,10
15033,Luge,1992,FRA,5
15034,Luge,1992,GBR,2
15035,Luge,1992,GER,10
15036,Luge,1992,ISV,2
15037,Luge,1992,ITA,9
15038,Luge,1992,JPN,3
15039,Luge,1992,LAT,6
15040,Luge,1992,NOR,2
15041,Luge,1992,POL,2
15042,Luge,1992,ROU,4
15043,Luge,1992,SWE,3
15044,Luge,1992,TCH,6
15045,Luge,1992,USA,10
15046,Luge,1992,YUG,2
15047,Luge,1994,AUS,1
15048,Luge,1994,AUT,8
15049,Luge,1994,BER,1
15050,Luge,1994,BIH,2
15051,Luge,1994,BUL,2
15052,Luge,1994,CAN,3
15053,Luge,1994,EST,1
15054,Luge,1994,GBR,1
15055,Luge,1994,GEO,2
15056,Luge,1994,GER,10
15057,Luge,1994,GRE,2
15058,Luge,1994,ISV,2
15059,Luge,1994,ITA,9
15060,Luge,1994,JPN,5
15061,Luge,1994,LAT,9
15062,Luge,1994,LIE,1
15063,Luge,1994,NOR,3
15064,Luge,1994,POL,2
15065,Luge,1994,ROU,4
15066,Luge,1994,RUS,9
15067,Luge,1994,SUI,1
15068,Luge,1994,SVK,2
15069,Luge,1994,SWE,5
15070,Luge,1994,UKR,3
15071,Luge,1994,USA,10
15072,Luge,1998,AUT,8
15073,Luge,1998,BER,1
15074,Luge,1998,BIH,1
15075,Luge,1998,CAN,2
15076,Luge,1998,EST,2
15077,Luge,1998,GER,10
15078,Luge,1998,GRE,1
15079,Luge,1998,IND,1
15080,Luge,1998,ISV,1
15081,Luge,1998,ITA,10
15082,Luge,1998,JPN,6
15083,Luge,1998,KOR,3
15084,Luge,1998,LAT,10
15085,Luge,1998,NZL,1
15086,Luge,1998,POL,2
15087,Luge,1998,ROU,4
15088,Luge,1998,RUS,8
15089,Luge,1998,SUI,1
15090,Luge,1998,SVK,1
15091,Luge,1998,SWE,5
15092,Luge,1998,TPE,2
15093,Luge,1998,UKR,6
15094,Luge,1998,USA,10
15095,Luge,1998,VEN,1
15096,Luge,2002,ARG,2
15097,Luge,2002,AUT,10
15098,Luge,2002,BER,1
15099,Luge,2002,BRA,2
15100,Luge,2002,CAN,8
15101,Luge,2002,CZE,2
15102,Luge,2002,FRA,3
15103,Luge,2002,GBR,1
15104,Luge,2002,GER,10
15105,Luge,2002,IND,1
15106,Luge,2002,ISV,2
15107,Luge,2002,ITA,10
15108,Luge,2002,JPN,4
15109,Luge,2002,KOR,3
15110,Luge,2002,LAT,8
15111,Luge,2002,MDA,1
15112,Luge,2002,NZL,1
15113,Luge,2002,ROU,7
15114,Luge,2002,RUS,10
15115,Luge,2002,SUI,2
15116,Luge,2002,SVK,5
15117,Luge,2002,SWE,4
15118,Luge,2002,TPE,2
15119,Luge,2002,UKR,4
15120,Luge,2002,USA,10
15121,Luge,2002,VEN,4
15122,Luge,2006,ARG,1
15123,Luge,2006,AUS,1
15124,Luge,2006,AUT,10
15125,Luge,2006,BUL,1
15126,Luge,2006,CAN,10
15127,Luge,2006,CZE,4
15128,Luge,2006,GBR,2
15129,Luge,2006,GER,10
15130,Luge,2006,IND,1
15131,Luge,2006,ITA,9
15132,Luge,2006,JPN,5
15133,Luge,2006,KOR,1
15134,Luge,2006,LAT,8
15135,Luge,2006,MDA,1
15136,Luge,2006,POL,3
15137,Luge,2006,ROU,4
15138,Luge,2006,RUS,10
15139,Luge,2006,SLO,1
15140,Luge,2006,SUI,2
15141,Luge,2006,SVK,6
15142,Luge,2006,TPE,1
15143,Luge,2006,UKR,6
15144,Luge,2006,USA,10
15145,Luge,2006,VEN,1
15146,Luge,2010,ARG,1
15147,Luge,2010,AUS,1
15148,Luge,2010,AUT,9
15149,Luge,2010,BUL,2
15150,Luge,2010,CAN,10
15151,Luge,2010,CZE,4
15152,Luge,2010,FRA,1
15153,Luge,2010,GBR,1
15154,Luge,2010,GER,10
15155,Luge,2010,IND,1
15156,Luge,2010,ITA,8
15157,Luge,2010,JPN,3
15158,Luge,2010,KOR,1
15159,Luge,2010,LAT,10
15160,Luge,2010,MDA,1
15161,Luge,2010,POL,2
15162,Luge,2010,ROU,7
15163,Luge,2010,RUS,10
15164,Luge,2010,SLO,1
15165,Luge,2010,SUI,2
15166,Luge,2010,SVK,5
15167,Luge,2010,TPE,1
15168,Luge,2010,UKR,6
15169,Luge,2010,USA,10
15170,Luge,2014,AUS,1
15171,Luge,2014,AUT,14
15172,Luge,2014,BUL,1
15173,Luge,2014,CAN,12
15174,Luge,2014,CZE,8
15175,Luge,2014,FRA,1
15176,Luge,2014,GER,14
15177,Luge,2014,IOA,1
15178,Luge,2014,ITA,14
15179,Luge,2014,JPN,1
15180,Luge,2014,KAZ,1
15181,Luge,2014,KOR,8
15182,Luge,2014,LAT,13
15183,Luge,2014,MDA,1
15184,Luge,2014,NOR,3
15185,Luge,2014,POL,9
15186,Luge,2014,ROU,2
15187,Luge,2014,RUS,14
15188,Luge,2014,SUI,2
15189,Luge,2014,SVK,10
15190,Luge,2014,TGA,1
15191,Luge,2014,TPE,1
15192,Luge,2014,UKR,10
15193,Luge,2014,USA,14
