lindex,Sport,Year,Country,count
15200,Modern Pentathlon,1912,AUT,1
15201,Modern Pentathlon,1912,DEN,4
15202,Modern Pentathlon,1912,FRA,2
15203,Modern Pentathlon,1912,GBR,3
15204,Modern Pentathlon,1912,GER,1
15205,Modern Pentathlon,1912,NED,1
15206,Modern Pentathlon,1912,NOR,2
15207,Modern Pentathlon,1912,RUS,5
15208,Modern Pentathlon,1912,SWE,12
15209,Modern Pentathlon,1912,USA,1
15210,Modern Pentathlon,1920,DEN,4
15211,Modern Pentathlon,1920,FIN,2
15212,Modern Pentathlon,1920,FRA,4
15213,Modern Pentathlon,1920,GBR,4
15214,Modern Pentathlon,1920,ITA,1
15215,Modern Pentathlon,1920,NOR,2
15216,Modern Pentathlon,1920,SWE,4
15217,Modern Pentathlon,1920,USA,2
15218,Modern Pentathlon,1924,BEL,4
15219,Modern Pentathlon,1924,DEN,3
15220,Modern Pentathlon,1924,FIN,3
15221,Modern Pentathlon,1924,FRA,4
15222,Modern Pentathlon,1924,GBR,4
15223,Modern Pentathlon,1924,ITA,4
15224,Modern Pentathlon,1924,NED,4
15225,Modern Pentathlon,1924,NOR,2
15226,Modern Pentathlon,1924,SWE,4
15227,Modern Pentathlon,1924,TCH,2
15228,Modern Pentathlon,1924,USA,4
15229,Modern Pentathlon,1928,BEL,3
15230,Modern Pentathlon,1928,DEN,2
15231,Modern Pentathlon,1928,FIN,3
15232,Modern Pentathlon,1928,FRA,3
15233,Modern Pentathlon,1928,GBR,3
15234,Modern Pentathlon,1928,GER,3
15235,Modern Pentathlon,1928,HUN,1
15236,Modern Pentathlon,1928,ITA,3
15237,Modern Pentathlon,1928,NED,3
15238,Modern Pentathlon,1928,POL,3
15239,Modern Pentathlon,1928,POR,1
15240,Modern Pentathlon,1928,SWE,3
15241,Modern Pentathlon,1928,TCH,3
15242,Modern Pentathlon,1928,USA,3
15243,Modern Pentathlon,1932,FRA,1
15244,Modern Pentathlon,1932,GBR,3
15245,Modern Pentathlon,1932,GER,3
15246,Modern Pentathlon,1932,HUN,3
15247,Modern Pentathlon,1932,ITA,3
15248,Modern Pentathlon,1932,MEX,3
15249,Modern Pentathlon,1932,NED,1
15250,Modern Pentathlon,1932,POR,2
15251,Modern Pentathlon,1932,SWE,3
15252,Modern Pentathlon,1932,USA,3
15253,Modern Pentathlon,1936,AUT,2
15254,Modern Pentathlon,1936,BEL,3
15255,Modern Pentathlon,1936,BRA,3
15256,Modern Pentathlon,1936,FIN,3
15257,Modern Pentathlon,1936,FRA,3
15258,Modern Pentathlon,1936,GBR,3
15259,Modern Pentathlon,1936,GER,3
15260,Modern Pentathlon,1936,GRE,1
15261,Modern Pentathlon,1936,HUN,3
15262,Modern Pentathlon,1936,ITA,3
15263,Modern Pentathlon,1936,MEX,2
15264,Modern Pentathlon,1936,NED,3
15265,Modern Pentathlon,1936,PER,1
15266,Modern Pentathlon,1936,SUI,3
15267,Modern Pentathlon,1936,SWE,3
15268,Modern Pentathlon,1936,USA,3
15269,Modern Pentathlon,1948,ARG,3
15270,Modern Pentathlon,1948,BEL,3
15271,Modern Pentathlon,1948,BRA,3
15272,Modern Pentathlon,1948,CHI,2
15273,Modern Pentathlon,1948,ESP,3
15274,Modern Pentathlon,1948,FIN,3
