lindex,Sport,Year,Country,count
15659,Nordic Combined,1924,FIN,2
15660,Nordic Combined,1924,FRA,4
15661,Nordic Combined,1924,HUN,3
15662,Nordic Combined,1924,NOR,4
15663,Nordic Combined,1924,POL,2
15664,Nordic Combined,1924,SUI,4
15665,Nordic Combined,1924,SWE,3
15666,Nordic Combined,1924,TCH,4
15667,Nordic Combined,1924,USA,4
15668,Nordic Combined,1928,AUT,1
15669,Nordic Combined,1928,CAN,2
15670,Nordic Combined,1928,FIN,2
15671,Nordic Combined,1928,FRA,3
15672,Nordic Combined,1928,GER,5
15673,Nordic Combined,1928,HUN,1
15674,Nordic Combined,1928,ITA,1
15675,Nordic Combined,1928,JPN,1
15676,Nordic Combined,1928,NOR,4
15677,Nordic Combined,1928,POL,3
15678,Nordic Combined,1928,SUI,4
15679,Nordic Combined,1928,SWE,1
15680,Nordic Combined,1928,TCH,4
15681,Nordic Combined,1928,USA,3
15682,Nordic Combined,1932,AUT,3
15683,Nordic Combined,1932,CAN,4
15684,Nordic Combined,1932,ITA,3
15685,Nordic Combined,1932,JPN,3
15686,Nordic Combined,1932,NOR,4
15687,Nordic Combined,1932,POL,3
15688,Nordic Combined,1932,SUI,3
15689,Nordic Combined,1932,SWE,2
15690,Nordic Combined,1932,TCH,4
15691,Nordic Combined,1932,USA,4
15692,Nordic Combined,1936,AUT,4
15693,Nordic Combined,1936,CAN,4
15694,Nordic Combined,1936,FIN,4
15695,Nordic Combined,1936,GBR,1
15696,Nordic Combined,1936,GER,4
15697,Nordic Combined,1936,HUN,2
15698,Nordic Combined,1936,ITA,2
15699,Nordic Combined,1936,JPN,3
15700,Nordic Combined,1936,LAT,1
15701,Nordic Combined,1936,NOR,4
15702,Nordic Combined,1936,POL,4
15703,Nordic Combined,1936,SUI,3
15704,Nordic Combined,1936,SWE,3
15705,Nordic Combined,1936,TCH,4
15706,Nordic Combined,1936,USA,4
15707,Nordic Combined,1936,YUG,4
15708,Nordic Combined,1948,AUT,4
15709,Nordic Combined,1948,BUL,1
15710,Nordic Combined,1948,CAN,1
15711,Nordic Combined,1948,FIN,4
15712,Nordic Combined,1948,FRA,2
15713,Nordic Combined,1948,ITA,3
15714,Nordic Combined,1948,NOR,4
15715,Nordic Combined,1948,POL,4
15716,Nordic Combined,1948,SUI,4
15717,Nordic Combined,1948,SWE,3
15718,Nordic Combined,1948,TCH,4
15719,Nordic Combined,1948,USA,4
15720,Nordic Combined,1948,YUG,1
15721,Nordic Combined,1952,AUT,4
15722,Nordic Combined,1952,FIN,4
15723,Nordic Combined,1952,GER,2
15724,Nordic Combined,1952,ITA,1
15725,Nordic Combined,1952,JPN,1
15726,Nordic Combined,1952,NOR,4
15727,Nordic Combined,1952,ROU,1
15728,Nordic Combined,1952,SUI,1
15729,Nordic Combined,1952,SWE,2
15730,Nordic Combined,1952,TCH,1
15731,Nordic Combined,1952,USA,4
15732,Nordic Combined,1956,AUT,3
15733,Nordic Combined,1956,CAN,1
15734,Nordic Combined,1956,FIN,3
15735,Nordic Combined,1956,GER,4
15736,Nordic Combined,1956,ITA,3
15737,Nordic Combined,1956,JPN,2
15738,Nordic Combined,1956,NOR,4
15739,Nordic Combined,1956,POL,4
15740,Nordic Combined,1956,SWE,1
15741,Nordic Combined,1956,TCH,3
15742,Nordic Combined,1956,URS,4
15743,Nordic Combined,1956,USA,4
15744,Nordic Combined,1960,AUS,1
15745,Nordic Combined,1960,AUT,1
15746,Nordic Combined,1960,CAN,2
15747,Nordic Combined,1960,FIN,4
15748,Nordic Combined,1960,GER,4
15749,Nordic Combined,1960,ITA,1
15750,Nordic Combined,1960,JPN,4
15751,Nordic Combined,1960,NOR,4
15752,Nordic Combined,1960,POL,1
15753,Nordic Combined,1960,SWE,2
15754,Nordic Combined,1960,TCH,1
15755,Nordic Combined,1960,URS,4
15756,Nordic Combined,1960,USA,4
15757,Nordic Combined,1964,AUT,4
15758,Nordic Combined,1964,FIN,4
15759,Nordic Combined,1964,GER,4
15760,Nordic Combined,1964,ITA,2
15761,Nordic Combined,1964,JPN,3
15762,Nordic Combined,1964,NOR,4
15763,Nordic Combined,1964,POL,1
15764,Nordic Combined,1964,SUI,1
15765,Nordic Combined,1964,TCH,3
15766,Nordic Combined,1964,URS,3
15767,Nordic Combined,1964,USA,3
15768,Nordic Combined,1968,AUT,3
15769,Nordic Combined,1968,FIN,3
15770,Nordic Combined,1968,FRA,3
15771,Nordic Combined,1968,FRG,4
15772,Nordic Combined,1968,GDR,3
15773,Nordic Combined,1968,ITA,2
15774,Nordic Combined,1968,JPN,4
15775,Nordic Combined,1968,NOR,4
15776,Nordic Combined,1968,POL,4
15777,Nordic Combined,1968,SUI,1
15778,Nordic Combined,1968,TCH,2
15779,Nordic Combined,1968,URS,4
15780,Nordic Combined,1968,USA,4
15781,Nordic Combined,1972,AUT,1
15782,Nordic Combined,1972,FIN,3
15783,Nordic Combined,1972,FRA,1
15784,Nordic Combined,1972,FRG,4
15785,Nordic Combined,1972,GDR,4
15786,Nordic Combined,1972,ITA,2
15787,Nordic Combined,1972,JPN,4
15788,Nordic Combined,1972,NOR,4
15789,Nordic Combined,1972,POL,3
15790,Nordic Combined,1972,SWE,1
15791,Nordic Combined,1972,TCH,4
15792,Nordic Combined,1972,URS,4
15793,Nordic Combined,1972,USA,4
15794,Nordic Combined,1972,YUG,1
15795,Nordic Combined,1976,AUT,1
15796,Nordic Combined,1976,CAN,1
15797,Nordic Combined,1976,FIN,4
15798,Nordic Combined,1976,FRA,1
15799,Nordic Combined,1976,FRG,2
15800,Nordic Combined,1976,GDR,4
15801,Nordic Combined,1976,ITA,2
15802,Nordic Combined,1976,JPN,2
15803,Nordic Combined,1976,NOR,4
15804,Nordic Combined,1976,POL,4
15805,Nordic Combined,1976,SUI,1
15806,Nordic Combined,1976,TCH,2
15807,Nordic Combined,1976,URS,3
15808,Nordic Combined,1976,USA,3
15809,Nordic Combined,1980,FIN,4
15810,Nordic Combined,1980,FRG,4
15811,Nordic Combined,1980,GDR,4
15812,Nordic Combined,1980,JPN,2
15813,Nordic Combined,1980,NOR,4
15814,Nordic Combined,1980,POL,4
15815,Nordic Combined,1980,SUI,2
15816,Nordic Combined,1980,URS,3
15817,Nordic Combined,1980,USA,4
15818,Nordic Combined,1984,AUT,1
15819,Nordic Combined,1984,FIN,3
15820,Nordic Combined,1984,FRG,4
15821,Nordic Combined,1984,GDR,3
15822,Nordic Combined,1984,JPN,2
15823,Nordic Combined,1984,NOR,4
15824,Nordic Combined,1984,SUI,1
15825,Nordic Combined,1984,TCH,2
15826,Nordic Combined,1984,URS,4
15827,Nordic Combined,1984,USA,3
15828,Nordic Combined,1984,YUG,1
15829,Nordic Combined,1988,AUT,7
15830,Nordic Combined,1988,CAN,1
15831,Nordic Combined,1988,FIN,7
15832,Nordic Combined,1988,FRA,7
15833,Nordic Combined,1988,FRG,7
15834,Nordic Combined,1988,GDR,6
15835,Nordic Combined,1988,JPN,6
15836,Nordic Combined,1988,NOR,7
15837,Nordic Combined,1988,POL,1
15838,Nordic Combined,1988,SUI,7
15839,Nordic Combined,1988,TCH,7
15840,Nordic Combined,1988,URS,6
15841,Nordic Combined,1988,USA,6
15842,Nordic Combined,1992,AUT,7
15843,Nordic Combined,1992,EST,7
15844,Nordic Combined,1992,EUN,7
15845,Nordic Combined,1992,FIN,7
15846,Nordic Combined,1992,FRA,7
15847,Nordic Combined,1992,GER,6
15848,Nordic Combined,1992,JPN,7
15849,Nordic Combined,1992,NOR,7
15850,Nordic Combined,1992,POL,2
15851,Nordic Combined,1992,SUI,7
15852,Nordic Combined,1992,TCH,7
15853,Nordic Combined,1992,USA,7
15854,Nordic Combined,1994,AUT,7
15855,Nordic Combined,1994,BLR,1
15856,Nordic Combined,1994,CZE,7
15857,Nordic Combined,1994,EST,7
15858,Nordic Combined,1994,FIN,7
15859,Nordic Combined,1994,FRA,7
15860,Nordic Combined,1994,GER,7
15861,Nordic Combined,1994,ITA,6
15862,Nordic Combined,1994,JPN,7
15863,Nordic Combined,1994,NOR,7
15864,Nordic Combined,1994,POL,1
15865,Nordic Combined,1994,RUS,7
15866,Nordic Combined,1994,SUI,7
15867,Nordic Combined,1994,SVK,3
15868,Nordic Combined,1994,UKR,1
15869,Nordic Combined,1994,USA,7
15870,Nordic Combined,1998,AUT,8
15871,Nordic Combined,1998,BLR,2
15872,Nordic Combined,1998,CZE,8
15873,Nordic Combined,1998,EST,8
15874,Nordic Combined,1998,FIN,8
15875,Nordic Combined,1998,FRA,8
15876,Nordic Combined,1998,GER,8
15877,Nordic Combined,1998,ITA,1
15878,Nordic Combined,1998,JPN,8
15879,Nordic Combined,1998,NOR,8
15880,Nordic Combined,1998,RUS,8
15881,Nordic Combined,1998,SLO,1
15882,Nordic Combined,1998,SUI,8
15883,Nordic Combined,1998,USA,8
15884,Nordic Combined,2002,AUT,12
15885,Nordic Combined,2002,BLR,2
15886,Nordic Combined,2002,CZE,11
15887,Nordic Combined,2002,EST,4
