lindex,Sport,Year,Country,count
18025,Shooting,1896,DEN,7
18026,Shooting,1896,FRA,1
18027,Shooting,1896,GBR,5
18028,Shooting,1896,GRE,46
18029,Shooting,1896,ITA,1
18030,Shooting,1896,SUI,1
18031,Shooting,1896,USA,4
18032,Shooting,1900,BEL,36
18033,Shooting,1900,DEN,25
18034,Shooting,1900,FRA,62
18035,Shooting,1900,GBR,1
18036,Shooting,1900,NED,35
18037,Shooting,1900,NOR,25
18038,Shooting,1900,ROU,1
18039,Shooting,1900,SUI,36
18040,Shooting,1906,AUT,15
18041,Shooting,1906,BEL,1
18042,Shooting,1906,BOH,5
18043,Shooting,1906,CRT,1
18044,Shooting,1906,FRA,66
18045,Shooting,1906,GBR,21
18046,Shooting,1906,GRE,98
18047,Shooting,1906,HUN,12
18048,Shooting,1906,ITA,15
18049,Shooting,1906,NOR,27
18050,Shooting,1906,SUI,36
18051,Shooting,1906,SWE,23
18052,Shooting,1908,ANZ,3
18053,Shooting,1908,BEL,16
18054,Shooting,1908,CAN,31
18055,Shooting,1908,DEN,19
18056,Shooting,1908,FIN,15
18057,Shooting,1908,FRA,52
18058,Shooting,1908,GBR,131
18059,Shooting,1908,GER,1
18060,Shooting,1908,GRE,23
18061,Shooting,1908,HUN,2
18062,Shooting,1908,NED,31
18063,Shooting,1908,NOR,27
18064,Shooting,1908,SWE,60
18065,Shooting,1908,USA,33
18066,Shooting,1912,AUT,15
18067,Shooting,1912,CAN,3
18068,Shooting,1912,CHI,8
18069,Shooting,1912,DEN,41
18070,Shooting,1912,FIN,38
18071,Shooting,1912,FRA,65
18072,Shooting,1912,GBR,85
18073,Shooting,1912,GER,25
18074,Shooting,1912,GRE,54
18075,Shooting,1912,HUN,34
18076,Shooting,1912,NED,1
18077,Shooting,1912,NOR,54
18078,Shooting,1912,RSA,33
18079,Shooting,1912,RUS,87
18080,Shooting,1912,SWE,157
18081,Shooting,1912,USA,94
18082,Shooting,1920,BEL,59
18083,Shooting,1920,BRA,20
18084,Shooting,1920,CAN,11
18085,Shooting,1920,DEN,56
18086,Shooting,1920,ESP,45
18087,Shooting,1920,FIN,51
18088,Shooting,1920,FRA,60
18089,Shooting,1920,GBR,8
18090,Shooting,1920,GRE,48
18091,Shooting,1920,ITA,46
18092,Shooting,1920,NED,49
18093,Shooting,1920,NOR,68
18094,Shooting,1920,POR,25
18095,Shooting,1920,RSA,35
18096,Shooting,1920,SUI,42
18097,Shooting,1920,SWE,79
18098,Shooting,1920,TCH,30
18099,Shooting,1920,USA,106
18100,Shooting,1924,ARG,8
18101,Shooting,1924,AUT,10
18102,Shooting,1924,BEL,27
18103,Shooting,1924,BRA,1
18104,Shooting,1924,CAN,9
18105,Shooting,1924,DEN,14
18106,Shooting,1924,EGY,1
18107,Shooting,1924,ESP,1
18108,Shooting,1924,FIN,43
18109,Shooting,1924,FRA,31
18110,Shooting,1924,GBR,35
18111,Shooting,1924,GRE,16
18112,Shooting,1924,HAI,9
18113,Shooting,1924,HUN,31
18114,Shooting,1924,ITA,24
18115,Shooting,1924,MEX,3
18116,Shooting,1924,MON,4
18117,Shooting,1924,NED,13
18118,Shooting,1924,NOR,39
18119,Shooting,1924,POL,13
18120,Shooting,1924,POR,17
18121,Shooting,1924,ROU,13
18122,Shooting,1924,RSA,9
18123,Shooting,1924,SUI,13
18124,Shooting,1924,SWE,42
18125,Shooting,1924,TCH,39
18126,Shooting,1924,USA,43
18127,Shooting,1932,ARG,2
18128,Shooting,1932,BRA,6
18129,Shooting,1932,ESP,6
18130,Shooting,1932,GER,1
18131,Shooting,1932,HUN,3
18132,Shooting,1932,ITA,6
18133,Shooting,1932,MEX,6
18134,Shooting,1932,POR,5
18135,Shooting,1932,SWE,3
18136,Shooting,1932,USA,6
18137,Shooting,1936,ARG,5
18138,Shooting,1936,AUT,3
18139,Shooting,1936,BEL,8
18140,Shooting,1936,BRA,4
18141,Shooting,1936,BUL,1
18142,Shooting,1936,CHI,3
18143,Shooting,1936,DEN,8
18144,Shooting,1936,EGY,1
18145,Shooting,1936,FIN,9
18146,Shooting,1936,FRA,9
18147,Shooting,1936,GER,9
18148,Shooting,1936,GRE,8
18149,Shooting,1936,HUN,8
18150,Shooting,1936,ITA,9
18151,Shooting,1936,LAT,3
18152,Shooting,1936,LIE,3
18153,Shooting,1936,MEX,5
18154,Shooting,1936,MON,9
18155,Shooting,1936,NED,4
18156,Shooting,1936,NOR,5
18157,Shooting,1936,PER,1
18158,Shooting,1936,PHI,6
18159,Shooting,1936,POL,6
18160,Shooting,1936,POR,7
18161,Shooting,1936,ROU,4
18162,Shooting,1936,SWE,9
18163,Shooting,1936,TCH,8
18164,Shooting,1936,USA,6
18165,Shooting,1936,YUG,1
18166,Shooting,1948,ARG,12
18167,Shooting,1948,AUS,6
18168,Shooting,1948,AUT,3
18169,Shooting,1948,BEL,4
18170,Shooting,1948,BRA,8
18171,Shooting,1948,CHI,6
18172,Shooting,1948,CUB,7
18173,Shooting,1948,DEN,8
18174,Shooting,1948,ESP,7
18175,Shooting,1948,FIN,12
18176,Shooting,1948,FRA,12
18177,Shooting,1948,GBR,12
18178,Shooting,1948,GRE,9
18179,Shooting,1948,HUN,6
18180,Shooting,1948,IRI,6
18181,Shooting,1948,ITA,6
18182,Shooting,1948,LIB,3
18183,Shooting,1948,MEX,9
18184,Shooting,1948,MON,4
18185,Shooting,1948,NED,4
18186,Shooting,1948,NOR,11
18187,Shooting,1948,PER,10
18188,Shooting,1948,PHI,6
18189,Shooting,1948,POR,8
18190,Shooting,1948,PUR,2
18191,Shooting,1948,SUI,11
18192,Shooting,1948,SWE,12
18193,Shooting,1948,USA,12
18194,Shooting,1952,ARG,7
18195,Shooting,1952,AUT,5
18196,Shooting,1952,BEL,6
18197,Shooting,1952,BRA,10
18198,Shooting,1952,BUL,6
18199,Shooting,1952,CAN,8
18200,Shooting,1952,CHI,3
18201,Shooting,1952,CUB,3
18202,Shooting,1952,DEN,7
18203,Shooting,1952,EGY,10
18204,Shooting,1952,ESP,4
18205,Shooting,1952,FIN,14
18206,Shooting,1952,FRA,12
18207,Shooting,1952,GBR,14
18208,Shooting,1952,GER,8
18209,Shooting,1952,GRE,6
18210,Shooting,1952,GUA,6
18211,Shooting,1952,HUN,10
18212,Shooting,1952,IND,4
18213,Shooting,1952,ISR,6
18214,Shooting,1952,ITA,8
18215,Shooting,1952,JPN,1
18216,Shooting,1952,LIB,3
18217,Shooting,1952,MEX,4
18218,Shooting,1952,MON,8
18219,Shooting,1952,NOR,14
18220,Shooting,1952,PAK,1
18221,Shooting,1952,PHI,6
18222,Shooting,1952,POL,2
18223,Shooting,1952,POR,6
18224,Shooting,1952,PUR,5
18225,Shooting,1952,ROU,5
18226,Shooting,1952,RSA,1
18227,Shooting,1952,SAA,3
18228,Shooting,1952,SUI,11
18229,Shooting,1952,SWE,14
18230,Shooting,1952,TCH,6
18231,Shooting,1952,URS,14
18232,Shooting,1952,USA,10
18233,Shooting,1952,VEN,10
18234,Shooting,1952,YUG,8
18235,Shooting,1956,ARG,4
18236,Shooting,1956,AUS,14
18237,Shooting,1956,BEL,3
18238,Shooting,1956,BRA,6
18239,Shooting,1956,CAN,9
18240,Shooting,1956,CHI,4
18241,Shooting,1956,COL,4
18242,Shooting,1956,DEN,4
18243,Shooting,1956,FIN,10
18244,Shooting,1956,FRA,8
18245,Shooting,1956,GBR,11
18246,Shooting,1956,GER,4
18247,Shooting,1956,GRE,2
18248,Shooting,1956,HUN,7
18249,Shooting,1956,INA,1
18250,Shooting,1956,IND,2
18251,Shooting,1956,ITA,5
18252,Shooting,1956,JPN,10
18253,Shooting,1956,KEN,4
18254,Shooting,1956,KOR,2
18255,Shooting,1956,MAL,3
18256,Shooting,1956,MEX,4
18257,Shooting,1956,NOR,7
18258,Shooting,1956,PAK,4
18259,Shooting,1956,PER,10
18260,Shooting,1956,PHI,6
18261,Shooting,1956,POL,2
18262,Shooting,1956,PUR,3
18263,Shooting,1956,ROU,7
18264,Shooting,1956,RSA,3
18265,Shooting,1956,SWE,12
18266,Shooting,1956,TCH,5
18267,Shooting,1956,TPE,3
18268,Shooting,1956,URS,14
18269,Shooting,1956,USA,10
18270,Shooting,1956,VEN,10
18271,Shooting,1956,YUG,2
18272,Shooting,1960,ARG,9
18273,Shooting,1960,AUS,10
18274,Shooting,1960,AUT,8
18275,Shooting,1960,BEL,5
18276,Shooting,1960,BRA,5
18277,Shooting,1960,BUL,6
18278,Shooting,1960,CAN,12
18279,Shooting,1960,CHI,2
18280,Shooting,1960,COL,3
18281,Shooting,1960,DEN,7
18282,Shooting,1960,ESP,10
18283,Shooting,1960,FIN,11
18284,Shooting,1960,FRA,9
18285,Shooting,1960,GBR,10
18286,Shooting,1960,GER,11
18287,Shooting,1960,GRE,10
18288,Shooting,1960,HKG,3
18289,Shooting,1960,HUN,11
18290,Shooting,1960,INA,1
18291,Shooting,1960,IND,3
18292,Shooting,1960,IRI,2
18293,Shooting,1960,ISR,4
18294,Shooting,1960,ITA,9
18295,Shooting,1960,JPN,9
18296,Shooting,1960,KEN,3
18297,Shooting,1960,KOR,3
18298,Shooting,1960,LIB,3
18299,Shooting,1960,LIE,4
18300,Shooting,1960,LUX,5
18301,Shooting,1960,MAL,2
18302,Shooting,1960,MAR,6
18303,Shooting,1960,MEX,6
18304,Shooting,1960,MLT,2
18305,Shooting,1960,MON,6
18306,Shooting,1960,NOR,7
18307,Shooting,1960,PAK,5
18308,Shooting,1960,PER,12
18309,Shooting,1960,PHI,8
18310,Shooting,1960,POL,10
18311,Shooting,1960,POR,9
18312,Shooting,1960,PUR,4
18313,Shooting,1960,RHO,1
18314,Shooting,1960,ROU,12
18315,Shooting,1960,RSA,7
