lindex,Sport,Year,Country,count
19447,Short Track Speed Skating,1992,AUS,8
19448,Short Track Speed Skating,1992,BEL,7
19449,Short Track Speed Skating,1992,CAN,15
19450,Short Track Speed Skating,1992,CHN,8
19451,Short Track Speed Skating,1992,EUN,8
19452,Short Track Speed Skating,1992,FRA,10
19453,Short Track Speed Skating,1992,GBR,8
19454,Short Track Speed Skating,1992,HUN,2
19455,Short Track Speed Skating,1992,ITA,12
19456,Short Track Speed Skating,1992,JPN,12
19457,Short Track Speed Skating,1992,KOR,9
19458,Short Track Speed Skating,1992,NED,8
19459,Short Track Speed Skating,1992,NOR,1
19460,Short Track Speed Skating,1992,NZL,6
19461,Short Track Speed Skating,1992,PRK,3
19462,Short Track Speed Skating,1992,USA,7
19463,Short Track Speed Skating,1994,AUS,12
19464,Short Track Speed Skating,1994,BEL,6
19465,Short Track Speed Skating,1994,BUL,2
19466,Short Track Speed Skating,1994,CAN,20
19467,Short Track Speed Skating,1994,CHN,18
19468,Short Track Speed Skating,1994,FRA,12
19469,Short Track Speed Skating,1994,GBR,6
19470,Short Track Speed Skating,1994,ITA,19
19471,Short Track Speed Skating,1994,JPN,10
19472,Short Track Speed Skating,1994,KAZ,2
19473,Short Track Speed Skating,1994,KOR,16
19474,Short Track Speed Skating,1994,MGL,2
19475,Short Track Speed Skating,1994,NED,10
19476,Short Track Speed Skating,1994,NOR,7
19477,Short Track Speed Skating,1994,NZL,10
19478,Short Track Speed Skating,1994,RSA,2
19479,Short Track Speed Skating,1994,RUS,14
19480,Short Track Speed Skating,1994,SWE,2
19481,Short Track Speed Skating,1994,USA,18
19482,Short Track Speed Skating,1998,AUS,8
19483,Short Track Speed Skating,1998,BUL,4
19484,Short Track Speed Skating,1998,CAN,20
19485,Short Track Speed Skating,1998,CHN,20
19486,Short Track Speed Skating,1998,FRA,4
19487,Short Track Speed Skating,1998,GBR,9
19488,Short Track Speed Skating,1998,GER,10
19489,Short Track Speed Skating,1998,ITA,15
19490,Short Track Speed Skating,1998,JPN,20
19491,Short Track Speed Skating,1998,KOR,20
19492,Short Track Speed Skating,1998,MGL,2
19493,Short Track Speed Skating,1998,NED,11
19494,Short Track Speed Skating,1998,POL,2
19495,Short Track Speed Skating,1998,PRK,14
19496,Short Track Speed Skating,1998,RUS,4
19497,Short Track Speed Skating,1998,SWE,2
19498,Short Track Speed Skating,1998,UKR,4
19499,Short Track Speed Skating,1998,USA,21
19500,Short Track Speed Skating,2002,AUS,10
19501,Short Track Speed Skating,2002,BEL,10
19502,Short Track Speed Skating,2002,BLR,2
19503,Short Track Speed Skating,2002,BUL,16
19504,Short Track Speed Skating,2002,CAN,22
19505,Short Track Speed Skating,2002,CHN,21
19506,Short Track Speed Skating,2002,CZE,3
19507,Short Track Speed Skating,2002,FRA,9
19508,Short Track Speed Skating,2002,GBR,12
19509,Short Track Speed Skating,2002,GER,13
19510,Short Track Speed Skating,2002,HKG,5
19511,Short Track Speed Skating,2002,HUN,12
19512,Short Track Speed Skating,2002,ISR,3
19513,Short Track Speed Skating,2002,ITA,22
19514,Short Track Speed Skating,2002,JPN,22
19515,Short Track Speed Skating,2002,KOR,20
19516,Short Track Speed Skating,2002,MGL,2
19517,Short Track Speed Skating,2002,NED,3
19518,Short Track Speed Skating,2002,NZL,3
19519,Short Track Speed Skating,2002,POL,3
19520,Short Track Speed Skating,2002,ROU,3
19521,Short Track Speed Skating,2002,RUS,6
19522,Short Track Speed Skating,2002,SVK,3
19523,Short Track Speed Skating,2002,SWE,3
19524,Short Track Speed Skating,2002,UKR,3
19525,Short Track Speed Skating,2002,USA,20
19526,Short Track Speed Skating,2006,AUS,9
19527,Short Track Speed Skating,2006,BEL,5
19528,Short Track Speed Skating,2006,BLR,3
19529,Short Track Speed Skating,2006,BUL,3
19530,Short Track Speed Skating,2006,CAN,23
19531,Short Track Speed Skating,2006,CHN,21
19532,Short Track Speed Skating,2006,CZE,3
19533,Short Track Speed Skating,2006,FRA,13
19534,Short Track Speed Skating,2006,GBR,9
19535,Short Track Speed Skating,2006,GER,22
19536,Short Track Speed Skating,2006,HKG,3
19537,Short Track Speed Skating,2006,HUN,10
19538,Short Track Speed Skating,2006,ITA,20
19539,Short Track Speed Skating,2006,JPN,19
19540,Short Track Speed Skating,2006,KOR,24
19541,Short Track Speed Skating,2006,LAT,2
19542,Short Track Speed Skating,2006,NED,7
19543,Short Track Speed Skating,2006,POL,3
19544,Short Track Speed Skating,2006,PRK,3
19545,Short Track Speed Skating,2006,ROU,3
19546,Short Track Speed Skating,2006,RUS,8
19547,Short Track Speed Skating,2006,SVK,3
19548,Short Track Speed Skating,2006,UKR,2
19549,Short Track Speed Skating,2006,USA,21
19550,Short Track Speed Skating,2010,AUS,4
19551,Short Track Speed Skating,2010,AUT,2
19552,Short Track Speed Skating,2010,BEL,3
19553,Short Track Speed Skating,2010,BUL,6
19554,Short Track Speed Skating,2010,CAN,26
19555,Short Track Speed Skating,2010,CHN,26
19556,Short Track Speed Skating,2010,CZE,3
19557,Short Track Speed Skating,2010,FRA,15
19558,Short Track Speed Skating,2010,GBR,15
19559,Short Track Speed Skating,2010,GER,14
19560,Short Track Speed Skating,2010,HKG,3
19561,Short Track Speed Skating,2010,HUN,15
19562,Short Track Speed Skating,2010,ITA,26
19563,Short Track Speed Skating,2010,JPN,20
19564,Short Track Speed Skating,2010,KAZ,2
19565,Short Track Speed Skating,2010,KOR,26
19566,Short Track Speed Skating,2010,LAT,3
19567,Short Track Speed Skating,2010,NED,16
19568,Short Track Speed Skating,2010,NZL,3
19569,Short Track Speed Skating,2010,POL,5
19570,Short Track Speed Skating,2010,ROU,1
19571,Short Track Speed Skating,2010,RUS,12
19572,Short Track Speed Skating,2010,USA,27
19573,Short Track Speed Skating,2014,AUS,3
19574,Short Track Speed Skating,2014,AUT,3
19575,Short Track Speed Skating,2014,BLR,2
19576,Short Track Speed Skating,2014,CAN,27
19577,Short Track Speed Skating,2014,CHN,26
19578,Short Track Speed Skating,2014,CZE,3
19579,Short Track Speed Skating,2014,FRA,11
19580,Short Track Speed Skating,2014,GBR,11
19581,Short Track Speed Skating,2014,GER,4
19582,Short Track Speed Skating,2014,HKG,1
19583,Short Track Speed Skating,2014,HUN,17
19584,Short Track Speed Skating,2014,ISR,3
19585,Short Track Speed Skating,2014,ITA,23
19586,Short Track Speed Skating,2014,JPN,19
19587,Short Track Speed Skating,2014,KAZ,11
19588,Short Track Speed Skating,2014,KOR,26
19589,Short Track Speed Skating,2014,LAT,1
19590,Short Track Speed Skating,2014,LTU,3
19591,Short Track Speed Skating,2014,NED,23
19592,Short Track Speed Skating,2014,POL,2
19593,Short Track Speed Skating,2014,RUS,25
19594,Short Track Speed Skating,2014,SVK,1
19595,Short Track Speed Skating,2014,TPE,2
19596,Short Track Speed Skating,2014,UKR,1
19597,Short Track Speed Skating,2014,USA,21
