lindex,Sport,Year,Country,count
19598,Skeleton,1928,AUT,2
19599,Skeleton,1928,FRA,1
19600,Skeleton,1928,GBR,1
19601,Skeleton,1928,ITA,2
19602,Skeleton,1928,SUI,2
19603,Skeleton,1928,USA,2
19604,Skeleton,1948,AUT,1
19605,Skeleton,1948,FRA,1
19606,Skeleton,1948,GBR,4
19607,Skeleton,1948,ITA,1
19608,Skeleton,1948,SUI,4
19609,Skeleton,1948,USA,4
19610,Skeleton,2002,ARG,1
19611,Skeleton,2002,AUT,2
19612,Skeleton,2002,CAN,5
19613,Skeleton,2002,CZE,1
19614,Skeleton,2002,FRA,1
19615,Skeleton,2002,GBR,2
19616,Skeleton,2002,GER,4
19617,Skeleton,2002,GRE,2
19618,Skeleton,2002,IRL,1
19619,Skeleton,2002,ITA,2
19620,Skeleton,2002,JPN,3
19621,Skeleton,2002,KOR,1
19622,Skeleton,2002,LAT,1
19623,Skeleton,2002,MEX,1
19624,Skeleton,2002,NOR,1
19625,Skeleton,2002,NZL,1
19626,Skeleton,2002,RUS,2
19627,Skeleton,2002,SUI,3
19628,Skeleton,2002,USA,5
19629,Skeleton,2006,AUS,2
19630,Skeleton,2006,AUT,2
19631,Skeleton,2006,BER,1
19632,Skeleton,2006,CAN,5
19633,Skeleton,2006,CRO,1
19634,Skeleton,2006,FRA,1
19635,Skeleton,2006,GBR,3
19636,Skeleton,2006,GER,4
19637,Skeleton,2006,IRL,1
19638,Skeleton,2006,ITA,2
19639,Skeleton,2006,JPN,3
19640,Skeleton,2006,KOR,1
19641,Skeleton,2006,LAT,1
19642,Skeleton,2006,LIB,1
19643,Skeleton,2006,NOR,1
19644,Skeleton,2006,NZL,2
19645,Skeleton,2006,POL,1
19646,Skeleton,2006,RSA,1
19647,Skeleton,2006,RUS,2
19648,Skeleton,2006,SUI,3
19649,Skeleton,2006,USA,4
19650,Skeleton,2010,AUS,3
19651,Skeleton,2010,AUT,1
19652,Skeleton,2010,CAN,6
19653,Skeleton,2010,ESP,1
19654,Skeleton,2010,FRA,1
19655,Skeleton,2010,GBR,4
19656,Skeleton,2010,GER,6
19657,Skeleton,2010,IRL,1
19658,Skeleton,2010,ITA,2
19659,Skeleton,2010,JPN,2
19660,Skeleton,2010,KOR,1
19661,Skeleton,2010,LAT,2
19662,Skeleton,2010,NOR,1
19663,Skeleton,2010,NZL,3
19664,Skeleton,2010,ROU,1
19665,Skeleton,2010,RUS,4
19666,Skeleton,2010,SLO,1
19667,Skeleton,2010,SUI,2
19668,Skeleton,2010,USA,5
19669,Skeleton,2014,AUS,3
19670,Skeleton,2014,AUT,3
19671,Skeleton,2014,CAN,4
19672,Skeleton,2014,ESP,1
19673,Skeleton,2014,GBR,4
19674,Skeleton,2014,GER,5
19675,Skeleton,2014,GRE,1
19676,Skeleton,2014,IRL,1
19677,Skeleton,2014,ITA,1
19678,Skeleton,2014,JPN,2
19679,Skeleton,2014,KOR,2
19680,Skeleton,2014,LAT,3
19681,Skeleton,2014,NZL,2
19682,Skeleton,2014,ROU,2
19683,Skeleton,2014,RUS,6
19684,Skeleton,2014,SUI,1
19685,Skeleton,2014,USA,5
