lindex,Sport,Year,Country,count
19686,Ski Jumping,1924,FIN,2
19687,Ski Jumping,1924,FRA,4
19688,Ski Jumping,1924,ITA,2
19689,Ski Jumping,1924,NOR,4
19690,Ski Jumping,1924,POL,1
19691,Ski Jumping,1924,SUI,4
19692,Ski Jumping,1924,SWE,4
19693,Ski Jumping,1924,TCH,3
19694,Ski Jumping,1924,USA,3
19695,Ski Jumping,1928,AUT,1
19696,Ski Jumping,1928,CAN,1
19697,Ski Jumping,1928,FIN,2
19698,Ski Jumping,1928,FRA,3
19699,Ski Jumping,1928,GER,4
19700,Ski Jumping,1928,ITA,3
19701,Ski Jumping,1928,JPN,1
19702,Ski Jumping,1928,NOR,4
19703,Ski Jumping,1928,POL,4
19704,Ski Jumping,1928,SUI,4
19705,Ski Jumping,1928,SWE,4
19706,Ski Jumping,1928,TCH,4
19707,Ski Jumping,1928,USA,3
19708,Ski Jumping,1932,AUT,2
19709,Ski Jumping,1932,CAN,4
19710,Ski Jumping,1932,ITA,3
19711,Ski Jumping,1932,JPN,4
19712,Ski Jumping,1932,NOR,4
19713,Ski Jumping,1932,POL,3
19714,Ski Jumping,1932,SUI,3
19715,Ski Jumping,1932,SWE,3
19716,Ski Jumping,1932,TCH,4
19717,Ski Jumping,1932,USA,4
19718,Ski Jumping,1936,AUT,4
19719,Ski Jumping,1936,CAN,3
19720,Ski Jumping,1936,FIN,4
19721,Ski Jumping,1936,GER,4
19722,Ski Jumping,1936,ITA,2
19723,Ski Jumping,1936,JPN,4
19724,Ski Jumping,1936,NOR,4
19725,Ski Jumping,1936,POL,3
19726,Ski Jumping,1936,ROU,1
19727,Ski Jumping,1936,SUI,3
19728,Ski Jumping,1936,SWE,4
19729,Ski Jumping,1936,TCH,4
19730,Ski Jumping,1936,USA,4
19731,Ski Jumping,1936,YUG,4
19732,Ski Jumping,1948,AUT,4
19733,Ski Jumping,1948,CAN,3
19734,Ski Jumping,1948,FIN,4
19735,Ski Jumping,1948,FRA,4
19736,Ski Jumping,1948,HUN,2
19737,Ski Jumping,1948,ISL,1
19738,Ski Jumping,1948,ITA,3
19739,Ski Jumping,1948,NOR,4
19740,Ski Jumping,1948,POL,4
19741,Ski Jumping,1948,SUI,4
19742,Ski Jumping,1948,SWE,4
19743,Ski Jumping,1948,TCH,4
19744,Ski Jumping,1948,USA,4
19745,Ski Jumping,1948,YUG,4
19746,Ski Jumping,1952,AUT,4
19747,Ski Jumping,1952,CAN,2
19748,Ski Jumping,1952,FIN,4
19749,Ski Jumping,1952,FRA,3
19750,Ski Jumping,1952,GER,4
19751,Ski Jumping,1952,ISL,1
19752,Ski Jumping,1952,JPN,4
19753,Ski Jumping,1952,NOR,4
19754,Ski Jumping,1952,POL,4
19755,Ski Jumping,1952,SUI,4
19756,Ski Jumping,1952,SWE,4
19757,Ski Jumping,1952,USA,4
19758,Ski Jumping,1952,YUG,2
19759,Ski Jumping,1956,AUT,4
19760,Ski Jumping,1956,CAN,1
19761,Ski Jumping,1956,FIN,4
19762,Ski Jumping,1956,FRA,3
19763,Ski Jumping,1956,GER,4
19764,Ski Jumping,1956,ITA,4
19765,Ski Jumping,1956,JPN,2
19766,Ski Jumping,1956,NOR,4
19767,Ski Jumping,1956,POL,4
19768,Ski Jumping,1956,ROU,1
19769,Ski Jumping,1956,SUI,3
19770,Ski Jumping,1956,SWE,4
19771,Ski Jumping,1956,TCH,2
19772,Ski Jumping,1956,URS,3
19773,Ski Jumping,1956,USA,4
19774,Ski Jumping,1956,YUG,4
19775,Ski Jumping,1960,AUT,4
19776,Ski Jumping,1960,CAN,3
19777,Ski Jumping,1960,FIN,4
19778,Ski Jumping,1960,FRA,2
19779,Ski Jumping,1960,GER,4
19780,Ski Jumping,1960,HUN,1
19781,Ski Jumping,1960,ISL,1
19782,Ski Jumping,1960,ITA,4
19783,Ski Jumping,1960,JPN,4
19784,Ski Jumping,1960,NOR,4
19785,Ski Jumping,1960,POL,1
19786,Ski Jumping,1960,SUI,1
19787,Ski Jumping,1960,SWE,4
19788,Ski Jumping,1960,URS,4
19789,Ski Jumping,1960,USA,4
19790,Ski Jumping,1964,AUT,8
19791,Ski Jumping,1964,CAN,4
19792,Ski Jumping,1964,FIN,8
19793,Ski Jumping,1964,GER,8
19794,Ski Jumping,1964,HUN,4
19795,Ski Jumping,1964,ITA,5
19796,Ski Jumping,1964,JPN,8
19797,Ski Jumping,1964,NOR,8
19798,Ski Jumping,1964,POL,8
19799,Ski Jumping,1964,SUI,6
19800,Ski Jumping,1964,SWE,8
19801,Ski Jumping,1964,TCH,6
19802,Ski Jumping,1964,URS,8
19803,Ski Jumping,1964,USA,8
19804,Ski Jumping,1964,YUG,8
19805,Ski Jumping,1968,AUT,8
19806,Ski Jumping,1968,CAN,6
19807,Ski Jumping,1968,FIN,8
19808,Ski Jumping,1968,FRA,8
19809,Ski Jumping,1968,FRG,7
19810,Ski Jumping,1968,GDR,7
19811,Ski Jumping,1968,HUN,4
19812,Ski Jumping,1968,ITA,2
19813,Ski Jumping,1968,JPN,8
19814,Ski Jumping,1968,NOR,8
