lindex,Sport,Year,Country,count
20196,Speed Skating,1924,BEL,14
20197,Speed Skating,1924,CAN,4
20198,Speed Skating,1924,FIN,15
20199,Speed Skating,1924,FRA,17
20200,Speed Skating,1924,GBR,8
20201,Speed Skating,1924,LAT,5
20202,Speed Skating,1924,NOR,19
20203,Speed Skating,1924,POL,5
20204,Speed Skating,1924,SWE,7
20205,Speed Skating,1924,USA,16
20206,Speed Skating,1928,AUT,10
20207,Speed Skating,1928,CAN,8
20208,Speed Skating,1928,EST,6
20209,Speed Skating,1928,FIN,12
20210,Speed Skating,1928,FRA,5
20211,Speed Skating,1928,GBR,9
20212,Speed Skating,1928,GER,7
20213,Speed Skating,1928,HUN,3
20214,Speed Skating,1928,LAT,3
20215,Speed Skating,1928,LTU,4
20216,Speed Skating,1928,NED,6
20217,Speed Skating,1928,NOR,15
20218,Speed Skating,1928,SWE,4
20219,Speed Skating,1928,USA,14
20220,Speed Skating,1932,CAN,16
20221,Speed Skating,1932,FIN,3
20222,Speed Skating,1932,JPN,16
20223,Speed Skating,1932,NOR,16
20224,Speed Skating,1932,SWE,3
20225,Speed Skating,1932,USA,16
20226,Speed Skating,1936,AUS,3
20227,Speed Skating,1936,AUT,16
20228,Speed Skating,1936,BEL,7
20229,Speed Skating,1936,CAN,4
20230,Speed Skating,1936,EST,4
20231,Speed Skating,1936,FIN,15
20232,Speed Skating,1936,GER,8
20233,Speed Skating,1936,HUN,3
20234,Speed Skating,1936,JPN,15
20235,Speed Skating,1936,LAT,9
20236,Speed Skating,1936,NED,16
20237,Speed Skating,1936,NOR,16
20238,Speed Skating,1936,POL,2
20239,Speed Skating,1936,SWE,4
20240,Speed Skating,1936,TCH,6
20241,Speed Skating,1936,USA,12
20242,Speed Skating,1948,AUT,7
20243,Speed Skating,1948,BEL,4
20244,Speed Skating,1948,CAN,9
20245,Speed Skating,1948,DEN,1
20246,Speed Skating,1948,FIN,15
20247,Speed Skating,1948,GBR,14
20248,Speed Skating,1948,HUN,15
20249,Speed Skating,1948,ITA,8
20250,Speed Skating,1948,KOR,7
20251,Speed Skating,1948,NED,15
20252,Speed Skating,1948,NOR,16
20253,Speed Skating,1948,SUI,7
20254,Speed Skating,1948,SWE,16
20255,Speed Skating,1948,TCH,4
20256,Speed Skating,1948,USA,16
20257,Speed Skating,1952,AUS,3
20258,Speed Skating,1952,AUT,11
20259,Speed Skating,1952,BEL,5
20260,Speed Skating,1952,CAN,10
20261,Speed Skating,1952,FIN,16
20262,Speed Skating,1952,GBR,10
20263,Speed Skating,1952,GER,3
20264,Speed Skating,1952,HUN,7
20265,Speed Skating,1952,ITA,5
20266,Speed Skating,1952,JPN,12
20267,Speed Skating,1952,NED,15
20268,Speed Skating,1952,NOR,16
20269,Speed Skating,1952,SWE,16
20270,Speed Skating,1952,USA,16
20271,Speed Skating,1956,AUS,4
20272,Speed Skating,1956,AUT,11
20273,Speed Skating,1956,BEL,1
20274,Speed Skating,1956,CAN,8
20275,Speed Skating,1956,FIN,15
20276,Speed Skating,1956,FRA,3
20277,Speed Skating,1956,GBR,11
20278,Speed Skating,1956,GER,6
20279,Speed Skating,1956,ITA,9
20280,Speed Skating,1956,JPN,13
20281,Speed Skating,1956,KOR,10
20282,Speed Skating,1956,NED,14
20283,Speed Skating,1956,NOR,16
20284,Speed Skating,1956,SUI,4
20285,Speed Skating,1956,SWE,16
20286,Speed Skating,1956,TCH,9
20287,Speed Skating,1956,URS,16
20288,Speed Skating,1956,USA,13
20289,Speed Skating,1960,AUS,4
20290,Speed Skating,1960,AUT,7
20291,Speed Skating,1960,CAN,17
20292,Speed Skating,1960,DEN,3
20293,Speed Skating,1960,FIN,22
20294,Speed Skating,1960,FRA,11
20295,Speed Skating,1960,GBR,7
20296,Speed Skating,1960,GER,24
20297,Speed Skating,1960,ITA,11
20298,Speed Skating,1960,JPN,23
20299,Speed Skating,1960,KOR,15
20300,Speed Skating,1960,NED,11
20301,Speed Skating,1960,NOR,14
20302,Speed Skating,1960,POL,8
20303,Speed Skating,1960,SWE,22
20304,Speed Skating,1960,URS,26
20305,Speed Skating,1960,USA,24
20306,Speed Skating,1964,AUT,10
20307,Speed Skating,1964,BEL,1
20308,Speed Skating,1964,CAN,14
20309,Speed Skating,1964,DEN,3
20310,Speed Skating,1964,FIN,22
20311,Speed Skating,1964,FRA,8
20312,Speed Skating,1964,GBR,9
20313,Speed Skating,1964,GER,26
20314,Speed Skating,1964,HUN,10
20315,Speed Skating,1964,ITA,5
20316,Speed Skating,1964,JPN,24
20317,Speed Skating,1964,KOR,10
20318,Speed Skating,1964,MGL,6
20319,Speed Skating,1964,NED,11
20320,Speed Skating,1964,NOR,14
20321,Speed Skating,1964,POL,11
20322,Speed Skating,1964,PRK,16
20323,Speed Skating,1964,SUI,6
20324,Speed Skating,1964,SWE,26
20325,Speed Skating,1964,TCH,6
20326,Speed Skating,1964,URS,25
20327,Speed Skating,1964,USA,24
20328,Speed Skating,1968,AUS,2
20329,Speed Skating,1968,AUT,7
20330,Speed Skating,1968,CAN,19
20331,Speed Skating,1968,FIN,26
20332,Speed Skating,1968,FRA,17
20333,Speed Skating,1968,FRG,17
20334,Speed Skating,1968,GBR,9
20335,Speed Skating,1968,GDR,3
20336,Speed Skating,1968,HUN,7
20337,Speed Skating,1968,ITA,10
20338,Speed Skating,1968,JPN,23
20339,Speed Skating,1968,KOR,4
20340,Speed Skating,1968,MGL,4
20341,Speed Skating,1968,NED,26
20342,Speed Skating,1968,NOR,26
20343,Speed Skating,1968,SUI,6
20344,Speed Skating,1968,SWE,23
20345,Speed Skating,1968,URS,26
20346,Speed Skating,1968,USA,25
20347,Speed Skating,1972,AUS,6
20348,Speed Skating,1972,AUT,2
20349,Speed Skating,1972,CAN,17
20350,Speed Skating,1972,FIN,18
20351,Speed Skating,1972,FRA,4
20352,Speed Skating,1972,FRG,17
20353,Speed Skating,1972,GBR,7
20354,Speed Skating,1972,GDR,5
