lindex,Sport,Year,Country,count
22344,Synchronized Swimming,1984,AHO,4
22345,Synchronized Swimming,1984,AUS,4
22346,Synchronized Swimming,1984,AUT,4
22347,Synchronized Swimming,1984,BAR,1
22348,Synchronized Swimming,1984,BEL,4
22349,Synchronized Swimming,1984,BRA,4
22350,Synchronized Swimming,1984,CAN,5
22351,Synchronized Swimming,1984,DOM,4
22352,Synchronized Swimming,1984,EGY,5
22353,Synchronized Swimming,1984,ESP,5
22354,Synchronized Swimming,1984,FRA,5
22355,Synchronized Swimming,1984,FRG,5
22356,Synchronized Swimming,1984,GBR,5
22357,Synchronized Swimming,1984,ITA,1
22358,Synchronized Swimming,1984,JPN,5
22359,Synchronized Swimming,1984,MEX,5
22360,Synchronized Swimming,1984,NED,5
22361,Synchronized Swimming,1984,NZL,4
22362,Synchronized Swimming,1984,SUI,5
22363,Synchronized Swimming,1984,USA,5
22364,Synchronized Swimming,1984,VEN,1
22365,Synchronized Swimming,1988,ARU,4
22366,Synchronized Swimming,1988,AUS,4
22367,Synchronized Swimming,1988,BEL,1
22368,Synchronized Swimming,1988,BRA,5
22369,Synchronized Swimming,1988,CAN,5
22370,Synchronized Swimming,1988,CHN,5
22371,Synchronized Swimming,1988,ESP,5
22372,Synchronized Swimming,1988,FRA,5
22373,Synchronized Swimming,1988,FRG,5
22374,Synchronized Swimming,1988,GBR,5
22375,Synchronized Swimming,1988,JPN,5
22376,Synchronized Swimming,1988,KOR,5
22377,Synchronized Swimming,1988,MEX,5
22378,Synchronized Swimming,1988,SUI,5
22379,Synchronized Swimming,1988,SWE,1
22380,Synchronized Swimming,1988,URS,5
22381,Synchronized Swimming,1988,USA,5
22382,Synchronized Swimming,1988,VEN,1
22383,Synchronized Swimming,1992,AUS,4
22384,Synchronized Swimming,1992,AUT,4
22385,Synchronized Swimming,1992,BRA,5
22386,Synchronized Swimming,1992,CAN,5
22387,Synchronized Swimming,1992,CHN,5
22388,Synchronized Swimming,1992,ESP,5
22389,Synchronized Swimming,1992,EUN,5
22390,Synchronized Swimming,1992,FIN,1
22391,Synchronized Swimming,1992,FRA,5
22392,Synchronized Swimming,1992,GBR,5
22393,Synchronized Swimming,1992,GER,4
22394,Synchronized Swimming,1992,GRE,1
22395,Synchronized Swimming,1992,IOA,5
22396,Synchronized Swimming,1992,ITA,4
22397,Synchronized Swimming,1992,JPN,5
22398,Synchronized Swimming,1992,MEX,5
22399,Synchronized Swimming,1992,NED,5
22400,Synchronized Swimming,1992,RSA,4
22401,Synchronized Swimming,1992,SUI,5
22402,Synchronized Swimming,1992,TCH,1
22403,Synchronized Swimming,1992,USA,5
22404,Synchronized Swimming,1992,VEN,1
22405,Synchronized Swimming,1996,CAN,9
22406,Synchronized Swimming,1996,CHN,8
22407,Synchronized Swimming,1996,FRA,8
22408,Synchronized Swimming,1996,ITA,10
22409,Synchronized Swimming,1996,JPN,9
22410,Synchronized Swimming,1996,MEX,9
22411,Synchronized Swimming,1996,RUS,9
22412,Synchronized Swimming,1996,USA,10
22413,Synchronized Swimming,2000,AUS,11
22414,Synchronized Swimming,2000,BLR,2
22415,Synchronized Swimming,2000,BRA,2
22416,Synchronized Swimming,2000,CAN,10
22417,Synchronized Swimming,2000,CHN,11
