lindex,Sport,Year,Country,count
22533,Table Tennis,1988,ARG,1
22534,Table Tennis,1988,AUS,5
22535,Table Tennis,1988,AUT,3
22536,Table Tennis,1988,BEL,2
22537,Table Tennis,1988,BRA,4
22538,Table Tennis,1988,BUL,2
22539,Table Tennis,1988,CAN,4
22540,Table Tennis,1988,CHI,5
22541,Table Tennis,1988,CHN,12
22542,Table Tennis,1988,DOM,5
22543,Table Tennis,1988,EGY,3
22544,Table Tennis,1988,FRA,4
22545,Table Tennis,1988,FRG,10
22546,Table Tennis,1988,GBR,7
22547,Table Tennis,1988,GHA,1
22548,Table Tennis,1988,HKG,11
22549,Table Tennis,1988,HUN,8
22550,Table Tennis,1988,INA,1
22551,Table Tennis,1988,IND,5
22552,Table Tennis,1988,IRQ,1
22553,Table Tennis,1988,ITA,1
22554,Table Tennis,1988,JAM,1
22555,Table Tennis,1988,JOR,1
22556,Table Tennis,1988,JPN,12
22557,Table Tennis,1988,KOR,12
22558,Table Tennis,1988,MAS,4
22559,Table Tennis,1988,MRI,4
22560,Table Tennis,1988,NED,4
22561,Table Tennis,1988,NGR,10
22562,Table Tennis,1988,NZL,3
22563,Table Tennis,1988,PAK,1
22564,Table Tennis,1988,PER,1
22565,Table Tennis,1988,POL,5
22566,Table Tennis,1988,SWE,7
22567,Table Tennis,1988,TCH,6
22568,Table Tennis,1988,TPE,11
22569,Table Tennis,1988,TUN,5
22570,Table Tennis,1988,URS,8
22571,Table Tennis,1988,USA,5
22572,Table Tennis,1988,VEN,2
22573,Table Tennis,1988,YUG,9
22574,Table Tennis,1992,ARG,3
22575,Table Tennis,1992,AUS,3
22576,Table Tennis,1992,AUT,3
22577,Table Tennis,1992,BEL,3
22578,Table Tennis,1992,BRA,8
22579,Table Tennis,1992,BUL,1
22580,Table Tennis,1992,CAN,2
22581,Table Tennis,1992,CHI,5
22582,Table Tennis,1992,CHN,14
22583,Table Tennis,1992,CRO,3
22584,Table Tennis,1992,CUB,8
22585,Table Tennis,1992,ECU,1
22586,Table Tennis,1992,EGY,2
22587,Table Tennis,1992,ESP,7
22588,Table Tennis,1992,EST,1
22589,Table Tennis,1992,EUN,11
22590,Table Tennis,1992,FRA,9
22591,Table Tennis,1992,GBR,8
22592,Table Tennis,1992,GER,8
22593,Table Tennis,1992,GHA,4
22594,Table Tennis,1992,HKG,6
22595,Table Tennis,1992,HUN,1
22596,Table Tennis,1992,INA,5
22597,Table Tennis,1992,IND,5
22598,Table Tennis,1992,IOA,7
22599,Table Tennis,1992,IRI,1
22600,Table Tennis,1992,ITA,1
22601,Table Tennis,1992,JAM,1
22602,Table Tennis,1992,JOR,1
22603,Table Tennis,1992,JPN,14
22604,Table Tennis,1992,KOR,14
22605,Table Tennis,1992,KSA,1
22606,Table Tennis,1992,LBA,1
22607,Table Tennis,1992,MAR,1
22608,Table Tennis,1992,NED,5
22609,Table Tennis,1992,NGR,11
22610,Table Tennis,1992,NZL,5
22611,Table Tennis,1992,PER,6
22612,Table Tennis,1992,POL,4
22613,Table Tennis,1992,PRK,14
22614,Table Tennis,1992,ROU,6
22615,Table Tennis,1992,RSA,2
22616,Table Tennis,1992,SLO,1
22617,Table Tennis,1992,SWE,10
22618,Table Tennis,1992,TCH,6
22619,Table Tennis,1992,TUN,5
22620,Table Tennis,1992,UGA,1
22621,Table Tennis,1992,USA,9
22622,Table Tennis,1996,AUS,7
22623,Table Tennis,1996,AUT,6
22624,Table Tennis,1996,BEL,2
22625,Table Tennis,1996,BIH,1
22626,Table Tennis,1996,BLR,3
22627,Table Tennis,1996,BRA,7
22628,Table Tennis,1996,CAN,8
22629,Table Tennis,1996,CHI,6
22630,Table Tennis,1996,CHN,14
22631,Table Tennis,1996,CRO,6
22632,Table Tennis,1996,CZE,4
22633,Table Tennis,1996,DOM,1
22634,Table Tennis,1996,FRA,9
22635,Table Tennis,1996,GBR,5
22636,Table Tennis,1996,GER,11
22637,Table Tennis,1996,GHA,3
22638,Table Tennis,1996,GRE,2
22639,Table Tennis,1996,HKG,7
22640,Table Tennis,1996,HUN,6
22641,Table Tennis,1996,INA,2
22642,Table Tennis,1996,IND,2
22643,Table Tennis,1996,ITA,4
22644,Table Tennis,1996,JAM,4
22645,Table Tennis,1996,JPN,14
22646,Table Tennis,1996,KOR,14
22647,Table Tennis,1996,KUW,1
22648,Table Tennis,1996,LIB,1
22649,Table Tennis,1996,LTU,1
22650,Table Tennis,1996,MEX,1
22651,Table Tennis,1996,NED,10
22652,Table Tennis,1996,NGR,8
22653,Table Tennis,1996,NZL,1
22654,Table Tennis,1996,PER,3
22655,Table Tennis,1996,POL,3
22656,Table Tennis,1996,PRK,12
22657,Table Tennis,1996,QAT,1
22658,Table Tennis,1996,ROU,6
22659,Table Tennis,1996,RUS,8
22660,Table Tennis,1996,SCG,5
22661,Table Tennis,1996,SGP,1
22662,Table Tennis,1996,SUD,1
22663,Table Tennis,1996,SUI,1
22664,Table Tennis,1996,SVK,1
22665,Table Tennis,1996,SWE,11
22666,Table Tennis,1996,TKM,1
22667,Table Tennis,1996,TPE,10
22668,Table Tennis,1996,TTO,1
22669,Table Tennis,1996,TUN,1
22670,Table Tennis,1996,UGA,5
22671,Table Tennis,1996,USA,8
22672,Table Tennis,1996,VEN,1
22673,Table Tennis,2000,ALG,2
22674,Table Tennis,2000,ARG,3
22675,Table Tennis,2000,AUS,14
22676,Table Tennis,2000,AUT,7
22677,Table Tennis,2000,BEL,4
22678,Table Tennis,2000,BLR,9
22679,Table Tennis,2000,BRA,4
22680,Table Tennis,2000,CAN,10
22681,Table Tennis,2000,CHI,8
22682,Table Tennis,2000,CHN,14
22683,Table Tennis,2000,CRO,6
