lindex,Sport,Year,Country,count
23713,Trampolining,2000,ALG,1
23714,Trampolining,2000,AUS,2
23715,Trampolining,2000,BLR,2
23716,Trampolining,2000,CAN,2
23717,Trampolining,2000,CZE,1
23718,Trampolining,2000,FRA,1
23719,Trampolining,2000,GBR,2
23720,Trampolining,2000,GEO,1
23721,Trampolining,2000,GER,2
23722,Trampolining,2000,JPN,2
23723,Trampolining,2000,NED,1
23724,Trampolining,2000,RUS,2
23725,Trampolining,2000,SUI,1
23726,Trampolining,2000,UKR,2
23727,Trampolining,2000,USA,1
23728,Trampolining,2000,UZB,1
23729,Trampolining,2004,AUS,1
23730,Trampolining,2004,BLR,3
23731,Trampolining,2004,CAN,3
23732,Trampolining,2004,CHN,2
23733,Trampolining,2004,DEN,1
23734,Trampolining,2004,FRA,1
23735,Trampolining,2004,GBR,2
23736,Trampolining,2004,GEO,1
23737,Trampolining,2004,GER,2
23738,Trampolining,2004,GRE,1
23739,Trampolining,2004,ITA,1
23740,Trampolining,2004,JPN,1
23741,Trampolining,2004,NED,2
23742,Trampolining,2004,POR,1
23743,Trampolining,2004,RUS,4
23744,Trampolining,2004,SUI,1
23745,Trampolining,2004,SVK,1
23746,Trampolining,2004,UKR,2
23747,Trampolining,2004,USA,1
23748,Trampolining,2004,UZB,1
23749,Trampolining,2008,AUS,1
23750,Trampolining,2008,BLR,2
23751,Trampolining,2008,CAN,3
23752,Trampolining,2008,CHN,4
23753,Trampolining,2008,CZE,1
23754,Trampolining,2008,DEN,1
23755,Trampolining,2008,FRA,1
23756,Trampolining,2008,GBR,1
23757,Trampolining,2008,GEO,1
23758,Trampolining,2008,GER,2
23759,Trampolining,2008,ITA,1
23760,Trampolining,2008,JPN,3
23761,Trampolining,2008,POR,2
23762,Trampolining,2008,RUS,4
23763,Trampolining,2008,UKR,2
23764,Trampolining,2008,USA,2
23765,Trampolining,2008,UZB,1
23766,Trampolining,2012,AUS,1
23767,Trampolining,2012,BLR,2
23768,Trampolining,2012,CAN,3
23769,Trampolining,2012,CHN,4
23770,Trampolining,2012,CZE,1
23771,Trampolining,2012,DEN,1
23772,Trampolining,2012,FRA,1
23773,Trampolining,2012,GBR,1
23774,Trampolining,2012,GEO,1
23775,Trampolining,2012,GER,2
23776,Trampolining,2012,ITA,1
23777,Trampolining,2012,JPN,3
23778,Trampolining,2012,NED,1
23779,Trampolining,2012,POR,2
23780,Trampolining,2012,RUS,3
23781,Trampolining,2012,UKR,2
23782,Trampolining,2012,USA,2
23783,Trampolining,2012,UZB,1
23784,Trampolining,2016,AUS,1
23785,Trampolining,2016,BLR,3
23786,Trampolining,2016,BRA,1
23787,Trampolining,2016,CAN,2
23788,Trampolining,2016,CHN,4
23789,Trampolining,2016,FRA,2
23790,Trampolining,2016,GBR,3
23791,Trampolining,2016,GEO,1
23792,Trampolining,2016,GER,1
23793,Trampolining,2016,JPN,3
23794,Trampolining,2016,KAZ,1
23795,Trampolining,2016,NZL,1
23796,Trampolining,2016,POR,2
23797,Trampolining,2016,RUS,3
23798,Trampolining,2016,UKR,1
23799,Trampolining,2016,USA,2
23800,Trampolining,2016,UZB,1
