lindex,Sport,Year,Country,count
23801,Triathlon,2000,AHO,1
23802,Triathlon,2000,ARG,1
23803,Triathlon,2000,AUS,6
23804,Triathlon,2000,AUT,1
23805,Triathlon,2000,BEL,2
23806,Triathlon,2000,BRA,6
23807,Triathlon,2000,CAN,4
23808,Triathlon,2000,CHI,1
23809,Triathlon,2000,CHN,2
23810,Triathlon,2000,COL,1
23811,Triathlon,2000,CRC,1
23812,Triathlon,2000,CZE,4
23813,Triathlon,2000,DEN,2
23814,Triathlon,2000,ESP,4
23815,Triathlon,2000,FRA,6
23816,Triathlon,2000,GBR,6
23817,Triathlon,2000,GER,4
23818,Triathlon,2000,GRE,1
23819,Triathlon,2000,HUN,4
23820,Triathlon,2000,ITA,3
23821,Triathlon,2000,JAM,1
23822,Triathlon,2000,JPN,6
23823,Triathlon,2000,KAZ,2
23824,Triathlon,2000,LUX,1
23825,Triathlon,2000,NED,6
23826,Triathlon,2000,NZL,4
23827,Triathlon,2000,RSA,2
23828,Triathlon,2000,RUS,1
23829,Triathlon,2000,SUI,6
23830,Triathlon,2000,SWE,1
23831,Triathlon,2000,UKR,2
23832,Triathlon,2000,USA,6
23833,Triathlon,2000,VEN,1
23834,Triathlon,2000,ZIM,1
23835,Triathlon,2004,ARG,2
23836,Triathlon,2004,AUS,6
23837,Triathlon,2004,AUT,3
23838,Triathlon,2004,BEL,2
23839,Triathlon,2004,BER,1
23840,Triathlon,2004,BRA,6
23841,Triathlon,2004,CAN,5
23842,Triathlon,2004,CHN,2
23843,Triathlon,2004,COL,1
23844,Triathlon,2004,CZE,5
23845,Triathlon,2004,DEN,1
23846,Triathlon,2004,ESP,6
23847,Triathlon,2004,EST,1
23848,Triathlon,2004,FRA,4
23849,Triathlon,2004,GBR,6
23850,Triathlon,2004,GER,5
23851,Triathlon,2004,GRE,1
23852,Triathlon,2004,HKG,1
23853,Triathlon,2004,HUN,1
23854,Triathlon,2004,ITA,3
23855,Triathlon,2004,JPN,5
23856,Triathlon,2004,KAZ,3
23857,Triathlon,2004,LUX,1
23858,Triathlon,2004,MEX,2
23859,Triathlon,2004,NED,2
23860,Triathlon,2004,NZL,4
23861,Triathlon,2004,POR,1
23862,Triathlon,2004,RSA,2
23863,Triathlon,2004,RUS,3
23864,Triathlon,2004,SUI,5
23865,Triathlon,2004,UKR,2
23866,Triathlon,2004,USA,6
23867,Triathlon,2004,VEN,1
23868,Triathlon,2008,AUS,5
23869,Triathlon,2008,AUT,4
23870,Triathlon,2008,BEL,2
23871,Triathlon,2008,BER,1
23872,Triathlon,2008,BRA,3
23873,Triathlon,2008,CAN,6
23874,Triathlon,2008,CHI,1
23875,Triathlon,2008,CHN,3
23876,Triathlon,2008,CZE,3
23877,Triathlon,2008,DEN,1
23878,Triathlon,2008,ESP,4
23879,Triathlon,2008,EST,1
23880,Triathlon,2008,FRA,5
23881,Triathlon,2008,GBR,5
23882,Triathlon,2008,GER,6
23883,Triathlon,2008,GRE,1
23884,Triathlon,2008,HKG,2
23885,Triathlon,2008,HUN,2
23886,Triathlon,2008,IRL,1
23887,Triathlon,2008,ITA,4
23888,Triathlon,2008,JPN,5
23889,Triathlon,2008,KAZ,1
23890,Triathlon,2008,LUX,2
23891,Triathlon,2008,MEX,2
23892,Triathlon,2008,NED,2
23893,Triathlon,2008,NZL,6
23894,Triathlon,2008,POL,3
23895,Triathlon,2008,POR,3
23896,Triathlon,2008,RSA,2
23897,Triathlon,2008,RUS,5
23898,Triathlon,2008,SUI,6
23899,Triathlon,2008,SVK,1
23900,Triathlon,2008,SWE,1
23901,Triathlon,2008,SYR,1
23902,Triathlon,2008,UKR,3
23903,Triathlon,2008,USA,6
23904,Triathlon,2008,ZIM,1
23905,Triathlon,2012,ARG,1
23906,Triathlon,2012,AUS,6
23907,Triathlon,2012,AUT,2
23908,Triathlon,2012,BEL,2
23909,Triathlon,2012,BER,2
23910,Triathlon,2012,BRA,3
23911,Triathlon,2012,CAN,5
23912,Triathlon,2012,CHI,2
23913,Triathlon,2012,CHN,2
23914,Triathlon,2012,COL,1
23915,Triathlon,2012,CRC,1
23916,Triathlon,2012,CZE,4
23917,Triathlon,2012,DEN,2
23918,Triathlon,2012,ECU,1
23919,Triathlon,2012,ESP,6
23920,Triathlon,2012,FRA,6
23921,Triathlon,2012,GBR,6
23922,Triathlon,2012,GER,6
23923,Triathlon,2012,HUN,1
23924,Triathlon,2012,IRL,2
23925,Triathlon,2012,ITA,3
23926,Triathlon,2012,JPN,5
23927,Triathlon,2012,KOR,1
23928,Triathlon,2012,MEX,2
23929,Triathlon,2012,MON,1
23930,Triathlon,2012,MRI,1
23931,Triathlon,2012,NED,2
23932,Triathlon,2012,NZL,6
23933,Triathlon,2012,POL,3
23934,Triathlon,2012,POR,2
23935,Triathlon,2012,RSA,3
23936,Triathlon,2012,RUS,5
23937,Triathlon,2012,SLO,1
23938,Triathlon,2012,SUI,4
23939,Triathlon,2012,SVK,1
23940,Triathlon,2012,SWE,1
23941,Triathlon,2012,UKR,2
23942,Triathlon,2012,USA,5
23943,Triathlon,2012,ZIM,1
23944,Triathlon,2016,ARG,2
23945,Triathlon,2016,AUS,6
23946,Triathlon,2016,AUT,3
23947,Triathlon,2016,AZE,1
23948,Triathlon,2016,BAR,1
23949,Triathlon,2016,BEL,4
23950,Triathlon,2016,BER,1
23951,Triathlon,2016,BRA,2
23952,Triathlon,2016,CAN,5
23953,Triathlon,2016,CHI,1
23954,Triathlon,2016,CHN,2
23955,Triathlon,2016,CRC,1
23956,Triathlon,2016,CZE,1
23957,Triathlon,2016,DEN,1
23958,Triathlon,2016,ECU,1
23959,Triathlon,2016,ESP,6
23960,Triathlon,2016,EST,1
23961,Triathlon,2016,FRA,5
23962,Triathlon,2016,GBR,6
23963,Triathlon,2016,GER,2
23964,Triathlon,2016,HUN,4
23965,Triathlon,2016,IRL,2
23966,Triathlon,2016,ISR,1
23967,Triathlon,2016,ITA,4
23968,Triathlon,2016,JOR,1
23969,Triathlon,2016,JPN,4
23970,Triathlon,2016,MEX,5
23971,Triathlon,2016,MRI,1
23972,Triathlon,2016,NED,1
23973,Triathlon,2016,NOR,1
23974,Triathlon,2016,NZL,4
23975,Triathlon,2016,POL,1
23976,Triathlon,2016,POR,3
23977,Triathlon,2016,PUR,1
23978,Triathlon,2016,RSA,4
23979,Triathlon,2016,RUS,6
23980,Triathlon,2016,SLO,1
23981,Triathlon,2016,SUI,4
23982,Triathlon,2016,SVK,1
23983,Triathlon,2016,SWE,1
23984,Triathlon,2016,UKR,2
23985,Triathlon,2016,USA,6
