lindex,Sport,Year,Country,count
23986,Tug-Of-War,1900,COL,1
23987,Tug-Of-War,1900,DEN,3
23988,Tug-Of-War,1900,FRA,5
23989,Tug-Of-War,1900,SWE,3
23990,Tug-Of-War,1904,GER,1
23991,Tug-Of-War,1904,GRE,5
23992,Tug-Of-War,1904,RSA,5
23993,Tug-Of-War,1904,USA,19
23994,Tug-Of-War,1906,AUT,8
23995,Tug-Of-War,1906,GER,8
23996,Tug-Of-War,1906,GRE,8
23997,Tug-Of-War,1906,SWE,8
23998,Tug-Of-War,1908,GBR,24
23999,Tug-Of-War,1908,SWE,8
24000,Tug-Of-War,1908,USA,8
24001,Tug-Of-War,1912,GBR,8
24002,Tug-Of-War,1912,SWE,8
24003,Tug-Of-War,1920,BEL,8
24004,Tug-Of-War,1920,GBR,8
24005,Tug-Of-War,1920,ITA,8
24006,Tug-Of-War,1920,NED,8
24007,Tug-Of-War,1920,USA,8
