lindex,Sport,Year,Country,count
24217,Water Polo,1900,BEL,11
24218,Water Polo,1900,FRA,27
24219,Water Polo,1900,GBR,7
24220,Water Polo,1900,GER,7
24221,Water Polo,1900,NZL,1
24222,Water Polo,1904,USA,21
24223,Water Polo,1908,BEL,7
24224,Water Polo,1908,GBR,7
24225,Water Polo,1908,NED,7
24226,Water Polo,1908,SWE,7
24227,Water Polo,1912,AUT,7
24228,Water Polo,1912,BEL,9
24229,Water Polo,1912,FRA,8
24230,Water Polo,1912,GBR,7
24231,Water Polo,1912,HUN,7
24232,Water Polo,1912,SWE,7
24233,Water Polo,1920,BEL,8
24234,Water Polo,1920,BRA,8
24235,Water Polo,1920,ESP,8
24236,Water Polo,1920,FRA,7
24237,Water Polo,1920,GBR,7
24238,Water Polo,1920,GRE,9
24239,Water Polo,1920,ITA,8
24240,Water Polo,1920,NED,9
24241,Water Polo,1920,SUI,7
24242,Water Polo,1920,SWE,10
24243,Water Polo,1920,TCH,8
24244,Water Polo,1920,USA,12
24245,Water Polo,1924,BEL,11
24246,Water Polo,1924,ESP,7
24247,Water Polo,1924,FRA,7
24248,Water Polo,1924,GBR,7
24249,Water Polo,1924,GRE,7
24250,Water Polo,1924,HUN,8
24251,Water Polo,1924,IRL,7
24252,Water Polo,1924,ITA,7
24253,Water Polo,1924,NED,7
24254,Water Polo,1924,SUI,7
24255,Water Polo,1924,SWE,8
24256,Water Polo,1924,TCH,9
24257,Water Polo,1924,USA,9
24258,Water Polo,1928,ARG,7
24259,Water Polo,1928,BEL,10
24260,Water Polo,1928,ESP,7
24261,Water Polo,1928,FRA,9
24262,Water Polo,1928,GBR,9
24263,Water Polo,1928,GER,8
24264,Water Polo,1928,HUN,7
24265,Water Polo,1928,IRL,7
24266,Water Polo,1928,LUX,7
24267,Water Polo,1928,MLT,9
24268,Water Polo,1928,NED,9
24269,Water Polo,1928,SUI,7
24270,Water Polo,1928,TCH,7
24271,Water Polo,1928,USA,9
24272,Water Polo,1932,BRA,8
24273,Water Polo,1932,GER,8
24274,Water Polo,1932,HUN,10
24275,Water Polo,1932,JPN,8
24276,Water Polo,1932,USA,7
24277,Water Polo,1936,AUT,11
24278,Water Polo,1936,BEL,9
24279,Water Polo,1936,FRA,7
24280,Water Polo,1936,GBR,11
24281,Water Polo,1936,GER,11
24282,Water Polo,1936,HUN,11
24283,Water Polo,1936,ISL,8
24284,Water Polo,1936,JPN,8
24285,Water Polo,1936,MLT,9
24286,Water Polo,1936,NED,9
24287,Water Polo,1936,SUI,8
24288,Water Polo,1936,SWE,10
24289,Water Polo,1936,TCH,7
24290,Water Polo,1936,URU,7
24291,Water Polo,1936,USA,9
24292,Water Polo,1936,YUG,7
24293,Water Polo,1948,ARG,7
24294,Water Polo,1948,AUS,10
24295,Water Polo,1948,BEL,8
24296,Water Polo,1948,CHI,8
24297,Water Polo,1948,EGY,8
24298,Water Polo,1948,ESP,8
24299,Water Polo,1948,FRA,11
24300,Water Polo,1948,GBR,8
24301,Water Polo,1948,GRE,8
24302,Water Polo,1948,HUN,11
24303,Water Polo,1948,IND,9
24304,Water Polo,1948,ITA,9
24305,Water Polo,1948,NED,9
24306,Water Polo,1948,SUI,7
24307,Water Polo,1948,SWE,10
24308,Water Polo,1948,URU,8
24309,Water Polo,1948,USA,8
24310,Water Polo,1948,YUG,9
24311,Water Polo,1952,ARG,7
24312,Water Polo,1952,AUS,7
24313,Water Polo,1952,AUT,10
24314,Water Polo,1952,BEL,10
24315,Water Polo,1952,BRA,11
24316,Water Polo,1952,EGY,10
24317,Water Polo,1952,ESP,8
24318,Water Polo,1952,GBR,9
24319,Water Polo,1952,GER,9
24320,Water Polo,1952,HUN,13
24321,Water Polo,1952,IND,10
24322,Water Polo,1952,ITA,11
24323,Water Polo,1952,MEX,7
24324,Water Polo,1952,NED,7
24325,Water Polo,1952,POR,9
24326,Water Polo,1952,ROU,8
24327,Water Polo,1952,RSA,8
24328,Water Polo,1952,SWE,8
24329,Water Polo,1952,URS,10
24330,Water Polo,1952,USA,10
24331,Water Polo,1952,YUG,9
24332,Water Polo,1956,AUS,9
24333,Water Polo,1956,GBR,9
24334,Water Polo,1956,GER,10
24335,Water Polo,1956,HUN,11
24336,Water Polo,1956,ITA,10
24337,Water Polo,1956,ROU,9
24338,Water Polo,1956,SGP,10
24339,Water Polo,1956,URS,10
24340,Water Polo,1956,USA,10
24341,Water Polo,1956,YUG,8
24342,Water Polo,1960,ARG,7
24343,Water Polo,1960,AUS,10
24344,Water Polo,1960,BEL,7
24345,Water Polo,1960,BRA,9
24346,Water Polo,1960,FRA,11
24347,Water Polo,1960,GER,9
24348,Water Polo,1960,HUN,14
24349,Water Polo,1960,ITA,12
24350,Water Polo,1960,JPN,7
24351,Water Polo,1960,NED,9
24352,Water Polo,1960,ROU,7
24353,Water Polo,1960,RSA,9
24354,Water Polo,1960,UAR,10
24355,Water Polo,1960,URS,11
24356,Water Polo,1960,USA,10
24357,Water Polo,1960,YUG,8
24358,Water Polo,1964,AUS,11
24359,Water Polo,1964,BEL,10
24360,Water Polo,1964,BRA,11
24361,Water Polo,1964,EGY,9
24362,Water Polo,1964,GER,11
24363,Water Polo,1964,HUN,12
24364,Water Polo,1964,ITA,12
24365,Water Polo,1964,JPN,8
24366,Water Polo,1964,NED,11
24367,Water Polo,1964,ROU,10
24368,Water Polo,1964,URS,11
24369,Water Polo,1964,USA,10
24370,Water Polo,1964,YUG,11
24371,Water Polo,1968,BRA,10
24372,Water Polo,1968,CUB,11
24373,Water Polo,1968,EGY,11
24374,Water Polo,1968,ESP,11
24375,Water Polo,1968,FRG,11
24376,Water Polo,1968,GDR,11
24377,Water Polo,1968,GRE,11
24378,Water Polo,1968,HUN,11
24379,Water Polo,1968,ITA,11
24380,Water Polo,1968,JPN,9
24381,Water Polo,1968,MEX,11
24382,Water Polo,1968,NED,11
24383,Water Polo,1968,URS,11
24384,Water Polo,1968,USA,11
24385,Water Polo,1968,YUG,11
24386,Water Polo,1972,AUS,11
24387,Water Polo,1972,BUL,11
24388,Water Polo,1972,CAN,11
24389,Water Polo,1972,CUB,11
24390,Water Polo,1972,ESP,11
24391,Water Polo,1972,FRG,11
24392,Water Polo,1972,GRE,11
24393,Water Polo,1972,HUN,11
24394,Water Polo,1972,ITA,11
24395,Water Polo,1972,JPN,11
24396,Water Polo,1972,MEX,11
24397,Water Polo,1972,NED,11
24398,Water Polo,1972,ROU,11
24399,Water Polo,1972,URS,11
24400,Water Polo,1972,USA,11
24401,Water Polo,1972,YUG,11
24402,Water Polo,1976,AUS,11
24403,Water Polo,1976,CAN,11
24404,Water Polo,1976,CUB,11
24405,Water Polo,1976,FRG,11
24406,Water Polo,1976,HUN,11
24407,Water Polo,1976,IRI,11
24408,Water Polo,1976,ITA,11
24409,Water Polo,1976,MEX,11
24410,Water Polo,1976,NED,10
24411,Water Polo,1976,ROU,11
24412,Water Polo,1976,URS,11
24413,Water Polo,1976,YUG,11
24414,Water Polo,1980,AUS,11
24415,Water Polo,1980,BUL,11
24416,Water Polo,1980,CUB,11
24417,Water Polo,1980,ESP,11
24418,Water Polo,1980,GRE,11
24419,Water Polo,1980,HUN,11
24420,Water Polo,1980,ITA,11
24421,Water Polo,1980,NED,11
24422,Water Polo,1980,ROU,11
24423,Water Polo,1980,SWE,11
24424,Water Polo,1980,URS,11
24425,Water Polo,1980,YUG,11
24426,Water Polo,1984,AUS,13
24427,Water Polo,1984,BRA,13
24428,Water Polo,1984,CAN,13
24429,Water Polo,1984,CHN,12
24430,Water Polo,1984,ESP,13
24431,Water Polo,1984,FRG,12
24432,Water Polo,1984,GRE,13
24433,Water Polo,1984,ITA,12
24434,Water Polo,1984,JPN,13
24435,Water Polo,1984,NED,13
24436,Water Polo,1984,USA,13
24437,Water Polo,1984,YUG,13
24438,Water Polo,1988,AUS,13
24439,Water Polo,1988,CHN,13
24440,Water Polo,1988,ESP,13
24441,Water Polo,1988,FRA,13
24442,Water Polo,1988,FRG,13
24443,Water Polo,1988,GRE,13
24444,Water Polo,1988,HUN,13
24445,Water Polo,1988,ITA,13
24446,Water Polo,1988,KOR,13
24447,Water Polo,1988,URS,13
24448,Water Polo,1988,USA,13
24449,Water Polo,1988,YUG,13
24450,Water Polo,1992,AUS,13
24451,Water Polo,1992,CUB,13
24452,Water Polo,1992,ESP,12
24453,Water Polo,1992,EUN,13
24454,Water Polo,1992,FRA,13
24455,Water Polo,1992,GER,12
24456,Water Polo,1992,GRE,13
24457,Water Polo,1992,HUN,13
24458,Water Polo,1992,ITA,12
24459,Water Polo,1992,NED,13
24460,Water Polo,1992,TCH,12
24461,Water Polo,1992,USA,13
24462,Water Polo,1996,CRO,12
24463,Water Polo,1996,ESP,12
24464,Water Polo,1996,GER,13
24465,Water Polo,1996,GRE,13
24466,Water Polo,1996,HUN,13
24467,Water Polo,1996,ITA,13
24468,Water Polo,1996,NED,12
24469,Water Polo,1996,ROU,13
24470,Water Polo,1996,RUS,13
24471,Water Polo,1996,SCG,13
24472,Water Polo,1996,UKR,13
24473,Water Polo,1996,USA,13
24474,Water Polo,2000,AUS,26
24475,Water Polo,2000,CAN,13
24476,Water Polo,2000,CRO,13
24477,Water Polo,2000,ESP,12
24478,Water Polo,2000,GRE,13
24479,Water Polo,2000,HUN,13
24480,Water Polo,2000,ITA,13
24481,Water Polo,2000,KAZ,26
24482,Water Polo,2000,NED,25
24483,Water Polo,2000,RUS,25
24484,Water Polo,2000,SCG,13
24485,Water Polo,2000,SVK,13
24486,Water Polo,2000,USA,26
24487,Water Polo,2004,AUS,26
24488,Water Polo,2004,CAN,13
24489,Water Polo,2004,CRO,13
24490,Water Polo,2004,EGY,13
24491,Water Polo,2004,ESP,13
24492,Water Polo,2004,GER,13
24493,Water Polo,2004,GRE,26
24494,Water Polo,2004,HUN,26
24495,Water Polo,2004,ITA,26
24496,Water Polo,2004,KAZ,23
24497,Water Polo,2004,RUS,26
24498,Water Polo,2004,SCG,12
24499,Water Polo,2004,USA,25
24500,Water Polo,2008,AUS,26
24501,Water Polo,2008,CAN,13
24502,Water Polo,2008,CHN,25
24503,Water Polo,2008,CRO,13
24504,Water Polo,2008,ESP,13
24505,Water Polo,2008,GER,12
24506,Water Polo,2008,GRE,26
24507,Water Polo,2008,HUN,26
24508,Water Polo,2008,ITA,25
24509,Water Polo,2008,MNE,13
24510,Water Polo,2008,NED,12
24511,Water Polo,2008,RUS,13
24512,Water Polo,2008,SRB,13
24513,Water Polo,2008,USA,26
24514,Water Polo,2012,AUS,26
24515,Water Polo,2012,CHN,13
24516,Water Polo,2012,CRO,13
24517,Water Polo,2012,ESP,25
24518,Water Polo,2012,GBR,26
24519,Water Polo,2012,GRE,13
24520,Water Polo,2012,HUN,26
24521,Water Polo,2012,ITA,26
24522,Water Polo,2012,KAZ,12
24523,Water Polo,2012,MNE,13
24524,Water Polo,2012,ROU,13
24525,Water Polo,2012,RUS,13
24526,Water Polo,2012,SRB,13
24527,Water Polo,2012,USA,25
24528,Water Polo,2016,AUS,26
24529,Water Polo,2016,BRA,26
24530,Water Polo,2016,CHN,13
24531,Water Polo,2016,CRO,13
24532,Water Polo,2016,ESP,26
24533,Water Polo,2016,FRA,12
24534,Water Polo,2016,GRE,13
24535,Water Polo,2016,HUN,26
24536,Water Polo,2016,ITA,26
24537,Water Polo,2016,JPN,12
24538,Water Polo,2016,MNE,13
24539,Water Polo,2016,RUS,13
24540,Water Polo,2016,SRB,13
24541,Water Polo,2016,USA,26
