lindex,Sport,Year,Country,count
24542,Weightlifting,1896,DEN,2
24543,Weightlifting,1896,GBR,2
24544,Weightlifting,1896,GER,1
24545,Weightlifting,1896,GRE,4
24546,Weightlifting,1896,HUN,1
24547,Weightlifting,1904,GER,2
24548,Weightlifting,1904,GRE,1
24549,Weightlifting,1904,USA,4
24550,Weightlifting,1906,AUT,2
24551,Weightlifting,1906,BEL,2
24552,Weightlifting,1906,FRA,2
24553,Weightlifting,1906,GER,4
24554,Weightlifting,1906,GRE,9
24555,Weightlifting,1906,ITA,2
24556,Weightlifting,1906,SWE,1
24557,Weightlifting,1920,BEL,7
24558,Weightlifting,1920,DEN,5
24559,Weightlifting,1920,EGY,1
24560,Weightlifting,1920,EST,3
24561,Weightlifting,1920,FIN,1
24562,Weightlifting,1920,FRA,10
24563,Weightlifting,1920,GBR,2
24564,Weightlifting,1920,GRE,1
24565,Weightlifting,1920,ITA,5
24566,Weightlifting,1920,LUX,3
24567,Weightlifting,1920,NED,5
24568,Weightlifting,1920,SUI,2
24569,Weightlifting,1920,SWE,6
24570,Weightlifting,1920,TCH,2
24571,Weightlifting,1924,ARG,3
24572,Weightlifting,1924,AUT,15
24573,Weightlifting,1924,BEL,8
24574,Weightlifting,1924,EGY,1
24575,Weightlifting,1924,EST,8
24576,Weightlifting,1924,FRA,14
24577,Weightlifting,1924,GBR,10
24578,Weightlifting,1924,ITA,15
24579,Weightlifting,1924,LAT,4
24580,Weightlifting,1924,LUX,4
24581,Weightlifting,1924,NED,3
24582,Weightlifting,1924,POR,1
24583,Weightlifting,1924,SUI,9
24584,Weightlifting,1924,SWE,5
24585,Weightlifting,1924,TCH,6
24586,Weightlifting,1924,TUR,1
24587,Weightlifting,1928,ARG,3
24588,Weightlifting,1928,AUT,10
24589,Weightlifting,1928,BEL,8
24590,Weightlifting,1928,DEN,1
24591,Weightlifting,1928,EGY,2
24592,Weightlifting,1928,EST,4
24593,Weightlifting,1928,FRA,10
24594,Weightlifting,1928,GBR,5
24595,Weightlifting,1928,GER,10
24596,Weightlifting,1928,ITA,6
