lindex,Sport,Year,Country,count
25694,Wrestling,1896,GBR,1
25695,Wrestling,1896,GER,1
25696,Wrestling,1896,GRE,2
25697,Wrestling,1896,HUN,1
25698,Wrestling,1904,CAN,2
25699,Wrestling,1904,GER,3
25700,Wrestling,1904,NOR,2
25701,Wrestling,1904,SUI,1
25702,Wrestling,1904,USA,40
25703,Wrestling,1906,AUT,9
25704,Wrestling,1906,BEL,3
25705,Wrestling,1906,BOH,2
25706,Wrestling,1906,DEN,4
25707,Wrestling,1906,EGY,1
25708,Wrestling,1906,FIN,2
25709,Wrestling,1906,FRA,2
25710,Wrestling,1906,GER,2
25711,Wrestling,1906,GRE,9
25712,Wrestling,1906,HUN,3
25713,Wrestling,1906,USA,2
25714,Wrestling,1908,BEL,4
25715,Wrestling,1908,BOH,4
25716,Wrestling,1908,CAN,1
25717,Wrestling,1908,DEN,11
25718,Wrestling,1908,FIN,4
25719,Wrestling,1908,GBR,68
25720,Wrestling,1908,GER,1
25721,Wrestling,1908,HUN,8
25722,Wrestling,1908,ISL,1
25723,Wrestling,1908,ITA,1
25724,Wrestling,1908,NED,9
25725,Wrestling,1908,NOR,1
25726,Wrestling,1908,RUS,4
25727,Wrestling,1908,SWE,10
25728,Wrestling,1908,USA,6
25729,Wrestling,1912,AUT,8
25730,Wrestling,1912,BEL,1
25731,Wrestling,1912,BOH,4
25732,Wrestling,1912,DEN,9
25733,Wrestling,1912,FIN,37
25734,Wrestling,1912,FRA,6
25735,Wrestling,1912,GBR,12
25736,Wrestling,1912,GER,14
25737,Wrestling,1912,GRE,1
25738,Wrestling,1912,HUN,10
25739,Wrestling,1912,ISL,1
25740,Wrestling,1912,ITA,6
25741,Wrestling,1912,NED,3
25742,Wrestling,1912,NOR,9
25743,Wrestling,1912,POR,2
25744,Wrestling,1912,RUS,11
25745,Wrestling,1912,SWE,34
25746,Wrestling,1912,USA,2
25747,Wrestling,1920,BEL,14
25748,Wrestling,1920,CAN,1
25749,Wrestling,1920,DEN,10
25750,Wrestling,1920,EGY,2
25751,Wrestling,1920,EST,4
25752,Wrestling,1920,FIN,18
25753,Wrestling,1920,FRA,17
25754,Wrestling,1920,GBR,10
25755,Wrestling,1920,GRE,7
25756,Wrestling,1920,IND,2
25757,Wrestling,1920,ITA,8
25758,Wrestling,1920,LUX,2
25759,Wrestling,1920,NED,9
25760,Wrestling,1920,NOR,7
25761,Wrestling,1920,RSA,1
25762,Wrestling,1920,SUI,4
25763,Wrestling,1920,SWE,15
25764,Wrestling,1920,TCH,10
25765,Wrestling,1920,USA,20
25766,Wrestling,1924,AUS,1
25767,Wrestling,1924,AUT,8
25768,Wrestling,1924,BEL,17
25769,Wrestling,1924,CAN,5
25770,Wrestling,1924,DEN,16
25771,Wrestling,1924,EGY,2
25772,Wrestling,1924,ESP,4
25773,Wrestling,1924,EST,11
25774,Wrestling,1924,FIN,24
25775,Wrestling,1924,FRA,24
25776,Wrestling,1924,GBR,14
25777,Wrestling,1924,GRE,2
25778,Wrestling,1924,HUN,12
25779,Wrestling,1924,ITA,17
25780,Wrestling,1924,JPN,2
25781,Wrestling,1924,LAT,6
25782,Wrestling,1924,LUX,2
25783,Wrestling,1924,NED,8
25784,Wrestling,1924,NOR,7
25785,Wrestling,1924,POL,2
25786,Wrestling,1924,SUI,12
25787,Wrestling,1924,SWE,18
25788,Wrestling,1924,TCH,9
25789,Wrestling,1924,TUR,5
25790,Wrestling,1924,USA,14
25791,Wrestling,1924,YUG,2
25792,Wrestling,1928,ARG,5
25793,Wrestling,1928,AUS,3
25794,Wrestling,1928,AUT,2
25795,Wrestling,1928,BEL,13
25796,Wrestling,1928,CAN,5
25797,Wrestling,1928,DEN,8
25798,Wrestling,1928,EGY,4
25799,Wrestling,1928,EST,8
25800,Wrestling,1928,FIN,13
25801,Wrestling,1928,FRA,13
25802,Wrestling,1928,GBR,6
25803,Wrestling,1928,GER,6
25804,Wrestling,1928,GRE,3
