lindex,Sport,Year,Height,count
540,Archery,1904,165.0,2
541,Archery,1904,169.0,3
542,Archery,1904,174.0,3
543,Archery,1972,153.0,1
544,Archery,1972,155.0,1
545,Archery,1972,156.0,1
546,Archery,1972,157.0,2
547,Archery,1972,159.0,1
548,Archery,1972,160.0,2
549,Archery,1972,162.0,5
550,Archery,1972,163.0,1
551,Archery,1972,164.0,1
552,Archery,1972,165.0,2
553,Archery,1972,166.0,2
554,Archery,1972,167.0,5
555,Archery,1972,168.0,5
556,Archery,1972,169.0,7
557,Archery,1972,170.0,6
558,Archery,1972,171.0,3
559,Archery,1972,172.0,5
560,Archery,1972,173.0,5
561,Archery,1972,174.0,3
562,Archery,1972,175.0,3
563,Archery,1972,176.0,2
564,Archery,1972,177.0,2
565,Archery,1972,178.0,3
566,Archery,1972,179.0,3
567,Archery,1972,180.0,8
568,Archery,1972,181.0,4
569,Archery,1972,183.0,3
570,Archery,1972,184.0,2
571,Archery,1972,185.0,1
572,Archery,1972,187.0,1
573,Archery,1972,189.0,3
574,Archery,1976,156.0,3
575,Archery,1976,157.0,1
576,Archery,1976,158.0,1
577,Archery,1976,159.0,1
578,Archery,1976,161.0,1
579,Archery,1976,162.0,1
580,Archery,1976,163.0,1
581,Archery,1976,164.0,1
582,Archery,1976,165.0,6
583,Archery,1976,166.0,1
584,Archery,1976,167.0,3
585,Archery,1976,168.0,3
586,Archery,1976,169.0,1
587,Archery,1976,170.0,7
588,Archery,1976,171.0,1
589,Archery,1976,172.0,5
590,Archery,1976,173.0,5
591,Archery,1976,174.0,1
592,Archery,1976,175.0,5
593,Archery,1976,176.0,2
594,Archery,1976,177.0,1
595,Archery,1976,178.0,2
596,Archery,1976,179.0,3
597,Archery,1976,180.0,5
598,Archery,1976,182.0,1
599,Archery,1976,185.0,2
600,Archery,1980,157.0,1
601,Archery,1980,158.0,1
602,Archery,1980,162.0,2
603,Archery,1980,163.0,1
604,Archery,1980,164.0,3
605,Archery,1980,165.0,3
606,Archery,1980,166.0,4
607,Archery,1980,167.0,3
608,Archery,1980,168.0,4
609,Archery,1980,169.0,3
610,Archery,1980,170.0,3
611,Archery,1980,171.0,1
612,Archery,1980,172.0,1
613,Archery,1980,173.0,4
614,Archery,1980,174.0,5
615,Archery,1980,175.0,2
616,Archery,1980,176.0,6
617,Archery,1980,177.0,1
618,Archery,1980,178.0,5
619,Archery,1980,179.0,2
620,Archery,1980,180.0,3
621,Archery,1980,182.0,1
622,Archery,1980,183.0,2
623,Archery,1980,184.0,1
624,Archery,1980,185.0,2
625,Archery,1980,186.0,1
626,Archery,1980,188.0,1
627,Archery,1984,152.0,1
628,Archery,1984,156.0,1
629,Archery,1984,157.0,5
630,Archery,1984,159.0,1
631,Archery,1984,160.0,2
632,Archery,1984,161.0,1
633,Archery,1984,162.0,1
634,Archery,1984,163.0,4
635,Archery,1984,164.0,1
636,Archery,1984,165.0,6
637,Archery,1984,166.0,3
638,Archery,1984,167.0,4
639,Archery,1984,168.0,2
640,Archery,1984,169.0,1
641,Archery,1984,170.0,11
642,Archery,1984,171.0,10
643,Archery,1984,172.0,7
644,Archery,1984,173.0,6
645,Archery,1984,174.0,2
646,Archery,1984,175.0,5
647,Archery,1984,176.0,2
648,Archery,1984,178.0,7
649,Archery,1984,179.0,1
650,Archery,1984,180.0,7
651,Archery,1984,181.0,1
652,Archery,1984,183.0,4
653,Archery,1984,184.0,2
654,Archery,1984,185.0,1
655,Archery,1984,186.0,3
656,Archery,1984,187.0,1
657,Archery,1984,188.0,1
658,Archery,1988,152.0,1
659,Archery,1988,153.0,2
660,Archery,1988,155.0,4
661,Archery,1988,156.0,2
662,Archery,1988,157.0,3
663,Archery,1988,159.0,2
664,Archery,1988,160.0,5
665,Archery,1988,161.0,4
666,Archery,1988,162.0,4
667,Archery,1988,163.0,4
668,Archery,1988,164.0,9
669,Archery,1988,165.0,15
670,Archery,1988,166.0,5
671,Archery,1988,167.0,10
672,Archery,1988,168.0,19
673,Archery,1988,169.0,4
674,Archery,1988,170.0,21
675,Archery,1988,171.0,14
676,Archery,1988,172.0,9
677,Archery,1988,173.0,7
678,Archery,1988,174.0,5
679,Archery,1988,175.0,16
680,Archery,1988,176.0,10
681,Archery,1988,177.0,2
682,Archery,1988,178.0,11
683,Archery,1988,179.0,1
684,Archery,1988,180.0,12
685,Archery,1988,181.0,6
686,Archery,1988,182.0,7
687,Archery,1988,183.0,8
688,Archery,1988,184.0,5
689,Archery,1988,185.0,6
690,Archery,1988,186.0,4
691,Archery,1988,187.0,4
692,Archery,1988,188.0,6
693,Archery,1988,190.0,2
694,Archery,1988,195.0,4
695,Archery,1992,157.0,2
696,Archery,1992,159.0,2
697,Archery,1992,160.0,4
698,Archery,1992,162.0,7
699,Archery,1992,163.0,5
700,Archery,1992,164.0,10
701,Archery,1992,165.0,6
702,Archery,1992,167.0,1
703,Archery,1992,168.0,18
704,Archery,1992,169.0,4
705,Archery,1992,170.0,18
706,Archery,1992,171.0,10
707,Archery,1992,172.0,6
708,Archery,1992,173.0,4
709,Archery,1992,174.0,4
710,Archery,1992,175.0,18
711,Archery,1992,176.0,2
712,Archery,1992,178.0,8
713,Archery,1992,179.0,2
714,Archery,1992,180.0,10
715,Archery,1992,181.0,5
716,Archery,1992,182.0,12
717,Archery,1992,184.0,2
718,Archery,1992,185.0,8
719,Archery,1992,186.0,2
720,Archery,1992,187.0,2
721,Archery,1992,188.0,4
722,Archery,1992,189.0,5
723,Archery,1992,190.0,4
724,Archery,1992,191.0,2
725,Archery,1992,195.0,2
726,Archery,1996,153.0,2
727,Archery,1996,157.0,4
728,Archery,1996,159.0,4
729,Archery,1996,162.0,5
730,Archery,1996,163.0,3
731,Archery,1996,164.0,7
732,Archery,1996,165.0,2
733,Archery,1996,167.0,5
734,Archery,1996,168.0,12
735,Archery,1996,169.0,3
736,Archery,1996,170.0,18
737,Archery,1996,171.0,11
738,Archery,1996,172.0,2
739,Archery,1996,173.0,3
740,Archery,1996,174.0,5
741,Archery,1996,175.0,10
742,Archery,1996,176.0,5
743,Archery,1996,177.0,6
744,Archery,1996,178.0,10
745,Archery,1996,180.0,4
746,Archery,1996,181.0,3
747,Archery,1996,182.0,3
748,Archery,1996,183.0,11
749,Archery,1996,184.0,4
750,Archery,1996,185.0,3
751,Archery,1996,186.0,4
752,Archery,1996,187.0,2
753,Archery,1996,188.0,2
754,Archery,1996,189.0,5
755,Archery,1996,190.0,1
756,Archery,1996,191.0,2
757,Archery,2000,153.0,1
758,Archery,2000,157.0,1
759,Archery,2000,158.0,2
760,Archery,2000,160.0,3
761,Archery,2000,161.0,1
762,Archery,2000,163.0,4
763,Archery,2000,164.0,12
764,Archery,2000,165.0,14
765,Archery,2000,166.0,2
766,Archery,2000,167.0,11
767,Archery,2000,168.0,13
768,Archery,2000,170.0,25
769,Archery,2000,171.0,7
770,Archery,2000,172.0,8
771,Archery,2000,173.0,2
772,Archery,2000,174.0,4
773,Archery,2000,175.0,18
774,Archery,2000,176.0,4
775,Archery,2000,177.0,3
776,Archery,2000,178.0,12
777,Archery,2000,180.0,7
778,Archery,2000,181.0,2
779,Archery,2000,182.0,3
780,Archery,2000,183.0,12
781,Archery,2000,184.0,3
782,Archery,2000,185.0,8
783,Archery,2000,186.0,4
784,Archery,2000,187.0,2
785,Archery,2000,188.0,2
786,Archery,2000,189.0,6
787,Archery,2000,190.0,2
788,Archery,2000,191.0,2
789,Archery,2000,196.0,2
790,Archery,2000,197.0,2
791,Archery,2004,157.0,3
792,Archery,2004,158.0,2
793,Archery,2004,160.0,3
794,Archery,2004,162.0,3
795,Archery,2004,163.0,2
796,Archery,2004,164.0,8
797,Archery,2004,165.0,14
798,Archery,2004,166.0,1
799,Archery,2004,167.0,17
800,Archery,2004,168.0,14
801,Archery,2004,169.0,8
802,Archery,2004,170.0,17
803,Archery,2004,171.0,4
804,Archery,2004,172.0,14
805,Archery,2004,173.0,5
806,Archery,2004,174.0,7
807,Archery,2004,175.0,12
808,Archery,2004,176.0,3
809,Archery,2004,177.0,2
810,Archery,2004,178.0,14
811,Archery,2004,179.0,4
812,Archery,2004,180.0,9
813,Archery,2004,181.0,7
814,Archery,2004,182.0,1
815,Archery,2004,183.0,8
816,Archery,2004,184.0,6
817,Archery,2004,185.0,7
818,Archery,2004,186.0,3
819,Archery,2004,187.0,2
820,Archery,2004,188.0,3
821,Archery,2004,191.0,4
822,Archery,2004,193.0,2
823,Archery,2004,194.0,1
824,Archery,2004,197.0,2
825,Archery,2008,155.0,4
826,Archery,2008,160.0,6
827,Archery,2008,161.0,2
828,Archery,2008,162.0,8
829,Archery,2008,163.0,5
830,Archery,2008,164.0,8
831,Archery,2008,165.0,8
832,Archery,2008,166.0,5
833,Archery,2008,167.0,4
834,Archery,2008,168.0,13
835,Archery,2008,169.0,9
836,Archery,2008,170.0,11
837,Archery,2008,171.0,3
838,Archery,2008,172.0,8
839,Archery,2008,173.0,6
840,Archery,2008,174.0,2
841,Archery,2008,175.0,6
842,Archery,2008,176.0,10
843,Archery,2008,177.0,3
844,Archery,2008,178.0,19
845,Archery,2008,179.0,2
846,Archery,2008,180.0,12
847,Archery,2008,181.0,8
848,Archery,2008,182.0,4
849,Archery,2008,183.0,5
850,Archery,2008,184.0,4
851,Archery,2008,185.0,4
852,Archery,2008,186.0,4
853,Archery,2008,188.0,3
854,Archery,2008,189.0,2
855,Archery,2008,190.0,1
856,Archery,2008,191.0,3
857,Archery,2008,193.0,1
858,Archery,2012,152.0,4
859,Archery,2012,156.0,1
860,Archery,2012,157.0,1
861,Archery,2012,158.0,2
862,Archery,2012,159.0,2
863,Archery,2012,160.0,5
864,Archery,2012,161.0,5
865,Archery,2012,162.0,5
866,Archery,2012,163.0,5
867,Archery,2012,164.0,10
868,Archery,2012,165.0,6
869,Archery,2012,166.0,2
870,Archery,2012,167.0,6
871,Archery,2012,168.0,4
872,Archery,2012,169.0,9
873,Archery,2012,170.0,11
874,Archery,2012,171.0,8
875,Archery,2012,172.0,5
876,Archery,2012,173.0,2
877,Archery,2012,174.0,9
878,Archery,2012,175.0,11
879,Archery,2012,176.0,5
880,Archery,2012,177.0,1
881,Archery,2012,178.0,20
882,Archery,2012,179.0,8
883,Archery,2012,180.0,14
884,Archery,2012,181.0,7
885,Archery,2012,182.0,8
886,Archery,2012,183.0,7
887,Archery,2012,184.0,4
888,Archery,2012,186.0,1
889,Archery,2012,187.0,2
890,Archery,2012,188.0,2
891,Archery,2012,190.0,2
892,Archery,2012,191.0,1
893,Archery,2012,193.0,4
894,Archery,2012,194.0,1
895,Archery,2016,153.0,2
896,Archery,2016,157.0,2
897,Archery,2016,158.0,4
898,Archery,2016,159.0,2
899,Archery,2016,160.0,7
900,Archery,2016,161.0,3
901,Archery,2016,162.0,8
902,Archery,2016,163.0,5
903,Archery,2016,164.0,6
904,Archery,2016,165.0,4
905,Archery,2016,166.0,6
906,Archery,2016,167.0,3
907,Archery,2016,168.0,8
908,Archery,2016,169.0,13
909,Archery,2016,170.0,5
910,Archery,2016,171.0,5
911,Archery,2016,172.0,7
912,Archery,2016,173.0,4
913,Archery,2016,174.0,7
914,Archery,2016,175.0,12
915,Archery,2016,176.0,6
916,Archery,2016,177.0,2
917,Archery,2016,178.0,12
918,Archery,2016,180.0,18
919,Archery,2016,181.0,13
920,Archery,2016,182.0,1
921,Archery,2016,183.0,10
922,Archery,2016,184.0,6
923,Archery,2016,185.0,4
924,Archery,2016,186.0,6
925,Archery,2016,188.0,3
926,Archery,2016,190.0,1
927,Archery,2016,191.0,2
928,Archery,2016,194.0,1
