lindex,Sport,Year,Height,count
929,Art Competitions,1924,170.0,2
930,Art Competitions,1924,172.0,1
931,Art Competitions,1924,175.0,6
932,Art Competitions,1928,164.0,2
933,Art Competitions,1928,174.0,2
934,Art Competitions,1932,150.0,4
935,Art Competitions,1932,160.0,1
936,Art Competitions,1932,163.0,1
937,Art Competitions,1932,166.0,1
938,Art Competitions,1932,168.0,1
939,Art Competitions,1932,170.0,2
940,Art Competitions,1932,173.0,3
941,Art Competitions,1932,174.0,1
942,Art Competitions,1932,175.0,5
943,Art Competitions,1932,177.0,2
944,Art Competitions,1932,178.0,8
945,Art Competitions,1932,179.0,1
946,Art Competitions,1932,182.0,1
947,Art Competitions,1932,183.0,2
948,Art Competitions,1932,184.0,4
949,Art Competitions,1932,188.0,4
950,Art Competitions,1932,190.0,1
951,Art Competitions,1936,175.0,1
952,Art Competitions,1936,183.0,1
953,Art Competitions,1936,184.0,1
954,Art Competitions,1948,176.0,1
