lindex,Sport,Year,Height,count
2225,Badminton,1992,156.0,2
2226,Badminton,1992,157.0,2
2227,Badminton,1992,158.0,3
2228,Badminton,1992,159.0,2
2229,Badminton,1992,160.0,3
2230,Badminton,1992,161.0,6
2231,Badminton,1992,162.0,4
2232,Badminton,1992,163.0,3
2233,Badminton,1992,164.0,5
2234,Badminton,1992,165.0,12
2235,Badminton,1992,166.0,3
2236,Badminton,1992,167.0,4
2237,Badminton,1992,168.0,2
2238,Badminton,1992,169.0,1
2239,Badminton,1992,170.0,11
2240,Badminton,1992,171.0,9
2241,Badminton,1992,172.0,13
2242,Badminton,1992,173.0,4
2243,Badminton,1992,174.0,10
2244,Badminton,1992,175.0,9
2245,Badminton,1992,176.0,5
2246,Badminton,1992,177.0,2
2247,Badminton,1992,178.0,10
2248,Badminton,1992,179.0,6
2249,Badminton,1992,180.0,14
2250,Badminton,1992,181.0,4
2251,Badminton,1992,182.0,11
2252,Badminton,1992,183.0,11
2253,Badminton,1992,184.0,6
2254,Badminton,1992,185.0,5
2255,Badminton,1992,186.0,3
2256,Badminton,1992,187.0,2
2257,Badminton,1992,188.0,1
2258,Badminton,1992,189.0,2
2259,Badminton,1992,191.0,1
2260,Badminton,1992,192.0,2
2261,Badminton,1992,193.0,1
2262,Badminton,1996,157.0,3
2263,Badminton,1996,159.0,3
2264,Badminton,1996,160.0,3
2265,Badminton,1996,161.0,7
2266,Badminton,1996,162.0,5
2267,Badminton,1996,163.0,12
2268,Badminton,1996,164.0,7
2269,Badminton,1996,165.0,6
2270,Badminton,1996,167.0,3
2271,Badminton,1996,168.0,3
2272,Badminton,1996,169.0,5
2273,Badminton,1996,170.0,10
2274,Badminton,1996,171.0,11
2275,Badminton,1996,172.0,10
2276,Badminton,1996,173.0,12
2277,Badminton,1996,174.0,7
2278,Badminton,1996,175.0,12
2279,Badminton,1996,176.0,5
2280,Badminton,1996,177.0,2
2281,Badminton,1996,178.0,11
2282,Badminton,1996,179.0,9
2283,Badminton,1996,180.0,11
2284,Badminton,1996,181.0,4
2285,Badminton,1996,182.0,17
2286,Badminton,1996,183.0,6
2287,Badminton,1996,184.0,7
2288,Badminton,1996,185.0,9
2289,Badminton,1996,186.0,6
2290,Badminton,1996,187.0,4
2291,Badminton,1996,188.0,1
2292,Badminton,1996,189.0,4
2293,Badminton,1996,191.0,6
2294,Badminton,1996,192.0,2
2295,Badminton,1996,193.0,2
2296,Badminton,1996,199.0,1
2297,Badminton,2000,150.0,2
2298,Badminton,2000,154.0,1
2299,Badminton,2000,159.0,4
2300,Badminton,2000,160.0,5
2301,Badminton,2000,161.0,3
2302,Badminton,2000,162.0,5
2303,Badminton,2000,163.0,10
2304,Badminton,2000,164.0,4
2305,Badminton,2000,165.0,12
2306,Badminton,2000,166.0,3
2307,Badminton,2000,167.0,8
2308,Badminton,2000,168.0,5
2309,Badminton,2000,169.0,9
2310,Badminton,2000,170.0,9
2311,Badminton,2000,171.0,11
2312,Badminton,2000,172.0,8
2313,Badminton,2000,173.0,9
2314,Badminton,2000,174.0,13
2315,Badminton,2000,175.0,15
2316,Badminton,2000,176.0,1
2317,Badminton,2000,177.0,6
2318,Badminton,2000,178.0,9
2319,Badminton,2000,179.0,8
2320,Badminton,2000,180.0,11
2321,Badminton,2000,181.0,4
2322,Badminton,2000,182.0,10
2323,Badminton,2000,183.0,7
2324,Badminton,2000,184.0,6
2325,Badminton,2000,185.0,3
2326,Badminton,2000,186.0,5
2327,Badminton,2000,187.0,8
2328,Badminton,2000,188.0,2
2329,Badminton,2000,189.0,4
2330,Badminton,2000,190.0,1
2331,Badminton,2000,191.0,2
2332,Badminton,2000,192.0,1
2333,Badminton,2000,199.0,1
2334,Badminton,2004,155.0,2
2335,Badminton,2004,157.0,4
2336,Badminton,2004,158.0,1
2337,Badminton,2004,159.0,1
2338,Badminton,2004,160.0,7
2339,Badminton,2004,161.0,1
2340,Badminton,2004,162.0,5
2341,Badminton,2004,163.0,9
2342,Badminton,2004,164.0,2
2343,Badminton,2004,165.0,6
2344,Badminton,2004,166.0,5
2345,Badminton,2004,167.0,6
2346,Badminton,2004,168.0,11
2347,Badminton,2004,169.0,9
2348,Badminton,2004,170.0,8
2349,Badminton,2004,171.0,12
2350,Badminton,2004,172.0,4
2351,Badminton,2004,173.0,8
2352,Badminton,2004,174.0,7
2353,Badminton,2004,175.0,12
2354,Badminton,2004,176.0,4
2355,Badminton,2004,177.0,5
2356,Badminton,2004,178.0,6
2357,Badminton,2004,179.0,8
2358,Badminton,2004,180.0,10
2359,Badminton,2004,181.0,8
2360,Badminton,2004,182.0,7
2361,Badminton,2004,183.0,7
2362,Badminton,2004,184.0,4
2363,Badminton,2004,185.0,2
2364,Badminton,2004,186.0,2
2365,Badminton,2004,187.0,7
2366,Badminton,2004,188.0,1
2367,Badminton,2004,189.0,1
2368,Badminton,2004,190.0,2
2369,Badminton,2004,191.0,4
2370,Badminton,2004,192.0,1
2371,Badminton,2004,193.0,1
2372,Badminton,2008,155.0,2
2373,Badminton,2008,157.0,2
2374,Badminton,2008,158.0,1
2375,Badminton,2008,159.0,1
2376,Badminton,2008,160.0,4
2377,Badminton,2008,161.0,1
2378,Badminton,2008,162.0,6
2379,Badminton,2008,163.0,5
2380,Badminton,2008,164.0,6
2381,Badminton,2008,165.0,5
2382,Badminton,2008,166.0,4
2383,Badminton,2008,167.0,3
2384,Badminton,2008,168.0,9
2385,Badminton,2008,169.0,11
2386,Badminton,2008,170.0,12
2387,Badminton,2008,171.0,8
2388,Badminton,2008,172.0,4
2389,Badminton,2008,173.0,5
2390,Badminton,2008,174.0,3
2391,Badminton,2008,175.0,14
2392,Badminton,2008,176.0,6
2393,Badminton,2008,177.0,7
