lindex,Sport,Year,Height,count
2482,Baseball,1992,165.0,2
2483,Baseball,1992,168.0,1
2484,Baseball,1992,169.0,2
2485,Baseball,1992,170.0,7
2486,Baseball,1992,171.0,4
2487,Baseball,1992,172.0,7
2488,Baseball,1992,173.0,5
2489,Baseball,1992,174.0,3
2490,Baseball,1992,175.0,9
2491,Baseball,1992,176.0,5
2492,Baseball,1992,177.0,8
2493,Baseball,1992,178.0,6
2494,Baseball,1992,179.0,2
2495,Baseball,1992,180.0,10
2496,Baseball,1992,181.0,3
2497,Baseball,1992,182.0,12
2498,Baseball,1992,183.0,9
2499,Baseball,1992,184.0,3
2500,Baseball,1992,185.0,6
2501,Baseball,1992,186.0,1
2502,Baseball,1992,187.0,5
2503,Baseball,1992,188.0,15
2504,Baseball,1992,189.0,3
2505,Baseball,1992,190.0,6
2506,Baseball,1992,192.0,1
2507,Baseball,1992,193.0,1
2508,Baseball,1992,195.0,1
2509,Baseball,1992,198.0,2
2510,Baseball,1996,170.0,1
2511,Baseball,1996,171.0,2
2512,Baseball,1996,172.0,6
2513,Baseball,1996,173.0,1
2514,Baseball,1996,174.0,3
2515,Baseball,1996,175.0,10
2516,Baseball,1996,176.0,6
2517,Baseball,1996,177.0,4
2518,Baseball,1996,178.0,8
2519,Baseball,1996,179.0,2
2520,Baseball,1996,180.0,16
2521,Baseball,1996,181.0,3
2522,Baseball,1996,182.0,13
2523,Baseball,1996,183.0,9
2524,Baseball,1996,184.0,3
2525,Baseball,1996,185.0,11
2526,Baseball,1996,186.0,3
2527,Baseball,1996,187.0,2
2528,Baseball,1996,188.0,10
2529,Baseball,1996,189.0,4
2530,Baseball,1996,190.0,8
2531,Baseball,1996,191.0,1
2532,Baseball,1996,192.0,1
2533,Baseball,1996,193.0,3
2534,Baseball,1996,195.0,4
2535,Baseball,1996,196.0,2
2536,Baseball,1996,199.0,1
2537,Baseball,2000,147.0,1
2538,Baseball,2000,153.0,1
2539,Baseball,2000,163.0,1
2540,Baseball,2000,166.0,1
2541,Baseball,2000,169.0,1
2542,Baseball,2000,170.0,2
2543,Baseball,2000,171.0,1
2544,Baseball,2000,172.0,3
2545,Baseball,2000,173.0,3
2546,Baseball,2000,174.0,2
2547,Baseball,2000,175.0,6
2548,Baseball,2000,176.0,9
2549,Baseball,2000,177.0,8
2550,Baseball,2000,178.0,10
2551,Baseball,2000,179.0,5
2552,Baseball,2000,180.0,18
2553,Baseball,2000,181.0,3
2554,Baseball,2000,182.0,16
2555,Baseball,2000,183.0,12
2556,Baseball,2000,184.0,10
2557,Baseball,2000,185.0,19
2558,Baseball,2000,186.0,11
2559,Baseball,2000,187.0,7
2560,Baseball,2000,188.0,10
2561,Baseball,2000,189.0,3
2562,Baseball,2000,190.0,9
2563,Baseball,2000,191.0,5
2564,Baseball,2000,192.0,4
2565,Baseball,2000,193.0,2
2566,Baseball,2000,195.0,2
2567,Baseball,2000,196.0,1
2568,Baseball,2000,197.0,1
2569,Baseball,2000,198.0,1
2570,Baseball,2000,206.0,1
2571,Baseball,2004,160.0,2
2572,Baseball,2004,165.0,3
2573,Baseball,2004,170.0,2
2574,Baseball,2004,171.0,1
2575,Baseball,2004,172.0,2
2576,Baseball,2004,173.0,3
2577,Baseball,2004,174.0,2
2578,Baseball,2004,175.0,6
2579,Baseball,2004,176.0,4
2580,Baseball,2004,177.0,9
2581,Baseball,2004,178.0,9
2582,Baseball,2004,179.0,4
2583,Baseball,2004,180.0,18
2584,Baseball,2004,181.0,2
2585,Baseball,2004,182.0,14
2586,Baseball,2004,183.0,15
2587,Baseball,2004,184.0,10
2588,Baseball,2004,185.0,13
2589,Baseball,2004,186.0,14
2590,Baseball,2004,187.0,5
2591,Baseball,2004,188.0,12
2592,Baseball,2004,189.0,2
2593,Baseball,2004,190.0,8
2594,Baseball,2004,191.0,4
2595,Baseball,2004,192.0,10
2596,Baseball,2004,193.0,4
2597,Baseball,2004,195.0,8
2598,Baseball,2004,196.0,2
2599,Baseball,2004,200.0,2
2600,Baseball,2004,201.0,1
2601,Baseball,2008,170.0,3
2602,Baseball,2008,172.0,1
2603,Baseball,2008,173.0,2
2604,Baseball,2008,174.0,1
2605,Baseball,2008,175.0,11
2606,Baseball,2008,176.0,5
2607,Baseball,2008,177.0,5
2608,Baseball,2008,178.0,11
2609,Baseball,2008,179.0,5
2610,Baseball,2008,180.0,21
2611,Baseball,2008,181.0,5
2612,Baseball,2008,182.0,9
2613,Baseball,2008,183.0,16
2614,Baseball,2008,184.0,6
2615,Baseball,2008,185.0,15
2616,Baseball,2008,186.0,11
2617,Baseball,2008,187.0,8
2618,Baseball,2008,188.0,17
2619,Baseball,2008,189.0,4
2620,Baseball,2008,190.0,6
2621,Baseball,2008,191.0,5
2622,Baseball,2008,192.0,8
2623,Baseball,2008,193.0,5
2624,Baseball,2008,194.0,1
2625,Baseball,2008,196.0,7
2626,Baseball,2008,198.0,2
