lindex,Sport,Year,Height,count
3433,Beach Volleyball,1996,165.0,1
3434,Beach Volleyball,1996,167.0,1
3435,Beach Volleyball,1996,168.0,2
3436,Beach Volleyball,1996,170.0,2
3437,Beach Volleyball,1996,172.0,1
3438,Beach Volleyball,1996,173.0,2
3439,Beach Volleyball,1996,174.0,2
3440,Beach Volleyball,1996,175.0,3
3441,Beach Volleyball,1996,176.0,1
3442,Beach Volleyball,1996,177.0,2
3443,Beach Volleyball,1996,178.0,3
3444,Beach Volleyball,1996,179.0,2
3445,Beach Volleyball,1996,180.0,4
3446,Beach Volleyball,1996,181.0,1
3447,Beach Volleyball,1996,183.0,1
3448,Beach Volleyball,1996,184.0,4
3449,Beach Volleyball,1996,185.0,3
3450,Beach Volleyball,1996,186.0,2
3451,Beach Volleyball,1996,188.0,1
3452,Beach Volleyball,1996,189.0,4
3453,Beach Volleyball,1996,190.0,7
3454,Beach Volleyball,1996,191.0,1
3455,Beach Volleyball,1996,192.0,4
3456,Beach Volleyball,1996,193.0,4
3457,Beach Volleyball,1996,196.0,2
3458,Beach Volleyball,1996,198.0,2
3459,Beach Volleyball,1996,199.0,1
3460,Beach Volleyball,1996,200.0,1
3461,Beach Volleyball,1996,202.0,1
3462,Beach Volleyball,2000,165.0,2
3463,Beach Volleyball,2000,168.0,1
3464,Beach Volleyball,2000,169.0,2
3465,Beach Volleyball,2000,170.0,2
3466,Beach Volleyball,2000,172.0,2
3467,Beach Volleyball,2000,173.0,2
3468,Beach Volleyball,2000,174.0,1
3469,Beach Volleyball,2000,175.0,4
3470,Beach Volleyball,2000,176.0,1
3471,Beach Volleyball,2000,177.0,5
3472,Beach Volleyball,2000,178.0,4
3473,Beach Volleyball,2000,179.0,3
3474,Beach Volleyball,2000,180.0,8
3475,Beach Volleyball,2000,181.0,3
3476,Beach Volleyball,2000,182.0,4
3477,Beach Volleyball,2000,183.0,1
3478,Beach Volleyball,2000,184.0,3
3479,Beach Volleyball,2000,186.0,4
3480,Beach Volleyball,2000,187.0,1
3481,Beach Volleyball,2000,188.0,2
3482,Beach Volleyball,2000,189.0,3
3483,Beach Volleyball,2000,190.0,7
3484,Beach Volleyball,2000,191.0,3
3485,Beach Volleyball,2000,192.0,3
3486,Beach Volleyball,2000,193.0,7
3487,Beach Volleyball,2000,194.0,3
3488,Beach Volleyball,2000,195.0,2
3489,Beach Volleyball,2000,196.0,2
3490,Beach Volleyball,2000,198.0,3
3491,Beach Volleyball,2000,199.0,1
3492,Beach Volleyball,2000,200.0,4
3493,Beach Volleyball,2000,201.0,1
3494,Beach Volleyball,2000,202.0,1
3495,Beach Volleyball,2000,208.0,1
3496,Beach Volleyball,2004,165.0,1
3497,Beach Volleyball,2004,168.0,1
3498,Beach Volleyball,2004,170.0,3
3499,Beach Volleyball,2004,172.0,1
3500,Beach Volleyball,2004,174.0,2
3501,Beach Volleyball,2004,175.0,3
3502,Beach Volleyball,2004,176.0,1
3503,Beach Volleyball,2004,177.0,6
3504,Beach Volleyball,2004,178.0,4
3505,Beach Volleyball,2004,179.0,2
3506,Beach Volleyball,2004,180.0,6
3507,Beach Volleyball,2004,181.0,4
3508,Beach Volleyball,2004,182.0,3
3509,Beach Volleyball,2004,183.0,5
3510,Beach Volleyball,2004,184.0,5
3511,Beach Volleyball,2004,185.0,1
3512,Beach Volleyball,2004,186.0,5
3513,Beach Volleyball,2004,187.0,1
3514,Beach Volleyball,2004,188.0,2
3515,Beach Volleyball,2004,189.0,2
3516,Beach Volleyball,2004,190.0,8
3517,Beach Volleyball,2004,191.0,3
3518,Beach Volleyball,2004,192.0,2
3519,Beach Volleyball,2004,193.0,7
3520,Beach Volleyball,2004,194.0,3
3521,Beach Volleyball,2004,195.0,4
3522,Beach Volleyball,2004,196.0,5
3523,Beach Volleyball,2004,198.0,2
3524,Beach Volleyball,2004,199.0,2
3525,Beach Volleyball,2004,200.0,1
3526,Beach Volleyball,2004,201.0,1
3527,Beach Volleyball,2008,166.0,1
3528,Beach Volleyball,2008,169.0,1
3529,Beach Volleyball,2008,170.0,1
3530,Beach Volleyball,2008,171.0,2
3531,Beach Volleyball,2008,172.0,2
3532,Beach Volleyball,2008,174.0,2
3533,Beach Volleyball,2008,175.0,3
3534,Beach Volleyball,2008,177.0,6
3535,Beach Volleyball,2008,178.0,1
3536,Beach Volleyball,2008,180.0,4
3537,Beach Volleyball,2008,181.0,4
3538,Beach Volleyball,2008,182.0,3
3539,Beach Volleyball,2008,183.0,5
3540,Beach Volleyball,2008,184.0,2
3541,Beach Volleyball,2008,185.0,1
3542,Beach Volleyball,2008,186.0,5
3543,Beach Volleyball,2008,187.0,3
3544,Beach Volleyball,2008,188.0,6
3545,Beach Volleyball,2008,189.0,1
3546,Beach Volleyball,2008,190.0,5
3547,Beach Volleyball,2008,191.0,6
3548,Beach Volleyball,2008,192.0,2
3549,Beach Volleyball,2008,193.0,4
3550,Beach Volleyball,2008,194.0,6
3551,Beach Volleyball,2008,195.0,2
3552,Beach Volleyball,2008,196.0,2
3553,Beach Volleyball,2008,197.0,2
3554,Beach Volleyball,2008,198.0,2
3555,Beach Volleyball,2008,199.0,2
3556,Beach Volleyball,2008,200.0,2
3557,Beach Volleyball,2008,201.0,1
3558,Beach Volleyball,2008,202.0,2
3559,Beach Volleyball,2008,203.0,1
3560,Beach Volleyball,2008,204.0,2
3561,Beach Volleyball,2008,205.0,1
3562,Beach Volleyball,2008,206.0,1
3563,Beach Volleyball,2012,168.0,1
3564,Beach Volleyball,2012,170.0,3
3565,Beach Volleyball,2012,171.0,2
3566,Beach Volleyball,2012,172.0,1
3567,Beach Volleyball,2012,173.0,1
3568,Beach Volleyball,2012,174.0,2
3569,Beach Volleyball,2012,175.0,2
3570,Beach Volleyball,2012,176.0,2
3571,Beach Volleyball,2012,177.0,2
3572,Beach Volleyball,2012,178.0,4
3573,Beach Volleyball,2012,180.0,8
3574,Beach Volleyball,2012,181.0,6
3575,Beach Volleyball,2012,182.0,2
3576,Beach Volleyball,2012,183.0,7
3577,Beach Volleyball,2012,184.0,1
