lindex,Sport,Year,Height,count
4052,Bobsleigh,1928,168.0,1
4053,Bobsleigh,1928,170.0,2
4054,Bobsleigh,1928,172.0,1
4055,Bobsleigh,1928,173.0,4
4056,Bobsleigh,1928,174.0,1
4057,Bobsleigh,1928,175.0,3
4058,Bobsleigh,1928,180.0,2
4059,Bobsleigh,1928,185.0,1
4060,Bobsleigh,1928,190.0,1
4061,Bobsleigh,1928,194.0,1
4062,Bobsleigh,1928,211.0,1
4063,Bobsleigh,1932,165.0,3
4064,Bobsleigh,1932,168.0,2
4065,Bobsleigh,1932,170.0,4
4066,Bobsleigh,1932,173.0,8
4067,Bobsleigh,1932,175.0,3
4068,Bobsleigh,1932,178.0,6
4069,Bobsleigh,1932,179.0,1
4070,Bobsleigh,1932,180.0,4
4071,Bobsleigh,1932,183.0,2
4072,Bobsleigh,1932,185.0,3
4073,Bobsleigh,1936,153.0,1
4074,Bobsleigh,1936,168.0,2
4075,Bobsleigh,1936,170.0,3
4076,Bobsleigh,1936,173.0,2
4077,Bobsleigh,1936,175.0,2
4078,Bobsleigh,1936,178.0,1
4079,Bobsleigh,1936,180.0,1
4080,Bobsleigh,1936,183.0,2
4081,Bobsleigh,1936,185.0,1
4082,Bobsleigh,1948,168.0,2
4083,Bobsleigh,1948,173.0,1
4084,Bobsleigh,1948,188.0,1
4085,Bobsleigh,1952,180.0,1
4086,Bobsleigh,1952,188.0,1
4087,Bobsleigh,1952,196.0,1
4088,Bobsleigh,1956,165.0,2
4089,Bobsleigh,1956,168.0,3
4090,Bobsleigh,1956,170.0,4
4091,Bobsleigh,1956,171.0,1
4092,Bobsleigh,1956,172.0,3
4093,Bobsleigh,1956,178.0,7
4094,Bobsleigh,1956,180.0,2
4095,Bobsleigh,1956,183.0,3
4096,Bobsleigh,1956,185.0,1
4097,Bobsleigh,1956,187.0,2
4098,Bobsleigh,1956,188.0,2
4099,Bobsleigh,1956,189.0,2
4100,Bobsleigh,1956,199.0,1
4101,Bobsleigh,1964,161.0,2
4102,Bobsleigh,1964,163.0,1
4103,Bobsleigh,1964,166.0,1
4104,Bobsleigh,1964,167.0,1
4105,Bobsleigh,1964,168.0,2
4106,Bobsleigh,1964,170.0,2
4107,Bobsleigh,1964,171.0,2
4108,Bobsleigh,1964,172.0,12
4109,Bobsleigh,1964,173.0,3
4110,Bobsleigh,1964,174.0,2
4111,Bobsleigh,1964,175.0,2
4112,Bobsleigh,1964,176.0,5
4113,Bobsleigh,1964,177.0,3
4114,Bobsleigh,1964,178.0,18
4115,Bobsleigh,1964,180.0,9
4116,Bobsleigh,1964,181.0,2
4117,Bobsleigh,1964,182.0,4
4118,Bobsleigh,1964,183.0,9
4119,Bobsleigh,1964,184.0,3
4120,Bobsleigh,1964,185.0,2
4121,Bobsleigh,1964,186.0,3
4122,Bobsleigh,1964,187.0,2
4123,Bobsleigh,1964,189.0,1
4124,Bobsleigh,1968,160.0,1
4125,Bobsleigh,1968,164.0,2
4126,Bobsleigh,1968,166.0,1
4127,Bobsleigh,1968,167.0,1
4128,Bobsleigh,1968,168.0,2
4129,Bobsleigh,1968,170.0,8
4130,Bobsleigh,1968,171.0,1
4131,Bobsleigh,1968,172.0,8
4132,Bobsleigh,1968,173.0,5
4133,Bobsleigh,1968,174.0,6
4134,Bobsleigh,1968,175.0,9
4135,Bobsleigh,1968,176.0,6
4136,Bobsleigh,1968,177.0,8
4137,Bobsleigh,1968,178.0,11
4138,Bobsleigh,1968,179.0,2
4139,Bobsleigh,1968,180.0,15
4140,Bobsleigh,1968,181.0,2
4141,Bobsleigh,1968,182.0,8
4142,Bobsleigh,1968,183.0,9
4143,Bobsleigh,1968,184.0,5
4144,Bobsleigh,1968,185.0,2
4145,Bobsleigh,1968,186.0,3
4146,Bobsleigh,1968,187.0,1
4147,Bobsleigh,1968,188.0,2
4148,Bobsleigh,1968,190.0,2
4149,Bobsleigh,1972,155.0,1
4150,Bobsleigh,1972,165.0,1
4151,Bobsleigh,1972,168.0,2
4152,Bobsleigh,1972,169.0,2
4153,Bobsleigh,1972,170.0,2
4154,Bobsleigh,1972,171.0,1
4155,Bobsleigh,1972,172.0,17
4156,Bobsleigh,1972,173.0,4
4157,Bobsleigh,1972,174.0,3
4158,Bobsleigh,1972,175.0,5
4159,Bobsleigh,1972,176.0,1
4160,Bobsleigh,1972,177.0,2
4161,Bobsleigh,1972,178.0,15
4162,Bobsleigh,1972,180.0,8
4163,Bobsleigh,1972,181.0,2
4164,Bobsleigh,1972,182.0,9
4165,Bobsleigh,1972,183.0,19
4166,Bobsleigh,1972,184.0,2
4167,Bobsleigh,1972,185.0,2
4168,Bobsleigh,1972,186.0,2
4169,Bobsleigh,1972,187.0,2
4170,Bobsleigh,1972,188.0,5
4171,Bobsleigh,1972,190.0,2
4172,Bobsleigh,1972,201.0,2
4173,Bobsleigh,1976,155.0,2
4174,Bobsleigh,1976,168.0,2
4175,Bobsleigh,1976,169.0,1
4176,Bobsleigh,1976,172.0,6
4177,Bobsleigh,1976,173.0,9
4178,Bobsleigh,1976,174.0,2
4179,Bobsleigh,1976,175.0,2
4180,Bobsleigh,1976,176.0,2
4181,Bobsleigh,1976,177.0,2
4182,Bobsleigh,1976,178.0,13
4183,Bobsleigh,1976,179.0,5
4184,Bobsleigh,1976,180.0,11
4185,Bobsleigh,1976,181.0,2
4186,Bobsleigh,1976,182.0,4
4187,Bobsleigh,1976,183.0,7
4188,Bobsleigh,1976,184.0,1
4189,Bobsleigh,1976,185.0,4
4190,Bobsleigh,1976,186.0,7
4191,Bobsleigh,1976,187.0,2
4192,Bobsleigh,1976,188.0,4
4193,Bobsleigh,1976,189.0,1
4194,Bobsleigh,1976,190.0,2
4195,Bobsleigh,1980,155.0,2
4196,Bobsleigh,1980,170.0,1
4197,Bobsleigh,1980,172.0,3
4198,Bobsleigh,1980,173.0,4
4199,Bobsleigh,1980,174.0,3
4200,Bobsleigh,1980,175.0,1
4201,Bobsleigh,1980,176.0,3
4202,Bobsleigh,1980,177.0,6
4203,Bobsleigh,1980,178.0,3
4204,Bobsleigh,1980,180.0,13
4205,Bobsleigh,1980,181.0,2
4206,Bobsleigh,1980,182.0,1
4207,Bobsleigh,1980,183.0,10
4208,Bobsleigh,1980,184.0,2
4209,Bobsleigh,1980,185.0,9
