lindex,Sport,Year,Height,count
5271,Canoeing,1936,176.0,1
5272,Canoeing,1936,178.0,2
5273,Canoeing,1936,186.0,2
5274,Canoeing,1936,188.0,2
5275,Canoeing,1948,168.0,2
5276,Canoeing,1948,170.0,2
5277,Canoeing,1948,172.0,1
5278,Canoeing,1948,173.0,2
5279,Canoeing,1948,174.0,1
5280,Canoeing,1948,176.0,3
5281,Canoeing,1948,177.0,1
5282,Canoeing,1948,178.0,2
5283,Canoeing,1948,179.0,2
5284,Canoeing,1948,184.0,1
5285,Canoeing,1948,186.0,2
5286,Canoeing,1948,188.0,1
5287,Canoeing,1952,165.0,4
5288,Canoeing,1952,168.0,2
5289,Canoeing,1952,170.0,2
5290,Canoeing,1952,172.0,1
5291,Canoeing,1952,173.0,4
5292,Canoeing,1952,174.0,3
5293,Canoeing,1952,175.0,3
5294,Canoeing,1952,176.0,4
5295,Canoeing,1952,177.0,1
5296,Canoeing,1952,178.0,4
5297,Canoeing,1952,180.0,2
5298,Canoeing,1952,182.0,3
5299,Canoeing,1952,183.0,1
5300,Canoeing,1952,184.0,1
5301,Canoeing,1952,186.0,1
5302,Canoeing,1952,188.0,2
5303,Canoeing,1956,160.0,1
5304,Canoeing,1956,165.0,3
5305,Canoeing,1956,166.0,2
5306,Canoeing,1956,168.0,1
5307,Canoeing,1956,169.0,2
5308,Canoeing,1956,170.0,2
5309,Canoeing,1956,171.0,4
5310,Canoeing,1956,172.0,3
5311,Canoeing,1956,173.0,2
5312,Canoeing,1956,174.0,4
5313,Canoeing,1956,175.0,4
5314,Canoeing,1956,176.0,4
5315,Canoeing,1956,177.0,2
5316,Canoeing,1956,178.0,4
5317,Canoeing,1956,180.0,6
5318,Canoeing,1956,181.0,1
5319,Canoeing,1956,182.0,2
5320,Canoeing,1956,183.0,3
5321,Canoeing,1956,184.0,1
5322,Canoeing,1956,185.0,2
5323,Canoeing,1956,186.0,1
5324,Canoeing,1956,188.0,2
5325,Canoeing,1960,151.0,1
5326,Canoeing,1960,153.0,1
5327,Canoeing,1960,159.0,1
5328,Canoeing,1960,160.0,3
5329,Canoeing,1960,161.0,2
5330,Canoeing,1960,162.0,1
5331,Canoeing,1960,163.0,3
5332,Canoeing,1960,164.0,2
5333,Canoeing,1960,165.0,8
5334,Canoeing,1960,166.0,2
5335,Canoeing,1960,167.0,6
5336,Canoeing,1960,168.0,6
5337,Canoeing,1960,169.0,5
5338,Canoeing,1960,170.0,8
5339,Canoeing,1960,171.0,2
5340,Canoeing,1960,172.0,11
5341,Canoeing,1960,173.0,11
5342,Canoeing,1960,174.0,13
5343,Canoeing,1960,175.0,12
5344,Canoeing,1960,176.0,10
5345,Canoeing,1960,177.0,12
5346,Canoeing,1960,178.0,17
5347,Canoeing,1960,179.0,12
5348,Canoeing,1960,180.0,14
5349,Canoeing,1960,181.0,9
5350,Canoeing,1960,182.0,13
5351,Canoeing,1960,183.0,5
5352,Canoeing,1960,184.0,3
5353,Canoeing,1960,185.0,2
5354,Canoeing,1960,186.0,1
5355,Canoeing,1960,187.0,1
5356,Canoeing,1960,188.0,6
5357,Canoeing,1960,189.0,1
5358,Canoeing,1960,190.0,5
5359,Canoeing,1960,192.0,1
5360,Canoeing,1960,193.0,1
5361,Canoeing,1964,160.0,8
5362,Canoeing,1964,161.0,3
5363,Canoeing,1964,163.0,1
5364,Canoeing,1964,164.0,4
5365,Canoeing,1964,165.0,3
5366,Canoeing,1964,167.0,3
5367,Canoeing,1964,168.0,5
5368,Canoeing,1964,169.0,3
5369,Canoeing,1964,170.0,7
5370,Canoeing,1964,171.0,1
5371,Canoeing,1964,172.0,6
5372,Canoeing,1964,173.0,9
5373,Canoeing,1964,174.0,7
5374,Canoeing,1964,175.0,10
5375,Canoeing,1964,176.0,9
5376,Canoeing,1964,177.0,7
5377,Canoeing,1964,178.0,11
5378,Canoeing,1964,179.0,11
5379,Canoeing,1964,180.0,12
