lindex,Sport,Year,Height,count
6511,Curling,1924,152.0,1
6512,Curling,1924,170.0,1
6513,Curling,1998,157.0,2
6514,Curling,1998,158.0,1
6515,Curling,1998,159.0,1
6516,Curling,1998,160.0,2
6517,Curling,1998,163.0,2
6518,Curling,1998,164.0,4
6519,Curling,1998,165.0,3
6520,Curling,1998,166.0,1
6521,Curling,1998,167.0,1
6522,Curling,1998,168.0,2
6523,Curling,1998,169.0,3
6524,Curling,1998,170.0,9
6525,Curling,1998,171.0,3
6526,Curling,1998,172.0,1
6527,Curling,1998,173.0,3
6528,Curling,1998,174.0,1
6529,Curling,1998,175.0,2
6530,Curling,1998,176.0,1
6531,Curling,1998,177.0,3
6532,Curling,1998,178.0,5
6533,Curling,1998,179.0,1
6534,Curling,1998,180.0,6
6535,Curling,1998,181.0,1
6536,Curling,1998,182.0,2
6537,Curling,1998,183.0,3
6538,Curling,1998,184.0,4
6539,Curling,1998,185.0,4
6540,Curling,1998,186.0,2
6541,Curling,1998,187.0,3
6542,Curling,1998,188.0,3
6543,Curling,1998,189.0,1
6544,Curling,2002,153.0,1
6545,Curling,2002,155.0,1
6546,Curling,2002,156.0,1
6547,Curling,2002,157.0,1
6548,Curling,2002,158.0,1
6549,Curling,2002,159.0,1
6550,Curling,2002,160.0,2
6551,Curling,2002,162.0,1
6552,Curling,2002,163.0,2
6553,Curling,2002,164.0,3
6554,Curling,2002,165.0,5
6555,Curling,2002,166.0,2
6556,Curling,2002,167.0,2
6557,Curling,2002,168.0,4
6558,Curling,2002,169.0,1
6559,Curling,2002,170.0,5
6560,Curling,2002,171.0,1
6561,Curling,2002,172.0,5
6562,Curling,2002,173.0,2
6563,Curling,2002,174.0,3
6564,Curling,2002,175.0,4
6565,Curling,2002,176.0,1
6566,Curling,2002,177.0,1
6567,Curling,2002,178.0,6
6568,Curling,2002,179.0,6
6569,Curling,2002,180.0,8
6570,Curling,2002,181.0,2
6571,Curling,2002,182.0,1
6572,Curling,2002,183.0,6
6573,Curling,2002,184.0,4
6574,Curling,2002,185.0,4
6575,Curling,2002,186.0,1
6576,Curling,2002,187.0,3
6577,Curling,2002,188.0,2
6578,Curling,2002,189.0,2
6579,Curling,2002,193.0,1
6580,Curling,2006,153.0,1
6581,Curling,2006,154.0,1
6582,Curling,2006,155.0,1
6583,Curling,2006,156.0,1
6584,Curling,2006,157.0,1
6585,Curling,2006,160.0,2
6586,Curling,2006,161.0,1
6587,Curling,2006,162.0,3
6588,Curling,2006,163.0,2
6589,Curling,2006,164.0,1
6590,Curling,2006,165.0,3
6591,Curling,2006,167.0,3
6592,Curling,2006,168.0,4
6593,Curling,2006,169.0,7
6594,Curling,2006,170.0,6
6595,Curling,2006,172.0,2
6596,Curling,2006,173.0,1
6597,Curling,2006,174.0,2
6598,Curling,2006,175.0,6
6599,Curling,2006,176.0,2
6600,Curling,2006,177.0,6
6601,Curling,2006,178.0,3
6602,Curling,2006,179.0,3
6603,Curling,2006,180.0,2
6604,Curling,2006,181.0,3
6605,Curling,2006,182.0,3
6606,Curling,2006,183.0,8
6607,Curling,2006,184.0,2
6608,Curling,2006,185.0,5
6609,Curling,2006,186.0,1
6610,Curling,2006,187.0,2
6611,Curling,2006,188.0,1
6612,Curling,2006,189.0,2
6613,Curling,2010,154.0,1
6614,Curling,2010,155.0,1
6615,Curling,2010,160.0,1
6616,Curling,2010,161.0,1
6617,Curling,2010,162.0,3
6618,Curling,2010,163.0,3
6619,Curling,2010,164.0,2
6620,Curling,2010,165.0,6
6621,Curling,2010,166.0,1
6622,Curling,2010,167.0,1
6623,Curling,2010,168.0,6
6624,Curling,2010,169.0,5
6625,Curling,2010,170.0,3
6626,Curling,2010,171.0,1
6627,Curling,2010,172.0,1
6628,Curling,2010,173.0,5
6629,Curling,2010,174.0,4
6630,Curling,2010,175.0,5
6631,Curling,2010,176.0,1
6632,Curling,2010,177.0,5
6633,Curling,2010,178.0,4
6634,Curling,2010,179.0,6
6635,Curling,2010,180.0,5
6636,Curling,2010,181.0,1
6637,Curling,2010,182.0,2
6638,Curling,2010,183.0,5
6639,Curling,2010,184.0,2
6640,Curling,2010,185.0,5
6641,Curling,2010,186.0,1
6642,Curling,2010,187.0,1
6643,Curling,2010,188.0,2
6644,Curling,2010,189.0,2
6645,Curling,2010,192.0,1
6646,Curling,2014,148.0,1
6647,Curling,2014,153.0,1
6648,Curling,2014,155.0,1
6649,Curling,2014,156.0,1
6650,Curling,2014,157.0,1
6651,Curling,2014,158.0,2
6652,Curling,2014,160.0,3
6653,Curling,2014,161.0,1
6654,Curling,2014,162.0,3
6655,Curling,2014,163.0,1
6656,Curling,2014,164.0,3
6657,Curling,2014,165.0,1
6658,Curling,2014,166.0,1
6659,Curling,2014,167.0,3
6660,Curling,2014,168.0,1
6661,Curling,2014,169.0,3
6662,Curling,2014,170.0,6
6663,Curling,2014,171.0,2
6664,Curling,2014,172.0,2
6665,Curling,2014,173.0,4
6666,Curling,2014,175.0,7
6667,Curling,2014,176.0,1
6668,Curling,2014,177.0,3
6669,Curling,2014,178.0,2
6670,Curling,2014,179.0,3
6671,Curling,2014,180.0,9
6672,Curling,2014,181.0,1
6673,Curling,2014,182.0,2
6674,Curling,2014,183.0,5
6675,Curling,2014,184.0,2
6676,Curling,2014,185.0,4
6677,Curling,2014,187.0,2
6678,Curling,2014,189.0,1
6679,Curling,2014,192.0,2
6680,Curling,2014,197.0,1
