lindex,Sport,Year,Height,count
6681,Cycling,1900,172.0,2
6682,Cycling,1904,163.0,4
6683,Cycling,1904,172.0,1
6684,Cycling,1904,173.0,1
6685,Cycling,1904,181.0,7
6686,Cycling,1904,185.0,2
6687,Cycling,1906,173.0,3
6688,Cycling,1906,177.0,5
6689,Cycling,1906,183.0,4
6690,Cycling,1908,163.0,1
6691,Cycling,1908,173.0,4
6692,Cycling,1908,177.0,2
6693,Cycling,1908,179.0,3
6694,Cycling,1908,183.0,1
6695,Cycling,1908,188.0,5
6696,Cycling,1920,163.0,3
6697,Cycling,1920,168.0,2
6698,Cycling,1920,169.0,3
6699,Cycling,1920,170.0,4
6700,Cycling,1920,172.0,1
6701,Cycling,1920,175.0,7
6702,Cycling,1920,179.0,2
6703,Cycling,1924,165.0,2
6704,Cycling,1924,168.0,2
6705,Cycling,1924,172.0,4
6706,Cycling,1924,175.0,2
6707,Cycling,1924,176.0,3
6708,Cycling,1924,180.0,2
6709,Cycling,1924,182.0,2
6710,Cycling,1924,183.0,1
6711,Cycling,1924,184.0,2
6712,Cycling,1924,186.0,1
6713,Cycling,1928,163.0,1
6714,Cycling,1928,165.0,2
6715,Cycling,1928,168.0,2
6716,Cycling,1928,170.0,6
6717,Cycling,1928,172.0,2
6718,Cycling,1928,174.0,2
6719,Cycling,1928,175.0,4
6720,Cycling,1928,176.0,2
6721,Cycling,1928,180.0,2
6722,Cycling,1932,165.0,1
6723,Cycling,1932,167.0,9
6724,Cycling,1932,168.0,5
6725,Cycling,1932,170.0,10
6726,Cycling,1932,173.0,5
6727,Cycling,1932,174.0,3
6728,Cycling,1932,175.0,1
6729,Cycling,1932,180.0,1
6730,Cycling,1932,193.0,3
6731,Cycling,1936,168.0,1
6732,Cycling,1936,170.0,2
6733,Cycling,1936,176.0,2
6734,Cycling,1936,180.0,1
6735,Cycling,1936,182.0,2
6736,Cycling,1948,170.0,1
6737,Cycling,1948,171.0,3
6738,Cycling,1948,173.0,3
6739,Cycling,1948,174.0,2
6740,Cycling,1948,175.0,6
6741,Cycling,1948,176.0,4
6742,Cycling,1948,180.0,1
6743,Cycling,1948,183.0,2
6744,Cycling,1952,165.0,2
6745,Cycling,1952,167.0,2
6746,Cycling,1952,170.0,1
6747,Cycling,1952,173.0,4
6748,Cycling,1952,174.0,4
6749,Cycling,1952,175.0,1
6750,Cycling,1952,176.0,7
6751,Cycling,1952,177.0,4
6752,Cycling,1952,180.0,1
6753,Cycling,1952,182.0,3
6754,Cycling,1952,183.0,2
6755,Cycling,1952,184.0,2
6756,Cycling,1956,161.0,3
6757,Cycling,1956,162.0,2
6758,Cycling,1956,165.0,5
6759,Cycling,1956,168.0,2
6760,Cycling,1956,169.0,2
6761,Cycling,1956,170.0,5
6762,Cycling,1956,171.0,7
6763,Cycling,1956,173.0,1
6764,Cycling,1956,174.0,7
6765,Cycling,1956,175.0,5
6766,Cycling,1956,176.0,4
6767,Cycling,1956,177.0,1
6768,Cycling,1956,178.0,5
6769,Cycling,1956,179.0,2
6770,Cycling,1956,180.0,5
6771,Cycling,1956,181.0,2
6772,Cycling,1956,182.0,7
6773,Cycling,1956,183.0,11
6774,Cycling,1956,185.0,2
6775,Cycling,1956,190.0,1
6776,Cycling,1960,158.0,2
6777,Cycling,1960,160.0,8
6778,Cycling,1960,162.0,2
6779,Cycling,1960,163.0,4
6780,Cycling,1960,164.0,7
6781,Cycling,1960,165.0,22
6782,Cycling,1960,166.0,4
6783,Cycling,1960,167.0,7
6784,Cycling,1960,168.0,17
6785,Cycling,1960,169.0,5
6786,Cycling,1960,170.0,34
6787,Cycling,1960,171.0,17
6788,Cycling,1960,172.0,35
6789,Cycling,1960,173.0,12
6790,Cycling,1960,174.0,19
6791,Cycling,1960,175.0,34
6792,Cycling,1960,176.0,23
6793,Cycling,1960,177.0,27
6794,Cycling,1960,178.0,36
6795,Cycling,1960,179.0,12
6796,Cycling,1960,180.0,19
6797,Cycling,1960,181.0,12
6798,Cycling,1960,182.0,18
6799,Cycling,1960,183.0,17
6800,Cycling,1960,184.0,6
6801,Cycling,1960,185.0,8
6802,Cycling,1960,186.0,2
6803,Cycling,1960,187.0,6
6804,Cycling,1960,188.0,4
6805,Cycling,1960,189.0,2
6806,Cycling,1960,190.0,1
6807,Cycling,1964,157.0,3
6808,Cycling,1964,159.0,2
6809,Cycling,1964,160.0,7
6810,Cycling,1964,161.0,2
6811,Cycling,1964,162.0,3
6812,Cycling,1964,163.0,6
6813,Cycling,1964,164.0,6
6814,Cycling,1964,165.0,19
6815,Cycling,1964,166.0,10
6816,Cycling,1964,167.0,16
6817,Cycling,1964,168.0,28
6818,Cycling,1964,169.0,13
6819,Cycling,1964,170.0,23
6820,Cycling,1964,171.0,11
6821,Cycling,1964,172.0,18
6822,Cycling,1964,173.0,20
6823,Cycling,1964,174.0,17
6824,Cycling,1964,175.0,37
6825,Cycling,1964,176.0,21
6826,Cycling,1964,177.0,10
6827,Cycling,1964,178.0,32
6828,Cycling,1964,179.0,18
6829,Cycling,1964,180.0,39
6830,Cycling,1964,181.0,11
6831,Cycling,1964,182.0,8
6832,Cycling,1964,183.0,14
6833,Cycling,1964,184.0,4
6834,Cycling,1964,185.0,10
6835,Cycling,1964,186.0,7
6836,Cycling,1964,187.0,4
6837,Cycling,1964,188.0,7
6838,Cycling,1964,189.0,2
6839,Cycling,1964,190.0,1
6840,Cycling,1964,191.0,1
6841,Cycling,1968,150.0,1
6842,Cycling,1968,155.0,1
6843,Cycling,1968,158.0,1
6844,Cycling,1968,160.0,3
6845,Cycling,1968,161.0,1
6846,Cycling,1968,162.0,3
6847,Cycling,1968,163.0,2
6848,Cycling,1968,164.0,5
6849,Cycling,1968,165.0,10
6850,Cycling,1968,166.0,9
6851,Cycling,1968,167.0,16
6852,Cycling,1968,168.0,11
6853,Cycling,1968,169.0,6
6854,Cycling,1968,170.0,36
6855,Cycling,1968,171.0,8
6856,Cycling,1968,172.0,25
6857,Cycling,1968,173.0,25
6858,Cycling,1968,174.0,29
6859,Cycling,1968,175.0,29
6860,Cycling,1968,176.0,25
6861,Cycling,1968,177.0,18
6862,Cycling,1968,178.0,41
6863,Cycling,1968,179.0,15
6864,Cycling,1968,180.0,42
6865,Cycling,1968,181.0,11
6866,Cycling,1968,182.0,18
6867,Cycling,1968,183.0,20
6868,Cycling,1968,184.0,11
6869,Cycling,1968,185.0,21
6870,Cycling,1968,186.0,7
6871,Cycling,1968,187.0,8
6872,Cycling,1968,188.0,8
6873,Cycling,1968,189.0,5
6874,Cycling,1968,190.0,6
6875,Cycling,1968,193.0,2
6876,Cycling,1968,194.0,1
6877,Cycling,1972,148.0,1
6878,Cycling,1972,150.0,1
6879,Cycling,1972,158.0,4
6880,Cycling,1972,161.0,3
6881,Cycling,1972,162.0,4
6882,Cycling,1972,163.0,2
6883,Cycling,1972,164.0,9
6884,Cycling,1972,165.0,11
6885,Cycling,1972,166.0,7
6886,Cycling,1972,167.0,4
6887,Cycling,1972,168.0,17
6888,Cycling,1972,169.0,9
6889,Cycling,1972,170.0,27
6890,Cycling,1972,171.0,16
6891,Cycling,1972,172.0,30
6892,Cycling,1972,173.0,33
6893,Cycling,1972,174.0,13
6894,Cycling,1972,175.0,43
6895,Cycling,1972,176.0,24
6896,Cycling,1972,177.0,17
6897,Cycling,1972,178.0,33
6898,Cycling,1972,179.0,21
6899,Cycling,1972,180.0,49
6900,Cycling,1972,181.0,16
6901,Cycling,1972,182.0,20
6902,Cycling,1972,183.0,37
6903,Cycling,1972,184.0,14
6904,Cycling,1972,185.0,15
6905,Cycling,1972,186.0,6
6906,Cycling,1972,187.0,12
6907,Cycling,1972,188.0,1
6908,Cycling,1972,189.0,6
6909,Cycling,1972,190.0,7
6910,Cycling,1972,192.0,1
6911,Cycling,1972,193.0,2
6912,Cycling,1972,196.0,1
6913,Cycling,1972,201.0,2
6914,Cycling,1976,136.0,1
6915,Cycling,1976,146.0,1
6916,Cycling,1976,150.0,2
6917,Cycling,1976,160.0,3
6918,Cycling,1976,161.0,1
6919,Cycling,1976,162.0,4
6920,Cycling,1976,164.0,4
6921,Cycling,1976,165.0,10
6922,Cycling,1976,166.0,3
6923,Cycling,1976,167.0,3
6924,Cycling,1976,168.0,10
6925,Cycling,1976,169.0,1
6926,Cycling,1976,170.0,15
6927,Cycling,1976,171.0,9
6928,Cycling,1976,172.0,17
6929,Cycling,1976,173.0,18
6930,Cycling,1976,174.0,26
6931,Cycling,1976,175.0,17
6932,Cycling,1976,176.0,20
6933,Cycling,1976,177.0,15
6934,Cycling,1976,178.0,24
6935,Cycling,1976,179.0,19
6936,Cycling,1976,180.0,42
6937,Cycling,1976,181.0,11
6938,Cycling,1976,182.0,18
6939,Cycling,1976,183.0,18
6940,Cycling,1976,184.0,13
6941,Cycling,1976,185.0,11
6942,Cycling,1976,186.0,9
6943,Cycling,1976,187.0,4
6944,Cycling,1976,188.0,6
6945,Cycling,1976,190.0,1
6946,Cycling,1976,191.0,4
6947,Cycling,1976,192.0,2
6948,Cycling,1976,193.0,3
6949,Cycling,1976,196.0,1
6950,Cycling,1980,159.0,2
6951,Cycling,1980,160.0,3
6952,Cycling,1980,165.0,2
6953,Cycling,1980,166.0,1
6954,Cycling,1980,167.0,6
6955,Cycling,1980,168.0,6
6956,Cycling,1980,169.0,5
6957,Cycling,1980,170.0,21
6958,Cycling,1980,171.0,5
6959,Cycling,1980,172.0,16
6960,Cycling,1980,173.0,26
6961,Cycling,1980,174.0,10
6962,Cycling,1980,175.0,17
6963,Cycling,1980,176.0,12
6964,Cycling,1980,177.0,6
6965,Cycling,1980,178.0,24
6966,Cycling,1980,179.0,17
6967,Cycling,1980,180.0,28
6968,Cycling,1980,181.0,15
6969,Cycling,1980,182.0,21
6970,Cycling,1980,183.0,13
6971,Cycling,1980,184.0,1
6972,Cycling,1980,185.0,13
6973,Cycling,1980,186.0,16
6974,Cycling,1980,187.0,5
6975,Cycling,1980,188.0,6
6976,Cycling,1980,189.0,2
6977,Cycling,1980,190.0,2
6978,Cycling,1980,191.0,1
6979,Cycling,1980,192.0,1
6980,Cycling,1980,197.0,1
6981,Cycling,1984,138.0,2
6982,Cycling,1984,153.0,1
6983,Cycling,1984,158.0,2
6984,Cycling,1984,159.0,1
6985,Cycling,1984,160.0,1
6986,Cycling,1984,162.0,4
6987,Cycling,1984,163.0,9
6988,Cycling,1984,164.0,2
6989,Cycling,1984,165.0,12
6990,Cycling,1984,166.0,3
6991,Cycling,1984,167.0,6
6992,Cycling,1984,168.0,12
6993,Cycling,1984,169.0,4
6994,Cycling,1984,170.0,31
6995,Cycling,1984,171.0,9
6996,Cycling,1984,172.0,18
6997,Cycling,1984,173.0,24
6998,Cycling,1984,174.0,14
6999,Cycling,1984,175.0,38
7000,Cycling,1984,176.0,14
7001,Cycling,1984,177.0,13
7002,Cycling,1984,178.0,24
7003,Cycling,1984,179.0,15
7004,Cycling,1984,180.0,38
7005,Cycling,1984,181.0,9
7006,Cycling,1984,182.0,16
7007,Cycling,1984,183.0,27
7008,Cycling,1984,184.0,16
7009,Cycling,1984,185.0,24
7010,Cycling,1984,186.0,7
7011,Cycling,1984,187.0,5
7012,Cycling,1984,188.0,9
7013,Cycling,1984,189.0,5
7014,Cycling,1984,190.0,4
7015,Cycling,1984,191.0,3
7016,Cycling,1984,192.0,3
7017,Cycling,1984,193.0,3
7018,Cycling,1984,196.0,1
7019,Cycling,1984,197.0,1
7020,Cycling,1984,201.0,1
7021,Cycling,1988,138.0,1
7022,Cycling,1988,150.0,2
7023,Cycling,1988,154.0,2
7024,Cycling,1988,155.0,1
7025,Cycling,1988,156.0,1
7026,Cycling,1988,157.0,3
7027,Cycling,1988,158.0,6
7028,Cycling,1988,160.0,7
7029,Cycling,1988,161.0,2
7030,Cycling,1988,162.0,5
7031,Cycling,1988,163.0,9
7032,Cycling,1988,164.0,4
7033,Cycling,1988,165.0,9
7034,Cycling,1988,166.0,5
7035,Cycling,1988,167.0,6
7036,Cycling,1988,168.0,18
7037,Cycling,1988,169.0,2
7038,Cycling,1988,170.0,31
7039,Cycling,1988,171.0,5
7040,Cycling,1988,172.0,23
7041,Cycling,1988,173.0,27
7042,Cycling,1988,174.0,9
7043,Cycling,1988,175.0,45
7044,Cycling,1988,176.0,9
7045,Cycling,1988,177.0,23
7046,Cycling,1988,178.0,38
7047,Cycling,1988,179.0,10
7048,Cycling,1988,180.0,37
7049,Cycling,1988,181.0,16
7050,Cycling,1988,182.0,30
7051,Cycling,1988,183.0,27
7052,Cycling,1988,184.0,13
7053,Cycling,1988,185.0,16
7054,Cycling,1988,186.0,15
7055,Cycling,1988,187.0,17
7056,Cycling,1988,188.0,10
7057,Cycling,1988,189.0,2
7058,Cycling,1988,190.0,6
7059,Cycling,1988,192.0,2
7060,Cycling,1988,193.0,6
7061,Cycling,1988,194.0,2
7062,Cycling,1988,195.0,3
7063,Cycling,1988,196.0,4
7064,Cycling,1988,201.0,1
7065,Cycling,1992,150.0,2
7066,Cycling,1992,154.0,1
7067,Cycling,1992,155.0,2
7068,Cycling,1992,156.0,1
7069,Cycling,1992,157.0,1
7070,Cycling,1992,158.0,1
7071,Cycling,1992,159.0,2
7072,Cycling,1992,160.0,6
7073,Cycling,1992,161.0,2
7074,Cycling,1992,162.0,3
7075,Cycling,1992,163.0,8
7076,Cycling,1992,164.0,4
7077,Cycling,1992,165.0,13
7078,Cycling,1992,166.0,4
7079,Cycling,1992,167.0,4
7080,Cycling,1992,168.0,21
7081,Cycling,1992,169.0,4
7082,Cycling,1992,170.0,27
7083,Cycling,1992,171.0,7
7084,Cycling,1992,172.0,22
7085,Cycling,1992,173.0,26
7086,Cycling,1992,174.0,15
7087,Cycling,1992,175.0,46
7088,Cycling,1992,176.0,19
7089,Cycling,1992,177.0,22
7090,Cycling,1992,178.0,35
7091,Cycling,1992,179.0,14
7092,Cycling,1992,180.0,45
7093,Cycling,1992,181.0,13
7094,Cycling,1992,182.0,20
7095,Cycling,1992,183.0,26
7096,Cycling,1992,184.0,8
7097,Cycling,1992,185.0,20
7098,Cycling,1992,186.0,11
7099,Cycling,1992,187.0,15
7100,Cycling,1992,188.0,13
7101,Cycling,1992,189.0,5
7102,Cycling,1992,190.0,6
7103,Cycling,1992,191.0,2
7104,Cycling,1992,192.0,5
7105,Cycling,1992,193.0,6
7106,Cycling,1992,194.0,1
7107,Cycling,1992,195.0,1
7108,Cycling,1992,196.0,1
7109,Cycling,1992,201.0,1
7110,Cycling,1996,155.0,1
7111,Cycling,1996,156.0,5
7112,Cycling,1996,159.0,5
7113,Cycling,1996,160.0,7
7114,Cycling,1996,162.0,6
7115,Cycling,1996,164.0,8
7116,Cycling,1996,165.0,11
7117,Cycling,1996,166.0,4
7118,Cycling,1996,167.0,12
7119,Cycling,1996,168.0,17
7120,Cycling,1996,169.0,5
7121,Cycling,1996,170.0,27
7122,Cycling,1996,171.0,17
7123,Cycling,1996,172.0,20
7124,Cycling,1996,173.0,21
7125,Cycling,1996,174.0,17
7126,Cycling,1996,175.0,41
7127,Cycling,1996,176.0,21
7128,Cycling,1996,177.0,26
7129,Cycling,1996,178.0,43
7130,Cycling,1996,179.0,26
7131,Cycling,1996,180.0,45
7132,Cycling,1996,181.0,15
7133,Cycling,1996,182.0,34
7134,Cycling,1996,183.0,23
7135,Cycling,1996,184.0,9
7136,Cycling,1996,185.0,20
7137,Cycling,1996,186.0,6
7138,Cycling,1996,187.0,13
7139,Cycling,1996,188.0,9
7140,Cycling,1996,189.0,6
7141,Cycling,1996,190.0,2
7142,Cycling,1996,191.0,3
7143,Cycling,1996,192.0,3
7144,Cycling,1996,193.0,2
7145,Cycling,1996,194.0,2
7146,Cycling,1996,196.0,3
7147,Cycling,1996,197.0,1
7148,Cycling,1996,201.0,1
7149,Cycling,2000,150.0,1
7150,Cycling,2000,155.0,2
7151,Cycling,2000,156.0,1
7152,Cycling,2000,157.0,1
7153,Cycling,2000,158.0,1
7154,Cycling,2000,159.0,1
7155,Cycling,2000,160.0,13
7156,Cycling,2000,161.0,2
7157,Cycling,2000,162.0,12
7158,Cycling,2000,163.0,4
