lindex,Sport,Year,Height,count
7366,Diving,1906,170.0,1
7367,Diving,1906,178.0,1
7368,Diving,1908,166.0,2
7369,Diving,1908,170.0,2
7370,Diving,1908,173.0,1
7371,Diving,1908,178.0,1
7372,Diving,1912,166.0,3
7373,Diving,1912,170.0,2
7374,Diving,1912,172.0,2
7375,Diving,1912,173.0,3
7376,Diving,1920,142.0,2
7377,Diving,1920,152.0,1
7378,Diving,1920,155.0,1
7379,Diving,1920,157.0,3
7380,Diving,1920,165.0,1
7381,Diving,1920,166.0,1
7382,Diving,1920,168.0,3
7383,Diving,1920,169.0,3
7384,Diving,1920,170.0,2
7385,Diving,1920,175.0,1
7386,Diving,1924,142.0,1
7387,Diving,1924,152.0,1
7388,Diving,1924,155.0,2
7389,Diving,1924,157.0,1
7390,Diving,1924,160.0,1
7391,Diving,1924,168.0,2
7392,Diving,1924,169.0,1
7393,Diving,1924,171.0,2
7394,Diving,1924,175.0,1
7395,Diving,1924,180.0,1
7396,Diving,1928,152.0,1
7397,Diving,1928,155.0,1
7398,Diving,1928,165.0,1
7399,Diving,1928,173.0,2
7400,Diving,1928,174.0,1
7401,Diving,1932,157.0,2
7402,Diving,1932,165.0,2
7403,Diving,1932,173.0,2
7404,Diving,1948,160.0,1
7405,Diving,1948,162.0,2
7406,Diving,1948,167.0,2
7407,Diving,1948,168.0,2
7408,Diving,1952,156.0,2
7409,Diving,1952,157.0,2
7410,Diving,1952,160.0,2
7411,Diving,1952,162.0,3
7412,Diving,1952,165.0,1
7413,Diving,1952,167.0,2
7414,Diving,1952,168.0,2
7415,Diving,1952,170.0,2
7416,Diving,1952,172.0,2
7417,Diving,1952,175.0,1
7418,Diving,1956,148.0,1
7419,Diving,1956,156.0,1
7420,Diving,1956,157.0,6
7421,Diving,1956,159.0,1
7422,Diving,1956,160.0,4
7423,Diving,1956,162.0,5
7424,Diving,1956,164.0,1
7425,Diving,1956,165.0,1
7426,Diving,1956,167.0,5
7427,Diving,1956,168.0,4
7428,Diving,1956,170.0,4
7429,Diving,1956,171.0,1
7430,Diving,1956,174.0,1
7431,Diving,1956,183.0,1
7432,Diving,1960,148.0,1
7433,Diving,1960,153.0,1
7434,Diving,1960,154.0,2
7435,Diving,1960,156.0,2
7436,Diving,1960,157.0,6
7437,Diving,1960,158.0,3
7438,Diving,1960,159.0,4
7439,Diving,1960,160.0,6
7440,Diving,1960,161.0,1
7441,Diving,1960,162.0,3
7442,Diving,1960,163.0,2
7443,Diving,1960,164.0,3
7444,Diving,1960,165.0,3
7445,Diving,1960,166.0,1
7446,Diving,1960,167.0,8
7447,Diving,1960,168.0,7
7448,Diving,1960,169.0,1
7449,Diving,1960,170.0,5
7450,Diving,1960,171.0,7
7451,Diving,1960,172.0,4
7452,Diving,1960,174.0,3
7453,Diving,1960,175.0,9
7454,Diving,1960,176.0,3
7455,Diving,1960,179.0,2
7456,Diving,1960,183.0,2
7457,Diving,1960,184.0,1
7458,Diving,1964,150.0,2
7459,Diving,1964,153.0,1
7460,Diving,1964,154.0,2
7461,Diving,1964,155.0,2
7462,Diving,1964,156.0,3
7463,Diving,1964,157.0,3
7464,Diving,1964,158.0,8
7465,Diving,1964,159.0,2
7466,Diving,1964,160.0,6
7467,Diving,1964,161.0,1
7468,Diving,1964,162.0,2
7469,Diving,1964,163.0,12
7470,Diving,1964,164.0,2
7471,Diving,1964,165.0,5
7472,Diving,1964,166.0,4
7473,Diving,1964,167.0,2
7474,Diving,1964,168.0,4
7475,Diving,1964,169.0,4
7476,Diving,1964,170.0,11
7477,Diving,1964,171.0,3
7478,Diving,1964,172.0,2
7479,Diving,1964,173.0,1
7480,Diving,1964,174.0,1
7481,Diving,1964,175.0,6
7482,Diving,1964,176.0,1
7483,Diving,1964,177.0,3
7484,Diving,1964,178.0,3
7485,Diving,1964,179.0,3
7486,Diving,1964,180.0,3
7487,Diving,1968,151.0,1
7488,Diving,1968,152.0,2
7489,Diving,1968,153.0,2
7490,Diving,1968,155.0,1
7491,Diving,1968,156.0,1
7492,Diving,1968,157.0,3
7493,Diving,1968,158.0,4
7494,Diving,1968,160.0,5
7495,Diving,1968,161.0,1
7496,Diving,1968,162.0,6
7497,Diving,1968,163.0,7
7498,Diving,1968,164.0,3
7499,Diving,1968,165.0,7
7500,Diving,1968,166.0,1
7501,Diving,1968,167.0,1
7502,Diving,1968,168.0,3
7503,Diving,1968,169.0,8
7504,Diving,1968,170.0,13
7505,Diving,1968,171.0,4
7506,Diving,1968,172.0,4
7507,Diving,1968,173.0,3
7508,Diving,1968,174.0,1
7509,Diving,1968,175.0,4
7510,Diving,1968,176.0,2
7511,Diving,1968,177.0,5
7512,Diving,1968,178.0,4
7513,Diving,1968,179.0,2
7514,Diving,1968,180.0,4
7515,Diving,1968,183.0,2
7516,Diving,1968,188.0,2
7517,Diving,1972,150.0,2
