lindex,Sport,Year,Height,count
7881,Equestrianism,1900,166.0,2
7882,Equestrianism,1912,172.0,1
7883,Equestrianism,1912,173.0,5
7884,Equestrianism,1912,180.0,5
7885,Equestrianism,1920,171.0,3
7886,Equestrianism,1920,175.0,1
7887,Equestrianism,1920,182.0,1
7888,Equestrianism,1924,170.0,2
7889,Equestrianism,1924,171.0,4
7890,Equestrianism,1924,172.0,9
7891,Equestrianism,1924,178.0,1
7892,Equestrianism,1924,179.0,2
7893,Equestrianism,1928,168.0,2
7894,Equestrianism,1928,171.0,2
7895,Equestrianism,1928,172.0,6
7896,Equestrianism,1928,182.0,1
7897,Equestrianism,1932,170.0,1
7898,Equestrianism,1932,180.0,2
7899,Equestrianism,1936,163.0,2
7900,Equestrianism,1936,165.0,2
7901,Equestrianism,1936,167.0,2
7902,Equestrianism,1936,170.0,2
7903,Equestrianism,1936,171.0,2
7904,Equestrianism,1936,175.0,2
7905,Equestrianism,1936,180.0,4
7906,Equestrianism,1948,163.0,2
7907,Equestrianism,1948,166.0,2
7908,Equestrianism,1948,167.0,2
7909,Equestrianism,1948,171.0,2
7910,Equestrianism,1948,174.0,4
7911,Equestrianism,1948,176.0,4
7912,Equestrianism,1948,177.0,2
7913,Equestrianism,1952,163.0,2
7914,Equestrianism,1952,166.0,6
7915,Equestrianism,1952,167.0,2
7916,Equestrianism,1952,170.0,4
7917,Equestrianism,1952,172.0,2
7918,Equestrianism,1952,173.0,2
7919,Equestrianism,1952,174.0,4
7920,Equestrianism,1952,175.0,8
7921,Equestrianism,1952,176.0,5
7922,Equestrianism,1952,180.0,8
7923,Equestrianism,1952,182.0,4
7924,Equestrianism,1952,183.0,2
7925,Equestrianism,1952,184.0,2
7926,Equestrianism,1952,185.0,2
7927,Equestrianism,1956,162.0,2
7928,Equestrianism,1956,163.0,2
7929,Equestrianism,1956,165.0,2
7930,Equestrianism,1956,166.0,4
7931,Equestrianism,1956,167.0,3
7932,Equestrianism,1956,168.0,2
7933,Equestrianism,1956,169.0,2
7934,Equestrianism,1956,170.0,3
7935,Equestrianism,1956,171.0,8
7936,Equestrianism,1956,172.0,11
7937,Equestrianism,1956,173.0,2
7938,Equestrianism,1956,174.0,12
7939,Equestrianism,1956,175.0,12
7940,Equestrianism,1956,176.0,10
7941,Equestrianism,1956,178.0,4
7942,Equestrianism,1956,179.0,3
7943,Equestrianism,1956,180.0,6
7944,Equestrianism,1956,181.0,2
7945,Equestrianism,1956,182.0,2
7946,Equestrianism,1956,183.0,8
7947,Equestrianism,1956,185.0,4
7948,Equestrianism,1956,187.0,2
7949,Equestrianism,1956,195.0,2
7950,Equestrianism,1960,159.0,2
7951,Equestrianism,1960,160.0,4
7952,Equestrianism,1960,162.0,4
7953,Equestrianism,1960,163.0,2
7954,Equestrianism,1960,165.0,4
7955,Equestrianism,1960,166.0,5
7956,Equestrianism,1960,167.0,9
7957,Equestrianism,1960,168.0,6
7958,Equestrianism,1960,169.0,17
7959,Equestrianism,1960,170.0,29
7960,Equestrianism,1960,171.0,20
7961,Equestrianism,1960,172.0,16
7962,Equestrianism,1960,173.0,13
7963,Equestrianism,1960,174.0,25
7964,Equestrianism,1960,175.0,20
7965,Equestrianism,1960,176.0,15
7966,Equestrianism,1960,177.0,2
7967,Equestrianism,1960,178.0,5
7968,Equestrianism,1960,179.0,6
7969,Equestrianism,1960,180.0,25
7970,Equestrianism,1960,181.0,4
7971,Equestrianism,1960,182.0,6
7972,Equestrianism,1960,183.0,12
7973,Equestrianism,1960,184.0,2
7974,Equestrianism,1960,185.0,2
7975,Equestrianism,1960,187.0,1
7976,Equestrianism,1960,188.0,2
7977,Equestrianism,1960,190.0,2
7978,Equestrianism,1960,195.0,2
7979,Equestrianism,1964,152.0,2
7980,Equestrianism,1964,156.0,2
7981,Equestrianism,1964,159.0,2
7982,Equestrianism,1964,162.0,2
7983,Equestrianism,1964,163.0,4
7984,Equestrianism,1964,164.0,2
7985,Equestrianism,1964,165.0,8
7986,Equestrianism,1964,167.0,10
7987,Equestrianism,1964,168.0,13
7988,Equestrianism,1964,169.0,9
7989,Equestrianism,1964,170.0,12
7990,Equestrianism,1964,171.0,10
7991,Equestrianism,1964,172.0,15
7992,Equestrianism,1964,173.0,22
7993,Equestrianism,1964,174.0,12
7994,Equestrianism,1964,175.0,20
7995,Equestrianism,1964,176.0,12
7996,Equestrianism,1964,177.0,8
7997,Equestrianism,1964,178.0,14
7998,Equestrianism,1964,179.0,6
7999,Equestrianism,1964,180.0,11
8000,Equestrianism,1964,181.0,2
8001,Equestrianism,1964,182.0,4
8002,Equestrianism,1964,183.0,6
8003,Equestrianism,1964,184.0,6
8004,Equestrianism,1964,185.0,2
8005,Equestrianism,1964,188.0,2
8006,Equestrianism,1964,189.0,2
8007,Equestrianism,1964,190.0,4
8008,Equestrianism,1968,148.0,2
8009,Equestrianism,1968,152.0,2
8010,Equestrianism,1968,160.0,4
8011,Equestrianism,1968,162.0,4
8012,Equestrianism,1968,163.0,2
8013,Equestrianism,1968,165.0,6
8014,Equestrianism,1968,166.0,6
8015,Equestrianism,1968,167.0,7
8016,Equestrianism,1968,168.0,8
8017,Equestrianism,1968,169.0,7
8018,Equestrianism,1968,170.0,20
8019,Equestrianism,1968,171.0,10
8020,Equestrianism,1968,172.0,17
