lindex,Sport,Year,Height,count
8450,Fencing,1900,167.0,1
8451,Fencing,1900,168.0,3
8452,Fencing,1900,170.0,2
8453,Fencing,1900,175.0,1
8454,Fencing,1900,178.0,1
8455,Fencing,1904,180.0,3
8456,Fencing,1904,183.0,5
8457,Fencing,1906,170.0,1
8458,Fencing,1906,174.0,3
8459,Fencing,1906,181.0,1
8460,Fencing,1906,183.0,2
8461,Fencing,1908,170.0,2
8462,Fencing,1908,174.0,3
8463,Fencing,1908,175.0,2
8464,Fencing,1908,183.0,2
8465,Fencing,1908,201.0,3
8466,Fencing,1912,165.0,3
8467,Fencing,1912,168.0,3
8468,Fencing,1912,170.0,4
8469,Fencing,1912,174.0,5
8470,Fencing,1912,175.0,1
8471,Fencing,1912,178.0,2
8472,Fencing,1912,180.0,3
8473,Fencing,1912,183.0,6
8474,Fencing,1912,188.0,7
8475,Fencing,1920,165.0,8
8476,Fencing,1920,167.0,2
8477,Fencing,1920,170.0,5
8478,Fencing,1920,172.0,2
8479,Fencing,1920,173.0,10
8480,Fencing,1920,174.0,5
8481,Fencing,1920,175.0,1
8482,Fencing,1920,178.0,9
8483,Fencing,1920,180.0,8
8484,Fencing,1920,183.0,12
8485,Fencing,1920,185.0,5
8486,Fencing,1920,186.0,2
8487,Fencing,1920,188.0,7
8488,Fencing,1924,157.0,1
8489,Fencing,1924,165.0,7
8490,Fencing,1924,166.0,1
8491,Fencing,1924,167.0,1
8492,Fencing,1924,168.0,6
8493,Fencing,1924,169.0,1
8494,Fencing,1924,170.0,10
8495,Fencing,1924,172.0,1
8496,Fencing,1924,173.0,8
8497,Fencing,1924,174.0,3
8498,Fencing,1924,175.0,2
8499,Fencing,1924,176.0,1
8500,Fencing,1924,178.0,9
8501,Fencing,1924,180.0,5
8502,Fencing,1924,183.0,8
8503,Fencing,1924,184.0,4
8504,Fencing,1924,185.0,3
8505,Fencing,1924,186.0,1
8506,Fencing,1924,200.0,1
8507,Fencing,1928,157.0,1
8508,Fencing,1928,165.0,3
8509,Fencing,1928,167.0,6
8510,Fencing,1928,168.0,2
8511,Fencing,1928,170.0,15
8512,Fencing,1928,172.0,1
8513,Fencing,1928,173.0,5
8514,Fencing,1928,175.0,5
8515,Fencing,1928,178.0,2
8516,Fencing,1928,179.0,1
8517,Fencing,1928,180.0,6
8518,Fencing,1928,183.0,7
8519,Fencing,1928,184.0,2
8520,Fencing,1928,185.0,4
8521,Fencing,1928,186.0,2
8522,Fencing,1928,188.0,1
