lindex,Sport,Year,Height,count
9765,Football,1908,182.0,1
9766,Football,1912,165.0,1
9767,Football,1912,166.0,2
9768,Football,1912,168.0,1
9769,Football,1912,169.0,1
9770,Football,1912,170.0,2
9771,Football,1912,173.0,1
9772,Football,1912,174.0,2
9773,Football,1912,176.0,2
9774,Football,1912,177.0,1
9775,Football,1912,180.0,1
9776,Football,1912,182.0,1
9777,Football,1912,184.0,1
9778,Football,1912,186.0,1
9779,Football,1920,168.0,1
9780,Football,1920,169.0,1
9781,Football,1920,170.0,3
9782,Football,1920,171.0,1
9783,Football,1920,172.0,1
9784,Football,1920,174.0,1
9785,Football,1920,176.0,1
9786,Football,1920,182.0,1
9787,Football,1920,184.0,1
9788,Football,1920,193.0,1
9789,Football,1924,159.0,1
9790,Football,1924,164.0,1
9791,Football,1924,165.0,2
9792,Football,1924,167.0,2
9793,Football,1924,168.0,2
9794,Football,1924,169.0,1
9795,Football,1924,170.0,6
9796,Football,1924,172.0,4
9797,Football,1924,173.0,3
9798,Football,1924,174.0,2
9799,Football,1924,175.0,1
9800,Football,1924,177.0,1
9801,Football,1924,178.0,1
9802,Football,1924,179.0,1
9803,Football,1924,182.0,5
9804,Football,1924,183.0,1
9805,Football,1924,184.0,1
9806,Football,1924,187.0,1
9807,Football,1928,159.0,1
9808,Football,1928,165.0,1
9809,Football,1928,167.0,1
9810,Football,1928,168.0,1
9811,Football,1928,169.0,2
9812,Football,1928,170.0,6
9813,Football,1928,171.0,2
9814,Football,1928,172.0,3
9815,Football,1928,173.0,3
9816,Football,1928,174.0,3
9817,Football,1928,175.0,2
9818,Football,1928,176.0,3
9819,Football,1928,178.0,2
9820,Football,1928,179.0,2
9821,Football,1928,182.0,2
9822,Football,1928,184.0,1
9823,Football,1936,160.0,1
9824,Football,1936,163.0,1
9825,Football,1936,164.0,1
9826,Football,1936,165.0,1
9827,Football,1936,167.0,1
9828,Football,1936,168.0,4
9829,Football,1936,169.0,3
9830,Football,1936,170.0,4
9831,Football,1936,171.0,2
9832,Football,1936,172.0,10
9833,Football,1936,173.0,2
9834,Football,1936,174.0,3
9835,Football,1936,175.0,5
9836,Football,1936,176.0,4
9837,Football,1936,177.0,3
9838,Football,1936,178.0,2
9839,Football,1936,179.0,1
9840,Football,1936,180.0,4
9841,Football,1936,182.0,1
9842,Football,1936,185.0,2
9843,Football,1948,159.0,1
9844,Football,1948,164.0,2
9845,Football,1948,168.0,1
9846,Football,1948,169.0,2
9847,Football,1948,170.0,4
9848,Football,1948,172.0,3
9849,Football,1948,173.0,1
9850,Football,1948,174.0,2
9851,Football,1948,175.0,2
9852,Football,1948,176.0,1
9853,Football,1948,177.0,1
9854,Football,1948,178.0,2
9855,Football,1948,180.0,6
9856,Football,1948,182.0,1
9857,Football,1948,183.0,1
9858,Football,1948,185.0,2
9859,Football,1948,186.0,1
9860,Football,1952,163.0,3
9861,Football,1952,164.0,2
9862,Football,1952,166.0,1
9863,Football,1952,168.0,3
9864,Football,1952,169.0,1
9865,Football,1952,170.0,4
9866,Football,1952,171.0,2
9867,Football,1952,172.0,5
9868,Football,1952,174.0,4
9869,Football,1952,175.0,4
9870,Football,1952,176.0,2
9871,Football,1952,177.0,3
9872,Football,1952,178.0,5
9873,Football,1952,179.0,3
9874,Football,1952,180.0,4
9875,Football,1952,182.0,3
9876,Football,1952,183.0,1
9877,Football,1952,184.0,1
9878,Football,1952,185.0,1
9879,Football,1952,186.0,1
9880,Football,1952,189.0,1
9881,Football,1956,163.0,1
9882,Football,1956,164.0,1
9883,Football,1956,165.0,1
9884,Football,1956,166.0,2
9885,Football,1956,168.0,2
9886,Football,1956,170.0,2
9887,Football,1956,171.0,2
9888,Football,1956,172.0,1
9889,Football,1956,173.0,2
9890,Football,1956,175.0,6
9891,Football,1956,178.0,3
9892,Football,1956,180.0,4
9893,Football,1956,182.0,2
