lindex,Sport,Year,Height,count
10664,Golf,1900,167.0,1
10665,Golf,1900,178.0,1
10666,Golf,1900,181.0,1
10667,Golf,1904,167.0,2
10668,Golf,1904,178.0,4
10669,Golf,1904,180.0,2
10670,Golf,2016,157.0,1
10671,Golf,2016,158.0,1
10672,Golf,2016,160.0,3
10673,Golf,2016,163.0,7
10674,Golf,2016,164.0,2
10675,Golf,2016,165.0,8
10676,Golf,2016,166.0,1
10677,Golf,2016,168.0,16
10678,Golf,2016,169.0,3
10679,Golf,2016,170.0,10
10680,Golf,2016,171.0,1
10681,Golf,2016,172.0,3
10682,Golf,2016,173.0,7
10683,Golf,2016,174.0,2
10684,Golf,2016,175.0,11
10685,Golf,2016,176.0,1
10686,Golf,2016,178.0,5
10687,Golf,2016,179.0,2
10688,Golf,2016,180.0,8
10689,Golf,2016,183.0,10
10690,Golf,2016,184.0,1
10691,Golf,2016,185.0,3
10692,Golf,2016,186.0,2
10693,Golf,2016,187.0,2
10694,Golf,2016,188.0,4
10695,Golf,2016,191.0,4
10696,Golf,2016,193.0,1
10697,Golf,2016,196.0,1
