lindex,Sport,Year,Height,count
11371,Handball,1936,178.0,1
11372,Handball,1936,184.0,1
11373,Handball,1972,170.0,2
11374,Handball,1972,171.0,1
11375,Handball,1972,172.0,2
11376,Handball,1972,173.0,3
11377,Handball,1972,174.0,3
11378,Handball,1972,175.0,2
11379,Handball,1972,176.0,4
11380,Handball,1972,177.0,3
11381,Handball,1972,178.0,16
11382,Handball,1972,179.0,10
11383,Handball,1972,180.0,25
11384,Handball,1972,181.0,6
11385,Handball,1972,182.0,14
11386,Handball,1972,183.0,13
11387,Handball,1972,184.0,14
11388,Handball,1972,185.0,16
11389,Handball,1972,186.0,20
11390,Handball,1972,187.0,19
11391,Handball,1972,188.0,5
11392,Handball,1972,189.0,8
11393,Handball,1972,190.0,9
11394,Handball,1972,191.0,8
11395,Handball,1972,192.0,9
11396,Handball,1972,193.0,9
11397,Handball,1972,194.0,8
11398,Handball,1972,195.0,1
11399,Handball,1972,196.0,3
11400,Handball,1972,197.0,3
11401,Handball,1976,153.0,1
11402,Handball,1976,160.0,2
11403,Handball,1976,162.0,5
11404,Handball,1976,163.0,7
11405,Handball,1976,164.0,1
11406,Handball,1976,165.0,3
11407,Handball,1976,166.0,6
11408,Handball,1976,167.0,4
11409,Handball,1976,168.0,3
11410,Handball,1976,169.0,2
11411,Handball,1976,170.0,9
11412,Handball,1976,171.0,3
11413,Handball,1976,172.0,7
11414,Handball,1976,173.0,4
11415,Handball,1976,174.0,7
11416,Handball,1976,175.0,9
11417,Handball,1976,176.0,5
11418,Handball,1976,177.0,4
11419,Handball,1976,178.0,9
11420,Handball,1976,179.0,7
11421,Handball,1976,180.0,15
11422,Handball,1976,181.0,7
11423,Handball,1976,182.0,8
11424,Handball,1976,183.0,10
11425,Handball,1976,184.0,7
11426,Handball,1976,185.0,6
11427,Handball,1976,186.0,14
11428,Handball,1976,187.0,6
11429,Handball,1976,188.0,12
11430,Handball,1976,189.0,9
11431,Handball,1976,190.0,11
11432,Handball,1976,191.0,5
11433,Handball,1976,192.0,7
11434,Handball,1976,193.0,6
11435,Handball,1976,194.0,7
11436,Handball,1976,195.0,2
11437,Handball,1976,196.0,4
11438,Handball,1976,197.0,2
11439,Handball,1976,198.0,3
11440,Handball,1976,200.0,1
11441,Handball,1976,202.0,2
11442,Handball,1976,203.0,1
11443,Handball,1980,140.0,1
11444,Handball,1980,155.0,1
11445,Handball,1980,160.0,2
11446,Handball,1980,163.0,2
11447,Handball,1980,164.0,2
11448,Handball,1980,165.0,1
11449,Handball,1980,166.0,3
11450,Handball,1980,167.0,2
11451,Handball,1980,168.0,7
11452,Handball,1980,169.0,2
11453,Handball,1980,170.0,12
11454,Handball,1980,171.0,3
11455,Handball,1980,172.0,10
11456,Handball,1980,173.0,4
11457,Handball,1980,174.0,3
11458,Handball,1980,175.0,9
11459,Handball,1980,176.0,10
11460,Handball,1980,177.0,3
11461,Handball,1980,178.0,8
11462,Handball,1980,179.0,4
11463,Handball,1980,180.0,17
11464,Handball,1980,181.0,5
11465,Handball,1980,182.0,4
11466,Handball,1980,183.0,12
11467,Handball,1980,184.0,7
11468,Handball,1980,185.0,10
11469,Handball,1980,186.0,10
11470,Handball,1980,187.0,12
11471,Handball,1980,188.0,6
11472,Handball,1980,189.0,7
11473,Handball,1980,190.0,11
11474,Handball,1980,191.0,4
11475,Handball,1980,192.0,6
11476,Handball,1980,193.0,8
11477,Handball,1980,194.0,7
11478,Handball,1980,195.0,5
11479,Handball,1980,196.0,4
11480,Handball,1980,197.0,1
11481,Handball,1980,198.0,1
11482,Handball,1980,200.0,2
11483,Handball,1980,202.0,2
11484,Handball,1980,203.0,1
11485,Handball,1984,160.0,1
11486,Handball,1984,163.0,1
11487,Handball,1984,164.0,2
11488,Handball,1984,165.0,4
11489,Handball,1984,166.0,4
11490,Handball,1984,167.0,4
11491,Handball,1984,168.0,6
11492,Handball,1984,169.0,3
11493,Handball,1984,170.0,5
11494,Handball,1984,172.0,12
11495,Handball,1984,173.0,5
11496,Handball,1984,174.0,8
11497,Handball,1984,175.0,4
11498,Handball,1984,176.0,12
11499,Handball,1984,177.0,6
11500,Handball,1984,178.0,7
11501,Handball,1984,179.0,5
11502,Handball,1984,180.0,11
11503,Handball,1984,181.0,9
11504,Handball,1984,182.0,7
11505,Handball,1984,183.0,8
11506,Handball,1984,184.0,9
11507,Handball,1984,185.0,14
11508,Handball,1984,186.0,6
11509,Handball,1984,187.0,9
11510,Handball,1984,188.0,17
11511,Handball,1984,189.0,5
11512,Handball,1984,190.0,8
11513,Handball,1984,191.0,3
11514,Handball,1984,192.0,10
11515,Handball,1984,193.0,7
11516,Handball,1984,194.0,12
11517,Handball,1984,195.0,7
11518,Handball,1984,196.0,6
11519,Handball,1984,197.0,3
11520,Handball,1984,198.0,6
11521,Handball,1984,199.0,1
11522,Handball,1984,200.0,4
11523,Handball,1984,202.0,2
11524,Handball,1984,204.0,1
11525,Handball,1988,162.0,1
11526,Handball,1988,163.0,1
11527,Handball,1988,164.0,2
11528,Handball,1988,165.0,4
11529,Handball,1988,166.0,3
11530,Handball,1988,167.0,1
11531,Handball,1988,168.0,5
11532,Handball,1988,169.0,5
11533,Handball,1988,170.0,6
11534,Handball,1988,171.0,3
11535,Handball,1988,172.0,12
11536,Handball,1988,173.0,10
11537,Handball,1988,174.0,7
11538,Handball,1988,175.0,6
11539,Handball,1988,176.0,8
11540,Handball,1988,177.0,2
11541,Handball,1988,178.0,9
11542,Handball,1988,179.0,6
11543,Handball,1988,180.0,17
11544,Handball,1988,181.0,8
11545,Handball,1988,182.0,10
11546,Handball,1988,183.0,11
11547,Handball,1988,184.0,8
11548,Handball,1988,185.0,8
11549,Handball,1988,186.0,14
11550,Handball,1988,187.0,11
11551,Handball,1988,188.0,17
11552,Handball,1988,189.0,4
11553,Handball,1988,190.0,9
11554,Handball,1988,191.0,4
11555,Handball,1988,192.0,8
11556,Handball,1988,193.0,7
11557,Handball,1988,194.0,8
11558,Handball,1988,195.0,7
11559,Handball,1988,196.0,4
11560,Handball,1988,197.0,4
11561,Handball,1988,198.0,9
11562,Handball,1988,199.0,2
11563,Handball,1988,200.0,4
11564,Handball,1988,203.0,1
11565,Handball,1988,206.0,1
11566,Handball,1992,160.0,1
11567,Handball,1992,162.0,1
11568,Handball,1992,164.0,1
11569,Handball,1992,165.0,2
11570,Handball,1992,166.0,1
11571,Handball,1992,167.0,3
11572,Handball,1992,168.0,5
11573,Handball,1992,169.0,2
11574,Handball,1992,170.0,1
11575,Handball,1992,171.0,3
11576,Handball,1992,172.0,6
11577,Handball,1992,173.0,3
11578,Handball,1992,174.0,3
11579,Handball,1992,176.0,2
11580,Handball,1992,177.0,2
11581,Handball,1992,178.0,10
11582,Handball,1992,179.0,6
11583,Handball,1992,180.0,13
11584,Handball,1992,181.0,4
11585,Handball,1992,182.0,5
11586,Handball,1992,183.0,7
11587,Handball,1992,184.0,4
11588,Handball,1992,185.0,10
11589,Handball,1992,186.0,9
11590,Handball,1992,187.0,3
11591,Handball,1992,189.0,3
11592,Handball,1992,190.0,8
11593,Handball,1992,191.0,5
11594,Handball,1992,192.0,9
11595,Handball,1992,193.0,4
11596,Handball,1992,194.0,7
11597,Handball,1992,195.0,13
11598,Handball,1992,196.0,9
