lindex,Sport,Year,Height,count
12516,Ice Hockey,1920,165.0,2
12517,Ice Hockey,1920,167.0,2
12518,Ice Hockey,1920,170.0,1
12519,Ice Hockey,1920,171.0,1
12520,Ice Hockey,1920,173.0,1
12521,Ice Hockey,1920,174.0,1
12522,Ice Hockey,1920,175.0,4
12523,Ice Hockey,1920,179.0,2
12524,Ice Hockey,1920,180.0,4
12525,Ice Hockey,1920,183.0,1
12526,Ice Hockey,1920,190.0,1
12527,Ice Hockey,1924,157.0,1
12528,Ice Hockey,1924,164.0,1
12529,Ice Hockey,1924,165.0,1
12530,Ice Hockey,1924,170.0,4
12531,Ice Hockey,1924,173.0,2
12532,Ice Hockey,1924,174.0,1
12533,Ice Hockey,1924,175.0,1
12534,Ice Hockey,1924,178.0,4
12535,Ice Hockey,1924,185.0,1
12536,Ice Hockey,1924,188.0,1
12537,Ice Hockey,1924,191.0,1
12538,Ice Hockey,1928,157.0,1
12539,Ice Hockey,1928,159.0,1
12540,Ice Hockey,1928,164.0,1
12541,Ice Hockey,1928,173.0,1
12542,Ice Hockey,1928,174.0,1
12543,Ice Hockey,1928,175.0,3
12544,Ice Hockey,1928,177.0,1
12545,Ice Hockey,1928,178.0,4
12546,Ice Hockey,1928,189.0,1
12547,Ice Hockey,1928,191.0,1
12548,Ice Hockey,1932,155.0,1
12549,Ice Hockey,1932,159.0,1
12550,Ice Hockey,1932,163.0,1
12551,Ice Hockey,1932,168.0,1
12552,Ice Hockey,1932,170.0,1
12553,Ice Hockey,1932,171.0,1
12554,Ice Hockey,1932,175.0,2
12555,Ice Hockey,1932,176.0,1
12556,Ice Hockey,1932,180.0,2
12557,Ice Hockey,1932,185.0,1
12558,Ice Hockey,1932,189.0,1
12559,Ice Hockey,1932,190.0,1
12560,Ice Hockey,1932,193.0,1
12561,Ice Hockey,1936,163.0,1
12562,Ice Hockey,1936,164.0,1
12563,Ice Hockey,1936,165.0,1
12564,Ice Hockey,1936,170.0,1
12565,Ice Hockey,1936,171.0,1
12566,Ice Hockey,1936,175.0,4
12567,Ice Hockey,1936,176.0,2
12568,Ice Hockey,1936,178.0,3
12569,Ice Hockey,1936,180.0,7
12570,Ice Hockey,1936,183.0,2
12571,Ice Hockey,1936,185.0,1
12572,Ice Hockey,1936,188.0,1
12573,Ice Hockey,1948,164.0,1
12574,Ice Hockey,1948,170.0,3
12575,Ice Hockey,1948,171.0,2
12576,Ice Hockey,1948,172.0,1
12577,Ice Hockey,1948,173.0,2
12578,Ice Hockey,1948,175.0,1
12579,Ice Hockey,1948,176.0,1
12580,Ice Hockey,1948,177.0,1
12581,Ice Hockey,1948,178.0,3
12582,Ice Hockey,1948,180.0,1
12583,Ice Hockey,1948,182.0,1
12584,Ice Hockey,1948,183.0,1
12585,Ice Hockey,1948,185.0,1
12586,Ice Hockey,1948,189.0,1
12587,Ice Hockey,1948,193.0,1
12588,Ice Hockey,1952,166.0,1
12589,Ice Hockey,1952,168.0,1
12590,Ice Hockey,1952,170.0,2
12591,Ice Hockey,1952,171.0,2
12592,Ice Hockey,1952,174.0,2
12593,Ice Hockey,1952,175.0,3
12594,Ice Hockey,1952,177.0,1
12595,Ice Hockey,1952,178.0,3
12596,Ice Hockey,1952,180.0,4
12597,Ice Hockey,1952,182.0,1
12598,Ice Hockey,1952,183.0,1
12599,Ice Hockey,1952,184.0,1
12600,Ice Hockey,1952,185.0,1
12601,Ice Hockey,1952,188.0,2
12602,Ice Hockey,1952,195.0,1
12603,Ice Hockey,1956,165.0,1
12604,Ice Hockey,1956,166.0,1
12605,Ice Hockey,1956,167.0,1
12606,Ice Hockey,1956,169.0,2
12607,Ice Hockey,1956,170.0,9
12608,Ice Hockey,1956,172.0,4
12609,Ice Hockey,1956,173.0,2
12610,Ice Hockey,1956,174.0,2
12611,Ice Hockey,1956,175.0,12
12612,Ice Hockey,1956,178.0,14
12613,Ice Hockey,1956,179.0,1
12614,Ice Hockey,1956,180.0,7
12615,Ice Hockey,1956,181.0,2
12616,Ice Hockey,1956,182.0,3
12617,Ice Hockey,1956,183.0,5
12618,Ice Hockey,1956,185.0,5
12619,Ice Hockey,1956,188.0,2
12620,Ice Hockey,1956,190.0,1
12621,Ice Hockey,1956,191.0,1
12622,Ice Hockey,1960,165.0,2
12623,Ice Hockey,1960,166.0,1
12624,Ice Hockey,1960,168.0,1
12625,Ice Hockey,1960,169.0,2
12626,Ice Hockey,1960,170.0,9
12627,Ice Hockey,1960,171.0,2
12628,Ice Hockey,1960,172.0,6
12629,Ice Hockey,1960,173.0,5
12630,Ice Hockey,1960,174.0,2
12631,Ice Hockey,1960,175.0,8
12632,Ice Hockey,1960,176.0,5
12633,Ice Hockey,1960,177.0,5
12634,Ice Hockey,1960,178.0,16
12635,Ice Hockey,1960,179.0,4
12636,Ice Hockey,1960,180.0,14
12637,Ice Hockey,1960,181.0,4
12638,Ice Hockey,1960,183.0,6
12639,Ice Hockey,1960,185.0,4
12640,Ice Hockey,1960,186.0,1
12641,Ice Hockey,1960,187.0,2
12642,Ice Hockey,1960,188.0,2
12643,Ice Hockey,1960,189.0,1
12644,Ice Hockey,1960,190.0,2
12645,Ice Hockey,1964,164.0,2
12646,Ice Hockey,1964,165.0,2
12647,Ice Hockey,1964,166.0,4
12648,Ice Hockey,1964,167.0,3
12649,Ice Hockey,1964,168.0,3
12650,Ice Hockey,1964,169.0,6
12651,Ice Hockey,1964,170.0,17
12652,Ice Hockey,1964,171.0,5
12653,Ice Hockey,1964,172.0,13
12654,Ice Hockey,1964,173.0,4
12655,Ice Hockey,1964,174.0,10
12656,Ice Hockey,1964,175.0,17
12657,Ice Hockey,1964,176.0,17
12658,Ice Hockey,1964,177.0,9
12659,Ice Hockey,1964,178.0,17
