lindex,Sport,Year,Height,count
14075,Modern Pentathlon,1912,169.0,1
14076,Modern Pentathlon,1912,175.0,1
14077,Modern Pentathlon,1920,175.0,1
14078,Modern Pentathlon,1920,178.0,1
14079,Modern Pentathlon,1924,169.0,1
14080,Modern Pentathlon,1924,170.0,1
14081,Modern Pentathlon,1924,173.0,1
14082,Modern Pentathlon,1924,180.0,1
14083,Modern Pentathlon,1924,188.0,1
14084,Modern Pentathlon,1928,170.0,1
14085,Modern Pentathlon,1928,173.0,1
14086,Modern Pentathlon,1928,175.0,1
14087,Modern Pentathlon,1928,176.0,1
14088,Modern Pentathlon,1928,180.0,1
14089,Modern Pentathlon,1932,152.0,1
14090,Modern Pentathlon,1932,165.0,1
14091,Modern Pentathlon,1932,170.0,2
14092,Modern Pentathlon,1932,173.0,2
14093,Modern Pentathlon,1932,175.0,2
14094,Modern Pentathlon,1932,178.0,2
14095,Modern Pentathlon,1932,180.0,1
14096,Modern Pentathlon,1936,170.0,1
14097,Modern Pentathlon,1936,195.0,1
14098,Modern Pentathlon,1948,174.0,1
14099,Modern Pentathlon,1948,175.0,1
14100,Modern Pentathlon,1952,170.0,2
14101,Modern Pentathlon,1952,171.0,2
14102,Modern Pentathlon,1952,172.0,4
14103,Modern Pentathlon,1952,173.0,2
14104,Modern Pentathlon,1952,175.0,2
14105,Modern Pentathlon,1952,182.0,2
14106,Modern Pentathlon,1952,183.0,4
14107,Modern Pentathlon,1956,167.0,2
14108,Modern Pentathlon,1956,170.0,2
14109,Modern Pentathlon,1956,171.0,4
14110,Modern Pentathlon,1956,172.0,3
14111,Modern Pentathlon,1956,173.0,2
14112,Modern Pentathlon,1956,176.0,2
14113,Modern Pentathlon,1956,177.0,3
14114,Modern Pentathlon,1956,178.0,2
14115,Modern Pentathlon,1956,180.0,2
14116,Modern Pentathlon,1956,182.0,2
14117,Modern Pentathlon,1956,183.0,2
14118,Modern Pentathlon,1956,184.0,2
14119,Modern Pentathlon,1956,188.0,2
14120,Modern Pentathlon,1960,160.0,1
14121,Modern Pentathlon,1960,164.0,2
14122,Modern Pentathlon,1960,167.0,2
14123,Modern Pentathlon,1960,168.0,4
14124,Modern Pentathlon,1960,169.0,1
14125,Modern Pentathlon,1960,170.0,5
14126,Modern Pentathlon,1960,171.0,6
14127,Modern Pentathlon,1960,172.0,8
14128,Modern Pentathlon,1960,173.0,6
14129,Modern Pentathlon,1960,174.0,6
14130,Modern Pentathlon,1960,175.0,8
14131,Modern Pentathlon,1960,176.0,3
14132,Modern Pentathlon,1960,177.0,9
14133,Modern Pentathlon,1960,178.0,8
14134,Modern Pentathlon,1960,179.0,4
14135,Modern Pentathlon,1960,180.0,5
14136,Modern Pentathlon,1960,181.0,10
14137,Modern Pentathlon,1960,182.0,2
14138,Modern Pentathlon,1960,183.0,8
14139,Modern Pentathlon,1960,184.0,2
14140,Modern Pentathlon,1960,185.0,2
14141,Modern Pentathlon,1960,186.0,3
14142,Modern Pentathlon,1960,188.0,4
14143,Modern Pentathlon,1960,190.0,2
14144,Modern Pentathlon,1964,164.0,1
14145,Modern Pentathlon,1964,167.0,2
14146,Modern Pentathlon,1964,170.0,2
14147,Modern Pentathlon,1964,171.0,6
14148,Modern Pentathlon,1964,172.0,4
14149,Modern Pentathlon,1964,173.0,4
14150,Modern Pentathlon,1964,174.0,4
14151,Modern Pentathlon,1964,175.0,12
14152,Modern Pentathlon,1964,176.0,2
14153,Modern Pentathlon,1964,177.0,2
14154,Modern Pentathlon,1964,178.0,4
14155,Modern Pentathlon,1964,180.0,2
14156,Modern Pentathlon,1964,181.0,1
14157,Modern Pentathlon,1964,182.0,2
14158,Modern Pentathlon,1964,183.0,7
14159,Modern Pentathlon,1964,184.0,2
14160,Modern Pentathlon,1964,185.0,5
14161,Modern Pentathlon,1964,187.0,2
14162,Modern Pentathlon,1964,188.0,4
14163,Modern Pentathlon,1964,190.0,2
14164,Modern Pentathlon,1968,168.0,2
14165,Modern Pentathlon,1968,169.0,4
14166,Modern Pentathlon,1968,170.0,2
14167,Modern Pentathlon,1968,171.0,4
14168,Modern Pentathlon,1968,172.0,3
14169,Modern Pentathlon,1968,173.0,4
14170,Modern Pentathlon,1968,174.0,6
14171,Modern Pentathlon,1968,175.0,8
14172,Modern Pentathlon,1968,176.0,8
14173,Modern Pentathlon,1968,177.0,6
14174,Modern Pentathlon,1968,178.0,10
14175,Modern Pentathlon,1968,179.0,4
14176,Modern Pentathlon,1968,180.0,12
14177,Modern Pentathlon,1968,181.0,2
14178,Modern Pentathlon,1968,182.0,3
14179,Modern Pentathlon,1968,183.0,1
14180,Modern Pentathlon,1968,184.0,4
14181,Modern Pentathlon,1968,185.0,2
14182,Modern Pentathlon,1968,186.0,2
14183,Modern Pentathlon,1968,188.0,6
14184,Modern Pentathlon,1972,164.0,2
14185,Modern Pentathlon,1972,167.0,2
14186,Modern Pentathlon,1972,170.0,4
14187,Modern Pentathlon,1972,171.0,6
14188,Modern Pentathlon,1972,172.0,6
14189,Modern Pentathlon,1972,173.0,8
14190,Modern Pentathlon,1972,174.0,8
14191,Modern Pentathlon,1972,175.0,3
14192,Modern Pentathlon,1972,176.0,10
14193,Modern Pentathlon,1972,177.0,4
14194,Modern Pentathlon,1972,178.0,10
14195,Modern Pentathlon,1972,179.0,4
14196,Modern Pentathlon,1972,180.0,18
14197,Modern Pentathlon,1972,181.0,3
14198,Modern Pentathlon,1972,182.0,6
14199,Modern Pentathlon,1972,183.0,4
14200,Modern Pentathlon,1972,184.0,2
14201,Modern Pentathlon,1972,186.0,4
14202,Modern Pentathlon,1972,187.0,2
14203,Modern Pentathlon,1972,188.0,8
14204,Modern Pentathlon,1972,191.0,2
14205,Modern Pentathlon,1976,169.0,2
14206,Modern Pentathlon,1976,170.0,2
14207,Modern Pentathlon,1976,171.0,4
14208,Modern Pentathlon,1976,173.0,2
14209,Modern Pentathlon,1976,174.0,2
14210,Modern Pentathlon,1976,175.0,2
14211,Modern Pentathlon,1976,176.0,10
14212,Modern Pentathlon,1976,177.0,6
14213,Modern Pentathlon,1976,178.0,4
14214,Modern Pentathlon,1976,179.0,4
14215,Modern Pentathlon,1976,180.0,13
14216,Modern Pentathlon,1976,181.0,4
14217,Modern Pentathlon,1976,182.0,6
14218,Modern Pentathlon,1976,183.0,4
14219,Modern Pentathlon,1976,184.0,4
14220,Modern Pentathlon,1976,185.0,2
14221,Modern Pentathlon,1976,186.0,8
14222,Modern Pentathlon,1976,187.0,2
14223,Modern Pentathlon,1976,188.0,8
14224,Modern Pentathlon,1980,170.0,1
14225,Modern Pentathlon,1980,171.0,2
14226,Modern Pentathlon,1980,172.0,2
14227,Modern Pentathlon,1980,173.0,4
14228,Modern Pentathlon,1980,175.0,2
14229,Modern Pentathlon,1980,176.0,4
14230,Modern Pentathlon,1980,177.0,6
14231,Modern Pentathlon,1980,178.0,5
14232,Modern Pentathlon,1980,179.0,4
14233,Modern Pentathlon,1980,180.0,14
14234,Modern Pentathlon,1980,181.0,6
14235,Modern Pentathlon,1980,182.0,5
14236,Modern Pentathlon,1980,183.0,2
14237,Modern Pentathlon,1980,184.0,6
14238,Modern Pentathlon,1980,185.0,2
14239,Modern Pentathlon,1980,186.0,10
14240,Modern Pentathlon,1980,188.0,2
14241,Modern Pentathlon,1984,167.0,2
14242,Modern Pentathlon,1984,169.0,2
14243,Modern Pentathlon,1984,170.0,8
14244,Modern Pentathlon,1984,172.0,2
14245,Modern Pentathlon,1984,173.0,2
14246,Modern Pentathlon,1984,174.0,3
14247,Modern Pentathlon,1984,175.0,8
14248,Modern Pentathlon,1984,176.0,18
14249,Modern Pentathlon,1984,177.0,4
14250,Modern Pentathlon,1984,178.0,2
14251,Modern Pentathlon,1984,179.0,2
14252,Modern Pentathlon,1984,180.0,14
14253,Modern Pentathlon,1984,181.0,2
14254,Modern Pentathlon,1984,182.0,4
14255,Modern Pentathlon,1984,183.0,2
14256,Modern Pentathlon,1984,184.0,2
14257,Modern Pentathlon,1984,185.0,8
14258,Modern Pentathlon,1984,186.0,2
14259,Modern Pentathlon,1984,187.0,6
14260,Modern Pentathlon,1984,188.0,4
14261,Modern Pentathlon,1984,195.0,2
14262,Modern Pentathlon,1988,167.0,1
14263,Modern Pentathlon,1988,170.0,11
14264,Modern Pentathlon,1988,171.0,2
14265,Modern Pentathlon,1988,173.0,6
14266,Modern Pentathlon,1988,174.0,4
14267,Modern Pentathlon,1988,175.0,11
14268,Modern Pentathlon,1988,176.0,8
14269,Modern Pentathlon,1988,177.0,4
14270,Modern Pentathlon,1988,178.0,4
14271,Modern Pentathlon,1988,179.0,1
14272,Modern Pentathlon,1988,180.0,13
14273,Modern Pentathlon,1988,181.0,4
14274,Modern Pentathlon,1988,182.0,12
14275,Modern Pentathlon,1988,184.0,5
14276,Modern Pentathlon,1988,185.0,14
14277,Modern Pentathlon,1988,186.0,3
14278,Modern Pentathlon,1988,187.0,4
14279,Modern Pentathlon,1988,188.0,2
14280,Modern Pentathlon,1988,189.0,2
14281,Modern Pentathlon,1988,190.0,6
14282,Modern Pentathlon,1988,194.0,2
14283,Modern Pentathlon,1988,195.0,2
14284,Modern Pentathlon,1992,170.0,3
14285,Modern Pentathlon,1992,172.0,2
14286,Modern Pentathlon,1992,173.0,4
14287,Modern Pentathlon,1992,174.0,2
14288,Modern Pentathlon,1992,175.0,5
14289,Modern Pentathlon,1992,176.0,4
14290,Modern Pentathlon,1992,177.0,2
14291,Modern Pentathlon,1992,178.0,4
14292,Modern Pentathlon,1992,179.0,4
14293,Modern Pentathlon,1992,180.0,11
14294,Modern Pentathlon,1992,181.0,4
14295,Modern Pentathlon,1992,182.0,16
14296,Modern Pentathlon,1992,184.0,3
14297,Modern Pentathlon,1992,185.0,9
