lindex,Sport,Year,Height,count
14772,Rhythmic Gymnastics,1984,153.0,2
14773,Rhythmic Gymnastics,1984,156.0,5
14774,Rhythmic Gymnastics,1984,157.0,1
14775,Rhythmic Gymnastics,1984,159.0,1
14776,Rhythmic Gymnastics,1984,160.0,2
14777,Rhythmic Gymnastics,1984,162.0,2
14778,Rhythmic Gymnastics,1984,163.0,2
14779,Rhythmic Gymnastics,1984,164.0,3
14780,Rhythmic Gymnastics,1984,165.0,3
14781,Rhythmic Gymnastics,1984,166.0,3
14782,Rhythmic Gymnastics,1984,167.0,3
14783,Rhythmic Gymnastics,1984,169.0,1
14784,Rhythmic Gymnastics,1984,171.0,1
14785,Rhythmic Gymnastics,1984,172.0,1
14786,Rhythmic Gymnastics,1984,173.0,2
14787,Rhythmic Gymnastics,1984,177.0,1
14788,Rhythmic Gymnastics,1988,142.0,1
14789,Rhythmic Gymnastics,1988,156.0,2
14790,Rhythmic Gymnastics,1988,157.0,1
14791,Rhythmic Gymnastics,1988,159.0,2
14792,Rhythmic Gymnastics,1988,160.0,3
14793,Rhythmic Gymnastics,1988,161.0,1
14794,Rhythmic Gymnastics,1988,162.0,7
14795,Rhythmic Gymnastics,1988,163.0,3
14796,Rhythmic Gymnastics,1988,164.0,4
14797,Rhythmic Gymnastics,1988,165.0,3
14798,Rhythmic Gymnastics,1988,166.0,4
14799,Rhythmic Gymnastics,1988,167.0,2
14800,Rhythmic Gymnastics,1988,169.0,1
14801,Rhythmic Gymnastics,1988,170.0,1
14802,Rhythmic Gymnastics,1988,172.0,1
14803,Rhythmic Gymnastics,1988,173.0,2
14804,Rhythmic Gymnastics,1988,174.0,1
14805,Rhythmic Gymnastics,1992,150.0,1
14806,Rhythmic Gymnastics,1992,155.0,2
14807,Rhythmic Gymnastics,1992,157.0,1
14808,Rhythmic Gymnastics,1992,158.0,1
14809,Rhythmic Gymnastics,1992,162.0,2
14810,Rhythmic Gymnastics,1992,163.0,4
14811,Rhythmic Gymnastics,1992,164.0,2
14812,Rhythmic Gymnastics,1992,165.0,1
14813,Rhythmic Gymnastics,1992,166.0,1
14814,Rhythmic Gymnastics,1992,167.0,1
14815,Rhythmic Gymnastics,1992,168.0,2
14816,Rhythmic Gymnastics,1992,169.0,2
14817,Rhythmic Gymnastics,1992,170.0,1
14818,Rhythmic Gymnastics,1992,172.0,2
14819,Rhythmic Gymnastics,1992,173.0,2
14820,Rhythmic Gymnastics,1992,178.0,1
