lindex,Sport,Year,Height,count
14941,Rowing,1908,168.0,1
14942,Rowing,1908,174.0,1
14943,Rowing,1908,185.0,3
14944,Rowing,1908,191.0,1
14945,Rowing,1912,173.0,1
14946,Rowing,1912,175.0,2
14947,Rowing,1912,176.0,1
14948,Rowing,1912,177.0,1
14949,Rowing,1912,178.0,2
14950,Rowing,1912,183.0,1
14951,Rowing,1912,184.0,1
14952,Rowing,1912,185.0,1
14953,Rowing,1912,188.0,2
14954,Rowing,1912,189.0,1
14955,Rowing,1920,156.0,1
14956,Rowing,1920,164.0,1
14957,Rowing,1920,170.0,4
14958,Rowing,1920,178.0,1
14959,Rowing,1920,180.0,1
14960,Rowing,1920,182.0,1
14961,Rowing,1920,183.0,2
14962,Rowing,1920,185.0,5
14963,Rowing,1920,187.0,2
14964,Rowing,1920,188.0,3
14965,Rowing,1920,190.0,1
14966,Rowing,1920,192.0,1
14967,Rowing,1924,157.0,1
14968,Rowing,1924,165.0,1
14969,Rowing,1924,167.0,1
14970,Rowing,1924,170.0,3
14971,Rowing,1924,172.0,2
14972,Rowing,1924,173.0,1
14973,Rowing,1924,175.0,1
14974,Rowing,1924,177.0,2
14975,Rowing,1924,178.0,6
14976,Rowing,1924,179.0,1
14977,Rowing,1924,180.0,1
14978,Rowing,1924,183.0,4
14979,Rowing,1924,184.0,1
14980,Rowing,1924,187.0,3
14981,Rowing,1924,188.0,2
14982,Rowing,1924,189.0,1
14983,Rowing,1924,190.0,2
14984,Rowing,1924,196.0,1
14985,Rowing,1928,147.0,1
14986,Rowing,1928,150.0,1
14987,Rowing,1928,168.0,1
14988,Rowing,1928,170.0,3
14989,Rowing,1928,171.0,1
14990,Rowing,1928,172.0,2
14991,Rowing,1928,174.0,2
14992,Rowing,1928,176.0,1
14993,Rowing,1928,178.0,1
14994,Rowing,1928,179.0,3
14995,Rowing,1928,182.0,2
14996,Rowing,1928,183.0,3
14997,Rowing,1928,185.0,8
14998,Rowing,1928,186.0,1
14999,Rowing,1928,187.0,1
15000,Rowing,1928,188.0,4
15001,Rowing,1928,189.0,3
15002,Rowing,1928,190.0,4
15003,Rowing,1928,191.0,1
15004,Rowing,1928,192.0,1
15005,Rowing,1928,193.0,1
15006,Rowing,1932,147.0,1
15007,Rowing,1932,150.0,2
15008,Rowing,1932,157.0,1
15009,Rowing,1932,160.0,1
15010,Rowing,1932,163.0,1
15011,Rowing,1932,165.0,2
15012,Rowing,1932,166.0,1
15013,Rowing,1932,167.0,1
15014,Rowing,1932,168.0,2
15015,Rowing,1932,170.0,12
15016,Rowing,1932,172.0,1
15017,Rowing,1932,173.0,10
15018,Rowing,1932,175.0,1
15019,Rowing,1932,176.0,1
15020,Rowing,1932,178.0,2
15021,Rowing,1932,179.0,1
15022,Rowing,1932,180.0,9
15023,Rowing,1932,181.0,1
15024,Rowing,1932,182.0,1
15025,Rowing,1932,183.0,8
15026,Rowing,1932,184.0,1
15027,Rowing,1932,185.0,7
15028,Rowing,1932,187.0,2
15029,Rowing,1932,188.0,4
15030,Rowing,1932,189.0,1
15031,Rowing,1932,190.0,4
15032,Rowing,1932,191.0,2
15033,Rowing,1932,193.0,3
15034,Rowing,1936,150.0,2
15035,Rowing,1936,160.0,1
15036,Rowing,1936,165.0,1
15037,Rowing,1936,170.0,4
15038,Rowing,1936,173.0,3
15039,Rowing,1936,176.0,1
15040,Rowing,1936,178.0,1
15041,Rowing,1936,180.0,4
15042,Rowing,1936,181.0,1
15043,Rowing,1936,183.0,2
15044,Rowing,1936,185.0,1
15045,Rowing,1936,186.0,2
15046,Rowing,1936,187.0,1
15047,Rowing,1936,188.0,1
15048,Rowing,1936,190.0,1
15049,Rowing,1936,191.0,1
15050,Rowing,1936,193.0,3
15051,Rowing,1936,195.0,1
15052,Rowing,1936,196.0,1
15053,Rowing,1948,170.0,3
15054,Rowing,1948,172.0,1
15055,Rowing,1948,178.0,4
15056,Rowing,1948,180.0,1
15057,Rowing,1948,181.0,1
15058,Rowing,1948,183.0,1
15059,Rowing,1948,184.0,2
15060,Rowing,1948,185.0,2
15061,Rowing,1948,186.0,1
15062,Rowing,1948,187.0,3
15063,Rowing,1948,189.0,1
15064,Rowing,1948,192.0,1
15065,Rowing,1952,170.0,4
15066,Rowing,1952,172.0,1
15067,Rowing,1952,173.0,1
15068,Rowing,1952,174.0,1
15069,Rowing,1952,175.0,1
15070,Rowing,1952,177.0,1
15071,Rowing,1952,178.0,3
15072,Rowing,1952,180.0,4
15073,Rowing,1952,181.0,4
15074,Rowing,1952,182.0,6
15075,Rowing,1952,183.0,4
15076,Rowing,1952,184.0,3
15077,Rowing,1952,185.0,3
15078,Rowing,1952,186.0,3
15079,Rowing,1952,187.0,2
15080,Rowing,1952,188.0,4
15081,Rowing,1952,189.0,2
15082,Rowing,1952,190.0,5
15083,Rowing,1952,192.0,1
15084,Rowing,1956,165.0,1
15085,Rowing,1956,170.0,2
15086,Rowing,1956,172.0,2
15087,Rowing,1956,176.0,2
15088,Rowing,1956,178.0,2
15089,Rowing,1956,179.0,2
15090,Rowing,1956,180.0,6
15091,Rowing,1956,181.0,6
15092,Rowing,1956,182.0,6
15093,Rowing,1956,183.0,13
15094,Rowing,1956,184.0,2
15095,Rowing,1956,185.0,7
15096,Rowing,1956,186.0,5
