lindex,Sport,Year,Height,count
15875,Rugby Sevens,2016,153.0,1
15876,Rugby Sevens,2016,154.0,2
15877,Rugby Sevens,2016,155.0,1
15878,Rugby Sevens,2016,156.0,1
15879,Rugby Sevens,2016,157.0,5
15880,Rugby Sevens,2016,158.0,2
15881,Rugby Sevens,2016,159.0,3
15882,Rugby Sevens,2016,160.0,4
15883,Rugby Sevens,2016,161.0,2
15884,Rugby Sevens,2016,162.0,8
15885,Rugby Sevens,2016,163.0,8
15886,Rugby Sevens,2016,164.0,4
15887,Rugby Sevens,2016,165.0,15
15888,Rugby Sevens,2016,166.0,6
15889,Rugby Sevens,2016,167.0,7
15890,Rugby Sevens,2016,168.0,15
15891,Rugby Sevens,2016,169.0,7
15892,Rugby Sevens,2016,170.0,15
15893,Rugby Sevens,2016,171.0,6
15894,Rugby Sevens,2016,172.0,21
15895,Rugby Sevens,2016,173.0,13
15896,Rugby Sevens,2016,174.0,10
15897,Rugby Sevens,2016,175.0,10
15898,Rugby Sevens,2016,176.0,5
15899,Rugby Sevens,2016,177.0,10
15900,Rugby Sevens,2016,178.0,5
15901,Rugby Sevens,2016,179.0,3
15902,Rugby Sevens,2016,180.0,10
15903,Rugby Sevens,2016,181.0,4
15904,Rugby Sevens,2016,182.0,7
15905,Rugby Sevens,2016,183.0,10
15906,Rugby Sevens,2016,184.0,4
15907,Rugby Sevens,2016,185.0,17
15908,Rugby Sevens,2016,186.0,5
15909,Rugby Sevens,2016,187.0,4
15910,Rugby Sevens,2016,188.0,11
15911,Rugby Sevens,2016,189.0,7
15912,Rugby Sevens,2016,190.0,5
15913,Rugby Sevens,2016,191.0,4
15914,Rugby Sevens,2016,192.0,4
15915,Rugby Sevens,2016,193.0,8
15916,Rugby Sevens,2016,194.0,3
15917,Rugby Sevens,2016,195.0,2
15918,Rugby Sevens,2016,196.0,1
15919,Rugby Sevens,2016,198.0,2
