lindex,Sport,Year,Height,count
16612,Shooting,1900,168.0,7
16613,Shooting,1900,170.0,7
16614,Shooting,1906,168.0,18
16615,Shooting,1906,175.0,20
16616,Shooting,1908,168.0,10
16617,Shooting,1908,170.0,8
16618,Shooting,1908,171.0,1
16619,Shooting,1908,173.0,2
16620,Shooting,1908,175.0,5
16621,Shooting,1912,168.0,12
16622,Shooting,1912,170.0,16
16623,Shooting,1912,173.0,8
16624,Shooting,1912,175.0,8
16625,Shooting,1912,178.0,4
16626,Shooting,1912,179.0,5
16627,Shooting,1912,180.0,7
16628,Shooting,1912,182.0,7
16629,Shooting,1920,168.0,10
16630,Shooting,1920,170.0,14
16631,Shooting,1920,171.0,2
16632,Shooting,1920,173.0,17
16633,Shooting,1920,174.0,2
16634,Shooting,1920,175.0,8
16635,Shooting,1920,177.0,2
16636,Shooting,1920,178.0,8
16637,Shooting,1920,179.0,18
16638,Shooting,1920,180.0,11
16639,Shooting,1920,182.0,1
16640,Shooting,1920,183.0,11
16641,Shooting,1920,185.0,5
16642,Shooting,1920,187.0,2
16643,Shooting,1924,167.0,1
16644,Shooting,1924,168.0,6
16645,Shooting,1924,169.0,2
16646,Shooting,1924,170.0,5
16647,Shooting,1924,171.0,7
16648,Shooting,1924,173.0,6
16649,Shooting,1924,174.0,1
16650,Shooting,1924,175.0,1
16651,Shooting,1924,177.0,1
16652,Shooting,1924,178.0,2
16653,Shooting,1924,180.0,4
16654,Shooting,1924,182.0,2
16655,Shooting,1924,183.0,2
16656,Shooting,1924,185.0,6
16657,Shooting,1924,188.0,6
16658,Shooting,1932,167.0,4
16659,Shooting,1932,168.0,3
16660,Shooting,1932,170.0,6
16661,Shooting,1932,173.0,3
16662,Shooting,1932,175.0,5
16663,Shooting,1932,180.0,1
16664,Shooting,1932,198.0,1
16665,Shooting,1936,164.0,2
16666,Shooting,1936,165.0,1
16667,Shooting,1936,167.0,2
16668,Shooting,1936,168.0,1
16669,Shooting,1936,170.0,3
16670,Shooting,1936,172.0,1
16671,Shooting,1936,173.0,8
16672,Shooting,1936,175.0,2
16673,Shooting,1936,180.0,1
16674,Shooting,1936,182.0,1
16675,Shooting,1936,187.0,2
16676,Shooting,1936,194.0,1
16677,Shooting,1936,198.0,1
16678,Shooting,1948,163.0,1
16679,Shooting,1948,164.0,1
16680,Shooting,1948,165.0,1
16681,Shooting,1948,166.0,1
16682,Shooting,1948,167.0,1
16683,Shooting,1948,168.0,1
16684,Shooting,1948,170.0,5
16685,Shooting,1948,172.0,5
16686,Shooting,1948,173.0,6
16687,Shooting,1948,175.0,4
16688,Shooting,1948,176.0,2
16689,Shooting,1948,178.0,3
16690,Shooting,1948,181.0,2
16691,Shooting,1948,182.0,1
16692,Shooting,1948,185.0,1
16693,Shooting,1948,187.0,2
16694,Shooting,1948,190.0,2
16695,Shooting,1948,194.0,1
16696,Shooting,1948,198.0,1
16697,Shooting,1952,155.0,3
16698,Shooting,1952,159.0,1
16699,Shooting,1952,162.0,3
16700,Shooting,1952,163.0,1
16701,Shooting,1952,166.0,1
16702,Shooting,1952,167.0,2
16703,Shooting,1952,168.0,1
16704,Shooting,1952,169.0,4
16705,Shooting,1952,170.0,1
16706,Shooting,1952,171.0,1
16707,Shooting,1952,172.0,8
16708,Shooting,1952,173.0,8
16709,Shooting,1952,175.0,2
16710,Shooting,1952,177.0,5
16711,Shooting,1952,178.0,6
16712,Shooting,1952,179.0,2
16713,Shooting,1952,180.0,7
16714,Shooting,1952,181.0,3
16715,Shooting,1952,182.0,4
16716,Shooting,1952,183.0,1
16717,Shooting,1952,184.0,1
16718,Shooting,1952,185.0,2
16719,Shooting,1952,187.0,2
16720,Shooting,1952,191.0,1
16721,Shooting,1952,194.0,1
16722,Shooting,1952,198.0,1
16723,Shooting,1956,155.0,2
16724,Shooting,1956,161.0,1
16725,Shooting,1956,163.0,3
16726,Shooting,1956,164.0,4
16727,Shooting,1956,165.0,4
16728,Shooting,1956,166.0,1
16729,Shooting,1956,167.0,1
16730,Shooting,1956,168.0,2
16731,Shooting,1956,169.0,4
16732,Shooting,1956,170.0,10
16733,Shooting,1956,171.0,4
16734,Shooting,1956,172.0,9
16735,Shooting,1956,173.0,7
16736,Shooting,1956,174.0,1
16737,Shooting,1956,175.0,7
16738,Shooting,1956,176.0,2
16739,Shooting,1956,177.0,6
16740,Shooting,1956,178.0,7
16741,Shooting,1956,179.0,2
16742,Shooting,1956,180.0,7
16743,Shooting,1956,181.0,3
16744,Shooting,1956,182.0,4
16745,Shooting,1956,184.0,1
16746,Shooting,1956,185.0,4
16747,Shooting,1956,186.0,3
16748,Shooting,1956,187.0,1
16749,Shooting,1956,193.0,2
16750,Shooting,1956,194.0,1
16751,Shooting,1960,155.0,2
16752,Shooting,1960,159.0,2
16753,Shooting,1960,160.0,4
16754,Shooting,1960,161.0,4
16755,Shooting,1960,162.0,7
16756,Shooting,1960,163.0,3
16757,Shooting,1960,164.0,5
16758,Shooting,1960,165.0,15
16759,Shooting,1960,166.0,1
16760,Shooting,1960,167.0,17
16761,Shooting,1960,168.0,16
16762,Shooting,1960,169.0,18
16763,Shooting,1960,170.0,38
16764,Shooting,1960,171.0,9
16765,Shooting,1960,172.0,34
16766,Shooting,1960,173.0,16
16767,Shooting,1960,174.0,18
16768,Shooting,1960,175.0,25
16769,Shooting,1960,176.0,18
16770,Shooting,1960,177.0,16
16771,Shooting,1960,178.0,17
16772,Shooting,1960,179.0,14
16773,Shooting,1960,180.0,26
16774,Shooting,1960,181.0,6
16775,Shooting,1960,182.0,9
16776,Shooting,1960,183.0,15
16777,Shooting,1960,184.0,10
16778,Shooting,1960,185.0,3
16779,Shooting,1960,186.0,2
16780,Shooting,1960,187.0,2
16781,Shooting,1960,188.0,5
16782,Shooting,1960,189.0,1
16783,Shooting,1960,191.0,1
16784,Shooting,1960,193.0,2
16785,Shooting,1960,194.0,1
16786,Shooting,1960,195.0,3
16787,Shooting,1960,196.0,1
16788,Shooting,1964,150.0,1
16789,Shooting,1964,157.0,2
16790,Shooting,1964,159.0,1
16791,Shooting,1964,160.0,2
16792,Shooting,1964,161.0,3
16793,Shooting,1964,162.0,3
16794,Shooting,1964,163.0,2
16795,Shooting,1964,164.0,12
16796,Shooting,1964,165.0,14
16797,Shooting,1964,166.0,3
16798,Shooting,1964,167.0,11
16799,Shooting,1964,168.0,11
16800,Shooting,1964,169.0,11
16801,Shooting,1964,170.0,23
16802,Shooting,1964,171.0,10
16803,Shooting,1964,172.0,21
16804,Shooting,1964,173.0,17
16805,Shooting,1964,174.0,19
16806,Shooting,1964,175.0,22
16807,Shooting,1964,176.0,9
16808,Shooting,1964,177.0,15
16809,Shooting,1964,178.0,11
16810,Shooting,1964,179.0,13
16811,Shooting,1964,180.0,13
16812,Shooting,1964,181.0,5
16813,Shooting,1964,182.0,5
16814,Shooting,1964,183.0,13
16815,Shooting,1964,184.0,8
16816,Shooting,1964,185.0,4
16817,Shooting,1964,186.0,1
16818,Shooting,1964,187.0,3
16819,Shooting,1964,188.0,4
16820,Shooting,1964,189.0,2
16821,Shooting,1964,191.0,1
16822,Shooting,1964,193.0,1
16823,Shooting,1968,154.0,1
16824,Shooting,1968,155.0,1
16825,Shooting,1968,157.0,3
16826,Shooting,1968,158.0,1
16827,Shooting,1968,160.0,5
16828,Shooting,1968,161.0,2
16829,Shooting,1968,162.0,3
16830,Shooting,1968,163.0,7
16831,Shooting,1968,164.0,10
16832,Shooting,1968,165.0,14
16833,Shooting,1968,166.0,6
16834,Shooting,1968,167.0,10
16835,Shooting,1968,168.0,14
16836,Shooting,1968,169.0,11
16837,Shooting,1968,170.0,31
16838,Shooting,1968,171.0,12
16839,Shooting,1968,172.0,20
16840,Shooting,1968,173.0,27
16841,Shooting,1968,174.0,20
16842,Shooting,1968,175.0,36
16843,Shooting,1968,176.0,18
16844,Shooting,1968,177.0,20
16845,Shooting,1968,178.0,24
16846,Shooting,1968,179.0,13
16847,Shooting,1968,180.0,26
16848,Shooting,1968,181.0,12
16849,Shooting,1968,182.0,16
16850,Shooting,1968,183.0,11
16851,Shooting,1968,184.0,10
16852,Shooting,1968,185.0,10
16853,Shooting,1968,186.0,7
16854,Shooting,1968,187.0,3
16855,Shooting,1968,189.0,1
16856,Shooting,1968,193.0,2
16857,Shooting,1968,198.0,1
16858,Shooting,1972,154.0,1
16859,Shooting,1972,155.0,1
16860,Shooting,1972,157.0,4
16861,Shooting,1972,158.0,1
16862,Shooting,1972,159.0,1
16863,Shooting,1972,160.0,5
16864,Shooting,1972,161.0,3
16865,Shooting,1972,162.0,4
16866,Shooting,1972,163.0,3
16867,Shooting,1972,164.0,10
16868,Shooting,1972,165.0,18
16869,Shooting,1972,166.0,4
