lindex,Sport,Year,Height,count
17358,Short Track Speed Skating,1992,155.0,2
17359,Short Track Speed Skating,1992,156.0,2
17360,Short Track Speed Skating,1992,157.0,4
17361,Short Track Speed Skating,1992,158.0,1
17362,Short Track Speed Skating,1992,160.0,7
17363,Short Track Speed Skating,1992,162.0,5
17364,Short Track Speed Skating,1992,163.0,7
17365,Short Track Speed Skating,1992,164.0,2
17366,Short Track Speed Skating,1992,165.0,4
17367,Short Track Speed Skating,1992,166.0,4
17368,Short Track Speed Skating,1992,167.0,1
17369,Short Track Speed Skating,1992,168.0,7
17370,Short Track Speed Skating,1992,169.0,4
17371,Short Track Speed Skating,1992,170.0,9
17372,Short Track Speed Skating,1992,171.0,6
17373,Short Track Speed Skating,1992,172.0,6
17374,Short Track Speed Skating,1992,173.0,5
17375,Short Track Speed Skating,1992,174.0,5
17376,Short Track Speed Skating,1992,175.0,2
17377,Short Track Speed Skating,1992,176.0,6
17378,Short Track Speed Skating,1992,178.0,7
17379,Short Track Speed Skating,1992,180.0,4
17380,Short Track Speed Skating,1992,181.0,1
17381,Short Track Speed Skating,1992,182.0,5
17382,Short Track Speed Skating,1992,187.0,3
17383,Short Track Speed Skating,1992,188.0,1
17384,Short Track Speed Skating,1994,150.0,3
17385,Short Track Speed Skating,1994,152.0,1
17386,Short Track Speed Skating,1994,157.0,7
17387,Short Track Speed Skating,1994,158.0,4
17388,Short Track Speed Skating,1994,160.0,10
17389,Short Track Speed Skating,1994,162.0,7
17390,Short Track Speed Skating,1994,163.0,15
17391,Short Track Speed Skating,1994,164.0,3
17392,Short Track Speed Skating,1994,165.0,8
17393,Short Track Speed Skating,1994,166.0,8
17394,Short Track Speed Skating,1994,167.0,2
17395,Short Track Speed Skating,1994,168.0,5
17396,Short Track Speed Skating,1994,169.0,1
17397,Short Track Speed Skating,1994,170.0,16
17398,Short Track Speed Skating,1994,171.0,8
17399,Short Track Speed Skating,1994,172.0,4
17400,Short Track Speed Skating,1994,173.0,9
17401,Short Track Speed Skating,1994,174.0,12
17402,Short Track Speed Skating,1994,175.0,10
17403,Short Track Speed Skating,1994,176.0,4
17404,Short Track Speed Skating,1994,178.0,8
17405,Short Track Speed Skating,1994,180.0,6
17406,Short Track Speed Skating,1994,182.0,3
17407,Short Track Speed Skating,1994,183.0,4
17408,Short Track Speed Skating,1994,184.0,4
17409,Short Track Speed Skating,1994,187.0,4
17410,Short Track Speed Skating,1994,188.0,2
17411,Short Track Speed Skating,1998,153.0,1
17412,Short Track Speed Skating,1998,154.0,2
17413,Short Track Speed Skating,1998,155.0,7
17414,Short Track Speed Skating,1998,156.0,5
17415,Short Track Speed Skating,1998,157.0,7
17416,Short Track Speed Skating,1998,158.0,1
17417,Short Track Speed Skating,1998,160.0,12
17418,Short Track Speed Skating,1998,162.0,6
17419,Short Track Speed Skating,1998,163.0,18
17420,Short Track Speed Skating,1998,164.0,2
17421,Short Track Speed Skating,1998,165.0,7
17422,Short Track Speed Skating,1998,166.0,9
17423,Short Track Speed Skating,1998,167.0,2
17424,Short Track Speed Skating,1998,168.0,4
17425,Short Track Speed Skating,1998,169.0,3
17426,Short Track Speed Skating,1998,170.0,9
17427,Short Track Speed Skating,1998,171.0,7
17428,Short Track Speed Skating,1998,172.0,13
17429,Short Track Speed Skating,1998,173.0,19
17430,Short Track Speed Skating,1998,174.0,4
17431,Short Track Speed Skating,1998,175.0,2
17432,Short Track Speed Skating,1998,176.0,5
17433,Short Track Speed Skating,1998,177.0,3
17434,Short Track Speed Skating,1998,178.0,8
17435,Short Track Speed Skating,1998,179.0,4
17436,Short Track Speed Skating,1998,180.0,8
17437,Short Track Speed Skating,1998,181.0,3
17438,Short Track Speed Skating,1998,182.0,2
17439,Short Track Speed Skating,1998,183.0,2
17440,Short Track Speed Skating,1998,184.0,5
17441,Short Track Speed Skating,1998,188.0,3
17442,Short Track Speed Skating,2002,154.0,1
