lindex,Sport,Year,Height,count
17562,Skeleton,1928,170.0,1
17563,Skeleton,1928,198.0,1
17564,Skeleton,2002,157.0,2
17565,Skeleton,2002,158.0,1
17566,Skeleton,2002,160.0,1
17567,Skeleton,2002,162.0,1
17568,Skeleton,2002,163.0,1
17569,Skeleton,2002,164.0,1
17570,Skeleton,2002,169.0,1
17571,Skeleton,2002,170.0,3
17572,Skeleton,2002,173.0,2
17573,Skeleton,2002,174.0,2
17574,Skeleton,2002,175.0,2
17575,Skeleton,2002,176.0,1
17576,Skeleton,2002,178.0,2
17577,Skeleton,2002,179.0,1
17578,Skeleton,2002,180.0,5
17579,Skeleton,2002,181.0,1
17580,Skeleton,2002,182.0,1
17581,Skeleton,2002,183.0,1
17582,Skeleton,2002,184.0,3
17583,Skeleton,2002,185.0,1
17584,Skeleton,2002,186.0,2
17585,Skeleton,2002,188.0,1
17586,Skeleton,2002,190.0,1
17587,Skeleton,2002,191.0,1
17588,Skeleton,2006,160.0,2
17589,Skeleton,2006,163.0,1
17590,Skeleton,2006,164.0,2
17591,Skeleton,2006,167.0,2
17592,Skeleton,2006,169.0,2
17593,Skeleton,2006,170.0,1
17594,Skeleton,2006,171.0,1
17595,Skeleton,2006,172.0,3
17596,Skeleton,2006,173.0,2
17597,Skeleton,2006,174.0,1
17598,Skeleton,2006,176.0,1
17599,Skeleton,2006,177.0,1
17600,Skeleton,2006,178.0,3
17601,Skeleton,2006,180.0,5
17602,Skeleton,2006,181.0,1
17603,Skeleton,2006,182.0,3
17604,Skeleton,2006,184.0,2
17605,Skeleton,2006,185.0,4
17606,Skeleton,2006,186.0,1
17607,Skeleton,2006,187.0,1
17608,Skeleton,2006,190.0,1
17609,Skeleton,2006,196.0,1
17610,Skeleton,2006,197.0,1
17611,Skeleton,2010,160.0,2
17612,Skeleton,2010,163.0,1
17613,Skeleton,2010,164.0,3
17614,Skeleton,2010,165.0,1
17615,Skeleton,2010,167.0,2
17616,Skeleton,2010,168.0,1
17617,Skeleton,2010,169.0,1
17618,Skeleton,2010,170.0,1
17619,Skeleton,2010,171.0,1
17620,Skeleton,2010,172.0,4
17621,Skeleton,2010,173.0,5
17622,Skeleton,2010,175.0,2
17623,Skeleton,2010,176.0,1
17624,Skeleton,2010,177.0,3
17625,Skeleton,2010,178.0,6
17626,Skeleton,2010,180.0,3
17627,Skeleton,2010,182.0,1
17628,Skeleton,2010,183.0,1
17629,Skeleton,2010,185.0,2
17630,Skeleton,2010,186.0,3
17631,Skeleton,2010,190.0,2
17632,Skeleton,2010,197.0,1
17633,Skeleton,2014,158.0,1
17634,Skeleton,2014,160.0,2
17635,Skeleton,2014,163.0,1
17636,Skeleton,2014,164.0,1
17637,Skeleton,2014,165.0,1
17638,Skeleton,2014,167.0,2
17639,Skeleton,2014,168.0,1
17640,Skeleton,2014,169.0,2
17641,Skeleton,2014,170.0,1
17642,Skeleton,2014,171.0,2
17643,Skeleton,2014,172.0,2
17644,Skeleton,2014,173.0,1
17645,Skeleton,2014,174.0,1
17646,Skeleton,2014,175.0,3
17647,Skeleton,2014,176.0,1
17648,Skeleton,2014,177.0,2
17649,Skeleton,2014,178.0,6
17650,Skeleton,2014,179.0,1
17651,Skeleton,2014,180.0,1
17652,Skeleton,2014,182.0,1
17653,Skeleton,2014,183.0,1
17654,Skeleton,2014,184.0,1
17655,Skeleton,2014,185.0,3
17656,Skeleton,2014,186.0,3
17657,Skeleton,2014,188.0,3
17658,Skeleton,2014,190.0,1
17659,Skeleton,2014,197.0,1
