lindex,Sport,Year,Height,count
21066,Tug-Of-War,1904,170.0,1
21067,Tug-Of-War,1904,185.0,1
21068,Tug-Of-War,1904,187.0,1
21069,Tug-Of-War,1904,189.0,1
21070,Tug-Of-War,1906,170.0,1
21071,Tug-Of-War,1906,177.0,2
21072,Tug-Of-War,1906,178.0,1
21073,Tug-Of-War,1906,182.0,3
21074,Tug-Of-War,1906,184.0,1
21075,Tug-Of-War,1906,185.0,1
21076,Tug-Of-War,1906,190.0,1
21077,Tug-Of-War,1908,178.0,3
21078,Tug-Of-War,1908,182.0,1
21079,Tug-Of-War,1908,183.0,1
21080,Tug-Of-War,1908,185.0,1
21081,Tug-Of-War,1908,188.0,2
21082,Tug-Of-War,1908,195.0,1
21083,Tug-Of-War,1920,177.0,1
21084,Tug-Of-War,1920,192.0,1
