lindex,Sport,Year,Height,count
21085,Volleyball,1964,155.0,1
21086,Volleyball,1964,160.0,1
21087,Volleyball,1964,161.0,2
21088,Volleyball,1964,164.0,2
21089,Volleyball,1964,165.0,3
21090,Volleyball,1964,166.0,2
21091,Volleyball,1964,167.0,7
21092,Volleyball,1964,168.0,7
21093,Volleyball,1964,169.0,2
21094,Volleyball,1964,170.0,3
21095,Volleyball,1964,171.0,8
21096,Volleyball,1964,172.0,9
21097,Volleyball,1964,173.0,7
21098,Volleyball,1964,174.0,7
21099,Volleyball,1964,175.0,5
21100,Volleyball,1964,176.0,2
21101,Volleyball,1964,177.0,5
21102,Volleyball,1964,178.0,8
21103,Volleyball,1964,179.0,5
21104,Volleyball,1964,180.0,7
21105,Volleyball,1964,181.0,7
21106,Volleyball,1964,182.0,5
21107,Volleyball,1964,183.0,7
21108,Volleyball,1964,184.0,5
21109,Volleyball,1964,185.0,10
21110,Volleyball,1964,186.0,12
21111,Volleyball,1964,187.0,8
21112,Volleyball,1964,188.0,5
21113,Volleyball,1964,189.0,6
21114,Volleyball,1964,190.0,2
21115,Volleyball,1964,191.0,3
21116,Volleyball,1964,192.0,6
21117,Volleyball,1964,193.0,3
21118,Volleyball,1964,194.0,1
21119,Volleyball,1964,196.0,4
21120,Volleyball,1964,197.0,1
21121,Volleyball,1964,198.0,1
21122,Volleyball,1968,160.0,1
21123,Volleyball,1968,161.0,1
21124,Volleyball,1968,163.0,1
21125,Volleyball,1968,164.0,1
21126,Volleyball,1968,165.0,1
21127,Volleyball,1968,166.0,4
21128,Volleyball,1968,167.0,1
21129,Volleyball,1968,168.0,9
21130,Volleyball,1968,169.0,5
21131,Volleyball,1968,170.0,10
21132,Volleyball,1968,171.0,4
21133,Volleyball,1968,172.0,7
21134,Volleyball,1968,173.0,4
21135,Volleyball,1968,174.0,10
21136,Volleyball,1968,175.0,13
21137,Volleyball,1968,176.0,6
21138,Volleyball,1968,177.0,3
21139,Volleyball,1968,178.0,6
21140,Volleyball,1968,179.0,8
21141,Volleyball,1968,180.0,6
21142,Volleyball,1968,181.0,3
21143,Volleyball,1968,182.0,3
21144,Volleyball,1968,183.0,12
21145,Volleyball,1968,184.0,9
21146,Volleyball,1968,185.0,10
21147,Volleyball,1968,186.0,13
21148,Volleyball,1968,187.0,5
21149,Volleyball,1968,188.0,3
21150,Volleyball,1968,189.0,2
21151,Volleyball,1968,190.0,6
21152,Volleyball,1968,191.0,3
21153,Volleyball,1968,192.0,6
21154,Volleyball,1968,193.0,7
21155,Volleyball,1968,194.0,6
21156,Volleyball,1968,195.0,3
21157,Volleyball,1968,196.0,3
21158,Volleyball,1968,197.0,2
21159,Volleyball,1968,198.0,5
21160,Volleyball,1968,199.0,1
21161,Volleyball,1968,201.0,2
21162,Volleyball,1972,162.0,1
21163,Volleyball,1972,164.0,1
21164,Volleyball,1972,165.0,1
21165,Volleyball,1972,166.0,4
21166,Volleyball,1972,167.0,2
21167,Volleyball,1972,168.0,2
21168,Volleyball,1972,169.0,3
21169,Volleyball,1972,170.0,9
21170,Volleyball,1972,171.0,12
21171,Volleyball,1972,172.0,12
21172,Volleyball,1972,173.0,5
21173,Volleyball,1972,174.0,5
21174,Volleyball,1972,175.0,6
21175,Volleyball,1972,176.0,3
21176,Volleyball,1972,177.0,5
21177,Volleyball,1972,178.0,7
21178,Volleyball,1972,179.0,8
21179,Volleyball,1972,180.0,12
21180,Volleyball,1972,181.0,8
21181,Volleyball,1972,182.0,7
21182,Volleyball,1972,183.0,8
21183,Volleyball,1972,184.0,7
21184,Volleyball,1972,185.0,11
21185,Volleyball,1972,186.0,15
21186,Volleyball,1972,187.0,10
21187,Volleyball,1972,188.0,4
21188,Volleyball,1972,189.0,9
21189,Volleyball,1972,190.0,7
21190,Volleyball,1972,191.0,8
21191,Volleyball,1972,192.0,7
21192,Volleyball,1972,193.0,4
21193,Volleyball,1972,194.0,9
21194,Volleyball,1972,195.0,5
21195,Volleyball,1972,196.0,5
21196,Volleyball,1972,197.0,1
21197,Volleyball,1972,198.0,5
21198,Volleyball,1972,201.0,1
21199,Volleyball,1976,160.0,1
21200,Volleyball,1976,163.0,1
21201,Volleyball,1976,165.0,1
21202,Volleyball,1976,167.0,1
21203,Volleyball,1976,168.0,5
21204,Volleyball,1976,169.0,4
21205,Volleyball,1976,170.0,4
21206,Volleyball,1976,171.0,5
21207,Volleyball,1976,172.0,8
21208,Volleyball,1976,173.0,11
21209,Volleyball,1976,174.0,11
21210,Volleyball,1976,175.0,10
21211,Volleyball,1976,176.0,5
21212,Volleyball,1976,177.0,6
21213,Volleyball,1976,178.0,5
21214,Volleyball,1976,179.0,4
21215,Volleyball,1976,180.0,16
21216,Volleyball,1976,181.0,5
21217,Volleyball,1976,182.0,4
21218,Volleyball,1976,183.0,5
21219,Volleyball,1976,184.0,8
21220,Volleyball,1976,185.0,8
21221,Volleyball,1976,186.0,5
21222,Volleyball,1976,187.0,7
21223,Volleyball,1976,188.0,12
21224,Volleyball,1976,189.0,10
21225,Volleyball,1976,190.0,5
21226,Volleyball,1976,191.0,7
21227,Volleyball,1976,192.0,8
21228,Volleyball,1976,193.0,8
21229,Volleyball,1976,194.0,8
21230,Volleyball,1976,195.0,3
21231,Volleyball,1976,196.0,4
21232,Volleyball,1976,197.0,3
21233,Volleyball,1976,198.0,3
21234,Volleyball,1976,199.0,1
21235,Volleyball,1976,200.0,4
21236,Volleyball,1980,169.0,2
21237,Volleyball,1980,170.0,4
21238,Volleyball,1980,171.0,2
21239,Volleyball,1980,172.0,7
21240,Volleyball,1980,173.0,2
21241,Volleyball,1980,174.0,9
21242,Volleyball,1980,175.0,5
21243,Volleyball,1980,176.0,8
21244,Volleyball,1980,177.0,6
21245,Volleyball,1980,178.0,12
21246,Volleyball,1980,179.0,7
21247,Volleyball,1980,180.0,14
21248,Volleyball,1980,181.0,6
21249,Volleyball,1980,182.0,2
21250,Volleyball,1980,183.0,5
21251,Volleyball,1980,184.0,7
21252,Volleyball,1980,185.0,4
21253,Volleyball,1980,186.0,6
21254,Volleyball,1980,187.0,4
21255,Volleyball,1980,188.0,2
21256,Volleyball,1980,189.0,9
21257,Volleyball,1980,190.0,5
21258,Volleyball,1980,191.0,5
21259,Volleyball,1980,192.0,3
21260,Volleyball,1980,193.0,10
21261,Volleyball,1980,194.0,10
21262,Volleyball,1980,195.0,10
21263,Volleyball,1980,196.0,9
21264,Volleyball,1980,197.0,4
21265,Volleyball,1980,198.0,6
21266,Volleyball,1980,200.0,5
21267,Volleyball,1980,201.0,1
21268,Volleyball,1980,202.0,1
21269,Volleyball,1980,207.0,1
21270,Volleyball,1984,162.0,1
21271,Volleyball,1984,166.0,1
21272,Volleyball,1984,168.0,1
21273,Volleyball,1984,170.0,6
21274,Volleyball,1984,171.0,3
21275,Volleyball,1984,172.0,1
21276,Volleyball,1984,173.0,2
21277,Volleyball,1984,174.0,5
21278,Volleyball,1984,175.0,14
21279,Volleyball,1984,176.0,5
21280,Volleyball,1984,177.0,8
21281,Volleyball,1984,178.0,7
21282,Volleyball,1984,179.0,8
21283,Volleyball,1984,180.0,9
21284,Volleyball,1984,181.0,4
21285,Volleyball,1984,182.0,4
