lindex,Sport,Year,Height,count
21667,Water Polo,1900,185.0,1
21668,Water Polo,1904,173.0,1
21669,Water Polo,1908,173.0,1
21670,Water Polo,1908,174.0,1
21671,Water Polo,1908,178.0,1
21672,Water Polo,1908,179.0,1
21673,Water Polo,1908,180.0,1
21674,Water Polo,1908,186.0,1
21675,Water Polo,1908,191.0,1
21676,Water Polo,1912,173.0,1
21677,Water Polo,1912,180.0,1
21678,Water Polo,1912,186.0,1
21679,Water Polo,1912,191.0,1
21680,Water Polo,1920,170.0,3
21681,Water Polo,1920,172.0,1
21682,Water Polo,1920,176.0,1
21683,Water Polo,1920,180.0,3
21684,Water Polo,1920,183.0,1
21685,Water Polo,1920,186.0,1
21686,Water Polo,1920,188.0,1
21687,Water Polo,1924,155.0,2
21688,Water Polo,1924,178.0,1
21689,Water Polo,1924,180.0,1
21690,Water Polo,1924,183.0,2
21691,Water Polo,1924,185.0,2
21692,Water Polo,1924,186.0,1
21693,Water Polo,1924,194.0,1
21694,Water Polo,1928,155.0,3
21695,Water Polo,1928,173.0,1
21696,Water Polo,1928,175.0,1
21697,Water Polo,1928,180.0,1
21698,Water Polo,1928,185.0,3
21699,Water Polo,1928,194.0,1
21700,Water Polo,1928,198.0,1
21701,Water Polo,1932,155.0,3
21702,Water Polo,1932,157.0,1
21703,Water Polo,1932,173.0,1
21704,Water Polo,1932,175.0,1
21705,Water Polo,1932,178.0,3
21706,Water Polo,1932,180.0,1
21707,Water Polo,1932,183.0,1
21708,Water Polo,1932,185.0,7
21709,Water Polo,1932,188.0,1
21710,Water Polo,1936,155.0,1
21711,Water Polo,1936,185.0,4
21712,Water Polo,1936,190.0,1
21713,Water Polo,1948,181.0,1
21714,Water Polo,1948,182.0,1
21715,Water Polo,1948,186.0,1
21716,Water Polo,1948,190.0,1
21717,Water Polo,1952,167.0,1
21718,Water Polo,1952,173.0,1
21719,Water Polo,1952,176.0,1
21720,Water Polo,1952,178.0,1
21721,Water Polo,1952,180.0,1
21722,Water Polo,1952,181.0,2
21723,Water Polo,1952,182.0,3
21724,Water Polo,1952,183.0,2
21725,Water Polo,1952,185.0,1
21726,Water Polo,1952,186.0,3
21727,Water Polo,1952,190.0,2
21728,Water Polo,1952,192.0,1
21729,Water Polo,1952,193.0,1
21730,Water Polo,1952,199.0,1
21731,Water Polo,1956,167.0,1
21732,Water Polo,1956,176.0,1
21733,Water Polo,1956,177.0,1
21734,Water Polo,1956,178.0,2
21735,Water Polo,1956,179.0,2
21736,Water Polo,1956,180.0,4
21737,Water Polo,1956,181.0,3
