lindex,Sport,Year,Weight,count
1158,Athletics,1896,45.0,1
1159,Athletics,1896,56.0,5
1160,Athletics,1896,64.0,2
1161,Athletics,1896,66.0,4
1162,Athletics,1896,69.0,2
1163,Athletics,1896,70.0,3
1164,Athletics,1896,72.0,3
1165,Athletics,1896,73.0,3
1166,Athletics,1896,81.0,4
1167,Athletics,1896,102.0,1
1168,Athletics,1896,106.0,1
1169,Athletics,1900,51.0,2
1170,Athletics,1900,58.0,3
1171,Athletics,1900,59.0,1
1172,Athletics,1900,62.0,2
1173,Athletics,1900,64.0,6
1174,Athletics,1900,65.0,3
1175,Athletics,1900,66.0,1
1176,Athletics,1900,68.0,2
1177,Athletics,1900,70.0,2
1178,Athletics,1900,71.0,4
1179,Athletics,1900,72.0,1
1180,Athletics,1900,73.0,1
1181,Athletics,1900,74.0,2
1182,Athletics,1900,75.0,5
1183,Athletics,1900,79.0,3
1184,Athletics,1900,81.0,3
1185,Athletics,1900,86.0,2
1186,Athletics,1900,87.0,2
1187,Athletics,1900,88.0,6
1188,Athletics,1900,90.0,3
1189,Athletics,1900,95.0,2
1190,Athletics,1900,102.0,1
1191,Athletics,1904,43.0,1
1192,Athletics,1904,51.0,3
1193,Athletics,1904,54.0,1
1194,Athletics,1904,57.0,3
1195,Athletics,1904,58.0,1
1196,Athletics,1904,59.0,1
1197,Athletics,1904,60.0,2
1198,Athletics,1904,61.0,7
1199,Athletics,1904,62.0,1
1200,Athletics,1904,64.0,4
1201,Athletics,1904,65.0,1
1202,Athletics,1904,66.0,6
1203,Athletics,1904,67.0,1
1204,Athletics,1904,68.0,3
1205,Athletics,1904,69.0,1
1206,Athletics,1904,70.0,3
1207,Athletics,1904,71.0,5
1208,Athletics,1904,74.0,8
1209,Athletics,1904,75.0,6
1210,Athletics,1904,77.0,1
1211,Athletics,1904,78.0,1
1212,Athletics,1904,79.0,3
1213,Athletics,1904,80.0,1
1214,Athletics,1904,81.0,2
1215,Athletics,1904,82.0,2
1216,Athletics,1904,83.0,1
1217,Athletics,1904,88.0,2
1218,Athletics,1904,90.0,1
1219,Athletics,1904,94.0,1
1220,Athletics,1904,95.0,4
1221,Athletics,1904,100.0,3
1222,Athletics,1904,115.0,4
1223,Athletics,1906,52.0,3
1224,Athletics,1906,54.0,2
1225,Athletics,1906,56.0,1
1226,Athletics,1906,57.0,1
1227,Athletics,1906,58.0,1
1228,Athletics,1906,59.0,7
1229,Athletics,1906,60.0,5
1230,Athletics,1906,61.0,7
1231,Athletics,1906,62.0,4
1232,Athletics,1906,63.0,3
1233,Athletics,1906,64.0,1
1234,Athletics,1906,65.0,1
1235,Athletics,1906,66.0,6
1236,Athletics,1906,68.0,8
1237,Athletics,1906,70.0,3
1238,Athletics,1906,71.0,2
1239,Athletics,1906,72.0,5
1240,Athletics,1906,73.0,1
1241,Athletics,1906,74.0,4
1242,Athletics,1906,75.0,6
1243,Athletics,1906,76.0,1
1244,Athletics,1906,77.0,15
1245,Athletics,1906,78.0,3
1246,Athletics,1906,79.0,2
1247,Athletics,1906,80.0,9
1248,Athletics,1906,81.0,8
1249,Athletics,1906,82.0,7
1250,Athletics,1906,83.0,2
1251,Athletics,1906,84.0,3
1252,Athletics,1906,88.0,15
1253,Athletics,1906,95.0,5
1254,Athletics,1906,102.0,2
1255,Athletics,1906,106.0,3
1256,Athletics,1908,51.0,2
1257,Athletics,1908,52.0,2
1258,Athletics,1908,53.0,2
1259,Athletics,1908,55.0,1
1260,Athletics,1908,56.0,2
1261,Athletics,1908,57.0,8
1262,Athletics,1908,58.0,5
1263,Athletics,1908,59.0,15
1264,Athletics,1908,60.0,11
1265,Athletics,1908,61.0,9
1266,Athletics,1908,62.0,3
1267,Athletics,1908,63.0,3
1268,Athletics,1908,64.0,7
1269,Athletics,1908,65.0,3
1270,Athletics,1908,66.0,16
1271,Athletics,1908,67.0,5
1272,Athletics,1908,68.0,14
1273,Athletics,1908,69.0,7
1274,Athletics,1908,70.0,18
1275,Athletics,1908,71.0,4
1276,Athletics,1908,72.0,8
1277,Athletics,1908,73.0,10
1278,Athletics,1908,74.0,6
1279,Athletics,1908,75.0,7
1280,Athletics,1908,76.0,17
1281,Athletics,1908,77.0,3
1282,Athletics,1908,78.0,12
1283,Athletics,1908,79.0,12
1284,Athletics,1908,80.0,6
1285,Athletics,1908,81.0,12
1286,Athletics,1908,82.0,3
1287,Athletics,1908,84.0,1
1288,Athletics,1908,85.0,6
1289,Athletics,1908,88.0,11
1290,Athletics,1908,89.0,7
1291,Athletics,1908,91.0,3
1292,Athletics,1908,93.0,4
1293,Athletics,1908,95.0,7
1294,Athletics,1908,97.0,1
1295,Athletics,1908,99.0,3
1296,Athletics,1908,102.0,3
1297,Athletics,1908,106.0,5
1298,Athletics,1908,109.0,2
1299,Athletics,1908,115.0,2
1300,Athletics,1912,49.0,2
1301,Athletics,1912,50.0,4
1302,Athletics,1912,51.0,2
1303,Athletics,1912,52.0,2
1304,Athletics,1912,53.0,2
1305,Athletics,1912,55.0,5
1306,Athletics,1912,55.5,2
1307,Athletics,1912,56.0,3
