lindex,Sport,Year,Weight,count
4591,Beach Volleyball,1996,55.0,2
4592,Beach Volleyball,1996,56.0,2
4593,Beach Volleyball,1996,59.0,1
4594,Beach Volleyball,1996,60.0,2
4595,Beach Volleyball,1996,61.0,2
4596,Beach Volleyball,1996,62.0,1
4597,Beach Volleyball,1996,64.0,4
4598,Beach Volleyball,1996,65.0,2
4599,Beach Volleyball,1996,67.0,2
4600,Beach Volleyball,1996,70.0,1
4601,Beach Volleyball,1996,71.0,2
4602,Beach Volleyball,1996,72.0,1
4603,Beach Volleyball,1996,73.0,1
4604,Beach Volleyball,1996,75.0,1
4605,Beach Volleyball,1996,76.0,1
4606,Beach Volleyball,1996,78.0,2
4607,Beach Volleyball,1996,80.0,1
4608,Beach Volleyball,1996,81.0,1
4609,Beach Volleyball,1996,82.0,2
4610,Beach Volleyball,1996,83.0,2
4611,Beach Volleyball,1996,84.0,2
4612,Beach Volleyball,1996,85.0,2
4613,Beach Volleyball,1996,86.0,5
4614,Beach Volleyball,1996,87.0,2
4615,Beach Volleyball,1996,88.0,3
4616,Beach Volleyball,1996,89.0,2
4617,Beach Volleyball,1996,90.0,1
4618,Beach Volleyball,1996,91.0,2
4619,Beach Volleyball,1996,92.0,1
4620,Beach Volleyball,1996,93.0,2
4621,Beach Volleyball,1996,95.0,1
4622,Beach Volleyball,1996,97.0,1
4623,Beach Volleyball,1996,98.0,1
4624,Beach Volleyball,1996,110.0,1
4625,Beach Volleyball,2000,55.0,1
4626,Beach Volleyball,2000,56.0,1
4627,Beach Volleyball,2000,58.0,1
4628,Beach Volleyball,2000,59.0,2
4629,Beach Volleyball,2000,60.0,2
4630,Beach Volleyball,2000,62.0,3
4631,Beach Volleyball,2000,64.0,3
4632,Beach Volleyball,2000,65.0,6
4633,Beach Volleyball,2000,67.0,7
4634,Beach Volleyball,2000,68.0,5
4635,Beach Volleyball,2000,69.0,2
4636,Beach Volleyball,2000,70.0,4
4637,Beach Volleyball,2000,72.0,4
4638,Beach Volleyball,2000,73.0,2
4639,Beach Volleyball,2000,75.0,1
4640,Beach Volleyball,2000,76.0,4
4641,Beach Volleyball,2000,78.0,1
4642,Beach Volleyball,2000,80.0,1
4643,Beach Volleyball,2000,81.0,2
4644,Beach Volleyball,2000,82.0,3
4645,Beach Volleyball,2000,84.0,1
4646,Beach Volleyball,2000,85.0,1
4647,Beach Volleyball,2000,86.0,6
4648,Beach Volleyball,2000,87.0,3
4649,Beach Volleyball,2000,88.0,3
4650,Beach Volleyball,2000,89.0,1
4651,Beach Volleyball,2000,90.0,4
4652,Beach Volleyball,2000,91.0,2
4653,Beach Volleyball,2000,92.0,5
4654,Beach Volleyball,2000,93.0,2
4655,Beach Volleyball,2000,94.0,1
4656,Beach Volleyball,2000,95.0,3
4657,Beach Volleyball,2000,97.0,1
4658,Beach Volleyball,2000,98.0,1
4659,Beach Volleyball,2000,100.0,3
4660,Beach Volleyball,2000,101.0,1
4661,Beach Volleyball,2000,102.0,2
4662,Beach Volleyball,2000,110.0,1
4663,Beach Volleyball,2004,57.0,1
4664,Beach Volleyball,2004,59.0,1
4665,Beach Volleyball,2004,60.0,1
4666,Beach Volleyball,2004,62.0,2
4667,Beach Volleyball,2004,64.0,2
4668,Beach Volleyball,2004,65.0,4
4669,Beach Volleyball,2004,66.0,2
4670,Beach Volleyball,2004,67.0,3
4671,Beach Volleyball,2004,68.0,9
4672,Beach Volleyball,2004,69.0,2
4673,Beach Volleyball,2004,70.0,4
4674,Beach Volleyball,2004,71.0,1
4675,Beach Volleyball,2004,72.0,5
4676,Beach Volleyball,2004,73.0,5
4677,Beach Volleyball,2004,76.0,2
4678,Beach Volleyball,2004,77.0,2
4679,Beach Volleyball,2004,78.0,2
4680,Beach Volleyball,2004,80.0,2
4681,Beach Volleyball,2004,81.0,2
4682,Beach Volleyball,2004,82.0,2
4683,Beach Volleyball,2004,83.0,2
4684,Beach Volleyball,2004,85.0,3
4685,Beach Volleyball,2004,86.0,4
4686,Beach Volleyball,2004,87.0,2
4687,Beach Volleyball,2004,88.0,4
4688,Beach Volleyball,2004,89.0,3
4689,Beach Volleyball,2004,90.0,3
4690,Beach Volleyball,2004,91.0,2
4691,Beach Volleyball,2004,92.0,6
4692,Beach Volleyball,2004,93.0,1
4693,Beach Volleyball,2004,94.0,2
4694,Beach Volleyball,2004,95.0,2
4695,Beach Volleyball,2004,97.0,1
4696,Beach Volleyball,2004,98.0,3
4697,Beach Volleyball,2004,100.0,1
4698,Beach Volleyball,2004,102.0,1
4699,Beach Volleyball,2004,103.0,1
4700,Beach Volleyball,2004,110.0,1
4701,Beach Volleyball,2008,55.0,1
4702,Beach Volleyball,2008,60.0,1
4703,Beach Volleyball,2008,64.0,3
4704,Beach Volleyball,2008,65.0,2
4705,Beach Volleyball,2008,66.0,2
4706,Beach Volleyball,2008,67.0,1
4707,Beach Volleyball,2008,68.0,9
4708,Beach Volleyball,2008,69.0,2
4709,Beach Volleyball,2008,70.0,6
4710,Beach Volleyball,2008,71.0,2
4711,Beach Volleyball,2008,72.0,5
4712,Beach Volleyball,2008,73.0,7
4713,Beach Volleyball,2008,74.0,1
4714,Beach Volleyball,2008,75.0,2
4715,Beach Volleyball,2008,77.0,2
4716,Beach Volleyball,2008,78.0,1
4717,Beach Volleyball,2008,79.0,1
4718,Beach Volleyball,2008,80.0,3
4719,Beach Volleyball,2008,81.0,1
4720,Beach Volleyball,2008,82.0,1
4721,Beach Volleyball,2008,85.0,8
4722,Beach Volleyball,2008,86.0,2
4723,Beach Volleyball,2008,87.0,2
4724,Beach Volleyball,2008,88.0,5
4725,Beach Volleyball,2008,89.0,4
4726,Beach Volleyball,2008,90.0,3
4727,Beach Volleyball,2008,92.0,4
4728,Beach Volleyball,2008,93.0,3
4729,Beach Volleyball,2008,94.0,1
4730,Beach Volleyball,2008,95.0,6
4731,Beach Volleyball,2008,97.0,1
4732,Beach Volleyball,2008,100.0,1
4733,Beach Volleyball,2008,101.0,1
4734,Beach Volleyball,2008,102.0,1
4735,Beach Volleyball,2008,108.0,1
4736,Beach Volleyball,2012,55.0,1
4737,Beach Volleyball,2012,57.0,1
4738,Beach Volleyball,2012,61.0,2
4739,Beach Volleyball,2012,62.0,3
4740,Beach Volleyball,2012,63.0,1
4741,Beach Volleyball,2012,64.0,2
4742,Beach Volleyball,2012,65.0,3
4743,Beach Volleyball,2012,66.0,3
4744,Beach Volleyball,2012,67.0,1
4745,Beach Volleyball,2012,68.0,6
4746,Beach Volleyball,2012,69.0,2
4747,Beach Volleyball,2012,70.0,4
4748,Beach Volleyball,2012,71.0,3
4749,Beach Volleyball,2012,72.0,5
4750,Beach Volleyball,2012,73.0,2
4751,Beach Volleyball,2012,74.0,2
4752,Beach Volleyball,2012,75.0,5
4753,Beach Volleyball,2012,76.0,1
4754,Beach Volleyball,2012,77.0,1
4755,Beach Volleyball,2012,79.0,1
4756,Beach Volleyball,2012,80.0,2
4757,Beach Volleyball,2012,81.0,1
4758,Beach Volleyball,2012,83.0,2
4759,Beach Volleyball,2012,85.0,5
4760,Beach Volleyball,2012,87.0,3
4761,Beach Volleyball,2012,88.0,6
4762,Beach Volleyball,2012,89.0,3
4763,Beach Volleyball,2012,90.0,2
4764,Beach Volleyball,2012,91.0,1
4765,Beach Volleyball,2012,92.0,4
4766,Beach Volleyball,2012,93.0,4
4767,Beach Volleyball,2012,95.0,5
4768,Beach Volleyball,2012,97.0,2
4769,Beach Volleyball,2012,98.0,1
4770,Beach Volleyball,2012,99.0,1
4771,Beach Volleyball,2012,101.0,1
4772,Beach Volleyball,2012,102.0,1
4773,Beach Volleyball,2012,106.0,1
4774,Beach Volleyball,2012,108.0,1
4775,Beach Volleyball,2016,55.0,1
4776,Beach Volleyball,2016,59.0,1
4777,Beach Volleyball,2016,60.0,1
4778,Beach Volleyball,2016,62.0,3
4779,Beach Volleyball,2016,63.0,1
4780,Beach Volleyball,2016,64.0,3
4781,Beach Volleyball,2016,65.0,2
4782,Beach Volleyball,2016,66.0,5
4783,Beach Volleyball,2016,67.0,2
4784,Beach Volleyball,2016,68.0,5
4785,Beach Volleyball,2016,69.0,2
4786,Beach Volleyball,2016,70.0,5
4787,Beach Volleyball,2016,71.0,1
4788,Beach Volleyball,2016,72.0,2
4789,Beach Volleyball,2016,73.0,5
4790,Beach Volleyball,2016,74.0,1
4791,Beach Volleyball,2016,75.0,7
4792,Beach Volleyball,2016,77.0,2
4793,Beach Volleyball,2016,78.0,2
4794,Beach Volleyball,2016,79.0,1
4795,Beach Volleyball,2016,80.0,1
4796,Beach Volleyball,2016,81.0,3
4797,Beach Volleyball,2016,82.0,1
4798,Beach Volleyball,2016,83.0,2
4799,Beach Volleyball,2016,84.0,2
4800,Beach Volleyball,2016,85.0,2
4801,Beach Volleyball,2016,86.0,2
4802,Beach Volleyball,2016,87.0,3
4803,Beach Volleyball,2016,88.0,7
4804,Beach Volleyball,2016,89.0,3
4805,Beach Volleyball,2016,90.0,5
4806,Beach Volleyball,2016,91.0,1
4807,Beach Volleyball,2016,92.0,2
4808,Beach Volleyball,2016,93.0,1
4809,Beach Volleyball,2016,94.0,1
4810,Beach Volleyball,2016,95.0,3
4811,Beach Volleyball,2016,99.0,1
4812,Beach Volleyball,2016,101.0,1
4813,Beach Volleyball,2016,105.0,1
4814,Beach Volleyball,2016,106.0,2
