lindex,Sport,Year,Weight,count
4815,Biathlon,1960,65.0,1
4816,Biathlon,1960,68.0,1
4817,Biathlon,1960,70.0,1
4818,Biathlon,1960,72.0,1
4819,Biathlon,1960,74.0,1
4820,Biathlon,1960,75.0,2
4821,Biathlon,1960,80.0,1
4822,Biathlon,1960,85.0,1
4823,Biathlon,1964,57.0,1
4824,Biathlon,1964,62.0,1
4825,Biathlon,1964,63.0,1
4826,Biathlon,1964,65.0,4
4827,Biathlon,1964,66.0,2
4828,Biathlon,1964,67.0,2
4829,Biathlon,1964,68.0,4
4830,Biathlon,1964,70.0,5
4831,Biathlon,1964,71.0,3
4832,Biathlon,1964,72.0,5
4833,Biathlon,1964,73.0,5
4834,Biathlon,1964,74.0,2
4835,Biathlon,1964,75.0,2
4836,Biathlon,1964,76.0,1
4837,Biathlon,1964,78.0,2
4838,Biathlon,1964,80.0,2
4839,Biathlon,1964,85.0,1
4840,Biathlon,1968,54.0,2
4841,Biathlon,1968,57.0,2
4842,Biathlon,1968,59.0,2
4843,Biathlon,1968,61.5,1
4844,Biathlon,1968,63.0,1
4845,Biathlon,1968,65.0,4
4846,Biathlon,1968,66.0,7
4847,Biathlon,1968,67.0,4
4848,Biathlon,1968,68.0,7
4849,Biathlon,1968,69.0,3
4850,Biathlon,1968,69.5,1
4851,Biathlon,1968,70.0,17
4852,Biathlon,1968,71.0,6
4853,Biathlon,1968,72.0,9
4854,Biathlon,1968,73.0,3
4855,Biathlon,1968,74.0,5
4856,Biathlon,1968,74.5,1
4857,Biathlon,1968,75.0,10
4858,Biathlon,1968,76.0,6
4859,Biathlon,1968,78.0,5
4860,Biathlon,1968,79.0,1
4861,Biathlon,1968,80.0,4
4862,Biathlon,1968,81.0,1
4863,Biathlon,1968,82.0,5
4864,Biathlon,1968,83.0,1
4865,Biathlon,1968,88.0,2
4866,Biathlon,1968,95.0,2
4867,Biathlon,1972,54.0,2
4868,Biathlon,1972,59.0,2
4869,Biathlon,1972,60.0,2
4870,Biathlon,1972,61.0,1
4871,Biathlon,1972,61.5,2
4872,Biathlon,1972,62.0,2
4873,Biathlon,1972,63.0,2
4874,Biathlon,1972,64.0,3
4875,Biathlon,1972,65.0,3
4876,Biathlon,1972,66.0,10
4877,Biathlon,1972,68.0,13
4878,Biathlon,1972,69.0,6
4879,Biathlon,1972,69.5,1
4880,Biathlon,1972,70.0,10
4881,Biathlon,1972,71.0,7
4882,Biathlon,1972,72.0,11
4883,Biathlon,1972,73.0,5
4884,Biathlon,1972,74.0,3
4885,Biathlon,1972,75.0,2
4886,Biathlon,1972,76.0,2
4887,Biathlon,1972,77.0,2
4888,Biathlon,1972,78.0,6
4889,Biathlon,1972,79.0,4
4890,Biathlon,1972,81.0,1
4891,Biathlon,1972,82.0,2
4892,Biathlon,1972,88.0,2
4893,Biathlon,1976,54.0,1
4894,Biathlon,1976,59.0,1
4895,Biathlon,1976,60.0,2
4896,Biathlon,1976,61.5,2
4897,Biathlon,1976,62.0,2
4898,Biathlon,1976,63.0,7
4899,Biathlon,1976,64.0,4
4900,Biathlon,1976,65.0,2
4901,Biathlon,1976,66.0,7
4902,Biathlon,1976,67.0,3
4903,Biathlon,1976,68.0,8
4904,Biathlon,1976,69.0,1
4905,Biathlon,1976,70.0,4
4906,Biathlon,1976,71.0,5
4907,Biathlon,1976,72.0,6
4908,Biathlon,1976,73.0,3
