lindex,Sport,Year,Weight,count
5264,Bobsleigh,1928,71.0,1
5265,Bobsleigh,1928,82.0,2
5266,Bobsleigh,1928,85.0,1
5267,Bobsleigh,1928,103.0,1
5268,Bobsleigh,1932,55.0,2
5269,Bobsleigh,1932,65.0,1
5270,Bobsleigh,1936,55.0,2
5271,Bobsleigh,1936,86.0,1
5272,Bobsleigh,1948,92.0,1
5273,Bobsleigh,1952,90.0,1
5274,Bobsleigh,1952,92.0,1
5275,Bobsleigh,1952,130.0,2
5276,Bobsleigh,1952,145.0,1
5277,Bobsleigh,1956,68.0,4
5278,Bobsleigh,1956,69.0,1
5279,Bobsleigh,1956,70.0,4
5280,Bobsleigh,1956,73.0,3
5281,Bobsleigh,1956,76.0,1
5282,Bobsleigh,1956,78.0,4
5283,Bobsleigh,1956,80.0,2
5284,Bobsleigh,1956,83.0,2
5285,Bobsleigh,1956,84.0,2
5286,Bobsleigh,1956,85.0,2
5287,Bobsleigh,1956,89.0,1
5288,Bobsleigh,1956,90.0,3
5289,Bobsleigh,1956,92.0,2
5290,Bobsleigh,1956,110.0,1
5291,Bobsleigh,1956,114.0,1
5292,Bobsleigh,1956,115.0,2
5293,Bobsleigh,1956,130.0,2
5294,Bobsleigh,1964,62.0,1
5295,Bobsleigh,1964,64.0,1
5296,Bobsleigh,1964,65.0,4
5297,Bobsleigh,1964,68.0,3
5298,Bobsleigh,1964,71.0,1
5299,Bobsleigh,1964,72.0,2
5300,Bobsleigh,1964,73.0,3
5301,Bobsleigh,1964,74.0,2
5302,Bobsleigh,1964,75.0,4
5303,Bobsleigh,1964,76.0,2
5304,Bobsleigh,1964,77.0,2
5305,Bobsleigh,1964,78.0,4
5306,Bobsleigh,1964,80.0,9
5307,Bobsleigh,1964,81.0,1
5308,Bobsleigh,1964,82.0,9
5309,Bobsleigh,1964,83.0,3
5310,Bobsleigh,1964,84.0,4
5311,Bobsleigh,1964,85.0,8
5312,Bobsleigh,1964,86.0,5
5313,Bobsleigh,1964,87.0,3
5314,Bobsleigh,1964,88.0,1
5315,Bobsleigh,1964,89.0,2
5316,Bobsleigh,1964,90.0,2
5317,Bobsleigh,1964,91.0,2
5318,Bobsleigh,1964,92.0,2
5319,Bobsleigh,1964,93.0,3
5320,Bobsleigh,1964,95.0,5
5321,Bobsleigh,1964,96.0,1
5322,Bobsleigh,1964,114.0,2
5323,Bobsleigh,1968,60.0,1
5324,Bobsleigh,1968,67.0,1
5325,Bobsleigh,1968,68.0,2
5326,Bobsleigh,1968,69.0,1
5327,Bobsleigh,1968,70.0,10
5328,Bobsleigh,1968,72.0,4
5329,Bobsleigh,1968,73.0,7
5330,Bobsleigh,1968,74.0,3
5331,Bobsleigh,1968,75.0,7
5332,Bobsleigh,1968,76.0,2
5333,Bobsleigh,1968,77.0,3
5334,Bobsleigh,1968,78.0,2
5335,Bobsleigh,1968,79.0,2
5336,Bobsleigh,1968,80.0,5
5337,Bobsleigh,1968,81.0,1
5338,Bobsleigh,1968,82.0,6
5339,Bobsleigh,1968,83.0,4
5340,Bobsleigh,1968,84.0,9
5341,Bobsleigh,1968,85.0,11
5342,Bobsleigh,1968,86.0,7
5343,Bobsleigh,1968,87.0,3
5344,Bobsleigh,1968,88.0,3
5345,Bobsleigh,1968,89.0,3
5346,Bobsleigh,1968,90.0,4
5347,Bobsleigh,1968,91.0,5
5348,Bobsleigh,1968,92.0,3
5349,Bobsleigh,1968,93.0,5
5350,Bobsleigh,1968,94.0,1
5351,Bobsleigh,1968,95.0,1
5352,Bobsleigh,1968,98.0,2
5353,Bobsleigh,1968,102.0,2
5354,Bobsleigh,1972,61.0,1
5355,Bobsleigh,1972,63.0,2
5356,Bobsleigh,1972,65.0,2
5357,Bobsleigh,1972,66.0,1
5358,Bobsleigh,1972,67.0,4
5359,Bobsleigh,1972,68.0,1
5360,Bobsleigh,1972,69.0,1
5361,Bobsleigh,1972,70.0,3
5362,Bobsleigh,1972,71.0,2
5363,Bobsleigh,1972,72.0,4
5364,Bobsleigh,1972,75.0,11
5365,Bobsleigh,1972,76.0,1
5366,Bobsleigh,1972,77.0,2
5367,Bobsleigh,1972,78.0,6
5368,Bobsleigh,1972,79.0,4
5369,Bobsleigh,1972,80.0,12
5370,Bobsleigh,1972,81.0,1
5371,Bobsleigh,1972,82.0,9
5372,Bobsleigh,1972,83.0,1
5373,Bobsleigh,1972,84.0,4
5374,Bobsleigh,1972,85.0,5
5375,Bobsleigh,1972,86.0,4
5376,Bobsleigh,1972,87.0,3
5377,Bobsleigh,1972,88.0,2
5378,Bobsleigh,1972,89.0,4
5379,Bobsleigh,1972,90.0,8
5380,Bobsleigh,1972,91.0,4
5381,Bobsleigh,1972,92.0,2
5382,Bobsleigh,1972,93.0,2
5383,Bobsleigh,1972,94.0,2
5384,Bobsleigh,1972,95.0,1
5385,Bobsleigh,1972,105.0,2
5386,Bobsleigh,1976,65.0,1
5387,Bobsleigh,1976,67.0,2
5388,Bobsleigh,1976,70.0,2
5389,Bobsleigh,1976,71.0,2
5390,Bobsleigh,1976,72.0,2
5391,Bobsleigh,1976,75.0,8
5392,Bobsleigh,1976,76.0,1
5393,Bobsleigh,1976,77.0,2
5394,Bobsleigh,1976,78.0,6
5395,Bobsleigh,1976,79.0,2
5396,Bobsleigh,1976,80.0,6
5397,Bobsleigh,1976,81.0,2
5398,Bobsleigh,1976,82.0,6
5399,Bobsleigh,1976,83.0,3
5400,Bobsleigh,1976,84.0,2
5401,Bobsleigh,1976,85.0,5
5402,Bobsleigh,1976,86.0,10
5403,Bobsleigh,1976,87.0,3
5404,Bobsleigh,1976,88.0,1
5405,Bobsleigh,1976,89.0,2
5406,Bobsleigh,1976,90.0,9
5407,Bobsleigh,1976,91.0,4
5408,Bobsleigh,1976,92.0,2
5409,Bobsleigh,1976,93.0,2
5410,Bobsleigh,1976,94.0,2
5411,Bobsleigh,1976,95.0,4
5412,Bobsleigh,1980,70.0,2
5413,Bobsleigh,1980,72.0,1
5414,Bobsleigh,1980,74.0,2
5415,Bobsleigh,1980,75.0,4
5416,Bobsleigh,1980,76.0,1
5417,Bobsleigh,1980,77.0,1
5418,Bobsleigh,1980,78.0,3
5419,Bobsleigh,1980,79.0,2
5420,Bobsleigh,1980,80.0,3
5421,Bobsleigh,1980,81.0,2
5422,Bobsleigh,1980,82.0,11
5423,Bobsleigh,1980,83.0,4
5424,Bobsleigh,1980,84.0,2
5425,Bobsleigh,1980,85.0,7
5426,Bobsleigh,1980,86.0,5
5427,Bobsleigh,1980,88.0,2
5428,Bobsleigh,1980,89.0,1
5429,Bobsleigh,1980,90.0,3
5430,Bobsleigh,1980,91.0,7
5431,Bobsleigh,1980,92.0,7
5432,Bobsleigh,1980,94.0,3
5433,Bobsleigh,1980,95.0,4
5434,Bobsleigh,1980,98.0,1
5435,Bobsleigh,1980,100.0,1
5436,Bobsleigh,1984,70.0,3
5437,Bobsleigh,1984,73.0,1
5438,Bobsleigh,1984,75.0,4
5439,Bobsleigh,1984,76.0,1
5440,Bobsleigh,1984,78.0,5
5441,Bobsleigh,1984,79.0,2
5442,Bobsleigh,1984,80.0,9
5443,Bobsleigh,1984,81.0,4
5444,Bobsleigh,1984,82.0,4
5445,Bobsleigh,1984,83.0,3
5446,Bobsleigh,1984,84.0,5
5447,Bobsleigh,1984,85.0,13
5448,Bobsleigh,1984,86.0,15
5449,Bobsleigh,1984,87.0,3
5450,Bobsleigh,1984,88.0,6
5451,Bobsleigh,1984,89.0,10
5452,Bobsleigh,1984,90.0,7
5453,Bobsleigh,1984,91.0,12
5454,Bobsleigh,1984,92.0,6
5455,Bobsleigh,1984,93.0,4
5456,Bobsleigh,1984,94.0,2
5457,Bobsleigh,1984,95.0,6
5458,Bobsleigh,1984,97.0,2
5459,Bobsleigh,1984,98.0,1
5460,Bobsleigh,1984,100.0,2
5461,Bobsleigh,1984,103.0,2
5462,Bobsleigh,1984,108.0,1
5463,Bobsleigh,1984,110.0,2
5464,Bobsleigh,1988,72.0,1
5465,Bobsleigh,1988,77.0,1
5466,Bobsleigh,1988,78.0,4
5467,Bobsleigh,1988,80.0,4
5468,Bobsleigh,1988,81.0,3
5469,Bobsleigh,1988,82.0,2
5470,Bobsleigh,1988,83.0,6
5471,Bobsleigh,1988,84.0,8
5472,Bobsleigh,1988,85.0,6
5473,Bobsleigh,1988,86.0,18
5474,Bobsleigh,1988,87.0,4
5475,Bobsleigh,1988,88.0,5
5476,Bobsleigh,1988,89.0,10
5477,Bobsleigh,1988,90.0,13
5478,Bobsleigh,1988,91.0,3
5479,Bobsleigh,1988,92.0,6
5480,Bobsleigh,1988,93.0,5
5481,Bobsleigh,1988,94.0,2
5482,Bobsleigh,1988,95.0,6
5483,Bobsleigh,1988,96.0,1
5484,Bobsleigh,1988,97.0,4
5485,Bobsleigh,1988,98.0,4
5486,Bobsleigh,1988,99.0,1
5487,Bobsleigh,1988,100.0,2
5488,Bobsleigh,1988,103.0,3
5489,Bobsleigh,1988,107.0,2
5490,Bobsleigh,1992,72.0,3
5491,Bobsleigh,1992,74.0,1
5492,Bobsleigh,1992,77.0,3
5493,Bobsleigh,1992,78.0,1
5494,Bobsleigh,1992,79.0,1
5495,Bobsleigh,1992,80.0,8
5496,Bobsleigh,1992,81.0,4
5497,Bobsleigh,1992,82.0,6
5498,Bobsleigh,1992,83.0,7
5499,Bobsleigh,1992,84.0,2
5500,Bobsleigh,1992,85.0,6
5501,Bobsleigh,1992,86.0,19
5502,Bobsleigh,1992,87.0,12
5503,Bobsleigh,1992,88.0,10
5504,Bobsleigh,1992,89.0,7
5505,Bobsleigh,1992,90.0,16
5506,Bobsleigh,1992,92.0,4
5507,Bobsleigh,1992,93.0,14
5508,Bobsleigh,1992,94.0,7
5509,Bobsleigh,1992,95.0,7
5510,Bobsleigh,1992,96.0,4
5511,Bobsleigh,1992,97.0,7
5512,Bobsleigh,1992,98.0,4
5513,Bobsleigh,1992,99.0,2
5514,Bobsleigh,1992,100.0,1
5515,Bobsleigh,1992,103.0,4
5516,Bobsleigh,1992,104.0,1
5517,Bobsleigh,1992,105.0,2
5518,Bobsleigh,1992,107.0,1
5519,Bobsleigh,1992,110.0,4
5520,Bobsleigh,1992,111.0,1
5521,Bobsleigh,1994,72.0,1
5522,Bobsleigh,1994,73.0,2
5523,Bobsleigh,1994,74.0,1
5524,Bobsleigh,1994,76.0,3
5525,Bobsleigh,1994,77.0,1
5526,Bobsleigh,1994,79.0,3
5527,Bobsleigh,1994,80.0,8
5528,Bobsleigh,1994,81.0,3
5529,Bobsleigh,1994,82.0,9
5530,Bobsleigh,1994,83.0,6
5531,Bobsleigh,1994,84.0,5
5532,Bobsleigh,1994,85.0,12
5533,Bobsleigh,1994,86.0,11
5534,Bobsleigh,1994,87.0,8
5535,Bobsleigh,1994,88.0,10
5536,Bobsleigh,1994,89.0,8
5537,Bobsleigh,1994,90.0,15
5538,Bobsleigh,1994,91.0,4
5539,Bobsleigh,1994,92.0,6
5540,Bobsleigh,1994,93.0,11
5541,Bobsleigh,1994,94.0,6
5542,Bobsleigh,1994,95.0,9
5543,Bobsleigh,1994,96.0,3
5544,Bobsleigh,1994,97.0,5
5545,Bobsleigh,1994,98.0,14
5546,Bobsleigh,1994,99.0,2
5547,Bobsleigh,1994,100.0,3
5548,Bobsleigh,1994,102.0,2
5549,Bobsleigh,1994,103.0,5
5550,Bobsleigh,1994,104.0,4
5551,Bobsleigh,1994,105.0,1
5552,Bobsleigh,1994,106.0,3
5553,Bobsleigh,1994,107.0,1
5554,Bobsleigh,1994,110.0,1
5555,Bobsleigh,1994,111.0,1
5556,Bobsleigh,1994,113.0,1
5557,Bobsleigh,1998,70.0,3
5558,Bobsleigh,1998,72.0,1
5559,Bobsleigh,1998,73.0,2
5560,Bobsleigh,1998,75.0,2
5561,Bobsleigh,1998,77.0,2
5562,Bobsleigh,1998,80.0,1
5563,Bobsleigh,1998,81.0,4
5564,Bobsleigh,1998,82.0,6
5565,Bobsleigh,1998,83.0,6
5566,Bobsleigh,1998,84.0,8
5567,Bobsleigh,1998,85.0,6
5568,Bobsleigh,1998,86.0,7
5569,Bobsleigh,1998,87.0,2
5570,Bobsleigh,1998,88.0,5
5571,Bobsleigh,1998,89.0,5
5572,Bobsleigh,1998,90.0,17
5573,Bobsleigh,1998,91.0,2
5574,Bobsleigh,1998,92.0,8
5575,Bobsleigh,1998,93.0,10
5576,Bobsleigh,1998,94.0,12
5577,Bobsleigh,1998,95.0,15
5578,Bobsleigh,1998,96.0,10
5579,Bobsleigh,1998,97.0,4
5580,Bobsleigh,1998,98.0,19
5581,Bobsleigh,1998,99.0,3
5582,Bobsleigh,1998,100.0,7
5583,Bobsleigh,1998,101.0,1
5584,Bobsleigh,1998,102.0,6
5585,Bobsleigh,1998,103.0,2
5586,Bobsleigh,1998,104.0,6
5587,Bobsleigh,1998,105.0,4
5588,Bobsleigh,1998,106.0,3
5589,Bobsleigh,1998,107.0,4
5590,Bobsleigh,1998,110.0,1
5591,Bobsleigh,1998,111.0,1
5592,Bobsleigh,1998,113.0,3
5593,Bobsleigh,1998,115.0,1
5594,Bobsleigh,1998,123.0,2
5595,Bobsleigh,2002,60.0,1
5596,Bobsleigh,2002,61.0,2
5597,Bobsleigh,2002,63.0,1
5598,Bobsleigh,2002,65.0,3
5599,Bobsleigh,2002,68.0,4
5600,Bobsleigh,2002,69.0,2
5601,Bobsleigh,2002,70.0,3
5602,Bobsleigh,2002,71.0,1
5603,Bobsleigh,2002,72.0,1
5604,Bobsleigh,2002,73.0,5
5605,Bobsleigh,2002,75.0,1
5606,Bobsleigh,2002,76.0,1
5607,Bobsleigh,2002,77.0,2
5608,Bobsleigh,2002,78.0,1
5609,Bobsleigh,2002,79.0,1
5610,Bobsleigh,2002,80.0,6
5611,Bobsleigh,2002,81.0,4
5612,Bobsleigh,2002,82.0,3
5613,Bobsleigh,2002,83.0,2
5614,Bobsleigh,2002,84.0,3
5615,Bobsleigh,2002,85.0,7
5616,Bobsleigh,2002,86.0,7
5617,Bobsleigh,2002,87.0,5
5618,Bobsleigh,2002,88.0,8
5619,Bobsleigh,2002,89.0,4
5620,Bobsleigh,2002,90.0,16
5621,Bobsleigh,2002,91.0,4
5622,Bobsleigh,2002,92.0,6
5623,Bobsleigh,2002,93.0,12
5624,Bobsleigh,2002,94.0,5
5625,Bobsleigh,2002,95.0,12
5626,Bobsleigh,2002,96.0,15
5627,Bobsleigh,2002,97.0,6
5628,Bobsleigh,2002,98.0,17
5629,Bobsleigh,2002,99.0,10
5630,Bobsleigh,2002,100.0,11
5631,Bobsleigh,2002,101.0,3
5632,Bobsleigh,2002,102.0,11
5633,Bobsleigh,2002,103.0,4
5634,Bobsleigh,2002,104.0,7
