lindex,Sport,Year,Weight,count
6506,Canoeing,1936,70.0,1
6507,Canoeing,1936,82.0,2
6508,Canoeing,1936,84.0,2
6509,Canoeing,1936,100.0,2
6510,Canoeing,1948,60.5,1
6511,Canoeing,1948,68.0,2
6512,Canoeing,1948,72.0,2
6513,Canoeing,1948,74.0,1
6514,Canoeing,1948,74.5,4
6515,Canoeing,1948,76.0,1
6516,Canoeing,1948,78.0,1
6517,Canoeing,1948,80.0,5
6518,Canoeing,1948,89.0,1
6519,Canoeing,1948,100.0,2
6520,Canoeing,1952,58.0,1
6521,Canoeing,1952,59.0,2
6522,Canoeing,1952,60.5,1
6523,Canoeing,1952,65.0,1
6524,Canoeing,1952,66.0,2
6525,Canoeing,1952,67.0,3
6526,Canoeing,1952,68.0,3
6527,Canoeing,1952,69.0,1
6528,Canoeing,1952,71.0,1
6529,Canoeing,1952,72.0,3
6530,Canoeing,1952,73.0,3
6531,Canoeing,1952,74.0,2
6532,Canoeing,1952,75.0,2
6533,Canoeing,1952,77.0,1
6534,Canoeing,1952,78.0,1
6535,Canoeing,1952,80.0,4
6536,Canoeing,1952,83.0,2
6537,Canoeing,1952,84.0,1
6538,Canoeing,1952,89.0,2
6539,Canoeing,1956,56.0,1
6540,Canoeing,1956,59.0,1
6541,Canoeing,1956,60.0,1
6542,Canoeing,1956,61.0,1
6543,Canoeing,1956,63.0,1
6544,Canoeing,1956,64.0,1
6545,Canoeing,1956,65.0,1
6546,Canoeing,1956,66.0,1
6547,Canoeing,1956,67.0,3
6548,Canoeing,1956,68.0,3
6549,Canoeing,1956,69.0,2
6550,Canoeing,1956,72.0,6
6551,Canoeing,1956,73.0,6
6552,Canoeing,1956,74.0,3
6553,Canoeing,1956,75.0,7
6554,Canoeing,1956,77.0,2
6555,Canoeing,1956,78.0,2
6556,Canoeing,1956,79.0,5
6557,Canoeing,1956,80.0,2
6558,Canoeing,1956,81.0,1
6559,Canoeing,1956,83.0,1
6560,Canoeing,1956,84.0,1
6561,Canoeing,1956,85.0,1
6562,Canoeing,1956,89.0,2
6563,Canoeing,1960,49.0,1
6564,Canoeing,1960,51.0,1
6565,Canoeing,1960,56.0,4
6566,Canoeing,1960,58.0,2
6567,Canoeing,1960,59.0,3
6568,Canoeing,1960,60.0,3
6569,Canoeing,1960,61.0,5
6570,Canoeing,1960,62.0,1
6571,Canoeing,1960,63.0,4
6572,Canoeing,1960,64.0,2
6573,Canoeing,1960,65.0,5
6574,Canoeing,1960,66.0,10
6575,Canoeing,1960,67.0,6
6576,Canoeing,1960,68.0,6
6577,Canoeing,1960,69.0,7
6578,Canoeing,1960,70.0,16
6579,Canoeing,1960,71.0,6
6580,Canoeing,1960,72.0,16
6581,Canoeing,1960,73.0,15
6582,Canoeing,1960,74.0,8
6583,Canoeing,1960,75.0,16
6584,Canoeing,1960,76.0,6
6585,Canoeing,1960,77.0,6
6586,Canoeing,1960,78.0,6
6587,Canoeing,1960,79.0,13
6588,Canoeing,1960,80.0,11
6589,Canoeing,1960,81.0,2
6590,Canoeing,1960,82.0,9
6591,Canoeing,1960,83.0,6
6592,Canoeing,1960,84.0,2
6593,Canoeing,1960,85.0,5
6594,Canoeing,1960,86.0,1
6595,Canoeing,1960,88.0,1
6596,Canoeing,1960,89.0,1
6597,Canoeing,1960,90.0,3
6598,Canoeing,1960,95.0,1
6599,Canoeing,1960,98.0,1
6600,Canoeing,1964,49.0,1
6601,Canoeing,1964,54.0,1
6602,Canoeing,1964,56.0,1
6603,Canoeing,1964,58.0,1
6604,Canoeing,1964,59.0,5
6605,Canoeing,1964,60.0,2
6606,Canoeing,1964,61.0,1
6607,Canoeing,1964,63.0,5
6608,Canoeing,1964,64.0,5
6609,Canoeing,1964,65.0,4
6610,Canoeing,1964,66.0,9
6611,Canoeing,1964,67.0,6
6612,Canoeing,1964,68.0,6
6613,Canoeing,1964,69.0,5
6614,Canoeing,1964,70.0,14
6615,Canoeing,1964,71.0,3
6616,Canoeing,1964,72.0,6
6617,Canoeing,1964,73.0,10
6618,Canoeing,1964,74.0,5
