lindex,Sport,Year,Weight,count
7857,Curling,1998,47.0,1
7858,Curling,1998,49.0,1
7859,Curling,1998,50.0,1
7860,Curling,1998,51.0,1
7861,Curling,1998,52.0,1
7862,Curling,1998,53.0,1
7863,Curling,1998,55.0,1
7864,Curling,1998,56.0,1
7865,Curling,1998,57.0,1
7866,Curling,1998,59.0,1
7867,Curling,1998,60.0,2
7868,Curling,1998,61.0,1
7869,Curling,1998,62.0,3
7870,Curling,1998,63.0,1
7871,Curling,1998,64.0,2
7872,Curling,1998,65.0,1
7873,Curling,1998,66.0,2
7874,Curling,1998,67.0,3
7875,Curling,1998,68.0,8
7876,Curling,1998,69.0,2
7877,Curling,1998,70.0,3
7878,Curling,1998,72.0,6
7879,Curling,1998,74.0,4
7880,Curling,1998,75.0,2
7881,Curling,1998,76.0,1
7882,Curling,1998,77.0,1
7883,Curling,1998,78.0,1
7884,Curling,1998,80.0,1
7885,Curling,1998,81.0,2
7886,Curling,1998,82.0,4
7887,Curling,1998,83.0,4
7888,Curling,1998,84.0,2
7889,Curling,1998,85.0,2
7890,Curling,1998,86.0,3
7891,Curling,1998,89.0,1
7892,Curling,1998,90.0,3
7893,Curling,1998,91.0,2
7894,Curling,1998,95.0,2
7895,Curling,1998,102.0,1
7896,Curling,2002,45.0,1
7897,Curling,2002,47.0,1
7898,Curling,2002,49.0,1
7899,Curling,2002,50.0,1
7900,Curling,2002,51.0,1
7901,Curling,2002,52.0,2
7902,Curling,2002,56.0,1
7903,Curling,2002,57.0,3
7904,Curling,2002,58.0,1
7905,Curling,2002,59.0,3
7906,Curling,2002,60.0,4
7907,Curling,2002,61.0,1
7908,Curling,2002,62.0,4
7909,Curling,2002,63.0,3
7910,Curling,2002,64.0,1
7911,Curling,2002,65.0,1
7912,Curling,2002,66.0,4
7913,Curling,2002,67.0,1
7914,Curling,2002,68.0,9
7915,Curling,2002,69.0,1
7916,Curling,2002,70.0,1
7917,Curling,2002,71.0,2
7918,Curling,2002,72.0,5
7919,Curling,2002,75.0,2
7920,Curling,2002,76.0,3
7921,Curling,2002,77.0,3
7922,Curling,2002,78.0,2
7923,Curling,2002,79.0,2
7924,Curling,2002,81.0,2
7925,Curling,2002,82.0,2
7926,Curling,2002,83.0,2
7927,Curling,2002,84.0,2
7928,Curling,2002,85.0,7
7929,Curling,2002,86.0,2
7930,Curling,2002,88.0,2
7931,Curling,2002,89.0,3
7932,Curling,2002,90.0,3
7933,Curling,2002,91.0,2
7934,Curling,2002,93.0,1
7935,Curling,2002,94.0,1
7936,Curling,2002,95.0,1
7937,Curling,2002,100.0,1
7938,Curling,2002,102.0,1
7939,Curling,2006,45.0,1
7940,Curling,2006,51.0,1
7941,Curling,2006,52.0,2
7942,Curling,2006,53.0,1
7943,Curling,2006,54.0,1
7944,Curling,2006,55.0,2
7945,Curling,2006,56.0,1
7946,Curling,2006,57.0,2
7947,Curling,2006,58.0,5
7948,Curling,2006,59.0,3
7949,Curling,2006,60.0,3
7950,Curling,2006,61.0,5
7951,Curling,2006,62.0,2
7952,Curling,2006,64.0,3
7953,Curling,2006,65.0,1
7954,Curling,2006,66.0,2
