lindex,Sport,Year,Weight,count
8048,Cycling,1906,64.0,3
8049,Cycling,1906,67.0,5
8050,Cycling,1906,71.0,4
8051,Cycling,1908,64.0,4
8052,Cycling,1908,67.0,2
8053,Cycling,1908,70.0,1
8054,Cycling,1908,71.0,1
8055,Cycling,1908,83.0,5
8056,Cycling,1912,76.0,2
8057,Cycling,1920,70.0,3
8058,Cycling,1920,75.0,1
8059,Cycling,1924,70.0,2
8060,Cycling,1924,71.0,2
8061,Cycling,1924,72.0,2
8062,Cycling,1924,74.0,3
8063,Cycling,1924,78.0,2
8064,Cycling,1924,80.0,1
8065,Cycling,1924,90.0,2
8066,Cycling,1928,66.0,4
8067,Cycling,1928,70.0,3
8068,Cycling,1928,72.0,3
8069,Cycling,1928,74.0,1
8070,Cycling,1928,77.0,1
8071,Cycling,1928,78.0,1
8072,Cycling,1932,65.0,1
8073,Cycling,1932,67.0,2
8074,Cycling,1932,71.0,3
8075,Cycling,1932,74.0,2
8076,Cycling,1936,67.0,3
8077,Cycling,1936,76.0,2
8078,Cycling,1948,67.5,2
8079,Cycling,1948,69.0,2
8080,Cycling,1948,70.0,3
8081,Cycling,1948,71.0,3
8082,Cycling,1948,72.0,1
8083,Cycling,1948,73.0,1
8084,Cycling,1948,79.0,1
8085,Cycling,1948,80.0,4
8086,Cycling,1952,64.0,2
8087,Cycling,1952,65.0,2
8088,Cycling,1952,67.5,2
8089,Cycling,1952,68.0,3
8090,Cycling,1952,71.0,2
8091,Cycling,1952,72.0,4
8092,Cycling,1952,73.0,1
8093,Cycling,1952,75.0,4
8094,Cycling,1952,76.0,2
8095,Cycling,1952,77.0,3
8096,Cycling,1952,79.0,1
8097,Cycling,1952,80.0,1
8098,Cycling,1952,83.0,2
8099,Cycling,1956,53.0,1
8100,Cycling,1956,54.0,2
8101,Cycling,1956,59.0,1
8102,Cycling,1956,62.0,3
8103,Cycling,1956,63.0,2
8104,Cycling,1956,64.0,2
8105,Cycling,1956,66.0,5
8106,Cycling,1956,67.0,1
8107,Cycling,1956,68.0,6
8108,Cycling,1956,69.0,9
8109,Cycling,1956,70.0,1
8110,Cycling,1956,72.0,10
8111,Cycling,1956,73.0,5
8112,Cycling,1956,74.0,7
8113,Cycling,1956,75.0,3
8114,Cycling,1956,77.0,5
8115,Cycling,1956,79.0,1
8116,Cycling,1956,81.0,3
8117,Cycling,1956,82.0,2
8118,Cycling,1956,86.0,2
8119,Cycling,1960,51.0,1
8120,Cycling,1960,53.0,8
8121,Cycling,1960,54.0,4
8122,Cycling,1960,55.0,2
8123,Cycling,1960,57.0,4
8124,Cycling,1960,58.0,1
8125,Cycling,1960,59.0,2
8126,Cycling,1960,60.0,16
8127,Cycling,1960,61.0,7
8128,Cycling,1960,62.0,10
8129,Cycling,1960,63.0,11
8130,Cycling,1960,64.0,8
8131,Cycling,1960,65.0,26
8132,Cycling,1960,66.0,17
8133,Cycling,1960,67.0,16
8134,Cycling,1960,68.0,46
8135,Cycling,1960,69.0,28
8136,Cycling,1960,70.0,32
8137,Cycling,1960,71.0,7
8138,Cycling,1960,72.0,49
8139,Cycling,1960,73.0,12
8140,Cycling,1960,74.0,11
8141,Cycling,1960,75.0,18
8142,Cycling,1960,76.0,16
