lindex,Sport,Year,Weight,count
8786,Diving,1906,76.0,1
8787,Diving,1908,76.0,1
8788,Diving,1912,76.0,2
8789,Diving,1920,68.0,1
8790,Diving,1924,45.0,1
8791,Diving,1924,68.0,1
8792,Diving,1924,75.0,1
8793,Diving,1948,50.0,1
8794,Diving,1948,53.0,2
8795,Diving,1948,56.0,2
8796,Diving,1952,50.0,1
8797,Diving,1952,51.0,3
8798,Diving,1952,53.0,2
8799,Diving,1952,54.0,2
8800,Diving,1952,58.0,2
8801,Diving,1952,60.0,1
8802,Diving,1952,65.0,1
8803,Diving,1952,75.0,2
8804,Diving,1952,77.0,1
8805,Diving,1956,46.0,1
8806,Diving,1956,48.0,2
8807,Diving,1956,50.0,2
8808,Diving,1956,51.0,3
8809,Diving,1956,52.0,3
8810,Diving,1956,53.0,2
8811,Diving,1956,54.0,2
8812,Diving,1956,56.0,2
8813,Diving,1956,58.0,2
8814,Diving,1956,60.0,3
8815,Diving,1956,63.0,2
8816,Diving,1956,64.0,1
8817,Diving,1956,66.0,1
8818,Diving,1956,68.0,4
8819,Diving,1956,69.0,1
8820,Diving,1956,73.0,1
8821,Diving,1960,46.0,2
8822,Diving,1960,48.0,2
8823,Diving,1960,50.0,3
8824,Diving,1960,51.0,4
8825,Diving,1960,52.0,5
8826,Diving,1960,53.0,3
8827,Diving,1960,54.0,6
8828,Diving,1960,55.0,2
8829,Diving,1960,56.0,3
8830,Diving,1960,57.0,2
8831,Diving,1960,58.0,1
8832,Diving,1960,59.0,1
8833,Diving,1960,60.0,7
8834,Diving,1960,61.0,3
8835,Diving,1960,62.0,1
8836,Diving,1960,63.0,7
8837,Diving,1960,64.0,2
8838,Diving,1960,65.0,7
8839,Diving,1960,67.0,3
8840,Diving,1960,68.0,8
8841,Diving,1960,70.0,3
8842,Diving,1960,72.0,1
8843,Diving,1960,73.0,2
8844,Diving,1960,74.0,5
8845,Diving,1960,75.0,3
8846,Diving,1960,76.0,1
8847,Diving,1960,79.0,2
8848,Diving,1964,46.0,2
8849,Diving,1964,48.0,4
8850,Diving,1964,49.0,1
8851,Diving,1964,50.0,9
8852,Diving,1964,52.0,6
8853,Diving,1964,53.0,1
8854,Diving,1964,54.0,1
8855,Diving,1964,55.0,3
8856,Diving,1964,56.0,6
8857,Diving,1964,57.0,4
8858,Diving,1964,58.0,1
8859,Diving,1964,59.0,5
8860,Diving,1964,60.0,5
8861,Diving,1964,61.0,6
8862,Diving,1964,62.0,1
8863,Diving,1964,63.0,4
8864,Diving,1964,64.0,7
8865,Diving,1964,64.5,1
8866,Diving,1964,65.0,4
8867,Diving,1964,66.0,1
8868,Diving,1964,67.0,3
8869,Diving,1964,68.0,6
8870,Diving,1964,70.0,7
8871,Diving,1964,72.0,2
8872,Diving,1964,73.0,1
8873,Diving,1964,74.0,5
8874,Diving,1964,75.0,4
8875,Diving,1964,77.0,1
8876,Diving,1964,78.0,1
8877,Diving,1968,46.0,1
8878,Diving,1968,48.0,2
8879,Diving,1968,50.0,5
8880,Diving,1968,52.0,9
8881,Diving,1968,53.0,3
8882,Diving,1968,54.0,3
8883,Diving,1968,55.0,2
8884,Diving,1968,56.0,2
8885,Diving,1968,57.0,5
8886,Diving,1968,58.0,2
8887,Diving,1968,59.0,2
8888,Diving,1968,60.0,6
8889,Diving,1968,61.0,3
8890,Diving,1968,62.0,2
8891,Diving,1968,63.0,4
8892,Diving,1968,64.0,6
8893,Diving,1968,64.5,1
8894,Diving,1968,65.0,3
8895,Diving,1968,66.0,1
8896,Diving,1968,67.0,5
8897,Diving,1968,68.0,13
8898,Diving,1968,69.0,1
8899,Diving,1968,70.0,8
8900,Diving,1968,71.0,2
8901,Diving,1968,73.0,4
8902,Diving,1968,74.0,2
8903,Diving,1968,75.0,3
8904,Diving,1968,76.0,4
8905,Diving,1968,78.0,2
8906,Diving,1972,46.0,1
8907,Diving,1972,48.0,3
8908,Diving,1972,49.0,3
8909,Diving,1972,50.0,2
8910,Diving,1972,51.0,5
8911,Diving,1972,52.0,5
8912,Diving,1972,53.0,2
8913,Diving,1972,54.0,7
8914,Diving,1972,55.0,1
8915,Diving,1972,56.0,6
8916,Diving,1972,57.0,6
8917,Diving,1972,58.0,3
8918,Diving,1972,59.0,4
8919,Diving,1972,60.0,7
8920,Diving,1972,61.0,4
8921,Diving,1972,62.0,1
8922,Diving,1972,63.0,6
8923,Diving,1972,64.0,3
8924,Diving,1972,64.5,1
8925,Diving,1972,65.0,6
8926,Diving,1972,66.0,5
8927,Diving,1972,67.0,6
8928,Diving,1972,68.0,11
8929,Diving,1972,69.0,1
8930,Diving,1972,70.0,3
8931,Diving,1972,71.0,3
8932,Diving,1972,72.0,1
8933,Diving,1972,73.0,3
8934,Diving,1972,74.0,3
8935,Diving,1972,75.0,4
8936,Diving,1972,76.0,1
8937,Diving,1972,78.0,3
8938,Diving,1972,80.0,2
8939,Diving,1976,45.0,2
8940,Diving,1976,47.0,2
8941,Diving,1976,48.0,1
8942,Diving,1976,49.0,2
8943,Diving,1976,50.0,5
