lindex,Sport,Year,Weight,count
9320,Equestrianism,1912,63.0,1
9321,Equestrianism,1924,63.0,4
9322,Equestrianism,1924,64.0,1
9323,Equestrianism,1924,65.0,4
9324,Equestrianism,1924,66.0,1
9325,Equestrianism,1924,71.0,4
9326,Equestrianism,1928,60.0,2
9327,Equestrianism,1928,63.0,2
9328,Equestrianism,1928,66.0,2
9329,Equestrianism,1928,67.0,2
9330,Equestrianism,1928,71.0,2
9331,Equestrianism,1936,60.0,2
9332,Equestrianism,1936,62.0,4
9333,Equestrianism,1936,70.0,2
9334,Equestrianism,1936,71.0,4
9335,Equestrianism,1936,75.0,4
9336,Equestrianism,1948,56.5,2
9337,Equestrianism,1948,62.0,2
9338,Equestrianism,1948,63.0,2
9339,Equestrianism,1948,64.0,2
9340,Equestrianism,1948,65.0,2
9341,Equestrianism,1948,70.0,2
9342,Equestrianism,1948,72.0,2
9343,Equestrianism,1948,75.0,2
9344,Equestrianism,1952,60.0,2
9345,Equestrianism,1952,63.0,4
9346,Equestrianism,1952,64.0,6
9347,Equestrianism,1952,65.0,2
9348,Equestrianism,1952,66.0,2
9349,Equestrianism,1952,68.0,4
9350,Equestrianism,1952,69.0,2
9351,Equestrianism,1952,70.0,8
9352,Equestrianism,1952,71.0,4
9353,Equestrianism,1952,72.0,3
9354,Equestrianism,1952,73.0,2
9355,Equestrianism,1952,74.0,4
9356,Equestrianism,1952,75.0,6
9357,Equestrianism,1952,82.0,2
9358,Equestrianism,1956,53.0,1
9359,Equestrianism,1956,57.0,1
9360,Equestrianism,1956,60.0,4
9361,Equestrianism,1956,61.0,2
9362,Equestrianism,1956,63.0,4
9363,Equestrianism,1956,64.0,6
9364,Equestrianism,1956,65.0,8
9365,Equestrianism,1956,66.0,4
9366,Equestrianism,1956,67.0,6
9367,Equestrianism,1956,68.0,8
9368,Equestrianism,1956,69.0,4
9369,Equestrianism,1956,70.0,20
9370,Equestrianism,1956,71.0,3
9371,Equestrianism,1956,72.0,10
9372,Equestrianism,1956,73.0,2
9373,Equestrianism,1956,74.0,4
9374,Equestrianism,1956,75.0,8
9375,Equestrianism,1956,77.0,4
9376,Equestrianism,1956,78.0,2
9377,Equestrianism,1956,80.0,2
9378,Equestrianism,1956,81.0,2
9379,Equestrianism,1956,86.0,1
9380,Equestrianism,1960,49.0,1
9381,Equestrianism,1960,50.0,1
9382,Equestrianism,1960,52.0,3
9383,Equestrianism,1960,53.0,1
9384,Equestrianism,1960,54.0,1
9385,Equestrianism,1960,57.0,4
9386,Equestrianism,1960,59.0,6
9387,Equestrianism,1960,60.0,9
9388,Equestrianism,1960,61.0,6
9389,Equestrianism,1960,62.0,6
9390,Equestrianism,1960,63.0,11
9391,Equestrianism,1960,64.0,11
9392,Equestrianism,1960,65.0,21
9393,Equestrianism,1960,66.0,16
9394,Equestrianism,1960,67.0,12
9395,Equestrianism,1960,68.0,22
9396,Equestrianism,1960,69.0,12
9397,Equestrianism,1960,70.0,28
9398,Equestrianism,1960,71.0,9
9399,Equestrianism,1960,72.0,25
9400,Equestrianism,1960,73.0,15
9401,Equestrianism,1960,74.0,3
9402,Equestrianism,1960,75.0,18
9403,Equestrianism,1960,76.0,1
9404,Equestrianism,1960,77.0,4
9405,Equestrianism,1960,78.0,4
9406,Equestrianism,1960,80.0,1
9407,Equestrianism,1960,81.0,1
9408,Equestrianism,1960,84.0,1
9409,Equestrianism,1960,86.0,1
9410,Equestrianism,1960,88.0,2
9411,Equestrianism,1964,45.0,2
9412,Equestrianism,1964,49.0,2
9413,Equestrianism,1964,50.0,4
9414,Equestrianism,1964,52.0,5
9415,Equestrianism,1964,54.0,1
9416,Equestrianism,1964,55.0,2
9417,Equestrianism,1964,56.0,4
9418,Equestrianism,1964,57.0,6
9419,Equestrianism,1964,58.0,6
9420,Equestrianism,1964,60.0,9
9421,Equestrianism,1964,61.0,6
9422,Equestrianism,1964,62.0,8
9423,Equestrianism,1964,63.0,9
9424,Equestrianism,1964,64.0,12
9425,Equestrianism,1964,65.0,18
9426,Equestrianism,1964,66.0,14
9427,Equestrianism,1964,67.0,8
9428,Equestrianism,1964,68.0,8
9429,Equestrianism,1964,69.0,4
9430,Equestrianism,1964,70.0,19
9431,Equestrianism,1964,71.0,8
9432,Equestrianism,1964,72.0,20
9433,Equestrianism,1964,73.0,10
9434,Equestrianism,1964,74.0,9
9435,Equestrianism,1964,75.0,8
9436,Equestrianism,1964,76.0,4
9437,Equestrianism,1964,77.0,2
9438,Equestrianism,1964,80.0,4
9439,Equestrianism,1964,81.0,4
9440,Equestrianism,1964,82.0,2
9441,Equestrianism,1964,83.0,2
9442,Equestrianism,1964,88.0,2
9443,Equestrianism,1964,90.0,2
9444,Equestrianism,1968,45.0,2
9445,Equestrianism,1968,52.0,2
9446,Equestrianism,1968,54.0,4
9447,Equestrianism,1968,55.0,1
9448,Equestrianism,1968,56.0,2
9449,Equestrianism,1968,57.0,3
9450,Equestrianism,1968,58.0,8
9451,Equestrianism,1968,60.0,13
9452,Equestrianism,1968,61.0,3
9453,Equestrianism,1968,62.0,11
9454,Equestrianism,1968,63.0,6
9455,Equestrianism,1968,64.0,15
9456,Equestrianism,1968,65.0,14
9457,Equestrianism,1968,66.0,14
9458,Equestrianism,1968,67.0,4
9459,Equestrianism,1968,68.0,16
9460,Equestrianism,1968,69.0,9
9461,Equestrianism,1968,70.0,19
9462,Equestrianism,1968,71.0,5
9463,Equestrianism,1968,72.0,14
9464,Equestrianism,1968,73.0,10
9465,Equestrianism,1968,74.0,4
9466,Equestrianism,1968,75.0,18
9467,Equestrianism,1968,76.0,12
9468,Equestrianism,1968,77.0,6
9469,Equestrianism,1968,79.0,2
9470,Equestrianism,1968,80.0,2
9471,Equestrianism,1968,81.0,2
9472,Equestrianism,1968,82.0,4
9473,Equestrianism,1968,88.0,2
9474,Equestrianism,1972,45.0,2
9475,Equestrianism,1972,48.0,2
9476,Equestrianism,1972,50.0,1
9477,Equestrianism,1972,51.0,2
9478,Equestrianism,1972,52.0,4
9479,Equestrianism,1972,53.0,2
9480,Equestrianism,1972,54.0,4
9481,Equestrianism,1972,55.0,4
9482,Equestrianism,1972,56.0,6
9483,Equestrianism,1972,57.0,6
9484,Equestrianism,1972,58.0,4
9485,Equestrianism,1972,59.0,4
9486,Equestrianism,1972,60.0,5
9487,Equestrianism,1972,61.0,4
9488,Equestrianism,1972,62.0,14
9489,Equestrianism,1972,63.0,11
9490,Equestrianism,1972,64.0,17
9491,Equestrianism,1972,65.0,27
9492,Equestrianism,1972,66.0,22
9493,Equestrianism,1972,67.0,3
9494,Equestrianism,1972,68.0,31
9495,Equestrianism,1972,69.0,9
9496,Equestrianism,1972,70.0,24
9497,Equestrianism,1972,71.0,4
9498,Equestrianism,1972,72.0,18
9499,Equestrianism,1972,73.0,25
9500,Equestrianism,1972,74.0,7
9501,Equestrianism,1972,75.0,10
9502,Equestrianism,1972,76.0,14
9503,Equestrianism,1972,77.0,7
9504,Equestrianism,1972,78.0,4
9505,Equestrianism,1972,79.0,4
9506,Equestrianism,1972,82.0,2
9507,Equestrianism,1972,87.0,2
9508,Equestrianism,1972,88.0,2
9509,Equestrianism,1976,48.0,3
9510,Equestrianism,1976,49.0,2
9511,Equestrianism,1976,50.0,2
9512,Equestrianism,1976,52.0,3
9513,Equestrianism,1976,54.0,7
9514,Equestrianism,1976,55.0,4
9515,Equestrianism,1976,56.0,2
9516,Equestrianism,1976,57.0,9
9517,Equestrianism,1976,58.0,2
9518,Equestrianism,1976,59.0,6
9519,Equestrianism,1976,60.0,9
9520,Equestrianism,1976,61.0,2
9521,Equestrianism,1976,62.0,12
9522,Equestrianism,1976,63.0,12
9523,Equestrianism,1976,64.0,9
9524,Equestrianism,1976,65.0,10
9525,Equestrianism,1976,66.0,15
9526,Equestrianism,1976,67.0,11
9527,Equestrianism,1976,68.0,18
9528,Equestrianism,1976,69.0,2
9529,Equestrianism,1976,70.0,20
9530,Equestrianism,1976,71.0,4
9531,Equestrianism,1976,72.0,17
9532,Equestrianism,1976,73.0,19
9533,Equestrianism,1976,74.0,2
9534,Equestrianism,1976,75.0,9
9535,Equestrianism,1976,76.0,3
9536,Equestrianism,1976,77.0,9
9537,Equestrianism,1976,78.0,5
9538,Equestrianism,1976,79.0,2
9539,Equestrianism,1976,80.0,2
9540,Equestrianism,1976,84.0,1
9541,Equestrianism,1976,85.0,1
9542,Equestrianism,1976,86.0,2
9543,Equestrianism,1976,87.0,1
9544,Equestrianism,1976,88.0,2
9545,Equestrianism,1976,90.0,2
9546,Equestrianism,1980,53.0,2
9547,Equestrianism,1980,54.0,1
9548,Equestrianism,1980,57.0,5
9549,Equestrianism,1980,59.0,4
9550,Equestrianism,1980,60.0,3
9551,Equestrianism,1980,61.0,2
9552,Equestrianism,1980,62.0,2
9553,Equestrianism,1980,63.0,8
9554,Equestrianism,1980,65.0,2
9555,Equestrianism,1980,66.0,2
9556,Equestrianism,1980,67.0,7
9557,Equestrianism,1980,68.0,22
9558,Equestrianism,1980,69.0,10
9559,Equestrianism,1980,70.0,10
9560,Equestrianism,1980,71.0,10
9561,Equestrianism,1980,72.0,6
9562,Equestrianism,1980,73.0,8
